泛红|fànhóng|1&#9;to blush2&#9;to redden3&#9;flushed
大致|dàzhì|ADVERBroughly; approximately; more or less&#22823;&#33268;&#30456;&#21516;d&#224;zh&#236; xi&#257;ngt&#243;ngroughly (or about) the same&#23567;&#23401;&#20799;&#22823;&#33268;&#22312;&#19968;&#23681;
挨打|ái//dǎ|VERB1&#9;take a beating; get a thrashing&#20182;&#25384;&#20102;&#39554;&#19981;&#31639;, &#36824;&#25384;&#20102;&#19968;&#39039;&#25171;&#12290;T&#257; &#225;i le m&#224; b&#249; su&#224;n, h&#225;i
检视|jiǎnshì|VERBLITERARYinspect
劳烦|láofán|VERBDIALECT POLITE EXPRESSIONmay I&#8230;; trouble; please&#21171;&#28902;&#24744;&#20851;&#19978;&#38376;&#12290;l&#225;of&#225;n n&#237;n gu&#257;n sh&#224;ngm&#233;n.Do you mind shutting the door?
泡汤|pào//tāng|VERB1&#9;make a soup (usu. an instant one)2&#9;COLLOQUIALfall flat; fall through; come to nothing&#36825;&#26679;&#19968;&#26469;, &#26412;&#26376;&#30340;&#35745;&#21010;&#23601;&#35201;&#27873;&#277
降临|jiànglín|VERBLITERARYbefall; arrive; come&#22812;&#33394;&#38477;&#20020;&#12290;Y&#232;s&#232;ji&#224;ngl&#237;n.Night fell.&#28798;&#38590;&#38477;&#20020;&#20102;&#12290;Z&#257;in&#224;n ji&#224;ngl&#237;n 
贪腐|tānfǔ|corruption
请君入瓮|qǐngjūnrùwèng|IDIOMkindly step into the vat&#8212;have a taste of what you intended for others; have a dose of your own medicine
不翼而飞|bùyì'érfēi|IDIOM1&#9;(of an object) disappear without a trace; vanish into thin air&#20182;&#19968;&#25487;&#21475;&#34955;, &#30382;&#22841;&#23376;&#24050;&#19981;&#32764;&#32780;&#39134;&#12290;T&#257; y&#299
中产阶级|zhōngchǎnjiējí|NOUNmiddle class; middle bourgeoisie
不知所措|bùzhī-suǒcuò|IDIOMbe at a loss; at one's wits' end&#33579;&#28982;&#19981;&#30693;&#25152;&#25514;m&#225;ngr&#225;n b&#249;zh&#299;su&#466;cu&#242;at a complete loss what to do&#21523;&#24471;&#19981;&#30693;&#251
脏字|zāngzì|NOUNobscene (or swear, dirty) word&#35828;&#35805;&#21035;&#24102;&#33039;&#23383;&#12290;Shu&#333;hu&#224; bi&#233; d&#224;i z&#257;ngz&#236;.Don&#8217;t swear. or Don&#8217;t use foul language.
董事长|dǒngshìzhǎng|chairman (or president) of the board of directors; president of the Board
瘦削|shòuxuē|ADJECTIVEvery thin; gaunt; bony&#30246;&#21066;&#30340;&#38754;&#23380;sh&#242;uxu&#275; de mi&#224;nk&#466;nghaggard face
插不上手|chābushàngshǒu|to be unable to intervene
望风|wàng//fēng|VERBbe on the lookout (while conducting secret activities); keep watch; post a watch
驻守|zhùshǒu|VERBgarrison; defend&#39547;&#23432;&#23665;&#28023;&#20851;zh&#249;sh&#466;u Sh&#257;nh&#462;i Gu&#257;ngarrison the Shanhai Pass
凶神恶煞|xiōngshén-èshà|IDIOMdevils; fiends
小鬼|xiǎoguǐ|NOUN1&#9;little devil; demon servant in Hell2&#9;child; imp [term of endearment for a child]
牛逼|niúbī|1&#9;awesome2&#9;capable (vulgar)3&#9;arrogant4&#9;cocky5&#9;bastard (vulgar)
突如其来|tūrúqílái|IDIOMarise suddenly; come all of a sudden; appear out of nowhere
轻浮|qīngfú|ADJECTIVEfrivolous; flighty; light&#36731;&#28014;&#30340;&#34892;&#20026;q&#299;ngf&#250; de x&#237;ngw&#233;ifrivolous conduct&#20030;&#27490;&#36731;&#28014;J&#468;zh&#464; q&#299;ngf&#250;behave f
录取|lùqǔ|VERB1&#9;enroll; recruit; admit; hire&#24405;&#21462;&#26576;&#20154;&#20026;&#20250;&#21592;l&#249;q&#468; m&#466;ur&#233;n w&#233;i hu&#236;yu&#225;nadmit sb. into a club&#24405;&#21462;&#26032;&#29
隐姓埋名|yǐnxìng-máimíng|IDIOMconceal one's identity; keep one's identity hidden; live incognito
明快|míngkuài|ADJECTIVE1&#9;lucid and lively; sprightly&#26126;&#24555;&#30340;&#31508;&#35843;M&#237;ngku&#224;i de b&#464;di&#224;olucid and lively style&#33410;&#22863;&#26126;&#24555;ji&#233;z&#242;u m&#237;ngk
鱿鱼|yóuyú|NOUNICHTHYOLOGYsquid
萤火虫|yínghuǒchóng|NOUNfirefly; glow-worm; lightning bug
接头|jiē//tóu|VERB1&#9;connect; join; joint2&#9;COLLOQUIALcontact; get in touch with; meet&#25105;&#25214;&#35841;&#25509;&#22836;&#65311;W&#466; zh&#462;o shu&#237; ji&#275;t&#243;u&#65311;Who shall I get in touch
火烈鸟|huǒlièniǎo|NOUNORNITHOLOGYflamingo
海象|hǎixiàng|NOUNZOOLOGYwalrus; morse; elephant seal
海豹|hǎibào|NOUNZOOLOGYseal
辅具|fǔjù|assistive device (walking frame, hearing aid etc)
库存|kùcún|VERBhave in storageNOUNstock; reserve; repertory&#24211;&#23384;&#36807;&#21097;k&#249;c&#250;n gu&#242;sh&#232;ngoverstock&#26377;&#22823;&#37327;&#24211;&#23384;Y&#466;u d&#224;li&#224;ng k&#249;c&#
怒吼|nùhǒu|VERBroar; howl&#38596;&#29422;&#24594;&#21564;&#12290;Xi&#243;ngsh&#299; n&#249;h&#466;u.The lion roared.&#29378;&#39118;&#21628;&#21880;, &#22823;&#28023;&#24594;&#21564;&#12290;Ku&#225;ngf&#275;ng h
开采|kāicǎi|VERBmine; extract; exploit&#24320;&#37319;&#29028;&#28845;K&#257;ic&#462;i m&#233;it&#224;nmine coal&#24320;&#37319;&#30707;&#27833;k&#257;ic&#462;i sh&#237;y&#243;urecover petroleum&#24320;&#37319;&#
首要|shǒuyào|ADJECTIVEof the first importance; first; chief&#39318;&#35201;&#20219;&#21153;Sh&#466;uy&#224;o r&#232;nwuthe most important task; priority task&#39318;&#35201;&#38382;&#39064;sh&#466;uy&#224;o w&#232
拉扯|lāche|VERBCOLLOQUIAL1&#9;drag; pull&#21035;&#25289;&#25199;, &#35753;&#25105;&#36208;&#12290;Bi&#233; l&#257;che, r&#224;ng w&#466; z&#466;u.Don&#8217;t hold me back. Let me go.2&#9;take great pains to rear
生路|shēnglù|NOUNmeans of livelihood; way out&#21478;&#35851;&#29983;&#36335;L&#236;ng m&#243;u sh&#275;ngl&#249;try to find another job; look for a new means of livelihood&#26432;&#20986;&#19968;&#26465;&#29983;&
大意|dàyì|NOUNgeneral idea; main points; gist; tenor&#27573;&#33853;&#22823;&#24847;Du&#224;nlu&#242; d&#224;y&#236;the gist of a paragraph&#25226;&#20182;&#35762;&#35805;&#30340;&#22823;&#24847;&#35760;&#19979
灭掉|mièdiào|to eliminate
忍饥挨饿|rěnjī-ái'è|IDIOMendure the torments of hunger
内应|nèiyìng|NOUNperson operating from within; planted agent; plantVERBin coordination with outside forces; agitate from within&#20869;&#24212;&#22806;&#21512;n&#232;iy&#236;ng w&#224;i h&#233;internal uprising in
邦交|bāngjiāo|NOUNrelations between two countries; diplomatic relations&#24314;&#31435;&#37030;&#20132;ji&#224;nl&#236; b&#257;ngji&#257;oestablish diplomatic relations&#26029;&#32477;&#37030;&#20132;du&#224;nju&#2
放哨|fàng//shào|VERBbe on sentry (or on patrol)&#24033;&#36923;&#25918;&#21736;x&#250;nlu&#243; f&#224;ngsh&#224;ogo on patrol; patrol&#31449;&#23703;&#25918;&#21736;Zh&#224;ng&#462;ngf&#224;ngsh&#224;ostand sentry; 
沉稳|chénwěn|ADJECTIVE1&#9;steady; composed; sedate&#36825;&#20010;&#20154;&#24456;&#27785;&#31283;, &#22788;&#29702;&#38382;&#39064;&#32454;&#23494;&#21608;&#21040;&#12290;Zh&#232;ge r&#233;n h&#283;n ch&#233;nw&
正统|zhèngtǒng|NOUN1&#9;legitimism; direct descent2&#9;orthodox party (or school, faction)3&#9;(Zh&#232;ngt&#466;ng)Zhengtong (title of the first reign (1436-1449) of Zhu Qizhen (&#26417;&#31041;&#38215;), 6th emper
本行|běnháng|NOUNone's line of work; one's occupation; one's profession&#19977;&#21477;&#35805;&#19981;&#31163;&#26412;&#34892;s&#257;nj&#249;hu&#224;b&#249;l&#237;b&#283;nh&#225;ngconstantly talk about one&#8217;
炙|zhì|VERB1&#9;broil; roast2&#9;LITERARYscorch; burn&#26085;&#28825;R&#236; zh&#236;scorched by the sunNOUNLITERARYroast meat
运钞车|yùnchāochē|NOUNarmoured bank vehicle
火葬|huǒzàng|NOUNcremation
渎职|dúzhí|VERBmalfeasance; dereliction of duty
无暇|wúxiá|VERBLITERARYhave no time; be too busy; occupied&#26080;&#26247;&#39038;&#21450;W&#250;xi&#225; g&#249;j&#237;have no time to attend to&#26080;&#26247;&#20182;&#39038;w&#250;xi&#225;t&#257;g&#249;be to
心知肚明|xīnzhīdùmíng|to be well aware
游走|yóuzǒu|VERBwander about
避风头|bìfēngtou|VERB2&#9;lie low; stay away from trouble&#36991;&#19968;&#36991;&#39118;&#22836;b&#236; y&#299; b&#236; f&#275;ngtoulie low until it blows over
炮塔|pàotǎ|NOUNgun turret; turret
忙里忙外|mánglǐ-mángwài|bustle around
说来|shuōlái|VERBcome to speak of it&#35828;&#26469;&#35805;&#38271;&#12290;shu&#333;l&#225;i hu&#224; ch&#225;ngIt&#8217;s a long story.&#35828;&#26469;&#37117;&#26159;&#32769;&#26379;&#21451;&#12290;Shu&#333;l&#
瞻前顾后|zhānqián-gùhòu|IDIOMpeer ahead and look behind&#8212;1&#9;think over carefully2&#9;be overcautious and indecisive
自导自演|zìdǎozìyǎn|1&#9;to direct a movie in which one also plays a major role as an actor2&#9;(fig.) to plan and execute a scheme all by oneself
暴徒|bàotú|NOUNruffian; thug; rioter
并排|bìngpái|ADVERBside by side; abreast&#19981;&#35201;&#24182;&#25490;&#39569;&#36710;&#12290;B&#249;y&#224;o b&#236;ngp&#225;i q&#237;ch&#275;.Don&#8217;t cycle abreast.
收手|shōu//shǒu|VERBDIALECTthrow in one's hand; stop; give up&#21149;&#35828;&#27513;&#24466;&#25910;&#25163;qu&#224;nshu&#333; d&#462;it&#250; sh&#333;ush&#466;upersuade a gangster to give up
明面|míngmiàn|NOUNon the surface; apparently&#25226;&#38382;&#39064;&#25670;&#21040;&#26126;&#38754;&#19978;b&#462; w&#232;nt&#237; b&#462;i d&#224;o m&#237;ngmi&#224;n sh&#224;ngput the problem on the table
吞云吐雾|tūnyún-tǔwù|IDIOMswallow clouds and blow out fog&#8212;smoke (opium or cigarette)
眼福|yǎnfú|NOUNgood fortune of seeing sth. rare or beautiful&#30524;&#31119;&#19981;&#27973;y&#462;nf&#250;b&#249;qi&#462;nbe lucky enough to see sth.&#19968;&#39281;&#30524;&#31119;y&#299;b&#462;oy&#462;nf&#250
怀表|huáibiǎo|NOUNpocket watch
混蛋|húndàn|NOUNVULGARblackguard; wretch; scoundrel; bastard
抽调|chōudiào|VERBtransfer (personnel or material)&#25277;&#35843;&#24178;&#37096;&#25903;&#25588;&#20892;&#19994;ch&#333;udi&#224;o g&#224;nb&#249; zh&#299;yu&#225;n n&#243;ngy&#232;transfer cadres to strengthen t
巡游|xúnyóu|VERB1&#9;stroll about; ramble2&#9;go the rounds; patrol
大伙儿|dàhuǒr|NOUNCOLLOQUIALwe all; you all; everybody; everyone
跟丢|gēndiū|to lose track of
窃取|qièqǔ|VERBusurp; steal; grab&#31363;&#21462;&#21035;&#20154;&#30340;&#21171;&#21160;&#26524;&#23454;qi&#232;q&#468; bi&#233;ren de l&#225;od&#242;ng gu&#466;sh&#237;grab (or seize) the fruits of other peopl
随机应变|suíjī-yìngbiàn|IDIOMsuit one's actions to changing conditions; act according to circumstances; be resourceful
蹊跷|qīqiāo|ADJECTIVEodd; strange; fishy&#36825;&#20107;&#24773;&#26377;&#28857;&#20799;&#36426;&#36343;&#12290;Zh&#232; sh&#236;qing y&#466;udi&#462;nrq&#299;qi&#257;o.There is something fishy about it.
血本|xuèběn|NOUNprincipal; original capital&#34880;&#26412;&#26080;&#24402;xu&#232;b&#283;nw&#250;gu&#299;lose everything invested; cannot recover one&#8217;s capital
护栏|hùlán|NOUNiron railing; guardrail; rail fence
弩|nǔ|NOUNcrossbow&#19975;&#24361;&#40784;&#21457;&#12290;W&#224;nn&#468;q&#237;f&#257;.All the crossbows shot at once.
额度|édù|NOUNlimit; quota; prescribed amount or proportion
上瘾|shàng//yǐn|VERBbe addicted (to sth.); get into the habit (of doing sth.)&#21560;&#27602;&#19978;&#20102;&#30270;x&#299;d&#250; sh&#224;ng le y&#464;nbe addicted to drugs; be a drug addict&#20182;&#25277;&#28895;
师出有名|shīchūyǒumíng|1&#9;lit. to have sufficient reason to send troops (idiom)2&#9;to do something with good reason3&#9;to have just cause
打爆|dǎbào|1&#9;to blow out2&#9;to blow off3&#9;(computer games) to zap4&#9;(phone) to ring off the hook5&#9;to be jammed6&#9;to max out (credit card etc)
速战速决|sùzhàn-sùjué|IDIOM1&#9;fight a quick battle to force a quick decision2&#9;FIGURATIVEact promptly
瞟|piǎo|VERBlook sidelong (or askance) at; glance sideways at; look sideways at&#30623;&#20102;&#20182;&#19968;&#30524;pi&#462;o le t&#257; y&#299; y&#462;ncast a sidelong glance at him&#22905;&#19968;&#38754
鬣狗|liègǒu|NOUNZOOLOGYhyena; striped hyena
预计|yùjì|VERBcalculate in advance; estimate&#39044;&#35745;&#22823;&#27004;&#21313;&#20010;&#26376;&#21487;&#20197;&#23436;&#24037;&#12290;y&#249;j&#236; d&#224;l&#243;u sh&#237; ge yu&#232; k&#283;y&#464; w&#
瞎说|xiāshuō|VERBblather; blab; talk irresponsibly&#20320;&#21035;&#30606;&#35828;&#12290;N&#464; bi&#233; xi&#257;shu&#333;.Stop talking nonsense.
反超|fǎnchāo|VERB(in a sports event, contest, etc.) turn the tide; turn defeat into victory&#27604;&#20998;&#33853;&#21518;&#30340;&#20057;&#38431;&#26368;&#32456;&#21453;&#36229;&#20102;&#30002;&#38431;&#12290;B&
打掉|dǎ//diào|VERBCOLLOQUIAL1&#9;destroy; knock out; wipe out&#25171;&#25481;&#25932;&#20154;&#19968;&#20010;&#24072;d&#462; di&#224;o d&#237;r&#233;n y&#299; ge sh&#299;wipe out an enemy division2&#9;abort (the fo
后生可畏|hòushēng-kěwèi|IDIOMThe young deserve to be treated with respect.
赴约|fùyuē|VERBkeep an appointment
忌惮|jìdàn|VERBdread; fear; scruple&#22905;&#30772;&#21475;&#22823;&#39554;, &#27627;&#26080;&#24524;&#24814;&#12290;T&#257; p&#242;k&#466;ud&#224;m&#224;, h&#225;ow&#250; j&#236;d&#224;n.She shouted abuse witho
炮灰|pàohuī|NOUNcannon fodder&#25112;&#20105;&#36137;&#23376;&#20204;&#35270;&#22763;&#20853;&#20026;&#28846;&#28784;&#12290;Zh&#224;nzh&#275;ng f&#224;nzi men sh&#236; sh&#236;b&#299;ng w&#233;i p&#224;ohu&#299;
兴盛|xīngshèng|ADJECTIVEprosper; flourish; thrive; be in the ascendant&#22269;&#23478;&#20852;&#30427;&#12290;Gu&#243;ji&#257; x&#299;ngsh&#232;ng.The nation is prosperous.&#20107;&#19994;&#20852;&#30427;&#12290;Sh&
掀翻|xiānfān|1&#9;to turn sth over2&#9;to overturn
嘘声|xūshēng|1&#9;hissing sound2&#9;to hiss (as a sign of displeasure)
忍无可忍|rěnwúkěrěn|IDIOMat the end of one's forbearance; driven beyond (the limits of) forbearance; come to the end of one's patience&#20182;&#24525;&#26080;&#21487;&#24525;, &#29408;&#29408;&#22320;&#32473;&#20102;&#37
躯干|qūgàn|NOUNtrunk; torso
哀嚎|āiháo|VERB1&#9;VARIANT OF &#21696;&#21495;cry piteously; wail2&#9;wail mournfully&#39295;&#29436;&#22312;&#37326;&#22806;&#21696;&#22158;&#12290;&#200; l&#225;ng z&#224;i y&#283;w&#224;i &#257;ih&#225;o.Fam
弥补|míbǔ|VERBmake up; remedy; make good&#24357;&#34917;&#19981;&#36275;m&#237;b&#468; b&#249;z&#250;make up for weaknesses; fill in the shortage&#24357;&#34917;&#36196;&#23383;m&#237;b&#468; ch&#236;z&#236;mak
发际线|fàjìxiàn|(one's) hairline
韧性|rènxìng|NOUN1&#9;toughness; tenacity2&#9;METALLURGYmalleability; toughness&#38108;&#26159;&#38887;&#24615;&#24456;&#39640;&#30340;&#37329;&#23646;&#12290;t&#243;ng sh&#236; r&#232;nx&#236;ng h&#283;n g&#257;o
秘藏|mìcáng|VERBstore; hide&#31192;&#34255;&#29645;&#23453;m&#236;c&#225;ng zh&#275;nb&#462;oclosely guarded treasure
沉浮|chénfú|VERB1&#9;sink and rise; bob on water2&#9;ups and downs (of fortune); vicissitudes&#23462;&#28023;&#27785;&#28014;hu&#224;n h&#462;i ch&#233;nf&#250;vicissitudes of an official career
暗流|ànliú|NOUNMET undercurrentLIT hidden social trend
血花|xuèhuā|NOUNspattered drops of blood
伸张|shēnzhāng|VERBuphold; promote&#20280;&#24352;&#27491;&#20041;sh&#275;nzh&#257;ng zh&#232;ngy&#236;uphold justice&#20280;&#24352;&#27491;&#27668;, &#25171;&#20987;&#27498;&#39118;Sh&#275;nzh&#257;ng zh&#232;ngq&
协警|xiéjǐng|auxiliary police
政变|zhèngbiàn|VERBcoup d'&#233;tat; coup&#21457;&#21160;&#25919;&#21464;f&#257;d&#242;ng zh&#232;ngbi&#224;nstage a coup d&#8217;&#233;tat&#26410;&#36930;&#25919;&#21464;w&#232;isu&#236; zh&#232;ngbi&#224;nabortive
左轮|zuǒlún|NOUNrevolver
跟班|gēnbān|NOUNDATEDfootmanVERB(-//-)join a regular shift or class; work together with a group&#36319;&#29677;&#21171;&#21160;g&#275;nb&#257;n l&#225;od&#242;ng(of a supervisor, manager, director, etc.) go to wo
为民请命|wèimín-qǐngmìng|IDIOMplead in the name of the people; plead for the people&#25171;&#30528;&#20026;&#27665;&#35831;&#21629;&#30340;&#24140;&#23376;D&#462; zhe w&#232;im&#237;nq&#464;ngm&#236;ng de hu&#462;ngzipose as 
一无所获|yīwúsuǒhuò|1&#9;to gain nothing2&#9;to end up empty-handed
掌舵|zhǎngduò|NOUN(-//-)1&#9;steer; operate the rudder; take the tiller2&#9;FIGURATIVEbe at the helm; take charge&#36825;&#23478;&#20844;&#21496;&#32570;&#23569;&#26377;&#33021;&#21147;&#30340;&#20154;&#26469;&#254
字面|zìmiàn|NOUNliteral&#23383;&#38754;(&#19978;&#30340;)&#24847;&#24605;Z&#236;mi&#224;n sh&#224;ng de y&#236;siliteral meaning&#20174;&#23383;&#38754;&#19978;&#30475;c&#243;ng z&#236;mi&#224;n sh&#224;ng k&#224
沓|dá|MEASURE WORDpile (of paper, etc.); pad&#19968;&#27795;&#25253;&#32440;y&#299; d&#225; b&#224;ozh&#464;a pile of newspapers&#19968;&#27795;&#38046;&#31080;y&#299; d&#225; ch&#257;opi&#224;oa wad of ban
发放|fāfàng|VERB1&#9;provide; grant; extend&#21457;&#25918;&#36151;&#27454;f&#257;f&#224;ng d&#224;iku&#462;ngrant a loan&#25937;&#28798;&#29289;&#36164;&#24456;&#24555;&#21457;&#25918;&#21040;&#28798;&#21306;&#2
音讯|yīnxùn|NOUNmail; message; news&#38899;&#20449;&#20840;&#26080;y&#299;nx&#236;n qu&#225;n w&#250;no news whatsoever (from sb.)&#20114;&#36890;&#38899;&#20449;h&#249;t&#333;ng y&#299;nx&#236;ncommunicate with 
老奸巨猾|lǎojiānjùhuá|a crafty, cunning person
挑肥拣瘦|tiāoféi-jiǎnshòu|IDIOMpick the fat or choose the lean&#8212;choose whatever is to one's advantage; pick the best for oneself
大错特错|dàcuò-tècuò|IDIOMcompletely mistaken; absolutely wrong
胡编|húbiān|cook up; concoct
旁听|pángtīng|VERBsit in at a meeting, or on a class, etc.&#25105;&#26126;&#22825;&#26049;&#21548;&#20320;&#30340;&#35838;&#21487;&#20197;&#21527;&#65311;W&#466; m&#237;ngti&#257;n p&#225;ngt&#299;ng n&#464; de k&#
媾和|gòuhé|VERBLITERARYmake peace&#21333;&#29420;&#23230;&#21644;d&#257;nd&#250; g&#242;uh&#233;make peace without consulting one&#8217;s allies; make a separate peace
杂事|záshì|NOUNtrivial things (or matters); trivialities; trifles&#26434;&#20107;&#32544;&#36523;z&#225;sh&#236; ch&#225;nsh&#275;nbeing caught up in sundry matters of daily life
由来|yóulái|NOUN1&#9;origin; source&#20998;&#27495;&#30340;&#30001;&#26469;F&#275;nq&#237; de y&#243;ul&#225;ithe origin of differences2&#9;duration up to now; so far&#30001;&#26469;&#24050;&#20037;y&#243;ul&#225
窃窃私语|qièqiè-sīyǔ|IDIOMtalk in whispers; whisper
围剿|wéijiǎo|VERBencircle and suppress&#25991;&#21270;&#22260;&#21119;w&#233;nhu&#224; w&#233;iji&#462;ocultural encirclement
圈养|juànyǎng|VERBrear (poultry, livestock, etc.) in pens or sties; pen-raise (opp. &#25918;&#20859;)&#22280;&#20859;&#23478;&#31165;ju&#224;ny&#462;ng ji&#257;q&#237;nraise poultry in pens
旗号|qíhào|NOUNUSUALLY PEJORATIVEbanner; flag&#25171;&#30528;&#8230;&#8230;&#30340;&#26071;&#21495;d&#462; zhe &#8230; de q&#237;h&#224;oflaunt the banner of...
随性|suíxìng|1&#9;casual2&#9;laid-back3&#9;doing as one pleases
提及|tíjí|VERBspeak of; talk about; refer to; mention&#36825;&#37096;&#23567;&#35828;&#25991;&#23398;&#21490;&#19978;&#20174;&#26410;&#25552;&#21450;&#12290;Zh&#232; b&#249; xi&#462;oshu&#333; w&#233;nxu&#233;s
蛆虫|qūchóng|NOUN1&#9;ZOOLOGYmaggot2&#9;shameless (or base) person
脊椎骨|jǐzhuīgǔ|GENERAL NAME FORVARIANT OF &#26894;&#39592;NOUNANATOMYvertebra; spine
痴呆|chīdāi|1&#9;imbecility2&#9;dementia
监牢|jiānláo|NOUNDIALECTprison; jail
霰弹枪|xiàndànqiāng|shotgun
绊脚|bànjiǎo|trip up / stumble over sth.
酒囊饭袋|jiǔnáng-fàndài|IDIOMwine skin and rice bag&#8212; good-for-nothing; wastrel
纨绔子弟|wánkùzǐdì|profligate son of rich parents; fop; dandy; playboy
死穴|sǐxué|1&#9;lethal point (acupuncture)2&#9;vulnerable spot3&#9;Achilles' heel
厮杀|sīshā|VERBfight at close quarters (with weapons)
句号|jùhào|NOUNfull stop; full point; period(&#12290;) (.)
证婚人|zhènghūnrén|chief witness at a wedding ceremony
再好不过|zàihǎobùguò|1&#9;couldn't be better2&#9;ideal3&#9;wonderful
标注|biāozhù|VERBmark; note
胜算|shèngsuàn|NOUNLITERARYstratagem which ensures success&#31283;&#25805;&#32988;&#31639;w&#283;nc&#257;osh&#232;ngsu&#224;nbe sure of success
落于下风|luòyúxiàfēng|to be at a disadvantage
助纣为虐|zhùZhòuwéinüè|IDIOMaid King Zhou in his tyrannical rule&#8212;aid and abet an evil-doer; abet the wicked
或缺|huòquē|1&#9;to lack2&#9;to do without
无亲无故|wúqīn-wúgù|IDIOMhave no relatives or friends; all alone
拉票|lāpiào|1&#9;to campaign for votes2&#9;to ask voters for support
抹黑|mǒ//hēi|VERBblacken sb.'s name; throw mud at; bring shame on; discredit&#20182;&#30340;&#25152;&#20316;&#25152;&#20026;&#31616;&#30452;&#26159;&#22312;&#32473;&#25105;&#20204;&#38598;&#20307;&#33080;&#19978;&
彻头彻尾|chètóu-chèwěi|IDIOMout and out; through and through; downright&#24443;&#22836;&#24443;&#23614;&#30340;&#22351;&#34507;Ch&#232;t&#243;uch&#232;w&#283;i de hu&#224;id&#224;nout-and-out villain&#24443;&#22836;&#24443;
