可能性|かのうせい|Likelihood / Possibility
始発の電車に乗りました。|しはつの でんしゃに のりました|I took the first train.
駅前に新しい書店ができました。|えきまえに あたらしい しょてんができました|A new bookstore has opened in front of the station.
私はトムがしたことに対して責任はない|わたしはがしたことに たいして せきにんはない|I am not responsible for what Tom did (&nbsp;&nbsp;に対して )
仲良く|なかよく|To get along with, befriend
冷蔵庫|れいぞうこ|Fridge
置く|おく|To put / place
繁殖する|はんしょくする|This also means "To breed" something
着手|ちゃくしゅ|Yet another word for "start" or "onset"
彼は人事を担当しているんだ。|かれは じんじを たんとうしているんだ|He is in charge of personnel affairs.
息子に新しい歯が生えました|むすこに あたらしい はが はえました|My son has a new tooth coming in.
瞬間|しゅんかん|Instant / Moment
代金を期日までにお支払いください。|だいきんを きじつまでにお しはらいください|Please pay the charge by the due date.
足下|あしもと|Step / under foot
妊娠中はタバコを吸うべきではない。|にんしん ちゅうはを すうべきではない|One shouldnt smoke when pregnant
排水|はいすい|Drainage
立派|りっぱ|Splendid / Fine / Handsome
傾向|けいこう|Trend (not 動向)
点数|てんすう|Points / Score
断水した|だんすいした|The water supply was cut off
原因|げんいん|Cause / Origin
緑を取り戻す必要があります。|みどりを りとりもどす ひつようがあります|We need to recover our green spaces.
贅沢などすることなく、貯金をしています。|ぜいたくなどすることなく ちょきんをしています|I am saving money and doing without extravagance. （ことなく）
近頃、彼女の様子がおかしい。|ちかごろ かのじょの ようすがおかしい|She's been behaving strangely these days.
助手|じょしゅ|Assistant / Helper
そっくり|そっくり|True to life / lifelike
古代の歴史について勉強しました。|こだいの れきしについて べんきょうしました|I studied ancient history.
西洋人は正座が苦手よ。|せいようじんは せいざが にがてよ|Westerners are not good at sitting with their legs folded underneath them.
アジト||Hideout / Secret base of operations
蜜月|みつげつ|Honeymoon
食パン|しょくぱん|Bread / loaf of bread
憤慨|ふんがい|Indignation / Resentment
誤訳|ごやく|Mistranslation
シャワーを浴びたら、気分がスッキリした。|を あびたら きぶんがした|I felt refreshed after showering.
呼び戻す|びよびもどす|To call back / To call home
結婚すると新しい戸籍が作られます。|けっこんすると あたらしい こせきが つくられます|A new family register is made when a couple marry.
郷|さと|Basically if you ever see it, think "hometown"
戦況|せんきょう|War situation / Progress of a battle
食器を全部新しくしました。|しょっきを ぜんぶ あたらしくしました|I replaced all the tableware.
私の学校には制服がありません。|わたしの がっこうには せいふくがありません|There is no uniform in my school.
検索エンジン|けんさくえんじん|Search Engine
学説|がくせつ|Theory (in the school learning terms...?)
鼻くそ|はなくそ|Snot
人には思想の自由がある。|ひとには のしそうのじゆうがある|People have freedom of thought.
子供達は、足し算と引き算を習っている。|こどもたちは したしざんと きひきざんを ならっている|The children are learning to add and subtract
コンクール||Contest / Competition
やっぱり、王女様か|やっぱり おうじょ さまか|Your a princess after all eh..
高校卒業後、系列の大学に進みました。|こうこう そつぎょうご けいれつの だいがくに すすみました|After graduating from high school, he entered an affiliated university.
冷や汗|やひやあせ|Cold sweat
皆の顔と名前を一度には覚えられません。|みなの かおと なまえを どには おぼえられません|I can't remember everyone's name and face at once.
年をとると血管が硬くなります。|としをとると けっかんが かたくなります|The blood vessels harden with age.
この商品は主に女性に人気がありまして。|この しょうひんは おもに じょせいに にんきがありまして|This product is mainly popular among women.
ビールは体質に合わない|は たいしつに あわない|Beer disagrees with me
彼はボールに回転を掛けたんだ。|かれはに かいてんを かけたんだ|He put a spin on the ball.
水位|すいい|Water level (of a lake or whatever)
ついでに。。。|ついでに|While you're at it...
意見|いけん|Opinion / View / Idea
議席|ぎせき|A seat (in parliament!)
言論の自由は国民の権利です。|のげんろんのじゆうは こくみんの けんりです|Freedom of speech is the right of the people.
突撃命令|とつげき めいれい|Marching orders (not SF3 ones)
逆風|ぎゃくふう|Headwind / Oncoming wind
格差|かくさ|Gap / Disparity
住まい|すまい|Dwelling / Residence
送り込む|りおくりこむ|To send in
小型|こがた|Small-sized
最初から最後までうっとりしてた。|さいしょから さいごまでうっとりしてた|I mean, I was spellbound the whole time.
環境問題に関する記事を読んだの。|かんきょうもんだいに かんする きじを よんだの|I read an article on environmental issues.
彼は満身の力を込めてそれを持ち上げた。|かれは まんしんの ちからを こめてそれを ちもちあげた|He lifted it up with all his might.
この絵はスペインの画家が描きました。|この えはの がかが えがきました|A Spanish painter drew this picture.
連れ戻す|れつれもどす|To bring back
作者|さくしゃ|Another iknow word for author or writer
そちらの品は半額になっています。|そちらの しなは はんがくになっています|Those goods are half-price.
旧ソビエトは今はロシアと呼ばれている。|きゅうは いまはと よばれている|The former Soviet Union is now called Russia.
新作|しんさく|New work (those cakes in zettai kareshi)
C言語|げんご|The C language
服を買うのにあれこれ迷いました。|ふくを かうのにあれこれ まよいました|When I was buying clothes, I couldn't decide between different things.
煙|けむり|Smoke
信じられないことに|しんじられないことに|Unbelievably...
この鐘の音はとてもきれいですね。|この のかねのねはとてもきれいですね|The sound of this bell is very beautiful.
無名|むめい|Nameless / Unknown / Obscure / opposite of famous
詩的|してき|Poetic
金もうけが彼の趣味だ。|かねもうけが かれの しゅみだ|Moneymaking is his hobby.
冬は空気が乾燥している。|ふゆは くうきが かんそうしている|In Winter the air is dry
本題|ほんだい|Main point
君はここに居るかぎり安全です。|きみはここに いるかぎり あんぜんです|You are safe so long as you stay here.
刑事が現場を調べているわ。|けいじが げんばを しらべているわ|The detective is investigating the crime scene.
刑事|けいじ|Detective
もっと早く寝ればいいのに|もっと はやく ねればいいのに|You should go to bed earlier
金融商品|きんゆうしょうひん|Financial Product
消耗|しょうもう|Wear / Drain (something wearing out, or being drained)
軌道|きどう|Orbit
自国の文化を大切にしましょう。|じこくの ぶんかを たいせつにしましょう|Let's take good care of our own country's culture.
日本語の新聞が読みたかったら、漢字を勉強するべきだ|にほんごの しんぶんが よみたかったら かんじを べんきょうするべきだ|If one wants to read Japanese newspapers, one should study Kanji
理由|りゆう|Reason
母は毎日てきぱきと家事をしているよ。|ははは まいにちてきぱきと かじをしているよ|My mother zips through housework every day.
新築|しんちく|New Building
外食|がいしょく|Eat out / dining out
ここにタイヤの跡があるわ。|ここにの あとがあるわ|There is a tire imprint here.
解決済み|かいけつずみ|Resolved / Already settled
日本では、何も言わないで食事を始めるのは失礼だ|にっぽんでは なにも いわないで しょくじを はじめるのは しつれいだ|In Japan, it is bad manners to begin a meal without saying anything
「この会議は退屈だ」と同僚が私に囁いたの。|この かいぎは たいくつだと どうりょうが わたしに ささやいたの|My colleague whispered to me, "this meeting is boring."
親子|おやこ|Parent and child
会議の初日に市長がスピーチをしたよ。|かいぎの しょにちに しちょうがをしたよ|The mayor made a speech on the first day of the conference.
乞食が公園のベンチで寝ている。|こじきが こうえんので ねている|A beggar is sleeping on the park bench.
火災の原因は放火だそうです。|かさいの げんいんは ほうかだそうです|I hear that the cause of the fire was arson.
崩れる|くずれる|Crumble / Collapse
知り合う|りしりあう|Get acquainted with
索引はたいてい本の後ろについていますよ。|さくいんはたいてい ほんの うしろについていますよ|The index is usually found in the end of the book.
去年は航空機の事故が多かった。|きょねんは こうくうきの じこが おおかった|There were a lot of aircraft accidents last year.
人民|じんみん|Another iknow word meaning the people, the populace
お二人はどこで知り合ったのですか。|お にんはどこで りしりあったのですか|Where did you two get to know each other?
私は彼女の美しさにうっとりした|わたしは かのじょの うつくしさにうっとりした|I was fascinated by her beauty.
決断力|けつだんりょく|Decisiveness
新しい事務員が入りました。|あたらしい じむいんが はいりました|A new clerk joined the office.
手一杯|ていっぱい|Having ones hands full
結晶|けっしょう|Crystallization
好調|こうちょう|Favorable Condition
彼は一向に興味を示さないの。|かれは いっこうに きょうみを しめさないの|He doesn't show any interest at all.
同士|どうし|fellow, to each other
訓読み|くんよみ|The Japanese reading of Kanji
自動販売機|じどうはんばいき|Vending Machine
人は新しい経験をするたびに、何かを学ぶ|ひとは あたらしい けいけんをするたびに なにかを まなぶ|Everytime a person has a new experience, they learn something
閉館|へいかん|Closing of a building
降りる|おりる|To get off (say, bus)
外来語は一般にカタカナで書かれます。|がいらいごは いっぱんにで かかれます|In general, loan words are written in katakana.
実話|じつわ|A true story
全ての人に人権がある。|すべての ひとに じんけんがある|All people have human rights.
憎らしい|にくらしい|Hateful / Provoking
行|くだり|Line / Row (single Kanji)
今年は去年に比べ、雨の量が多い|ことしは きょねんに くらべ あめの りょうが おおい|Compared to last year, there is a lot more rain this year ( 比べ )
速度|そくど|speed, velocity　(「速力」じゃない）
分からないところは先生に聞けばいいのに|わからないところは せんせいに きけばいいのに|You should ask your teacher about things that you dont understand..
東京湾|とうきょうわん|Tokyo Bay
勉強あっての成功だ！頑張らなければ、合格出来ない。|べんきょうあっての せいこうだ がんばらなければ ごうかく できない|This success is due to your studying so hard! If you hadn't worked so much, you 
暗いので足下に気を付けてください。|くらいので あしもとに きを つけてください|Please watch your step in the dark.
共産主義|きょうさんしゅぎ|Communism
〜ごっこ|ごっこ|Make believe
高速道路|こうそくどうろ|Freeway / Highway
草花を大切にしましょう。|くさばなを たいせつにしましょう|Let's take good care of plants and flowers.
外部|がいぶ|Outside / Outer
この仕事は時給1000円です。|この しごとは じきゅう  えんです|This work pays 1000 yen per hour.
成長|せいちょう|Growth
彼は彼女を列車から突き落とす|かれは かのじょを れっしゃから きつきおとす|He pushed her off the train
宇宙船|うちゅうせん|Space ship
今日はデパートが混雑していたよ。|きょうはが こんざつしていたよ|The department store was crowded today.
名店|めいてん|Famous shop
彼のことを見直しました。|かれのことを みなおしました|I changed my opinion of him.
彼の趣味は切手収集です。|かれの しゅみは きってしゅうしゅうです|His hobby is collecting stamps.
脳死|のうし|Brain death
アルバイトをしながら学校に行くのは大変だ|をしながら がっこうに いくのは たいへんだ|It is not easy to go to school working part time
再婚する|さいこんする|To re-marry
埃|ほこり|Dust
旅行中は身の安全が第一です。|りょこう ちゅうは みの あんぜんが だいです|Personal safety is paramount while traveling.
お風呂に入っている間に電話があった|お ふろに はいっている まに でんわがあった|There was a phone call whilst I was taking a bath
雨が降っても、ピクニックに行く|あめが ふってもに いく|I will go on a picnic even if it rains
吐く|はく|To spit / throw up / expel from mouth
許すべからざる行為。|ゆるすべからざる こうい|An act that cannot be forgiven
父の教えは「自分に厳しく」です。|ちちの おしえは じぶんに きびしくです|My father told me to be strict with myself.
ダイエット中のくせに彼女はケーキを食べきりました|ちゅうのくせに かのじょはを たべきりました|Despite her being on a diet, she ate all the cake
課長はしばしば出張します。|かちょうはしばしば しゅっちょうします|The section chief often goes on business trips.
「〜に」移る|に うつる|To move to ~
実例を使って説明してください。|じつれいを つかって せつめいしてください|Please explain by using an actual example.
彼女は英語の口頭試験を受けた。|かのじょは えいごの こうとう しけんを うけた|She had an oral examination in English
明日は高校の入試です。|あしたは こうこうの にゅうしです|The high school entrance exam is tomorrow.
登る|のぼる|Climb
このことに関してまた君に電話するよ。|このことに かんしてまた きみに でんわするよ|I'll get in touch with you again about this matter.
彼は昨年入社したの。|かれは さくねん にゅうしゃしたの|He joined the company last year.
句|く|Phrase / Clause
この質問に関して、３つの問題がある。|この しつもんに かんして みっつの もんだいがある|With respect to this question, there are three problems.
友情|ゆうじょう|Friendship
脳〜|のう|Brain ~
彼は元来、真面目な人です。|かれは がんらい まじめな ひとです|He is essentially a serious person.
会話を通じて日本語覚えてます|かいわを つうじて にほんご おぼえてます|you can remember japanese by speaking it.
賢い|かしこい|Smart / Intelligent
挨拶を交わす|あいさつを かわす|Exchange greetings
スタジアムは観衆で満員だったよ。|は かんしゅうで まんいんだったよ|The stadium was full of spectators.
軍事|ぐんじ|Military Affairs
イケメン||Good looking (saw on a few dramas, used for guys!)
これはイスラム教の寺院です。|これは いすらむきょうの じいんです|This is a mosque.
私が 理解する限りでは、こんな風に使う|わたしが りかいする かぎりではこんな ふうに つかう|As far as I understood, you use it like this
その新聞記事の内容はあまり信用できない。|その しんぶんきじの ないようはあまり しんようできない|Dont really trust the contents of the newspaper article
英和辞書をよく使います。|えいわ じしょをよく つかいます|I often use an English-Japanese dictionary.
この土地の面積は約100平方メートルです。|この とちの めんせきは やく  へいほうめーとるです|The area of this land is about 100 square meters.
ご乗車ありがとうございます！|ご じょうしゃありがとうございます|Welcome Aboard!
父は以前、国鉄に勤めていました。|ちちは いぜん こくてつに つとめていました|My father used to work for Japan National Railways.
ぶつける|ぶつける|To bump (into something)
植物園には珍しい花がたくさんありますね。|しょくぶつえんには めずらしい はながたくさんありますね|There are a lot of rare flowers in the botanical garden.
大型トラック|おおがたとらっく|Large truck
伝説|でんせつ|Legend
このワインは国産です。|このは こくさんです|This wine is a domestic product.
忍び|しのび|Stealth / Travelling incognito
明日こそ、勉強するぞ！|あしたこそ べんきょうするぞ|I will definitely study tomorrow!
アホ||Idiot / Fool (not 馬鹿)
鉄|てつ|Iron
むしろ|むしろ|rather
時給|じきゅう|Hourly wage
戦力|せんりょく|Military Strength
彼はうつむいて何かを考えているね。|かれはうつむいて なにかを かんがえているね|He is thinking of something with his head down.
守備|しゅび|Defense / Fielding
何を考えやがったんだ|なにを かんがえやがったんだ|What the hell were you thinking about?
この島は発電を水力に頼っているんだ。|この しまは はつでんを すいりょくに たよっているんだ|This island relies on hydroelectric energy to generate power
桜|さくら|Sakura
印象に残る|いんしょうに のこる|To leave an impression
二流|にりゅう|Second rate / Inferior
寝ぼけ（る）|ねぼける|Sleepy / be half asleep
心を込めて祈りなさい|こころを こめて いのりなさい|Pray with all your heart.
三角形|さんかっけい|Triangle
多読|たどく|Extensive reading
こしょうを入れ過ぎてスープが辛い。|こしょうを いれ すぎてが つらい|I put in too much pepper and now the soup is spicy.
泣きそうになった|なきそうになった|seemed as though they would cry
火星人|かせいじん|Martian
完治する|かんじする|to Completely Recover
卒業後の進路を迷っています。|そつぎょうごの しんろを まよっています|I'm having trouble deciding what path I'll take after graduation.
脅迫電話|きょうはくでんわ|A threatening / intimidating phone call
今日は慌ただしい一日でした。|きょうは あわただしい にちでした|It was a busy day today.
発電|はつでん|Power Generation
この春に彼は社会人になったよ。|この はるに かれは しゃかいじんになったよ|He became a working adult this spring.
この件に関して何か言うことはありますか。|この けんに かんして なにか いうことはありますか|do you have anything to say with regard to this matter?
いつも元気に見える|いつも げんきに みえる|He always seems to be cheeful
彼はタバコの煙を嫌がるの。|かれはの けむりを いやがるの|He dislikes cigarette smoke.
魔導士|まどうし|Sorcerer / Wizard / Mage (those in FF9)
何と言っても|なにと いっても|Undeniably / no doubt / by any account
きのう、弟と口げんかしました。|きのう おとうとと くちげんかしました|I quarreled with my younger brother yesterday.
本棚|ほんだな|Bookshelf
一緒に勉強 しようではないか。|いっしょに べんきょうしようではないか|why don't we study together?
恐怖|きょうふ|Horror
交通|こうつう|行ったり来たりすること（Traffic)
駆け上がる|かけ あがる|To run up (ie stairs)
最大|さいだい|Biggest / Largest
風邪気味なら、早く寝ることだ|かぜぎみなら はやく ねることだ|if you feel like you have a cold, you better go to bed early
～ざる　Grammar|ざる|Means "That isn't" -- basically swap with ない at end of a verb. しない becomes せざる
数学にかけては彼女はクラスでいつも一番だった|すうがくにかけては かのじょはでいつも いちばんだった|when it comes to math, she is always top of the class
戦死する|せんしする|To die in battle
美樹がどこに住んでいるか知っている？|みきがどこに すんでいるか しっている|Do you know where Miki lives?
今更後悔しても、もう遅いよ。|いまさら こうかいしてももう おそいよ|It is too late for regrets.
私が寝入るか寝入らぬかのうちに、電話がなった。|わたしが ねいるか ねいらぬかのうちに でんわがなった|I had hardly fallen asleep when the telephone rang.
和訳|わやく|Japanese translation
油断する|ゆだんする|to drop one's guard
筆記試験|ひっきしけん|Written examination
市長|しちょう|Mayor
お正月は家族とともに過ごしたい|お しょうがつは かぞくとともに すごしたい|I want to spend new years with my family ( とともに )
協力|きょうりょく|Cooperation
逃げ切る|げにげきる|To get away / To manage to hold on
灰|はい|Ash
明日試験があるから、今晩勉強しないわけにはいかない|あした しけんがあるから こんばん べんきょうしないわけにはいかない|Since I have an exam tommorrow, I cant help but study tonight
彼女はアンケートに答えたよ。|かのじょはに こたえたよ|She answered the questionnaire.
事故の原因はスピード違反だった。|じこの げんいんは すぴーどいはんだった|The cause of the accident was a speeding violation
誰だっけ？|だれだっけ|Who is it again?
日本へ行ってから、日本に興味を持つようになりました|にっぽんへ いってから にっぽんに きょうみを もつようになりました|I came to have an interest in Japan after I went to Japan
海上で衝突事故が発生した。|かいじょうで しょうとつ じこが はっせいした|There was a collision at sea.
すいません。ビールをもう１本追加してください。|すいませんをもう ほん ついかしてください|Excuse me, please add one more bottle of beer
彼は三流大学を出たが、今は社長だよ。|かれは さんりゅう だいがくを でたが いまは しゃちょうだよ|Even though he went to a third-rate college he is now the company president.
法律の観点からすると、彼は自由だ。|ほうりつの かんてんからすると かれは じゆうだ|From the standpoint of the law, he is free.
目標に向かって行動する|もくひょうに むかって こうどうする|To take actions towards your goal
噂にすぎない!|うわさにすぎない|Nothing more than a rumour!
禁酒|きんしゅ|Abstention from alcohol
今度の連休は実家に帰ります|こんどの れんきゅうは じっかに かえります|I'll go back to my parents' house for the next consecutive holidays
雨天|うてん|Rainy weather
温かい|あたたかい|Warm
無人|むじん|Unmanned / Uninhabited
手裏剣|しゅりけん|Shuriken
そのプランでは、失敗する恐れがあるよ|そのでは しっぱいする おそれがあるよ|I fear that that plan may fail
私はIT業界で働いています。|わたしは  ぎょうかいで はたらいています|I'm working in the IT industry.
語学|ごがく|Language Study
しつこい|しつこい|Persistent
限定|げんてい|Limited (ex: to a season / period of time)
昼間|ひるま|Daytime
最強の技|さいきょうの わざ|Strongest Move
補欠選手|ほけつせんしゅ|Reserve / Bench Warmer / Spare man
職員|しょくいん|Staff member / employee
今日は料理の実習があった。|きょうは りょうりの じっしゅうがあった|Today we had cooking practice.
そんなにたくさん食べ切れますか？|そんなにたくさん たべ きれますか|Can you really eat it all that like?
飛行機が無事着陸したわね。|ひこうきが ぶじ ちゃくりくしたわね|The airplane landed safely.
彼はいつのまにいなくなったの。|かれはいつのまにいなくなったの|When did he leave?
洋服|ようふく|Western Clothes
効く|きく|Be effective (say, medicine?)
長命|ちょうめい|Long life
冗談はともかく。。|じょうだんはともかく|Joking aside...
敬語|けいご|Honourific Speech
筆|ふで|Brush
他の人の意見も聞くべきだ|たの ひとの いけんも きくべきだ|One should listen to the opinions of others
両側|りょうがわ|Both sides
雪だるま|ゆきだるま|Snowman
宿題をしないで学校へ来るのはよくない|しゅくだいをしないで がっこうへ くるのはよくない|Its not good to come to school without having done ones homework
事実|じじつ|A Fact
台風が接近していますね。|たいふうが せっきんしていますね|A typhoon is approaching.
お弁当を買うお金さえなかった|お べんとうを かうお かねさえなかった|I didn't even have money to buy lunch
これは去年の誕生日に彼女がくれた本だ|これは きょねんの たんじょうびに かのじょがくれた ほんだ|This is the book that my girlfriend gave me on my birthday last year
長らくお待たせしました。|ながらくお またせしました|I'm sorry to keep you waiting for such a long time.
年齢|ねんれい|Age (how it might be written on a form)
汚染|おせん|Pollution (one you always forget)
ひらがな、かたかなの形は漢字に基づいている|ひらがなかたかなの かたちは かんじに もとづいている|hiragana and katakana shapes are based on kanji.
日本で英語を教えることになっています|にっぽんで えいごを おしえることになっています|I am to teach English in Japan
言い換えれば|いいいかえれば|To put into other words ...
警察はそのグループを怪しんでいます。|けいさつはそのを あやしんでいます|The police are suspicious of the group.
国内|こくない|Domestic
率いる|ひきいる|To lead (something, an army!)
立入禁止|たちいりきんし|No Trespassing
私は列車の中に鞄を忘れたことをふと思い出した。|わたしは れっしゃの なかに かばんを わすれたことをふと いおもいだした|It occurred to me that I had left my bg on the train
最後まで走りぬく|さいごまで はしりぬく|Run to the end (with great effort).
宿題が多すぎて、トイレに行く時間さえなかった|しゅくだいが おおすぎてに いく じかんさえなかった|There was so much homework, I didn't even have time to go to the bathroom.
桁違い|けたちがい|In a different league / Incomparable
個人情報|こじんじょうほう|Private information / Private data
雨が降らないといいですね|あめが ふらないといいですね|I hope it doesn't rain
こちらを差し上げます。|こちらを しさしあげます|This is for you. (polite!)
そのチームには勢いがありますね。|そのには いきおいがありますね|That team has momentum.
不安でならない|ふあんでならない|Cant help worrying
彼のファンは三世代にわたっています。|かれのは せだいにわたっています|His fans span three generations.
出来る限りのことをした|るできるかぎりのことをした|Did the limit of what could do
反則|はんそく|Foul / Violation of the rules
予想外|よそうがい|Unexpected / Unforeseen
名詞|めいし|Noun
全額|ぜんがく|Full amount (think cash)
草花|くさばな|Plants and flowers
地震のため水道の本管が破裂した。|じしんのため すいどうの ほんかんが はれつした|The water mains burst due to the earthquake
大きくなったら政治家になりたいです。|おおきくなったら せいじかになりたいです|I want to become a politician when I grow up
愛の巣|のあいのす|Love nest
それは夢に過ぎない|それは ゆめに すぎない|thats nothing more than a dream
家にいるのに、電話に出ない|いえにいるのに でんわに でない|She is home but she does not answer the phone
ガラス戸|がらすど|Glass door
大学に入ったばかりだから、十八歳でしょう|だいがくに はいったばかりだから さいでしょう|Since she has just entered college, she is probably 18
三重県|みえ けん|Mie-ken
命|いのち|Life
追加|ついか|Add (one more)
お金がなくて、買い物どころではない。|お かねがなくて いかいものどころではない|I have no money, so there's no way I can go shopping..
前回|ぜんかい|Last time
家具|かぐ|Furniture
毎日テープを聞くことにした|まいにちを きくことにした|I have decided to listen to tapes every day
昨日、生理が始まったの。|きのう せいりが はじまったの|My period started yesterday.
戦車|せんしゃ|Tank (military vehicle)
気配|けはい|Sign of presence
スーさんが来てくれるといいんです|さんが きてくれるといいんです|Sue, I hope you will come
いい友達でいてくれてありがとう|いい ともだちでいてくれてありがとう|Thank you for being a good friend
適度な運動が体にいい|てきどな うんどうが からだにいい|Moderate exercise is good for the body
飛び去る|とび さる|To fly away
一晩|ばん|One night
50個|こ|50 pieces
幼い子供に対する犯罪は許しがたい|おさない こどもに たいする はんざいは ゆるしがたい|Crimes towards naive children is something I cant ever forgive (so so hard to fo
疲れた時、ゆっくりお風呂に入る|つかれた ときゆっくりお ふろに はいる|I take a long bath when I have gotten tired
参る|まいる|Polite form of arrive
不動産屋|ふどうさんや|Realtor
登場|とうじょう|Appearance / Entry
横目で見ながら|よこめで みながら|Whilst looking out the side of your eye...
何度注意したことか。|なん ど ちゅういしたことか|How many times have I warned you?
食べたばかりだから、おなかがいっぱい|たべたばかりだからおなかがいっぱい|I have just eaten, so I'm full
頑張りぬく|がんばりぬく|keep trying til the end
彼女は英文の手紙を書きました。|かのじょは えいぶんの てがみを かきました|She wrote an English letter.
踊る|おどる|To Dance
毎日十一時に寝ることにしている|まいにち じに ねることにしている|I make it a rule to go to bed at eleven every night
日本化する|にっぽん かする|To Japaneseify / Become Japanese
乗客の一人の具合が悪くなったの。|じょうきゃくの にんの ぐあいが わるくなったの|The condition of one passenger got worse.
家族と相談したうえで、ご返事します。|かぞくと そうだんしたうえでご へんじします|I will give you my reaction after I have consulted my family.
答案用紙|とうあんようし|Answer sheet
日本の家に上がる時は、靴を脱ぐことになっている|にっぽんの いえに あがる ときは くつを ぬぐことになっている|When you enter a Japanese house, you are supposed to take off your shoes
ロンドンにいた時、ビサを取りました|にいた ときを とりました|I had the visa issued when I was in London
爆発|ばくはつ|explosion
大学に行けるといいんですが|だいがくに いけるといいんですが|I am hoping I can go to college
仕事へ行くついでに、郵便局で手紙を出した|しごとへ いくついでに ゆうびんきょくで てがみを だした|While on my way to work, I mailed a letter at the post office
日本人自身|にっぽんじん じしん|Japanese people themselves
薬を飲んだらどうですか？|くすりを のんだらどうですか|How about taking some medicine?
通路|つうろ|Passage / Pathway
図書館へ行かないで家で勉強する学生もいる|としょかんへ いかないで いえで べんきょうする がくせいもいる|There are students who study at home instead of going to the library
条件|じょうけん|Condition / Requirement
昨夜は、寝ないで、勉強した|さくやは ねないで べんきょうした|Last night, I studied without getting any sleep
大通り|おおどおり|Main Streat
晩ご飯を作っとく|ごばんごはんを つくっとく|To make dinner for later (abbv)
千葉県|ちば けん|Chiba-ken
約２分|やく ふん|(Approximately / Around) 2 minutes
手伝おうか？|てつだおうか|Shall I lend you a hand?
いるわけないよ|いるわけないよ|There is no way he will be here
たとえ〜でも　ー＞　もし〜でも|たとえでももしでも|たとえ〜でも　ー＞　もし〜でも
彼は負けるに決まっている|かれは まけるに きまっている|He will definitely lose.
私の知るかぎりでは。|わたしの しるかぎりでは|As for as I know.
営業|えいぎょう|Business / Operation
歴史|れきし|History
帰宅する|きたくする|Returning Home
国に帰る前に、もう一度大阪に行きます|くにに かえる まえにもう いちど おおさかに いきます|I will go to Osaka one more time before I go back home
語り合う|りかたりあう|To talk about (on a deeper level)
私が大好きな人は、あなたのみだ|わたしが だいすきな ひとはあなたのみだ|The girl I love, is you only
秘密|ひみつ|Secret / Secrecy
高知県|こうち けん|Kochi-ken
人手不足|ひとでぶそく|Short handed / Not enough people
窓を開けたとたんに、猫が跳んでいった|まどを あけたとたんに ねこが とんでいった|As soon as I opened the window, cat jumped out
オカマ||Homosexual / Gay
年休|ねんきゅう|Yearly paid vacation
狩にいく|かりにいく|To go hunting (say in a game)
ネトゲ||Internet game
