複雑怪奇|ふくざつかいき|complicated and mysterious
アトリエ||atelier, studio, workshop
繁繁|しげしげ|1. frequently, often2. (staring) fixedly, narrowly, closely, steadily
審査員|しんさいん|Judge / Referee again
非道|ひどう|Unjust / Inhuman / Devilish / Tyrannical
楽団|がくだん|Orchestra / Band
人目|ひとめ|Public notice / Public gaze
将来性|しょうらいせい|Future prospects
～とみられる　Grammar|とみられる|Seems "is thought, is believed, is expected" と思われる
ネットオークションでと腕時計を落札した|でと うでどけいを らくさつした|I bid successfully in an online auction for a watch
営為|えいい|Activities, endeavors, pursuits, human enterpriseNuance営為
 is a formal and somew
骨折り損のくたびれ儲け。|りほねおりぞんのくたびれ もうけ|Great pains but all in vain
微候|びこう|Sign or symptom of a disease (usually more subtle than a symptom)
主宰|しゅさい|Supervision / Chairmanship
悪だくみ|わるだくみ|wiles; sinister design; trick; conspiracy; intrigue
たんまり|たんまり|quite a lot
抜き打ち|ぬき うち|doing something suddenly, without warning
~ではすまない grammar|ではすまない|it doesn’t end with just…
雨合羽|あまがっぱ|raincoat; oilcoat
妖艶|ようえん|fascinating, voluptuous, bewitching, captivating
ふんぞり返る|ふんぞり かえる|1. to lie on one's back with legs outstretched, to recline2. to get cocky, to be
叩き割る|たたき わる|to smash, to break into pieces
祖父母|そふぼ|Grandparents
提携銀行|ていけい ぎんこう|Allied bank / coalition bank
生産性|せいさんせい|Productivity (more important than efficiency now?)
示唆に富む|しさに とむ|Suggestive, ie "rich with suggestions"
二手|て|Two groups / Two bands
形態|けいたい|Form / Shape / Figure
推移|すいい|Transition / Change
ドキリ（と）|と|Feeling shocked or startled
非常勤講師|ひじょうきんこうし|Part-time lecturer/instructor, adjunct facultyNuance非常勤講師
 refers to an academic
文語|ぶんご|Literary language
しょぼくれる|しょぼくれる|To be dispirited / to be dejected / to be disheartened
いい線いってる|いい せんいってる|to be on the right track; to be close enough
男爵|だんしゃく|Baron (like a lord)
快哉|かいさい|joy; exultation
掌握|しょうあく|grasping, seizing, holding, commanding, having control over
瞬く|しばたたく|to blink (one's eyes), to wink, to bat
気負い|きおい|eagerness, enthusiasm, fervor, excitement, fighting spirit, fighting mood
指数的成長|しすうてきせいちょう|exponential growth
実刑判決|じっけいはんけつ|unsuspended prison sentence, prison sentence with no stay of execution
合併症|がっぺいしょう|complication (Medicine term)
発散|はっさん|To emit / send (emission / radiation)
毛糸が絡む|けいとが からむ|Yarn gets entangled
明細|めいさい|Detailed statement / details (not 詳細)
快楽|かいらく|Pleasure
目当て|めあて|目当て (めあて) means "aim," "target," or "something/someone one has in mind as a goal
梢|こずえ|Tree Top / The top of the tree
規約|きやく|Agreement / Rules / Code / Protocol / Convention
刷新|さっしん|Reform / Renovation
金物屋|かなものや|Hardware store or dealer
受け流す|けうけながす|To ward off / To elude / To turn aside (a joke)
打ち明ける　again|ちうちあける|To open ones heart / to speak ones mind
がみがみ|がみがみ|To nag; to scold constantly; to complain in a harsh, grating manner.NuanceThe te
達観|たっかん|philosophical perspective; enlightened outlook; seeing things in a detached, bro
生身|なまみ|Living flesh and blood
切磋琢磨|せっさたくま|cultivate one's character by studying hard; diligent application
吟ずる|ぎんずる|1) to chant; to recite; to sing; (2) (See 吟じる・2) to write (a poem); to compose
