この漢字の筆順は分かりますか？|わ|漢字を書くときの画の順序を指します。日本語教育や書道の場面で重要な概念です。
この荷の目方は70キロってとこかね。|めかた|「目方」は、物の重さを指す日常的な言葉です。「体重」は人の重さに特化していますが、「目方」は物体全般の重さに使われます。ややくだけた表現で、正確な計量よりも大体の重さを話題にする場面でよく使われます。
この荷物は丁寧に扱って下さい。|くだ|「丁寧」は、相手に対して礼儀正しく細やかな気配りをする様子を表します。言葉遣いや行動がていねいで、失礼のないように注意することを意味します。ビジネスや接客の場面で重んじられる態度です。
この薬には解熱の効果があります|こうか|熱を下げることを意味します。医療や健康に関する文脈で使われ、薬の効果や症状の改善を表す際に用いられます。
この薬の効き目は素晴らしいの。|すば|「効き目」は、薬や治療、努力などが効果を発揮する程度や結果を指します。「効き目がある」「効き目が現れる」のように使われ、期待した効果が実際に現れているかどうかを評価する表現です。
この薬はいつも飲んでいるビタミン剤と併用しても差し支えない|さしつか|問題がない、許容できるという意味の形容詞的な表現です。許可や同意を控えめに示すときや、支障がないことを伝えるときに使われます。
この薬はまだ認可されていません。|にんか|「認可」は、公的な機関や権限を持つ組織が、ある行為や事業を正式に許可することを意味します。法律や行政の分野で使われる正式な言葉で、日常会話では「許可」の方がよく使われます。
この薬はよくきく反面、副作用がある|ふくさよう|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
この薬は神経に作用します。|さよう|体内の情報伝達を行う組織や、比喩的に細かい気配りや過敏さを表します。日常会話から医学用語まで幅広く使われます。
この街には家具の問屋がたくさんあります。|とんや|商品をメーカーから仕入れて小売店に卸す業者。卸売業者を指し、製造と小売の間に位置する中間業者です。
この表は年齢区分ごとの人口を表しています。|あらわ|「区分」は、物事を種類や性質によって分けること、またはその分けられた枠組みを指します。分類や区別と似た意味で、文書やデータの整理、土地の用途など、様々な場面で使われる実用的な言葉です。
この製品は付加価値が高い|たか|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
この製品は有害な化学物質を含んでいるわよ。|ふく|物質は、空間を占める質量のあるものの総称で、化学や物理の分野で使われる基本的な概念です。固体・液体・気体の三態があります。
この襟巻きはとても暖かい|あたた|衣服の首の周りの部分を指します。ワイシャツやジャケットなどのデザインの一部で、形や大きさによって服装の印象が変わります。
この規則は貴方には当てはめることはできない|あ|
この角度からは画面が見えにくいですね。|み|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
この証拠だけでは彼が無罪であることを証明するに足りない|た|「証」は、事実や真実を証明するための根拠や手がかりを指します。法律や日常生活の両方で使われ、「証拠」よりやや硬い印象があります。
この詩を解釈してみましょう。|かいしゃく|「詩」は、感情や思いをリズムや美しい言葉で表現した文学作品です。短い形式で書かれることが多く、散文とは異なる独自の表現技法を持ちます。現代詩、自由詩、定型詩など様々な種類があります。
この論議はやめようではないか。|ろんぎ|海に生息する軟体動物で、食用として広く親しまれています。イカそうめんやイカの刺身など、日本料理では欠かせない食材です。
この講義は専攻のいかんにかかわらず、全員受けてください|う|大学や学校で、教師が学生に対して学問的なテーマについて説明をする授業形式を指します。一方的に話す形が一般的です。
この議論の妥当性に関する疑問はデータを見れば雲散霧消する。|うんさんむしょう|「雲散（うんさん）」は、雲が散るように物事が跡形もなく消え去ることを意味します。単独で使われることは少なく、「雲散霧消（うんさんむしょう）」という四字熟語で使われることがほとんどです。記憶や影響が完全に消える様子を詩的に表現します。
この販売機では５００円硬貨は使えません。|つか|「硬貨」は、金属でできた貨幣、つまりコインを指します。「紙幣」と対になる言葉です。日常的に「小銭」と言うことが多いですが、銀行や公的な場面では「硬貨」が使われます。
この賞は、生活者の目に触れるか触れないかは別として、人々の生活を豊かにする技術や発明に対して与えられる。|あた|「術」は物事を達成するための方法・技術・手段を意味します。武術や芸術のように体系化された技術から、生き延びる術のような日常的なノウハウまで幅広く使われます。漢字の「術」は「技」よりも体系的で洗練されたニュアンスがあります。
この質問に関して、３つの問題がある。|もんだい|「題」は、話や文章、作品などの主題やタイトルを指す名詞です。「話題」「問題」「題名」などの複合語の一部としてもよく使われます。シンプルで汎用性の高い語で、日常会話から学術的な文脈まで幅広く用いられます。
この車を今買うとお得ですよ。|とく|「得」は、利益や利得、自分のためになることを指します。金銭的な利益だけでなく、知識や経験の面でも使われます。「得をする」「得だ」のように使います。反対語は「損」です。
この辞書の改訂には６年かかった。|ねん|「改訂」は、書物や法律、計画などの内容を修正したり、新しくしたりすることを指します。特に教科書や辞書、ルールブックなどに使われます。単なる「修正」よりも、より正式で体系的な見直しのニュアンスがあります。
この農園は我々の必要を満たすだけの果実を産出する。|さんしゅつ|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
この農園は私たちの必要を満たすに足るだけの野菜を産出する。 &nbsp;|さんしゅつ|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
この農薬は人には無害です。|むがい|「農薬」は、農業で使う害虫や雑草を駆除する薬剤。安全性や環境問題の話題でよく出る。日常的な言葉。
この辺は住宅が立て込んで います。|たてこ|「辺」は、図形や物体の縁を構成する線分や境界を指す幾何学用語です。三次元モデリングや数学の文脈で使われ、面と面の間の境界線を指します。また、日常的には周辺や付近を意味する使い方も一般的です。
この辺は田圃がたくさんあります|たんぼ|「辺」は、図形や物体の縁を構成する線分や境界を指す幾何学用語です。三次元モデリングや数学の文脈で使われ、面と面の間の境界線を指します。また、日常的には周辺や付近を意味する使い方も一般的です。
この辺りでは菜の花畑が4月中旬ごろ特にきれいだと聞いていたが、なるほど見事である。|みごと|「花畑」は「はなばたけ」と読み、一面に花が植えられた畑や庭園。観光名所や景観として楽しむ場所。
この辺りの家賃の相場はいくらですか。|そうば|「辺」は、図形や物体の縁を構成する線分や境界を指す幾何学用語です。三次元モデリングや数学の文脈で使われ、面と面の間の境界線を指します。また、日常的には周辺や付近を意味する使い方も一般的です。
この辺りは夜になるとおっかない|よる|「おっかない」は、怖い、恐ろしいという意味の口語的な形容詞です。主に関東地方の方言に由来し、「恐ろしい」よりもカジュアルな響きがあります。見た目が怖い人や、怒っている様子、危険な状況などに対して使われます。男性が使うイメージがやや強いですが、女性も使います。
この辺一帯はリンゴ畑です。|はたけ|ある程度の広がりを持つ地域や領域全体を指す語。「一帯」は、周辺を含めた一つのまとまったエリアを漠然と示す場合に使われます。
この近辺で連続不審火が相次いでおり、偶然では済まされない事態だ|じたい|「事態」は、物事の状態や成り行きを指す名詞です。特に予想外の悪い状況や深刻な状況を表すときに使われることが多いです。
この週刊誌を毎週買っているの。|か|「週刊誌」は、毎週発行される雑誌のことで、新聞と月刊誌の中間的なメディアです。政治、経済、芸能、スポーツなど様々な話題を扱い、速報性と深掘りを両立させています。駅の売店や書店で簡単に買えます。
この道はでこぼこしていますね。|みち|「でこぼこ」は、表面が平らではなく、凸凹している様子を表すオノマトペです。道路の状態や地面の凹凸、木材の表面など物理的な不平坦さを指します。また比喩的に、物事の進行がスムーズでない場合や、人間関係のギクシャクした状態も「でこぼこ」と表現することがあります。
この道は片側通行です。|かたがわつうこう|道や通路などを通って行き来することを指します。交通や歩行者の移動に関連して使われます。
この道をまっすぐ進むと国道に出ます。|で|国が管理する主要な道路のことを指します。一般道の中で重要な幹線道路です。
この部分の設計は1ミリたりとも間違いがないようにお願いします|ねが|合計や総数を表す言葉で、数値を合計した結果を示します。レシートや明細書でよく見かけます。
この部屋は埃だらけですね。|ほこり|空気中に浮かぶ細かい粒子や、物の表面に積もった細かい塵のことを指します。掃除や清潔に関する話題でよく使われます。
この部屋は日当たりがいい。|ひあ|太陽の光が当たる具合。部屋や土地の日照条件を表す。良い日当たりは「日当たりがいい」と表現する。
この部屋は防音されています|ぼうおん|音が外に漏れたり、外の音が入ってこないようにすることを指します。部屋や建物の構造に関する言葉です。
この金属は強度では鉄に匹敵する。|ひってき|「匹敵」は、互いに優劣がつけられないほど、実力や価値が同等であることを意味します。特に「〜に匹敵する」という形で使われ、比較対象と肩を並べるほどのレベルにあることを示します。
この鉛筆は尖っていますね。|とが|重金属の一種で、柔らかくて灰色がかった金属です。かつては水道管や絵の具に使われましたが、毒性があることで知られています。
この鉢植えは観賞用です。|よう|美術品や自然、花などをじっくり見て楽しむことです。「鑑賞」と似ていますが、「観賞」は視覚的に美しさを楽しむことに重点があります。
この鍋は保温機能がついています|きのう|機械やシステムなどが持っている働きや役割のことです。製品の性能を表す時によく使われます。
この鐘の音はとてもきれいですね。|かねのね|金属製の楽器で、打つことで音を出すものを指します。寺の鐘や学校の鐘、時計台の鐘など様々な種類があります。
この間の試験は難しすぎたので、次の試験はやさしくしてください|しけん|「難し」は、現代語の「難しい」の古語形で、上代・中古の文献に見られる文語形容詞です。「むずかし」の語源とも言われ、古典文学や時代劇などで登場します。現代の日常会話で使うことはほとんどありませんが、「〜し」で終わる古語の形容詞は「楽し→楽しい」のように現代語の原型となっているため、知識として知っておくと古文の理解が深まります。N1レベルの学習者であれば、一度は目にしたことがあるかもしれません。
この階段は18段ありますね。|だん|階段の一つの段差や、物事の段階・程度を表します。また、物を載せるための台や、位・等級を表すこともあります。
この階段は、私にはたいしたことはありませんが、足の弱い人にしたら、とても大変だろうと思いますよ。|おも|階段の一つの段差や、物事の段階・程度を表します。また、物を載せるための台や、位・等級を表すこともあります。
この電卓はポケットに入ります。|はい|「電卓」は、電気式の計算機で、四則演算やパーセント計算などができる携帯用の機器です。ビジネスや学校で広く使われており、スマートフォンの普及後も電卓アプリとして親しまれています。
この靴は爪先が細い|ほそ|「爪先」は「つまさき」と読み、足の指の先端部分。歩く方向やバランスを取る際に重要な役割を果たす。
この鞄は重たいです。|おも|物を入れて持ち運ぶための道具の総称です。手提げ鞄、リュックサック、バッグなど様々な種類があります。日常で最もよく使われる語の一つです。
この頃、あの人は不機嫌ですね。|ふきげん|人の感情状態や気分、特に良いか悪いかに焦点を当てた言葉。「機嫌がいい」「機嫌が悪い」で非常によく使われます。
この頃から、海外旅行を希求する|ききゅう|「希求」は「ききゅう」と読み、強く望み求めること。理想や目標を実現したいと切に願うことを表すやや硬い表現。
この頃は、ローマが勢力を伸ばしていました。|の|「勢力」は、政治、経済、軍事などにおける力や影響力の大きさを指します。個人よりも組織や集団の力について語る際に使われることが多く、勢力争いや勢力拡大などの複合語でもよく見られます。
この駅でたくさんの人が乗り降りしますね。|のりお|乗り物に乗ることと降りることをまとめて指す言葉です。バスや電車、タクシーなどの交通機関の利用時に使われます。
この高校は偏差値がとても高い|たか|統計学上の「標準偏差」を基準にした数値で、学力試験の結果を相対評価する際によく使われます。日本の教育現場で非常に一般的で、学校の難易度や自分の実力を測る指標として用いられます。
こは職員専用の出入り口です。|でいりぐち|会社や組織、官公庁などに勤める人を指します。従業員や社員よりも広い意味で、公務員や学校の先生なども含みます。
こびりつく|こびりつく|「こびりつく」は、物が表面にしっかりとくっついて簡単に取れない状態を指します。物理的な汚れや食べ物の焦げ付きから、比喩的な「記憶が頭にこびりつく」などの使い方もあります。「くっつく」より強く、取り除くのが困難なイメージです。
こびり付く|つ|「こびり付く」は、物が表面にしっかりとくっついて簡単に離れない様子を表す。単に「付く」よりも強く、取れにくいニュアンスがある。物理的な汚れだけでなく、習慣や印象など抽象的なものにも使える。
こまめに保存することをお忘れなく！|わす|物や状態をそのままの形で長く保つことを意味します。食品やデータ、文化財など様々なものを対象に使われます。
こめかみ|こめかみ|頭部の側面、目の横あたりのくぼんだ部分。ここに指を当てて考える仕草は「考え込む」象徴として描かれる。医療や日常会話で使われる。
こよない|こよない|「こよない」は「この上ない」「最高の」という意味の古風な形容詞です。非常に強い賛辞や感謝の気持ちを表す際に使われ、フォーマルで文学的な響きがあります。日常会話では「この上ない」の方が一般的です。
こよなく愛する|あい|「こよなく愛する」は、何かをこの上なく深く愛していることを表す、やや文学的な表現です。「こよなく」は「最も」「この上なく」という意味の副詞で、愛情や執着の強さを強調します。
こらえる|こらえる|痛みや辛さ・怒りなどを我慢して耐えること。感情を抑える。
これからはインターネットを介した音楽配信が主流になるだろう。|しゅりゅう|インターネットや放送などを通じて、情報やコンテンツを多くの人に届けること。動画配信、メール配信、ニュース配信など現代社会で頻出の言葉。
これからは経営の合理化を図りたいと思います。|おも|物事の筋道や道理、正しい道理のことです。自然科学の分野では「原理」や「法則」という意味でも使われます。
これからは経費を節約しましょう。|せつやく|事業や活動を行うために必要な費用や支出を指します。経理やビジネスの場面でよく使われる基本的な用語です。
これからも両国の親善を深めましょう。|ふか|「親善」は、国や組織、個人の間で親しみを深め、良い関係を築くことを意味します。「親善試合」「親善大使」のように、友好関係を促進するための活動や交流に使われる、平和的な響きのある語です。
これからパスポートの申請に行きます。|い|「申請」は、許可や承認を得るために正式に申し出ることを意味します。パスポートやビザの申請、補助金の申請、入学申請など、公的機関や組織に対して書類を提出する場面で広く使われます。
これから身長と体重を測定します。|そくてい|長さや重さ、時間などを器具を使って正確に計ることを意味します。科学や工業で頻繁に使われます。
これが「星が綺麗な夜には君のことを思う」だったら「想う」の方がしっくりきます。|ほう|「星」は、夜空に輝く天体を指す基本的な名詞です。太陽や月を除いた恒星や惑星を指す天文用語としての意味と、星形のマークや評価（ホテルの星の数など）、芸能界のスター（人気者）という比喩的意味もあります。
これが参加者の名簿です。|めいぼ|名簿は、複数の人の名前をリストとしてまとめたものです。学校や会社、団体などでメンバーを管理するために使われます。
これが建物の側面の写真です。|しゃしん|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
これこそ事故現場に乗り捨ててあった単車だ。|たんしゃ|二輪の自動車、つまりオートバイのこと。かつては「自動二輪車」の略として広く使われたが、最近では「バイク」の方が一般的。やや古風な響きがある。
これといった|これといった|これといったは「特に取り立てて言うほどの」「特筆すべき」という意味の連語です。ほとんどの場合、否定の「ない」を伴って「これといった〜ない」の形で使われ、「特に〜ない」「目立った〜がない」という意味になります。日常会話で非常によく使われます。
これと言って趣味はないんですが、強いて言えば、音楽鑑賞ですね。|かんしょう|
これは、お前の体躯、護衛能力を考慮した上でのプランなのだ。是が非でもやってもらう。|ぜがひ|「是が非でも」は手段を選ばずに何としても実現したいという強い意志を表す副詞的表現です。読みは「ぜがひでも」が一般的です。書き言葉でも話し言葉でも使われますが、かなり強い決意を示すため、軽い場面では過剰な印象になることがあります。
これは、中年の男性によく見られる症状です。|しょうじょう|人生の壮年期、おおよそ40代から60代を指します。「中年太り」「中年男性」などの複合語で日常的に使われます。
これはあくまでも私の直感なんですが、山田さんは近々この会社を辞めるんじゃないかと思います。|おも|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
これはとても手間のかかる料理です。|りょうり|物事の筋道や道理、正しい道理のことです。自然科学の分野では「原理」や「法則」という意味でも使われます。
これはイスラム教の寺院です。|じいん|仏教の宗教施設で、僧侶が住み、仏像が安置されている建物やその敷地のことです。お寺とも言います。
これはスポーツ施設用の器具です。|きぐ|特定の目的のために使う道具や機械。台所用品、医療器具、実験器具など、用途が限定された道具を指す。
これは人工の湖です。|みずうみ|自然ではなく、人間の技術や手によって作られたことを表します。
これは会社間の取り決めです。|とりき|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
これは何と言うか、まあ、一種の妥協でしょうね。|だきょう|「種」は、植物の種子を指すほか、物事の種類や原因、カードゲームのスートなど多様な意味を持つ言葉です。非常に基本的な語彙で、日常会話から専門的な文脈まで幅広く使われます。
これは先生の本だから、あなたに貸すわけにはいかない|か|海に生息する軟体動物で、食用として広く親しまれています。イカそうめんやイカの刺身など、日本料理では欠かせない食材です。
これは児童図書です。|としょ|「図書」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
これは去年の誕生日に彼女がくれた本だ|ほん|「誕生」は、人や動物がこの世に生まれ出ることを指します。比喩的に、新しい組織や制度、作品などが生まれることにも使われます。「生まれる」よりも改まった表現で、公式な発表やお祝いの場面でよく使われます。
これは外部には秘密です。|ひみつ|ある範囲や組織の外側のことを指します。会社や学校などの組織の外、または機械や建物の外面を表すときに使われます。
これは子供に特有の病気です|びょうき|特有とは、その人や物だけが特別に持っている性質や特徴を指します。ほかにはない独自の要素を表す言葉です。
これは思いがけない邂逅|かいこう|「思いがけない」は全く予想していなかったことが起こる様子を表す形容詞です。ポジティブにもネガティブにも使われます。「突然の」より「意表をつく」ニュアンスが強く、話し言葉でも書き言葉でもよく使われます。
これは想定内です|ない|これから起こりうる事態について、あらかじめ予想したり仮定したりすることを指します。ビジネスや学術の場面で頻繁に使われます。
これは政府の承認を受けた資格です。|しかく|特定の仕事や活動を行うために必要な能力や権利を公的に認められたものを指します。免許や検定試験に合格することで得られることが多いです。
これは日本の人名ですか。|じんめい|「本の」は数量や程度がごくわずかであることを強調する副詞的表現です。「ほんの少し」「ほんの一時」のように使われます。
これは日本固有の鳥です。|とり|そのものだけが自然に備え持っている性質や特徴を指します。他のものと共通ではなく、その対象にだけ独特に存在することを表します。
これは極めて重要な問題です。|もんだい|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
これは機械の内部の問題です。|もんだい|「題」は、話や文章、作品などの主題やタイトルを指す名詞です。「話題」「問題」「題名」などの複合語の一部としてもよく使われます。シンプルで汎用性の高い語で、日常会話から学術的な文脈まで幅広く用いられます。
これは正当な要求です。|ようきゅう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
これは気骨の折れるやっかいな仕事だ|しごと|「折れる」の第一の意味は「物が曲がって二つに分かれる」ことですが、第二の意味として「自分の意見を引っ込めて相手に譲歩する」があります。この用法は日常会話で非常によく使われ、交渉や人間関係の調整の場面で重要な表現です。
これは生前彼が使っていたものです|つか|「せいぜん」と読み、人が生きていた間、特に亡くなった人の生前を指して使われることが多い言葉です。故人を偲ぶ文脈でよく使われます。
これは破天荒の快挙である|かいきょ|「破天荒」は、前例がなく、誰も成し遂げたことのないことを行う様子を表します。規模が大きく、大胆で、非常なインパクトのある行動に対して使われます。良い意味でも使われますが、「非常識」という批判のニュアンスを含むこともあります。
これは私によい教訓を与えた。|あた|「教訓」は、経験や出来事から学んだ教えや戒めを意味します。良い行いを促したり、悪い結果を避けさせるための知恵やアドバイスを含みます。物語の最後に「この話の教訓は…」のように使われることが多く、ためになる内容を伝えます。
これは私の直通の電話番号です。|でんわばんごう|途中で止まったり乗り換えたりせずに、直接目的地につながっていることを指します。電車やバスの路線、電話の回線などに使われます。
これは芸術作品どころか、見るにたえないほどのできだ。&nbsp;|み|「術」は物事を達成するための方法・技術・手段を意味します。武術や芸術のように体系化された技術から、生き延びる術のような日常的なノウハウまで幅広く使われます。漢字の「術」は「技」よりも体系的で洗練されたニュアンスがあります。
これほどのプロフェッショナリズムと豊かな経験を提供できる会社は、日本中で当社をおいてほかにはありません。|とうしゃ|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
これまで話し合った事柄をまとめてください。|ことがら|「事柄」は、具体的な物事や出来事、話題を指します。やや硬い表現で、文章の中で使われることが多いです。日常会話では「こと」の方が一般的ですが、フォーマルな場面では「事柄」が使われます。
これらの本を分類してください。|ぶんるい|「分類」は、物事を種類や性質に従って区分けすること、またはその区分されたグループを指します。図書館の本の分類、生物の分類、データの分類など、学術・実務の様々な場面で使われる基本的な概念です。
これらの２つの分子が異なったスピードで動いていることを示すだけでは不十分である。|ふじゅうぶん|「分子」は、物質を構成する最小の単位で、化学的な性質を持つ粒子。物理学や化学の基本的な概念。
これをもちまして本日の披露宴をめでたくお開きとあさせていただきます。&nbsp;&nbsp;|ひら|露は、朝晩に草や葉の表面に付く水滴のことです。また、比喩的には「はかない命」「短い時間」「一滴の涙」など、すぐに消えてしまうものの象徴として詩歌でよく詠まれます。古語・文語的な響きがあり、俳句や和歌などの伝統的な文学で頻繁に登場します。
これを最後と必死の努力をふりしぼり、トシヒコは手をついて起き上がった。そしてやっとの思いで多分十ヤードばかりも這い進んだ|すす|目標達成のために一生懸命頑張ること。非常に基本的で一般的な語。あらゆる場面で使われる。
これを順番通りに並べ替えて下さい。|くだ|特別ではなく、普通の程度や水準であることを表します。平均的で、目立った特徴がないことを意味します。
これ以上彼をからかうのはやめなさい。冗談じゃすまなくなるよ。|じょうだん|「からかう」は、冗談めかして相手を笑わせたり、困らせたりすることを意味します。悪意のない軽い冗談や、親しみを込めたちょっかいを出す場合に使われます。ただし、度が過ぎると「いじめ」になるため、相手との関係性や加減が重要です。
これ見よがし|み|「これ見よがし」は周囲の目を意識してわざと目立つように振る舞う様子を表します。自慢げな態度やパフォーマンス的な行動に対して批判的に使われます。
ころころ|ころころ|「ころころ」は、小さな物が転がる様子や、物事や意見が頻繁に変わる様子を表す擬態語です。「ころころ変わる」のように人の気持ちや天気の変化に使ったり、「ころころ転がる」のように物理的な動きに使ったりします。
ころり|ころり|「ころり」は、物が軽く転がる様子や、人が簡単に態度を変える様子、または病気がすっかり治る様子を表す擬態語です。文脈によって意味が変わります。
こんがらがる|こんがらがる|糸や物事が絡み合って複雑になり、解決が難しくなる様子。物理的なもの（糸・コード）から抽象的なもの（話・計画・人間関係）まで幅広く使える口語表現。
こんなすばらしい賞をいただいて、光栄の至りです|いた|名誉に感じること、誇りに思うことを表します。フォーマルな場面でよく使われます。
