処刑する|しょけいする|To execute
存分に|ぞんぶんに|To ones heart content / sufficiently (not 思い切り)
断続的|だんぞくてき|Intermittent
割に|わりに|comparatively, rather
埋葬|まいそう|Burial / To bury (someone!)
大所帯|おおじょたい|Large family
彼は他の社員たちに引け目を感じています|かれは たの しゃいんたちに けひけめを かんじています|He feels intimidated by other employees
内剛外柔|ないごうがいじゅう|Being gentle on the outside but tough on the inside / an iron hand in a velvet g
他県|た けん|Another prefecture
発症|はっしょう|Outbreak of an illness
不公平を正す|ふこうへいを ただす|To remedy injustice
外野|がいや|Outfield
主題|しゅだい|論文・研究などの主な問題
財政学|ざいせいがく|Finance (study)
物まね|ものまね|Impression / Imitation (for example, here is my michael jackson impression)
雇用流動性|こよう りゅうどうせい|Employment mobility
天賦|てんぷ|Natural talent / Natural gift / Endowment
運賃|うんちん|Fare / Payment - for transport usually, buses / trains etc
