要件|ようけん|Necessary condition / Requirement
彼女はあけっぴろげにものを言う。|かのじょはあけっぴろげにものを いう|She is frank in speech
台本|だいほん|Script / Scenario
合唱|がっしょう|Chorus
流離い|りゅうりい|Wandering (eg bird, lifestyle) / wandering alone in a strange country (what stil
車の窓を開けると外気は冷たかった|くるまの まどを あけると がいきは つめたかった|When we opened the car window the air outside was cold
かりそめにもそんな心を起こしてはならない|かりそめにもそんな こころを おこしてはならない|Not for a moment must you think of doing anything like that
消炎剤|しょうえんざい|anti-inflammatory agent, antiphlogistic
慈善|じぜん|Charity / Philanthropy
見学|けんがく|Study by observation / field trip / inspection
先行き|さきゆき|The future
不敵|ふてき|Daring / Fearless / Bold / Tough
虎の威を借る狐|とらの いを かる きつね|person who swaggers about under borrowed authority, small man acting arrogantly 
野望|やぼう|Ambition / Aspiration / Designs / Treachery
引っ張り出す|っひっぱり だす|To drag out / To take out
ほ乳瓶を煮沸消毒しなさい。|ほ にゅうびんを しゃふつしょうどくしなさい|Boil the milk bottles
彼女はその試合で華々しい活躍をした|かのじょはその しあいで はなばなしい かつやくをした|She did brilliantly in the match
眉目秀麗|びもくしゅうれい|Having a handsome face
弾み|はずみ|Bounce / Rebound / Spring (bike bounced into the gate!)
下草|したくさ|Undergrowth / weeds beneath a tree
真紅|しんく|Deep crimson
片腹痛い|かたはらいたい|Long word for "Ridiculous"
雇い入れる|やとい いれる|To employ / To engage
骸骨|がいこつ|Skeleton
たまたま|たまたま|By chance / by accident / unexpectedly / as it so happens..
喜怒哀楽|きどあいらく|Human emotions (joy, anger, pathos and humour)
手落ち|ておち|Error / Omission
佇まい|たたずまい|Appearance / Shape / Figure
靄|もや|mist; haze
自主廃業|じしゅ はいぎょう|voluntary liquidation, voluntary closure (of business)
祝儀|しゅうぎ|1. celebration, celebratory event, wedding ceremony2. congratulatory gift3. tip,
冊子|さっし|Booklet / Pamphlet / Brochure
強奪する|ごうだつする|To rob / snatch / grab
気が重い|きが おもい|Depressed / Bummed out / down
チクチク痛む|いたむ|to prickle, to tingle
原始|げんし|Primitive
彼はマラソン大会で優勝し表彰された|かれは まらそんたいかいで ゆうしょうし ひょうしょうされた|He won the marathon and was congratulated
工芸には細かい手作業が必要です|こうげいには こまかい てさぎょうが ひつようです|Detailed work by hand is required for crafts
万病|まんびょう|All kinds of sicknesses
イカれている|れている|To be nuts / crazy (from scam tv show)
定圧|ていあつ|constant pressure
信望|しんぼう|confidence, popularity
仮病|けびょう|To fake illness
掘る|ほる|To dig
元気付く|げんき つく|To get encouraged / To become heightened in spirits
燻る|いぶる|To smoulder / To smoke / To sputter
かくの如く|かくの ごとく|thus, in this way, like this
領主|りょうしゅ|Lord
道中|どうちゅう|Along the way / Journey
注意点|ちゅういてん|Point to make note of / Important point
推定値|すいていち|Estimated value
明記|めいき|Clear writing / Specification
申告|しんこく|Report / Declare / Filing a return
大別|たいべつ|大まかに分類すること。また、大体の区別 / General Classification
郷土愛|きょうどあい|Love for ones hometown
築城|ちくじょう|fortification; castle construction
泣いても笑っても|ないても わらっても|whether you like it or not, no matter what one may do, in any event, at all even
即興演奏|そっきょう えんそう|improvisation (usu. musical), impromptu performance
無彩色|むさいしょく|neutral colour, neutral color, achromatic (colour, color)
逃げ腰|げにげごし|Preparing to flee / Being ready to run away
日和|ひより|Fine weather / Weather
名月|めいげつ|Full moon / Harvest moon
呈する|ていする|To present / To offer / To show / to display / to assume (eg a shape)
その気体は圧縮されてボンベに詰め込まれた。|その きたいは あっしゅくされてに めつめこまれた|The gas was compressed into a gas cylinder
誉れ|ほまれ|Honour
