真摯|しんし|Sincerity / Earnestness
命題|めいだい|Proposition / Thesis (a very subjective one from this guy)
閊える|つかえる|To be blocked / To be obstructed (stuck in the hole)
たりとも　～　ない　Grammar|たりともない|Not even 1
小ぢんまり|こぢんまり|Snugly / Neatly / Cosily / Compactly
入荷|にゅうか|arrival of goods
麻疹|はしか|Measles
私は興奮して固唾をのんだ。|わたしは こうふんして かたずをのんだ|I held my breath in excitement.
泣き潰す|なき つぶす|to cry one's eyes out, to weep oneself blind
駐輪|ちゅう りん|parking one's bicycle
シンクロ||1. synchronization2. synchronized swimming
靖国|せいこく|pacifying the nation
索道|さくどう|cableway, ropeway, aerial lift, cable car
被り物|かぶり もの|1. headgear, headdress2. (novelty) mask, head mask
果物|くだもの|Fruit
既製|きせい|Ready made, ready to wear
きょろきょろ|きょろきょろ|To look around (6 doubler)
清書|せいしょ|a "clean/final copy" of a document, manuscript, or artwork—a polished version fr
彼の病気は過労に因るものです。|かれの びょうきは かろうに よるものです|His sickness is caused by overwork.
便益|べんえき|Convenience / Benefit / Profit
不祥事|ふしょうじ|Scandal, misconduct, disgraceful incidentNuance不祥事
 refers to an incident or eve
欄干|らんかん|Handrail; railing; banister.Nuance:"欄干"
 refers to a handrail or guardrail, typi
愚痴|ぐち|Idle complaint / grumble
意に介さない|いに かいさない|Doesnt care at all / mindless
繊細|せんさい|Fine / Delicate / Feathery
彼は悠々と人生を楽しんでいる|かれは ゆうゆうと じんせいを たのしんでいる|Hes enjoying an easy life
捕縛|ほばく|Arrest / Apprehension / Capture
豊胸手術|ほうきょうしゅじゅつ|Breast augmentation
削り落とす|けずり おとす|to scrape off; to plane off
告る|こくる|shortened form of 告白
生唾|なまつば|saliva (in one's mouth)
見え隠れ|みえ かくれ|appearing and disappearing, slipping in and out of view
圧迫包帯|あっぱくほうたい|pressure bandage
拡散|かくさん|To diffuse
さも|さも|Another word for いかにも (indeed, typical, vintage)
馬にまたがる|うまにまたがる|To sit astride a horse
雷雨|らいう|Thunderstorm (not 雷)
定番|ていばん|Standard (goods, procedure etc) / Product with consistent sales / Staple (of a s
亀裂|きれつ|Crack / Crevice / Fissure (hole in the wall Weapon made for Tifa!)
身代金|みのしろきん|Ransom
滑車|かっしゃ|Pulley
羨む|うらやむ|to envy, to be envious of, to be jealous of
一緒くたに|いっしょくたに|jumbling together, lumping together, mixing up
涅槃|ねはん|1. nirvana, supreme enlightenment2. death, death of Buddha
重点的|じゅうてんてき|prioritized, focused, concentrated, predominant
薬指|くすりゆび|Third finger / Ring finger
うつむく|うつむく|Face downward
老衰|ろうすい|senility, senile decay
お手上げ|お てあげ|All over / Given up hope / Bring to knees
慣れ親しむ|れなれしたしむ|To become familiar with / To get used to
居留守|いるす|Pretending to be out
雑な扱いは困ります|ざつな あつかいは こまります|Please do not handle things roughly
抹殺|まっさつ|Erasure / Denial / Obliteration / Ignoring (an opinion)
一切合財|いっさいがっさい|(yoji) any and every thing; altogether; lock, stock, and barrel; the whole shoot
身命|しんめい|one's life
目尻を下げる|めじりを さげる|1. to look happy, to look pleased2. to make eyes at (someone), to ogle
華やぐ|はなやぐ|to become brilliant, to become cheerful
照れくさい|てれくさい|照れくさい（てれくさい）means "embarrassing," 
"awkward," or "making one blush." It describe
兎にも角にも|にもとにもかくにも|anyhow, anyway, somehow or other, generally speaking, in any case
桁あふれ|けたあふれ|Overflow
加害者|かがいしゃ|Assailant / Offender
入札|にゅうさつ|Bid / Tender
篤学|とくがく|Love of learning
出で立ち|いで たち|Dress / Outfit
しれっと|しれっと|nonchalantly; calmly; as if nothing happened
絞り込む|しぼり こむ|1. to squeeze; to wring out2. to narrow down; to refine
渾然一体|こんぜんいったい|in complete harmony
誇張法|こちょうほう|1. hyperbole2. 誇飾
会館|かいかん|Hall / Chamber
いずれ|いずれ|Someday (いつか）
立ち直る|ちたちなおる|To regain ones footing
盛り返す|りもりかえす|To rally / To make a comeback
摩る|さする|To pat / to stroke / to rub (ones head after crash)
引き寄せる|きひきよせる|To draw or pull something towards oneself (eg chair)
手配書|てはいしょ|wanted poster; wanted person bulletin; search instructions
仏|ほとけ|1. Buddha; Shakyamuni2. Buddhist image; figure of Buddha3. the dead; dead person
教えを乞う|おしえを こう|To seek knowledge / To ask for instruction
履き違える|はき ちがえる|1. to put on (another's shoes by mistake), to put (shoes) on the wrong feet2. to
身ぐるみ|みぐるみ|all one has, all one's possessions
不法投棄|ふほうとうき|unlawful dumping (e.g. of garbage)
携帯型|けいたい がた|Portable (style)
珍道中|ちんどうちゅう|Incident filled journey
凶刃|きょうじん|Assassins dagger
指を鳴らす|ゆびを ならす|To click your fingers (I think...)
呆ける|ぼける|To grow senile / To be mentally slow
行き詰まる|きいきづまる|To reach the limits / to come to the end of ones tether /&nbsp;reach [come to] a
踏み迷う|ふみ まよう|To lose ones way / to go astray
蛇行|だこう|Meandering / Crawling
占拠|せんきょ|Occupation (eg of territory) / exclusive possession
合いの手を入れる|あいの てを いれる|to make a gesture or say something during a break in conversation, playing of so
飛躍する|ひやくする|Jump up / Leap
紛らわしい|まぎらわしい|Misleading / Confusing / Delusive
地点|ちてん|Spot / Point
潜在的|せんざいてき|Potentially
先天的な|せんてんてきな|Native / Innate / Imborn
暴風|ぼうふう|Storm / Windstorm
この製品は付加価値が高い|この せいひんは ふかかちが たかい|This is a high value-added product
引き払う|きひきはらう|to vacate; to move out
縷々綿々|るるめんめん|To go on and on in tedious detail
久遠|くおん|eternity
金平糖|こんぺいとう|konpeitō (por: confeito); small coloured sugar candy covered with tiny bulges
自責の念|じせきの ねん|Guilty conscience / Feelings of remorse
萌黄色|もえぎいろ|light green, yellowish-green
温々|ぬくぬく|1. snugly, cosily, warmly, comfortably2. carefree, easily, safely, without hards
瑕疵|かし|flaw, defect, fault
直帰|ちょっき|returning home directly
血球|けっきゅう|blood cell
排水管|はいすいかん|drainpipe, drainage pipe
それにつけても。。|それにつけても|Be that as it may...
総書記|そうしょき|Secretary-General (esp of communist parties of China / North Korea etc)
内面|ないめん|Inside / Interior
花の博覧会を見に行きました|はなの はくらんかいを みに いきました|I went to see a flower exposition
彼は代議士に立候補した|かれは だいぎしに りっこうほした|He ran for office in the Diet
無垢|むく|Purity
文節|ぶんせつ|Phrase / Clause
阿鼻叫喚|あびきょうかん|agonizing cries; pandemonium; two of Buddhism's hells
奇怪|きかい|strange; wonderful; weird; outrageous; mysterious
お鉢が回ってくる|お はちが まわってくる|it's my turn, the ball is in my court, it's up to me
遊軍|ゆうぐん|reserve corps, flying squadron
頑な|かたくな|obstinate, stubborn, mulish, die-hard, bigoted
膝頭|ひざがしら|kneecap
泣訴|きゅうそ|imploring with tears in one's eyes
惨敗|ざんぱい|To be thrashed / hammered
抵触|ていしょく|Being incompatible with / Conflicting (linux license?)
芸術家は色彩に対する目を持っていなければならない。|げいじゅつかは しきさいに たいする めを もっていなければならない|An artist must have an eye for color
使節|しせつ|Delegate / Ambassador / Minister / Envoy
常勝|じょうしょう|Unbeaten / Invincible
痛み分け|みいたみわけ|Match declared drawn due to injury (sumo)
残響|ざんきょう|Echo / Reverberation
苦悶|くもん|Anguish
愚連隊|ぐれんたい|Gang of young toughs
背徳|はいとく|corruption; immorality; lapse from virtue; fall from virtue
転じて|てんじて|on the other hand
すし詰め|すし づめ|jam-packed, packed in like sardines
当座貸越|とうざ かしこし|overdraft
僅かに|わずかに|Slightly (using word for &quot;few&quot;)
身分|みぶん|Social Position / Social Status
～だに　Grammar|だに|Even, so much asNuance～だに
 is a classical Japanese grammar particle that survive
成否|せいひ|Success or failure
立ち上げる|ちたちあげる|To boot (a computer) / To start something (business, computer etc)
繰り出す|くり だす|1. to draw (a thread), to let out (e.g. a rope)2. to head out as a group, to set
吉兆|きっちょう|lucky omen; good omen
ヤジ||Hooting / Jeering / Heckling
出まかせ|でまかせ|eaking without thinking; words spoken without much thought
三位一体|さんみいったい|1. the Trinity2. three parts, three components, three factors, three aspects
誰得|だれ とく|1. who benefits (from that)?, who cares?, who would want that?, who is it meant 
貯木場|ちょぼくじょう|lumberyard
支出|ししゅつ|Expenditure / Disbursement
説く|とく|Explain / Preach
拮抗|きっこう|Rivalry
次長|じちょう|Deputy [assistant] [general] manager
赴く|おもむく|To go / To proceed
借入れ|かりいれ|Debt
野営|やえい|Camping / Making camp
屈強|くっきょう|Robust / Muscular / Strong / Sturdy
止まり木|まりとまりぎ|(1) perch; (2) barstool
粗忽者|そこつもの|careless person; thoughtless person
宝刀|ほうとう|treasured sword
忖度|そんたく|surmise (about someone's feelings); guess; conjecture
振り乱す|ふり みだす|to dishevel (hair)
日和見|ひよりみ|sitting on the fence, waiting and seeing (how the wind blows), opportunism, stra
目もくれない|めもくれない|indifferent, paying no attention, taking no notice
似て非なる|にて ひなる|falsely similar, counterfeit
潰瘍|かいよう|ulcer
走行距離|そうこうきょり|Mileage / Distance travelled
亡骸|なきがら|Remains, corpse, dead bodyNuance亡骸
 is a word for a dead body or corpse, but it 
幼少|ようしょう|Infancy / Tender age
殺到|さっとう|Rush / Flood / Deluge / Avalance (of phonecalls etc)
羅列|られつ|Enumeration
聞き入る|きき いる|To listen attentively to / To be lost in
妾|そばめ|Kept woman / Mistress (the kidnapped girl by korea)
落雷|らくらい|Thunderbolt / Bold of lightening
テレビの役割は端的に言うと娯楽だと思う|の やくわりは たんてきに いうと ごらくだと おもう|To be frank, I think that the role of TV is for entertainment
適性|てきせい|Aptitude
泣き面に蜂|きになきつらにはち|1. One misfortune comes after another.&nbsp;2. Misfortunes never come alone.3. W
正弦波|せいげんは|sine wave
電界|でんかい|electric field
お寝小|お ねしょ|bed-wetting
隣り合う|となり あう|Adjoin / be next door to each other
粗野（な）|そやな|Vulgar / Rough / Crude / Rugged
乱立|らんりつ|Flood (of candidates)
助太刀|すけだち|Assistance (in a fight) / Seconds (in a fight)
瘡蓋|かさぶた|Scab / Crust
逸材|いつざい|Outstanding talent
先方|せんぽう|&nbsp;(1) companion; other party (side); he; she; they; (2) destination; (3) per
平屋|ひらや|bungalow; one-story house
胸が熱くなる|むねが あつくなる|to become fraught with emotion
なすりつける|なすりつける|To blame another
改宗|かいしゅう|1. religious conversion2. 改宗
略図|りゃくず|Outline / Sketch / Rough Map
雪崩|なだれ|Avalanche
ビー玉|びーだま|Marble (as in the small balls!)
そそり立つ|そそり たつ|to rise (steeply), to tower, to soar
血の気が引く|ちの けが ひく|to go pale, to grow pale, to lose color, to turn white
火床|ひどこ|fire bed, fire grate
細字|さいじ|small type or handwriting
文章|ぶんしょう|Sentence
本性|ほんしょう|True character, real nature
粘土|ねんど|Clay
彼は何しろよくしゃべります。|かれは なにしろよくしゃべります|Anyway, he talks a lot.
隠し持つ|しかくしもつ|To carry (something) under cover
籠|かご|Basket / Cage
鳧を付ける|けりを つける|to settle; to finish; to bring to an end
伸び悩む|びのびなやむ|to be sluggish (business); to make little progress; to not grow as much as expec
凡庸|ぼんよう|mediocre; ordinary; commonplace; banal
蔵|くら|Warehouse / Storehouse / Cellar
落とし込む|おとし こむ|to apply (concepts, ideas, etc. to specific processes or methods) /&nbsp;to take
骨董|こっとう|antique
決定論的|けっていろんてき|deterministic (computer code)
べそをかく|べそをかく|to be ready to cry, to be on the point of tears
百足|むかで|centipede
売り圧迫|りうりあっぱく|selling pressure
立冬|りっとう|First day of winter
削る|けずる|Shave / Chip / Sharpen / Shorten
問屋|とんや|wholesale store, wholesaler
寛ぐ|くつろぐ|To relax / To feel at home
有償|ゆうしょう|For profit / Non free (software) / Compensation
要件　again|ようけん|Requirement - as in business requirement, user requirement
紫外線|しがいせん|Ultra-violet rays
校長先生は子供たちに慕われています|こうちょうせんせいは こどもたちに したわれています|The children are very attached to the headmaster
追徴課税|ついちょうかぜい|Additional tax
首尾よく|しゅびよく|Successfully / With success
忌み嫌う|みいみきらう|to detest; to abhor; to loathe
彫師|ほりし|tattoo artist; tattooist
例える|たとえる|Compare / Liken
日本では夫婦同姓が一般的よ。|にっぽんでは ふうふ どうせいが いっぱんてきよ|It's common in Japan for a married couple to have the same family name.
非常警戒|ひじょうけいかい|Special guard
名手|めいしゅ|Expert
足袋|たび|Japanese Socks with split toe
目深|まぶか|Wearing low over ones eyes (a coat hood!)
眉を顰める|まゆを しかめる|To frown / To scowl
ふわりと|ふわりと|Softly / Gently / Lightly
一か八か|かいちかばちか|Sink or swim / high stakes / desperate
お膳立て|お ぜんだて|Setting the table / Preparation
無私|むし|Unselfish / Selflessness
鉈|なた|Wide blade knife (similar to machete but not so large)
永らえる|ながらえる|to have a long life; to live a long time
雑居|ざっきょ|1. living together, mixed residence, sharing living quarters2. multi-tenant, com
予約語|よやくご|reserved word, keyword
調達先|ちょうたつ さき|supplier
合同|ごうどう|Combination / Incorporation / Merger
月謝|げっしゃ|Monthly Fee
のろのろ|のろのろ|Slowly, easy
強豪|きょうごう|Powerful / Excellent player
箇所|かしょ|Point / Part / Place (especially the part I wrote last night)
日誌|にっし|ANOTHER word for &quot;diary&quot;, &quot;journal&quot; -- think Taxi daily jour
物議|ぶつぎ|Public discussion / Contraversy
誘惑|ゆうわく|Temptation / Allurement / Seduction
見下す|みくだす|見下す（みくだす）means "to look down on," "to 
condescend," or "to treat with contempt."
集結|しゅうけつ|Massing (of troops) / Gathering
袴|はかま|Kanji for Hakama (the guys clothes)
象る|かたどる|To model on / To make in the shape of / To represent / To pattern after / To imi
面持ち|おももち|Expression / Look / Counterance / Face
