業界動向|ぎょうかいどうこう|Industry trend
ふとっちょ|ふとっちょ|Fat person
結集|けっしゅう|Concentration / Regimentation (of troops)
あくび|あくび|Yawn
乗り出す|りのりだす|lean forward, embark on
教育機関|きょういくきかん|Educational Institution
憔悴|しょうすい|Wasting away / tiredness / haggardness / emaciation
バツ||cross, x-mark (marking exam?)
部分的に|ぶぶんてきに|Partially ~
内容種別|ないようしゅべつ|content type
二等の|とうの|Second class (second mate)
視点|してん|Viewpoint
令状|れいじょう|Warrant / Summons / Written order
演壇|えんだん|Platform / Podium / Stage
余裕|よゆう|Margin / Room (think time, having enough margin for error)
見極める|みきわめる|To make sure of / To see through
彼は体格ががっしりしている|かれは たいかくががっしりしている|He has a stocky physique
念には念を入れる|ねんには ねんを いれる|to be extremely cautious; to be as sure as sure can be; to make assurance doubly
空論|くうろん|abstract or impracticable theory
言い淀む|いいいよどむ|to hesitate to say
書類はこのファイルにとじてください。|しょるいはこのにとじてください|Put the documents in this file.
不倫相手|ふりんあいて|Person with whom one is having an illicit love affair
定理|ていり|Theorem / Proposition
滑らせる|すべらせる|To let something slip (let your mouth slip!)
飽き性|あき しょう|Fickle nature / flighty temperament / inconstant person
手並み|てなみ|Skill
太鼓腹|たいこばら|potbelly, paunch
火元|ひもと|origin of a fire
推定|すいてい|Presumption / Assumption / Estimation
日帰り|ひがえり|A day trip
私は顔を窓に近付けたんだ。|わたしは かおを まどに ちかづけたんだ|I brought my face close to the window.
彼らは村を洪水から守るために堤防を補強した|かれらは むらを こうずいから まもるために ていぼうを ほきょうした|They strengthened the embankments to secure the village against floods
業況|ぎょうきょう|Condition of industry / enterprise etc
オレンジの濃縮ジュースを買ってきました|の のうしゅくを かってきました|I bought some concentrated orange juice
頭脳明晰|ずのうめいせき|Clear-headed
フクロウは縁起がいい鳥と言われている|は えんぎがいい とりと いわれている|It is said that an owl is a good omen
気にかける|きにかける|To weigh on ones mind / To trouble ones heart / To be concerned about
濃厚|のうこう|Tension / Concentration / Density (So much news of Pelligrini to come in)
彼は幽閉の身だ|かれは ゆうへいの みだ|He is confined
垢|あか|Dirt / Filth / Grime
無駄遣いを親に叱られたよ。|むだづかいを おやに しかられたよ|My parents reproached me for being wasteful.
汽船|きせん|Steamship
横流し|よこながし|diversion into illegal channels; putting on the black market; selling through il
６割です|わりです|Its 6 out of 10 (chance of success? Orange Days)
ケツ||Ass / Arse
酔いしれる|よいしれる|To be intoxicated with / To be drunk with (power maybe, etc)
塵|ちり|Litter / Rubbish / Trash
捻じれる|ねじれる|To get entangled / become complicated / be twisted
指笛|ゆびぶえ|whistling through one's fingers, whistle made by sticking one's fingers in one's
熱湯|ねっとう|Boiling Water
夜更かし|よふかし|Staying up late at night
秘訣|ひけつ|The secret / The key (to something)
集計|しゅうけい|To aggregate / tally (eg votes) / Totalization
隣接|りんせつ|Adjoin / Adjacent / Related
出刃包丁|でばぼうちょう|Knife / Pointed carver
満喫する|まんきつする|To enjoy something (think, after being unable to do something for a long time)
よける (another meaning)|よける|avoid, evade
公示する|こうじする|To announce (the election!)
鳥が小枝を銜えて飛んでいった|とりが しょう えだを くわえて とんでいった|The bird was flying with a twig in its mouth
彼女、飲みっぷりがいいね。相当、酒に強いんだろう。|かのじょ のみっぷりがいいね そうとう さけに つよいんだろう|Shes drinking quickly. She must be able to drink a lot. (飲む様子)
彼は驚いてぽかんとしている|かれは おどろいてぽかんとしている|He was flabbergasted
開花|かいか|Blooming / showing results / becoming popular
膠着|こうちゃく|Stalemate / Deadlock
古巣|ふるす|Old haunts / Former homes
遅配|ちはい|delay in rationing
アスペ||アスペルガー症候群 /&nbsp;aspie; autist; autistic person
その国には物資の援助が必要です。|その くにには ぶっしの えんじょが ひつようです|That country needs substantial aid.
道に土の塊ができてたよ。|みちに どの かたまりができてたよ|A clump of earth had formed on the road.
内科|ないか|Internal medicine
却下|きゃっか|Rejection / Dismissal (of a patent application)
たじろぐ|たじろぐ|To falter / To wince
なりとも　Grammar|なりとも|At least (a little bit) of A (usually a small amount)Implies that more would be 
船舶の操縦には免許が必要です|せんぱくの そうじゅうには めんきょが ひつようです|You need a license to control a ship
