気の置けない|きの おけない|"Easy to be with" / "Comfortable (without reserve)" / "Trustworthy"
立派なX染色体と小さいなY染色体をつくづく見ていると、女性の方が丈夫に決まっていると思う。|りっぱな  せんしょくたいと ちいさいな  せんしょくたいをつくづく みていると じょせいの ほうが じょうぶに きまっていると おもう|When I closely observe the magnificent X chromosome and the small Y chromosome, 
彼はいかなる忠告にも耳を貸さなかった。|かれはいかなる ちゅうこくにも みみを かさなかった|He didn't lend an ear to any kind of advice.
終身雇用、年功序列といった日本の伝統的雇用形態が崩れつつある。|しゅうしんこよう ねんこうじょれつといった にっぽんの でんとうてき こよう けいたいが くずれつつある|Japan's traditional employment practices, such as permanent employment and senio
使用して機種及びソフトウエアを表1に示す。|しようして きしゅ およびを ひょう に しめす|The computer models and software we used are listed in Table 1.
当代随一の知性人である彼にしてからが、恋愛にたぶらかされている。|とうだいずいいちの ちせい じんである かれにしてからが れんあいにたぶらかされている|Even he, the greatest intellectual of the day, was deceived by love.
世界一週と言うからには、経度の基準点であるグリニッジ天文台から出発しようと決め込んだ。|せかい しゅうと いうからには けいどの きじゅんてんである てんもんだいから しゅっぱつしようと めきめこんだ|Because I was going to travel around the world, I decided to start my trip from 
あなたに私の個人的なことを話したのはあなたの将来に多少役立つかと思ったまでのことです。|あなたに わたしの こじんてきなことを はなしたのはあなたの しょうらいに たしょう やくだつかと おもったまでのことです|The reason I told you about my personal matters is just because I thought it wou
通訳の失敗談は、話として聞いている分にはおかしいものが多いが、中には深刻すぎて笑うに笑えないものもある。|つうやくの しっぱいだんは はなしとして きいている ぶんにはおかしいものが おおいが なかには しんこくすぎて わらうに わらえないものもある|Tales of blunders by interpreters are mostly laughable incidents when heard as a
腫瘍が悪性である恐れがある。|しゅようが あくしょうである おそれがある|The tumor may be malignant.
来週の金曜日午後6時から拙宅で夕食会をしますので、お知らせいたします。なお、ご都合のつかない方はお電話下さい。|らいしゅうの きんようび ごご  じから せったくで ゆうしょく かいをしますのでお しらせいたしますなおご つごうのつかない ほうはお でんわ ください|Let me inform you that there will be a dinner at my residence starting at 6:00 p
彼はあたかも自分が上司であるかのように私に仕事を言いつける。|かれはあたかも じぶんが じょうしであるかのように わたしに しごとを いいつける|He gives me assignments as if he were my boss.
彼女の演奏は一音としておろそかに弾かれることはなく、どの曲も聞く者に深い感銘を与えないではおかない。|かのじょの えんそうは おととしておろそかに ひかれることはなくどの きょくも きく ものに ふかい かんめいを あたえないではおかない|In her performances, she never plays a single note carelessly, and no matter wha
最後の一章はやや蛇足とも思えるが、そのエピソードは読んでいて気分がいい。ということは、あながち蛇足とは言えないということか。|さいごの いっしょうはやや だそくとも おもえるがそのは よんでいて きぶんがいいということはあながち だそくとは いえないということか|I felt like the last chapter wasn't quite necessary, but it feels good to read i
私は少しくらしい高くたって、質のいいものを買うことにしている。|わたしは すこしくらしい たかくたって しつのいいものを かうことにしている|I make it a rule to buy good quality things even if they are a little more expen
我がチームは出だしは好調だったものの、夏場で失速し、シーズンが終わってみれば、勝率5割を切るという不本意な成績に終わった。|わがは でだしは こうちょうだったものの なつばで しっそくしが おわってみれば しょうりつ  わりを きるという ふほんいな せいせきに おわった|Even though our team started off well, we lost momentum over the summer, and whe
肝臓を患って以来、酒をやめている。|かんぞうを わずらって いらい さけをやめている|I've stopped drinking since I had my liver problem (lit., suffered from liver (d
当地区には、言わば幽霊人口である非合法居住者が7-10万人いますが、この人たちは補助金対象外となります。|とう ちくには いわば ゆうれいじんこうである ひごうほう きょじゅうしゃが   まん にんいますがこの ひとたちは ほじょきん たいしょうがいとなります|In this disctrict there are 70,000 to 100,000 illegal residents, who form, as it
なまじっか物を知ってる人よりは全然知らない人の方が、「知らないことを知る楽しみ」を感じられると思う。|なまじっか ものを しってる ひとよりは ぜんぜん しらない ひとの ほうが しらないことを しる たのしみを かんじられると おもう|I think that a person who knows nothing can feel "the joy of discovery (lit., of
彼は頭もよくて、仕事もばりばりやるけど、八方美人のきらいがあるね。|かれは あたまもよくて しごともばりばりやるけど はっぽうびじんのきらいがあるね|He is sharp and works furiously, but he has a tendency to try to be everything t
汲めども尽きぬ泉のように、彼は次々と美しい曲を書き続けた。|くめども つきぬ いずみのように かれは つぎつぎと うつくしい きょくを かき つづけた|Just like a spring which never dries up no matter how much water is taken out, h
姉は何事にも堅実なタイプなのにひきかえ、妹は奔放なタイプだ。|あねは なにごとにも けんじつななのにひきかえ いもうとは ほんぽうなだ|My older sister is the type who's steady in any situation, while my younger sist
人形がほこりをかぶったなりで棚に乗っかっている。|にんぎょうがほこりをかぶったなりで たなに のっかっている|The doll sits on a shelf, covered with dust.
彼の考えていることはおよそ想像がつく。|かれの かんがえていることはおよそ そうぞうがつく|I can make a fairly good guess about what he's thinking.
大学を出てすぐ就職するのがいいか悪いかは一概に言えない。|だいがくを でてすぐ しゅうしょくするのがいいか わるいかは いちがいに いえない|One cannot always tell whether or not betting a job right after graduation is go
