胆嚢|たんのう|肝臓で作られた胆汁を貯める内臓器官。医学用語。「胆嚢炎」などの形で使う。
胎児|たいじ|「胎児」は、母体内で発育中の子供を指す医学用語です。妊娠期の人間の生命体を客観的に表現する言葉で、出生前の段階にあることを強調します。「赤ちゃん」よりもフォーマルで医学的・法的な響きがあり、妊娠中の健康管理や医療の文脈で使用されます。
胎内|たいない|母親の体内の、胎児がいる場所を指します。医学や生物学の文脈で使われる言葉です。
胎動|たいどう|母親の子宮内で胎児が動くこと、またはその動きを指します。妊娠後期になると母親が感じられるようになります。比喩的に新しい動きの兆しにも使われます。
胎盤|たいばん|「胎盤」は、妊娠中に子宮内で形成される器官で、母体と胎児の間で酸素や栄養素の交換を行う役割を担います。医学用語であり、日常会話よりも医療や出産に関する文脈で使われます。近年では「胎盤を食べる」「胎盤化粧品」など、サプリメントや美容業界でも話題になることがありますが、基本的には専門的な言葉です。
胚|はい|「胚」は、生物の発生初期段階における個体を指します。受精卵が細胞分裂を繰り返して器官が形成される前の状態です。
胞子|ほうし|「胞子」は菌類やシダ植物などが繁殖のために作る微細な細胞です。種子とは異なり、非常に小さく空気中に漂って増えます。カビやキノコの繁殖に関連して使われる生物学用語で、最近では「The Last of Us」のような作品で一般にも知られるようになりました。
胡散臭い|うさんくさ|見た目や雰囲気から何か怪しくて信用できない感じを表すカジュアルな形容詞。「うさんくさい」と読むのが一般的で、詐欺まがいの人物やあやしい勧誘などに使います。
胡麻|ごま|「胡麻」は、料理の香り付けや飾りに使われる小さな種子です。すり胡麻、胡麻油、胡麻和えなど、日本料理に欠かせない食材です。日本語のことわざに「胡麻をする」（お世辞を言う）という表現もあります。
胡麻擂り|ごます|胡麻擂りは「お世辞を言って上司や権力者に取り入る人」を意味する俗称です。元々は「胡麻を擂る」という動作から、すり寄って粉々にする様子が、機嫌を取る様子に例えられました。非常にカジュアルでやや軽蔑的なニュアンスを含む言葉です。
胴上げ|どうあ|「胴上げ」は、複数の人が一人の人の胴体を支えて上に放り上げる動作を指します。特に日本では、スポーツの優勝や何かめでたいことを祝って行われる伝統的な儀式です。特定の文化的文脈で使われる名詞です。
胴体|どうたい|「胴体」は、人体や動物の体幹部分、つまり頭と手足を除いた中心部分を指します。日常会話から解剖学まで幅広く使われ、比較的ストレートな表現です。
胴回り|どうまわ|「胴回り」は、体の胴の部分の周囲の長さや太さを指します。主にウエスト周りの寸法を測る際に使われ、洋服のサイズや健康管理の文脈で登場します。体型に関するやや直接的な表現です。
胴着|どうぎ|「胴着（どうぎ）」は、主に武道（柔道、剣道など）で着用する上衣のことを指します。また、和服の下に着る肌着や、作業着としての綿入れ半纏も「胴着」と呼ばれます。武道の胴着は丈夫な綿で作られ、激しい動きに耐えるよう設計されています。
胴長短足|どうながたんそく|胴が長くて足が短い体型のこと。からかいや自嘲のニュアンスで使われることが多い。
胸|むね|体の前面で首と腹の間の部分のことです。また、心や感情の比喩としても使われます。
胸が熱くなる|あつ|感動や感激で心が温かくなること。感動的な場面や人の優しさに触れたときの感情を表す慣用表現です。
胸を打つ|う|人の心に強く訴えかけ、深い感動や共感を与えることを意味する慣用表現です。美しい風景、感動的な話、心に響く音楽などに使われます。
胸を撫で下ろす|お|
胸中|きょうちゅう|「胸中」は、その人の心の中や内心の思いを指します。表に出さない心の内面や、言葉にできない複雑な感情を表す、やや文語的で格調高い表現です。
胸倉|むなぐら|「胸倉」は、衣服の胸の部分、特に襟元を指します。胸倉を掴むという形で、相手を叱責する時の動作として使われることが多いです。
胸板|むないた|胸の前部、特に厚みや筋肉を強調する際に使われる言葉です。男性の頑丈な体つきを評価する場面でよく登場します。
胸焼け|むねや|「胸焼け」は、胃酸が逆流して胸や喉が焼けるように感じる症状。食べ過ぎや脂っこいものの摂取で起こる。市販薬も多数ある。消化器系の不調を表す代表的な症状名。
胸筋|きょうきん|「胸筋」は、胸の筋肉、特に大胸筋を指します。筋トレやボディビルの文脈でよく使われます。
胸算用|むなざんよう|頭の中でだいたいの見積もりや予想をすることです。特に利益や収入を予想する場面で使われ、その予想が外れることを「胸算用が外れる」と言います。
胸躍る|おど|「胸躍る」は、期待や喜びで心が高鳴る様子を表します。良い出来事を前にして、興奮や幸福感で胸がドキドキする感覚を指します。旅行やデート、新しい挑戦など、ポジティブな場面で使われる表現です。
胸騒ぎ|むなさわ|「胸騒ぎ」は何か悪いことが起きそうな予感として、胸がざわつく不安な感覚を指します。根拠のない不安や嫌な予感に使います。
能う|あた|能う（あたう）は、「できる」「可能である」という意味の古語・文語の動詞です。現代では「能う限り」という形で決まり文句的に残っています。
能は元々大衆の文化でした。|ぶんか|大衆（たいしゅう）は、社会の大多数を占める一般の人々を指します。社会的地位や専門性に関係なく、普通の人々の集合を意味します。大衆向けの商品や芸術など、幅広い層をターゲットにしたものに使われます。
能動|のうどう|自分から進んで行動する様子。受動の対義語。文法用語としても使われる。
能天気|のうてんき|のんきで心配性でなく、楽観的すぎる人を指すやや軽蔑的な言い方。
能弁|のうべん|「能弁」は、話し方が巧みで弁舌が立つことを意味します。良い意味でも使えますが、やや「口達者」に近いニュアンスで、言葉だけで実質が伴わない可能性を暗示することもあります。フォーマルな文章で使われる硬い言葉です。
能書き|のうが|自分の商品や能力について大げさに自慢したり、効能を並べ立てることを指す名詞で、やや皮肉や否定的なニュアンスがあります。「能書きを垂れる」という形でよく使われます。
能無し|のうな|能力がない人や役に立たない人を指す、強い軽蔑を含んだ罵倒語です。非常に失礼な表現です。
能率|のうりつ|
能面のような顔|かお|「能面のような顔」は、表情がまったくなく、何を考えているのかわからない無表情な顔を指す慣用表現です。能面は日本の伝統芸能「能」で使われる仮面で、表情が固定されています。そこから転じて、人間の顔がまるで仮面のように動かない様子を描写します。感情を読み取らせたくない場面や、恐怖で固まった場面などで使われます。
脂|あぶら|「脂」は、動物や植物に含まれる油分のことで、特に動物の脂肪を指すことが多いです。料理の文脈では「脂の乗った魚」のように美味しさを表現する一方、「脂っこい」のように否定的にも使われます。
脂肪|しぼう|生物の体内に蓄えられる栄養素の一種を指します。健康や美容、食品の話題でよく使われる日常的な言葉です。
脂身|あぶらみ|肉の脂肪の多い部分を指し、料理の際に扱われる食肉の部位です。
脅かす|おびや|「脅かす」は、恐怖や不安を与えて相手を威圧することです。物理的な脅しから精神的な恐怖まで幅広く使います。
脅す|おど|相手に恐怖を感じさせて、何かをさせようとする行為を意味します。物理的な危険や不利益をほのめかす場合に使われ、非常にネガティブな意味合いを持ちます。
脅迫的な|きょうはくてき|弓矢の練習などで狙う目標のことです。また、比喩的に目標や目的を指すこともあります。
脅迫罪|きょうはくざい|「脅迫罪」は、人を脅して恐怖させたり、要求を飲ませようとする行為を罰する刑法上の罪名です。日本の法律用語で、ニュースや法廷の文脈で登場します。一般的な「脅迫」よりも具体的に法律違反としての意味合いが強いです。
脅迫電話|きょうはくでんわ|相手を脅す内容の電話のことを指します。犯罪や事件のニュースでよく使われるややフォーマルな言葉です。
脆い|もろ|物理的に壊れやすかったり、精神的に弱かったりすることを表します。物の強度不足や人間の感情の弱さの両方に使える表現です。
脆弱|ぜいじゃく|「脆弱」は、壊れやすくて弱いこと。物理的な強度不足から、システムのセキュリティホール（脆弱性）、精神的な弱さまで幅広く使われる。ITセキュリティの文脈で特に頻出。
脆弱性|ぜいじゃくせい|弱くて壊れやすい性質や状態を指します。ITセキュリティの分野で特に頻繁に使われ、システムやソフトウェアの欠陥を意味します。
脇|わき|胸の横、腕の付け根の下の部分を指します。また、「脇に置く」のように「そば」という意味でも使います。
脇が甘い|あま|「脇が甘い」は、相撲や柔道で相手に脇（わき）の下を取られやすい状態を指す専門用語から転じて、「防御が甘い」「隙が多い」という意味でも使われます。比喩的にビジネスや議論などでも使えます。
脇役|わきやく|
脇役に甘んじる|あま|「脇役に甘んじる」は、主役や中心的な立場を望まず、補佐的な役割に満足することを意味します。控えめな姿勢や自己犠牲的な態度を表す表現です。
脇目も振らず|ふ|他のことには目もくれずに一つのことに集中する様子。脇見もせずに。
脇腹|わきばら|体の胴体部分の横側、特に腰の上の部分を指します。医学的にも日常的にも使われる言葉です。
脇見|わきみ|前方以外の方向を見ることで、特に運転中の「脇見運転」が最も一般的な用法です。注意力散漫で危険を招く行為としてネガティブに使われます。
脇見運転は危険です|きけん|前方以外の方向を見ることで、特に運転中の「脇見運転」が最も一般的な用法です。注意力散漫で危険を招く行為としてネガティブに使われます。
脈|みゃく|「脈」は、血管の拍動や鉱脈などの意味を持ちます。比喩的には「脈がある」「脈がない」のように可能性や見込みを表す用法もあります。
脈々|みゃく|脈々は、途切れることなく長く続いているさまを表す副詞的な表現です。本来は脈拍が規則正しく打ち続ける様子を指しますが、比喩的に伝統や文化、流れなどが絶えることなく受け継がれている状態を描写するのに使われます。「脈々と受け継ぐ」「脈々と流れる」のような形で用いられ、荘厳で持続的な印象を与えます。
脈動|みゃくどう|心臓の拍動のように、規則正しく波打つ動きのことです。生物や機械のリズムを表します。
脈打つ|みゃくう|「脈打つ」は心臓の鼓動や血管の拍動を指します。脈拍が規則正しく打つ様子を表し、生命活動の象徴としても使われます。比喩的に「街が脈打つ」（活気がある）のようにも使われます。
脈拍|みゃくはく|「脈拍」は、心臓の拍動によって血管に伝わる拍動のことです。健康状態を測る基本的な指標で、病院や健康管理の場面で使われます。安静時の正常値は成人で1分間に60〜100回程度です。
脈絡|みゃくらく|
脊髄|せきずい|「脊髄」は、背骨の中を通る神経の束で、脳と体の各部をつなぐ重要な組織です。「脊髄反射」という言葉は、思考を介さず瞬間的に反応することの比喩としても使われます。
脚本|きゃくほん|「脚本」は、演劇や映画、テレビドラマなどの台本を指します。セリフやト書き、場面設定などが書かれています。
脚注|きゃくちゅう|脚注は、文章の本文に対する補足説明をページの下部に記載する形式を指します。学術論文や書籍でよく使われる引用・注釈の方法です。
脚色|きゃくしょく|「脚色」は、小説や事件などを元に、演劇や映画などの作品に作り変えること。また、事実を誇張したり飾ったりして話を作ること。やや硬い表現で、創作やメディアの文脈で使われる。
脛|はぎ|「脛（すね）」は膝から足首までの脚の前面部分を指します。けがをしやすい場所で、「脛をぶつける」などの表現で使われます。また、「脛に傷を持つ」という慣用句でも知られています。
脛齧り|すねかじ|「脛齧り」は、親や他人の経済的援助に頼って生活している人を指す俗語です。文字通り「脛をかじる」という意味で、親に寄生する成人した子供を批判的に表現します。
脱ぎ捨てる|ぬぎす|「脱ぎ捨てる」は、着ている衣服を素早く脱いで、その場に置き去りにすることを意味します。急いで脱ぐ様子や、だらしなく脱ぎ散らかす様子を表すことが多いです。
脱ぎ散らかす|ち|脱いだ服などを片付けずに、その辺に散らかしたままにすることを意味します。特に部屋の中で服を脱ぎっぱなしにする様子を表します。
脱ドル化|か|「だつどるか」と読み、国際経済において米ドルへの依存度を下げ、別の通貨や資産に移行する動きを指します。経済・金融ニュースで使われる専門用語です。
脱会|だっかい|所属していた組織や団体から抜けることを意味します。ややフォーマルな表現です。
脱兎のごとく|だっと|
脱力感|だつりょくかん|体や心から力が抜けて、何もする気が起きない状態を指します。疲労やショック、呆れなどが原因で起こります。
脱却|だっきゃく|悪い状態や習慣から抜け出すこと。そこから逃れて自由になること。
脱字|だつじ|「脱字」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
脱帽|だつぼう|帽子を脱ぐことです。また、相手の優れた技術や業績に対して敬意を表して「脱帽する」という慣用表現で使われます。
脱構築|だつこうちく|哲学や文学批評の用語で、従来の概念や構造を解体して新たに捉え直すことを意味します。難しい学術的概念です。
脱水症状|だっすいしょうじょう|「脱水症状」は、体内の水分が不足して起こる様々な症状の総称です。めまい、吐き気、倦怠感などが現れます。医学用語ですが、日常でも熱中症の注意喚起などでよく耳にします。夏場やスポーツ時に特に注意が必要です。
脱獄|だつごく|「脱獄」は、刑務所や拘置所から囚人が逃げ出すことを指します。犯罪や事件のニュースで使われることが多く、非常にセンセーショナルな響きのある語です。
脱皮する|だっぴ|「脱皮する」は、ヘビや昆虫などが古い皮を脱ぎ捨てて新しい皮になること、転じて古い状態から新しい状態へ生まれ変わる比喩としても使われます。
脱税|だつぜい|「脱税」は、法律で定められた税金を納めずに逃れる違法行為を指します。所得を隠したり、架空の経費を計上するなどの不正な方法で税負担を免れることを意味します。法律違反であり、発覚すると追徴課税や刑事罰の対象になります。「節税」（合法的に税負担を減らすこと）とは明確に区別されます。
脱線|だっせん|電車や汽車が線路から外れることを指します。また、比喩的に話や議論が本来のテーマからそれてしまうことにも使われます。
脱色|だっしょく|色を取り除いて白くしたり薄くしたりする化学的な処理を指します。髪の毛や布地などに使われることが多いです。
脱落する|だつらく|「脱落する」は、競争や進行中の過程から落ちこぼれたり、途中で離脱したりすることを意味します。試験や競技、選抜などの場面でよく使われます。能動的に辞めるというより、基準に達せずに結果的に外れるニュアンスが強いです。
脱衣|だつい|「脱衣」は、衣服を脱ぐ行為を指します。主に「脱衣所」「脱衣場」という複合語で使われ、単独で使われることは少ないやや硬い語です。
脱退|だったい|今まで所属していたグループや組織から離脱すること。政党・団体・クラブ・条約などからの離脱を指す。単なる「辞める」より正式で、組織からの離脱を宣言するニュアンス。
脳たりん|のう|頭が足りない人を罵倒する俗語で、かなり乱暴で侮辱的な表現です。「脳が足りない」が縮まった表現で、冗談交じりに使うこともありますが、基本的には失礼な言葉です。
脳の病気は何の前触れもなく起こる事が多い|おお|この文は「脳の病気は前触れなく突然発症することが多い」という医学的な事実を述べた表現。硬い文章で、説明や警告の場面で使われる。「前触れ」は「予兆」の意味。
脳内お花畑|はなばたけ|「脳内お花畑」は、現実的でなく楽観的で、浮世離れした考え方を皮肉るネットスラングです。
脳卒中|のうそっちゅう|「脳卒中」は、脳の血管が詰まったり破れたりして脳組織が障害される病気の総称です。医学的に「脳梗塞」「脳出血」「くも膜下出血」に分類されます。
脳味噌|のうみそ|脳のことをやや砕けた言い方で表す言葉です。比喩的に頭脳や知力の意味でも使われます。
脳天|のうてん|「脳天（のうてん）」は、頭のてっぺん、頭頂部を指す言葉です。「脳天をぶち抜く」「脳天気（のうてんき）」などの複合語でも使われます。日常的な「頭のてっぺん」よりややハードボイルドな響きがあり、アクションシーンなどの衝撃的な描写で使われることが多いです。
脳梗塞|のうこうそく|「脳梗塞」は、脳の血管が詰まることで脳細胞が死滅する病気で、脳卒中の一種です。緊急を要する重篤な疾患で、早期発見と治療が後遺症を軽減する鍵となります。高血圧や糖尿病などの生活習慣病がリスク因子とされています。医療ニュースなどでよく見かける医学用語です。
脳死|のうし|脳の機能が完全に停止した状態のことで、医学的な死の定義の一つです。医療や倫理の話題で使われるフォーマルな言葉です。
脳漿|のうしょう|「脳漿」は、脳脊髄液（脳や脊髄を満たす液体）を指す医学用語で、「のうしょう」と読みます。俗に「脳みそ」を意味することもあります。医学的な文脈や、衝撃的な事件報道（「脳漿を撒き散らす」のような表現）で使われることがあります。日常会話で使われることはほとんどなく、文学作品や医療ドラマ、ホラー作品などで見かけることがある程度です。非常に硬い専門用語です。
脳筋|のうきん|考えるよりも先に体を動かすタイプの人を指す俗語で、やや軽蔑的またはからかうニュアンスがあります。筋肉はあるが頭脳は伴わないという意味合いで、主にネットスラングや砕けた会話で使われます。
脳裏|のうり|頭の中、心の中。記憶やイメージが思い浮かぶ場所としての「脳裏」。
脳震盪|のうしんとう|「脳震盪」は頭部に強い衝撃を受けて脳が一時的に機能障害を起こす状態です。スポーツや事故でよく起こります。医学用語で、軽度の場合は安静にすれば回復しますが、繰り返すと深刻な後遺症のリスクがあります。
脳髄|のうずい|脳と脊髄、または脳そのものを指す医学的・文語的な語。「脳髄に染み込む」のように、深く刻まれることの比喩にも使われる。
脹脛|ふくらはぎ|足の膝から足首の間の後ろ側のふくらんだ部分。筋肉の名称。
脾臓|脾臓[ひぞう]|体内の臓器の一つで、左脇腹のあたりにあります。リンパ系の器官で、古い赤血球を処理する働きを持ちます。日常会話では「脾臓が痛い」など体調の話で出てくる程度で、胃や肝臓ほど頻繁には登場しない語です。
腎臓|じんぞう|「腎臓」は、体内の老廃物をろ過して尿として排出する臓器です。腰の辺りに左右一つずつあり、健康維持に欠かせない重要な内臓です。医療や健康の話題でよく登場します。
腐るほど|くさ|非常に多くの量があること。腐ってしまうほど沢山あるという比喩的な表現。
腐れ縁|えん|腐れ縁は、切ろうと思ってもなかなか切れない、良くない関係を指します。文字通りには「腐った縁」という意味で、互いに害し合っているにもかかわらず、何らかの理由で離れられない人間関係を表します。恋人同士の倦怠期の関係や、相性が悪いのに仕事上の付き合いが続く間柄などに使われます。少し切なくて、諦めにも似たニュアンスを含む言葉です。
腐れ金|がね|「腐れ金」は少額の金銭を卑しめて言う表現で、「雀の涙ほどの金」というニュアンスです。もともとは腐って使い物にならない金銭という意味から転じました。やや古風な表現です。
腐女子|ふじょし|「腐女子」はボーイズラブ（BL）作品を好む女性を指す俗語です。「腐る（女が使えない）」と「女子」を掛けた自虐的な造語で、自分たちを揶揄して使います。同人誌やオタク文化の文脈で用いられる言葉で、公の場では避けるべきです。
腐心|ふしん|「腐心（ふしん）」は、物事をうまく進めるためにあれこれと心を悩ませ、努力を重ねることを意味します。「腐心する」という形で使われ、特に困難な問題に対して頭を悩ませ、最善の方法を模索するニュアンスを含みます。やや硬い書き言葉で、ビジネス文書や報道で見られます。
腐敗する|ふはい|有機物が微生物によって分解されて悪くなること。また、組織や社会の道徳が堕落する比喩としても使う。
腐肉食|ふにくしょく|死んだ動物の肉を食べること、またはそのような食性を持つ生物のこと。ハイエナやハゲワシなどが代表例。生物学の分野で使われる専門用語で、生態系の分解者としての役割を指す。
腐臭|ふしゅう|ものが腐った時の嫌な匂いのこと。生ごみや死骸などから発せられる強烈な悪臭を指し、不快感を強く伴う表現です。
腐蝕|ふしょく|「腐蝕」は金属や物質が化学的に徐々に破壊される現象を指します。錆びや酸性雨などの文脈で使われる専門用語で、日常会話では「錆びる」や「腐食」と言う方が一般的です。「腐蝕」は「腐食」と同義ですが、やや文語的で専門性が高い印象です。
腐食|ふしょく|「腐食」は、金属や物質が化学反応によって徐々に劣化・損傷することを指します。錆びることや酸による浸食などが代表例で、工業や化学の分野でよく使われる専門用語です。
腑に落ちない|お|「腑に落ちない」は、どうしても納得できない、理解できないという意味の慣用表現です。道理に合わない、説明に説得力がない場合に使われます。
腑に落ちる|お|「腑に落ちる」は、物事の理由や意味が納得できて、理解できることを意味する慣用句です。特に否定形の「腑に落ちない」の形で使われることが多く、説明に納得がいかない時に使います。
腑抜け|ふぬ|気力や覇気がなくて間抜けな人を罵る言葉。「腑（内臓）」が抜けたように力がない様子から。
腑抜け|腑抜[ふぬ]け|本来あるべき芯や気力が抜けてしまった人を軽蔑的に指す言葉です。文字通りには「内臓（腑）が抜け落ちた」という意味で、そこから「意志薄弱」「頼りにならない」という否定的な評価を込めて使います。かなり強い罵倒語に近いので、冗談でも相手に使うのは注意が必要です。
腓骨|腓骨[ひこつ]|脛骨（すねの骨）の外側にある細い骨で、足首の安定に重要な役割を果たします。医学や解剖学の文脈で使われる専門用語で、日常会話ではほとんど登場しません。ケガや骨折の話題で出てくることがあります。
腕が立つ|た|「腕が立つ」は、ある技術や分野において能力が高く、優れた腕前を持っていることを表す慣用句です。職人や料理人、スポーツ選手など、実技を伴う分野で特に使われます。「腕が立つ料理人」のように、その人の技能を評価する肯定的な表現です。
腕が鳴る|な|自分の技術や能力を発揮する機会が来て、やる気に満ちあふれている状態を表す慣用表現です。特に試合や発表の前などに使われます。
腕っ節|うでっぷし|「腕っ節」は、腕力や体力の強さをやや俗っぽく言う表現。「腕っぷし」と書くこともある。「節（ふし）」は筋肉の盛り上がりを指す。主に男性の身体的な強さを評価する場面で使われる。
腕をぎゅっと掴む|つか|強い力で相手の腕をしっかりと握りしめる動作。感情的な緊迫感や強い決意を含む場面で使われることが多い。
腕を磨く|みが|自分の技術や能力をさらに向上させるために努力することを意味する慣用表現です。職人やスポーツ選手、ビジネスパーソンなど様々な場面で使われます。
腕利き|うでき|技術や腕前に優れている人を指す口語的な表現です。職人や料理人、アーティストなど、専門的な技能を持つ人を褒める時に使われます。
腕前|うでまえ|技術や能力の程度のことです。特に、ある分野での熟練度や実力を評価するときに使われます。
腕力|わんりょく|「腕力」は、腕の筋力や物理的な力強さを指します。喧嘩や腕相撲、肉体労働など、腕の力が試される場面で使われます。比喩的に「腕力に訴える」のように、武力や物理的な力で問題を解決しようとする態度を批判的に指すこともあります。
腕時計|うでどけい|手首に付ける時計のことを指します。日常生活でよく使われる一般的なアイテムです。
腕枕|まくら|「腕枕」は、自分の腕を枕の代わりにして寝る行為や、誰かの腕を枕にして寝ることを指します。親密な間柄で使われる言葉です。
腕甲|わんこう|「腕甲」は、鎧の一部で前腕を保護する防具。西洋のブラサードに相当する。
腕白|わんぱく|「腕白」は、主に子供が言うことを聞かずにやんちゃで活発な様子を表す形容動詞です。ネガティブな意味もありますが、元気で可愛いという肯定的なニュアンスも含まれます。大人に使うと失礼になります。
腕白な|わんぱく|腕白なは、主に子供が元気すぎて言うことを聞かない様子を表す形容詞です。「悪い」というよりは「元気で手がかかる」というポジティブ寄りのニュアンスで、愛情を込めて使われることが多いです。
腕立て|うでた|腕立て伏せ（push-up）の略。上半身を鍛える筋力トレーニングの一種。うつ伏せの姿勢から両腕で体を持ち上げる運動。スポーツジムや軍隊のトレーニングでよく行われる。
腕立て伏せ|うでたてふ|「腕立て伏せ」は、うつ伏せの姿勢から腕の力で体を上下させる筋力トレーニングの一種です。主に腕や胸の筋肉を鍛えるのに効果的です。体育や筋トレの場面でよく使われる言葉です。
腕章|わんしょう|腕に付ける布製の記章。役割や所属を示すために使われる。
腕組み|うでぐ|両腕を胸の前で組む姿勢を指します。考え込んでいる時や待っている時、または不満や反対の気持ちを表す時によく見られる仕草です。
腕輪|うでわ|手首に着ける装飾品。金属やビーズ、革など様々な素材で作られる。アクセサリーの一種として一般的な語。
腫れぼったい|は|
腫れる|は|「腫れる」は、怪我や炎症などによって体の一部が膨らむことを意味します。虫刺されや打撲、病気など様々な原因で起こります。日常的によく使われる動詞です。
腫れ上がる|はれあ|怪我や炎症などで体の一部がはれて大きくなることを表す動詞。虫刺されや捻挫などで皮膚が膨れて盛り上がる様子を指します。
腫れ物に触るように|さわ|「腫れ物に触るように」は「非常に慎重に、傷つけないように扱う様子」を表す慣用句です。腫れ物（できもの・おでき）は触ると痛いため、非常にそっと扱うことから来ています。相手の気分を害さないように細心の注意を払う態度を指します。
腫物|しゅもつ|腫物とは、体の一部が腫れてできたできものやしこりを指す医学用語です。炎症や腫瘍などの原因で発生します。
腫物にかさぶたができた|はれもの|腫物とは、体の一部が腫れてできたできものやしこりを指す医学用語です。炎症や腫瘍などの原因で発生します。
腫瘍|しゅよう|体の組織にできる異常な細胞の塊のこと。良性と悪性（がん）がある。医学用語で、病院で使われるやや硬い表現。
腫脹|しゅちょう|「腫脹」は医学用語で、身体の一部が炎症などで腫れて膨らむ状態を指します。日常会話では「腫れ」で十分ですが、医療現場やカルテなどの書き言葉で使われます。
腰|こし|体の胴体部分のうち、背骨の下部から骨盤にかけての部分を指します。曲げる、ひねるなどの動作の中心となる部分です。
腰を上げる|あ|「腰を上げる」は、それまで動かなかったり先延ばしにしていた行動を、ようやく起こすことを意味する慣用句です。文字通りには「腰を上げて立ち上がる」ことですが、比喩的に「なかなか腰を上げない」「ようやく腰を上げた」のように、行動の遅さや渋りを表現するのに使われます。ビジネスでも日常会話でもよく使われ、面倒なことを後回しにしていた人がついに動き出すというニュアンスです。カジュアルな口語表現です。
腰を抜かす|ぬ|「腰を抜かす」は、あまりの驚きや恐怖で立っていられなくなり、腰が砕けて座り込んでしまうことを表す慣用表現です。比喩的に「非常に驚く」という意味で、度を越した衝撃を受けた時に使われます。もともとは文字通り腰が抜けて立てなくなる状態を指しましたが、現代では驚きの強調表現として使われることが多いです。
腰を据える|す|一つの場所に落ち着いて、じっくりと物事に取り組むことを意味する慣用表現です。
腰を落ち着ける|つ|
腰巻|こしまき|着物の下に着用する腰から下を覆う下着。または、腰に巻く布。
腰抜け|こしぬ|臆病で根性のないこと。気が弱くて頼りにならない人を罵る言葉。
