悲恋|ひれん|blighted love; disappointed love
成り立つ|りなりたつ|To consist of / be built on
車体|しゃたい|Body (of a car), Frame
彼ははずっと運動していないだけにやっぱり太った|かれははずっと うんどうしていないだけにやっぱり ふとった|He didn't do any exercise and as expected got fat
積荷|つみに|Load / Freight / Cargo
類型|るいけい|Type
盟約|めいやく|Oath / Pledge / Pact
尻込み|しりごみ|Flinching / Shrinking back / recoil / hesitation
その交響曲はト短調である|その こうきょう きょくは とたんちょうである|The key of the symphony is G minor
類稀|たぐいまれ|unique; rare; exceptional; unparalleled; incomparable
犬死に|いぬじに|dying in vain; wasteful sacrifice of life
矢継ぎ早|ぎやつぎばや|Rapid succession (eg of questions)
縦断的|じゅうだんてき|longitudinal
補償|ほしょう|Compensation
年内|ねんない|By the end of the year
寝違える|ねちがえる|Sleep in awkward position and wake with crick in ones neck
すべし|すべし|is the classical Japanese form of "should," "must," or "ought to."Nuance:This
 a
中庭|なかにわ|Courtyard
娘がよちよち歩きを始めた|むすめがよちよち あるきを はじめた|My daughter started to toddle
彼は銃を携えていた|かれは じゅうを たずさえていた|He was carrying a gun
整体|せいたい|Chiropractic
眼福|がんぷく|a sight for sore eyes; seeing something beautiful or precious
混じり気|じりまじりけ|a dash of (something); impurity; mixture
奈落の底|のならくのそこ|Abyss
腹の中|のはらのうち|In ones heart of hearts (does he really think ... etc)
遊蕩三昧|ゆうとうざんまい|being absorbed in self-indulgent pleasures; giving oneself up to debauchery and 
助平|すけべえ|lewdness, lewd person, pervert, lecher
噴霧|ふんむ|spraying, atomizing
糾う|あざなう|to twist (something)
既視感|きしかん|déjà vu
重量|じゅうりょう|物の重さ
挽回|ばんかい|Recovery
使い分ける|いつかいわける|To use properly / To use different things for different purposes
力学|りきがく|Mechanics / Dynamics
神格|しんかく|Divinity
荒げる|あらげる|To raise (eg a voice)
やんわりと|やんわりと|Softly / Mildly / Gently
牽引|けんいん|Hauling / Tow / Pull / Drag
久しい|ひさしい|long (time); long-continued; old (story)
お熱|お ねつ|having a crush on someone
ずんぐりむっくり|ずんぐりむっくり|very short and stout; small but quite wide around
安全策|あんぜん さく|Safe move / Safe plan / Precautions
八面玲瓏|はちめんれいろう|beautiful from all sides, perfect serenity, affability
枝|えだ|Branch / Twig
給湯設備|きゅうとう せつび|Hot Water Supply System
曲芸|きょくげい|Acrobatics
末裔|まつえい|Descendant (not 子孫)
白馬|はくば|White horse / Noble Steed (Shrek)
放浪癖|ほうろうへき|Habit or tendency to go wander around
奔流|ほんりゅう|Torrent, rushing current, rapid flowNuance奔流
 describes a powerful, fast-moving,
単刀直入に|たんとうちょくにゅうに|going right to the point; point-blank; without beating about the bush; frankness
数珠|じゅず|{Buddh} rosary; string of prayer beads
陽射し|ひざし|another kanji for "sunlight; rays of the sun"
御利益|ごりやく|grace (of God); divine favour; blessing; miracle; answer to a prayer
喉笛|のどぶえ|windpipe
提携する|ていけいする|Association / Tie up / Alliance
恍惚|こうこつ|Ecstacy / Trance (feel good sense)
目録|もくろく|Catalogue / Inventory / List
外交的|がいこうてき|Outgoing / Extrovert
架空|かくう|Aerial / Overhead / Fiction / Fanciful
仲裁|ちゅうさい|Arbitration / Mediation / Intercession
迸る|ほとばしる|To surge / To well up / To gush out
自由奔放|じゆうほんぽう|Free and uncontrolled / behaving with abandon
出自|しゅつじ|Birthplace / Descent / blood lines / origins
露知らず|つゆ しらず|utterly ignorant; not knowing; having no idea; (being a) blithering idiot
燎原の火|りょうげんの ひ|wildfire
付け爪|つけ づめ|artificial fingernail, fake fingernail
不履行|ふりこう|default, nonperformance
牢番|ろうばん|Prison guard / Jailer
炸裂|さくれつ|Explosion (of Vivi's fire spell!)
白バイの警官に止まるよう指示された|しろばいの けいかんに とまるよう しじされた|I was directed to pull over by the motorcyle cop
仕留める|しとめる|To bring down (a bird) / to kill
所望|しょもう|Desire / Request / Wish
性に合う|せいに あう|to be congenial; to agree with one; to be in one's nature
天下無敵|てんかむてき|peerless, unequalled, unequaled
希少|きしょう|Scarce
現像|げんぞう|Developing a film
刺さる|ささる|Stick / be stuck (verb, not&nbsp;&nbsp;くっ付く)
肩車する|かたぐるまする|To put onto ones shoulders (child, makino, etc!)
出向く|でむく|To proceed to / To leave for
資産家|しさんか|Wealthy person
至宝|しほう|Most valuable asset / pride of ... / most important person
推察|すいさつ|Guess / Conjecture
署名|しょめい|Signature
吠える|ほえる|bark, roar
敷居|しきい|Threshold
敷地|しきち|Site / Plot / Lot / Grounds
直腸|ちょくちょう|Rectum
無味乾燥|むみかんそう|Dull and uninteresting
軍資金|ぐんしきん|war funds; war chest
ノイローゼ||neurosis; nervous breakdown; mental problem
手間が省ける|てまが はぶける|to save trouble; to save effort; to save hassle; to save bother; to save time
排泄|はいせつ|excretion
疎水|そすい|canal, drainage
祝砲|しゅくほう|salute of guns
日射病|にっしゃびょう|1. heatstroke, sunstroke2. 中暑
和やか|なごやか|peaceful, mild
天体観測衛星|てんたいかんそく えいせい|Space probe
強靭|きょうじん|Tenacious / Tough / Strong
決まり悪い|きまり わるい|Feeling awkward / Being ashamed
開拓者|かいたくしゃ|Pioneer / Settler / Colonist
へこたれる|へこたれる|To be depressed / Be discouraged
色とりどり|いろとりどり|Multicolored / Varicoloured
参謀本部|さんぼうほんぶ|General Staff headquarters
大豆|だいず|Soybean
将棋|しょうぎ|Japanese Chess / Shougi
貪欲法|どんよくほう|greedy algorithm
彼女は気が利いている。|かのじょは きが きいている|She's very thoughtful.
お願い下げる|お ねがい さげる|To withdraw a request
餌食|えじき|Prey / Victim
狂わす|くるわす|To drive crazy
存命|ぞんめい|Being alive
駆除|くじょ|Extermination / Expulsion / Destruction
格段|かくだん|Special / Exceptional / Remarkeable
謀|はかりごと|Plan / Strategy
こういう行いは君の威信にかかわる。|こういう おこないは きみの いしんにかかわる|Such conduct is beneath your dignity
奇しくも|くしくも|Strangely / Oddly / Mysteriously
苦役|くえき|toil; drudgery
もぞもぞ|もぞもぞ|creeping about; stirring restlessly; squirming (Jake in my arms!)
身振り|みぶり|Gesture
衣|ころも|Coating / Robe
招集|しょうしゅう|人を呼び集める事
実業界|じつぎょうかい|The business world
凱旋|がいせん|To return in triumph
価格操作|かかくそうさ|Price fixing / Price manipulation (Apple)
薄氷|はくひょう|Thin ice / Danger
穿り返す|り かえす|to dig up; to expose; to disclose
皮算用|かわざんよう|over-optimistic calculation; counting one's chickens before they're hatched
護衛|ごえい|Guard / Escort
採取|さいしゅ|Extract / Gather
専用(の)|せんようの|Exclusive use / Dedicated / Private (eg network)
ついに正体を暴露したな。|ついに しょうたいを ばくろしたな|Now you've given yourself away
工作員|こうさくいん|Spy / Covert operative / Agent provocateur
下駄|げた|Those weird wooden Japanese sandals
賢者|けんじゃ|Wise man / Sage
闘志|とうし|Fighting spirit
湯水のように使う|ゆみずのように つかう|abundant item; plentiful item
自分本位|じぶんほんい|self-centeredness; selfishness; egotism; egocentricity
感電|かんでん|receiving an electric shock
乳糖不耐症|にゅうとうふたいしょう|lactose intolerance
玄人|くろうと|Expert / Professional
小首|こくび|Head
手の甲|のてのこう|Back of the hand
賛否両論|さんぴりょうろん|The pros and cons
あの選手はばねのある体をしている|あの せんしゅはばねのある からだをしている|That player has a physique like a power spring
香煙|こうえん|Incense smoke
輸血|ゆけつ|Blood transfusion
武装蜂起|ぶそうほうき|armed uprising
海将|かいしょう|Vice admiral
稼ぎ時|かせぎ どき|winning streak; good time to make a profit
出し抜く|だし ぬく|to outwit; to outmanoeuvre; to steal a march on; to get the jump on; to anticipa
踵|かかと|heel (of foot, shoe etc)
大張り切り|おお はり きり|great enthusiasm, high excitement
拍動|はくどう|pulsation, pulsebeat
筋を違える|すじを ちがえる|to pull a muscle, to strain a muscle
周知|しゅうち|Known / Public
無礼者|ぶれいもの|Insolent fellow / Rude fellow
偏狭|へんきょう|"narrow-minded," "intolerant," or "petty."Nuance:This term criticizes someone wh
場慣れ|ばなれ|experience; being accustomed (to something); poise in a critical situation
顔文字|かおもじ|Emoticon / Smiley
扇子|せんす|Fan
一体いつになったら自分の家が持てることやら。|いったいいつになったら じぶんの いえが もてることやら|I wonder when I'll be able to have my own house. (I feel almost hopeless.)
財団法人|ざいだんほうじん|Incorporated foundation (something trying to improve japan productivity in this 
たとえ兄弟といえども、憎しみ合うこともある。|たとえ きょうだいといえども にくしみ あうこともある|Even siblings sometimes hate each other (兄弟でも)
官舎|かんしゃ|Official residence
闖入者|ちんにゅうしゃ|Intruder
かの|かの|that (someone or something distant from both speaker and listener, or situation 
捕らぬ狸の皮算用|とらぬ たぬきの かわざんよう|counting one's chickens before they've hatched; counting raccoon dog skins befor
ウマが合う|が あう|to get on well (with a person), to be a good match with one's horse (e.g. of a r
発報|はっ ぽう|activation of an alarm, sounding a warning
首を括る|くびを くくる|to hang oneself, to strangle oneself
対数目盛|たいすうめもり|logarithmic scale
花園|はなぞの|Flower Garden
初恋|はつこい|First Love
精算|せいさん|Settlement of accounts / adjustment
低迷する|ていめいする|To hang low (clouds), to hover low (price level)
道草|みちくさ|Loitering; dawdling; stopping along the way.Nuance:"道草"
 literally means "roadsi
擦れる|すれる|To be rubbed
公正取引委員会|こうせいとりひきいいんかい|Fair Trade Commission
変貌|へんぼう|Transformation
乳房|ちぶさ|Breast / Nipple
雌伏の時代|しふくの じだい|Years of Biding His Time
金本位|きんほんい|gold standard
混ぜこぜ|まぜこぜ|jumble (of two or several things), mix
件|くだり|passage, paragraph
貧困層|ひんこんそう|Poorest segment of the population
お揃い|お そろい|Matching (watch, clothes etc) / together
くまなく|くまなく|All over / In every nook and crannny / Everywhere (body check)
向日葵|ひまわり|Sunflower
親愛|しんあい|Deep affection / beloved / Dear (often used as the opening greeting of a letter)
砕けた|くだけた|Easy / Affable / Familiar
書き連ねる|かき つらねる|To make a list / To enumerate
似非|えせ|False / Would-be / sham / pretended / mock (Hacker!)
今日は早く起きて弁当を拵えた|きょうは はやく おきて べんとうを こしらえた|I got up early today to make lunch boxes
安寧|あんねい|Public peace
純潔|じゅんけつ|Purity / Chastity
懇意|こんい|kindness / friendship
成就|じょうじゅ|Fulfillment / Realisation
振りまく|ふりまく|1. to scatter, to sprinkle, to spray, to strew2. to lavish (money, charm, etc.)
抓る|つねる|To pinch / nip
大地|だいち|Ground / Earth / The solid earth
変異体|へんいたい|Mutant / Variant
報奨金|ほうしょうきん|Cash bonus / Reward / Bounty
幾度|いくど|Many times
張り合う|りはりあう|To compete / to rival / fight for (brothers competing on jlpt)
もぐもぐ|もぐもぐ|Mumbling / Chewing ones words
萌やし|もやし|bean sprouts
ぎっくり腰|ぎっくり ごし|strained back; slipped disk
如何わしい|いかがわしい|1. suspicious, dubious, unreliable2. indecent, unseemly
居着く|いつく|1. to settle down, to stay (for good), to stay long, to stay on2. 殖民, 定居, 安家落戶, 
愛媛県|えひめけん|Ehime-ken
拠点|きょてん|Base / Stronghold
転勤|てんきん|Transfer / Relocation (not 移転)
疾うに|とうに|A long time ago / Already
官給品|かんきゅうひん|Government issued goods
画面取り込み|がめん とり こみ|screen capture
鎖帷子|くさりかたびら|chain mail (armor, armour)
取り押さえる|りとりおさえる|To capture / pin down / subdue
扇情|せんじょう|sensationalism; stirring up strong emotions
勢い込む|いきおい こむ|to do with enthusiasm, to be excited to do, to throw oneself into
集権排除|しゅうけんはいじょ|decentralisation
熟読玩味|じゅくどくがんみ|reading carefully with appreciation, giving (something) a careful perusal
簀巻き|すまき|1. wrapping something in a bamboo mat2. wrapping somebody in a bamboo mat and th
高架|こうか|elevated (structure), overhead
羽交い締め|はがい じめ|pinioning, binding arms behind the back
いかにも|いかにも|Indeed / as if
当分|とうぶん|For the time being
填める|はめる|To insert / To put in / To have sex / To fuck
年貢の納め時|ねんぐの おさめ とき|Time to pay the piper / Lit: time to pay the land tax
掻っ攫う|っ さらう|To nab / To snatch
管区|かんく|Jurisdiction
暴騰|ぼうとう|Sudden rise
彼女は昔からそそっかしい|かのじょは むかしからそそっかしい|She has always been careless
そけい|そけい|Groin (that Aguero injured again)
有史以来|ゆうしいらい|Since the dawn of history
正負|せいふ|positive and negative; +-; plus and minus
五月蠅い|ごがつ はえい|うるさい
得手不得手|えてふえて|strong and weak points, likes and dislikes, strengths and weaknesses
脳漿|のうしょう|spinal fluid, gray matter, grey matter
中継|ちゅうけい|To relay / broadcast / hookup
得心|とくしん|Being convinced of / Being satisfied with (someone listening and accepting an ex
矩形|くけい|Rectangle
憎まれ口|まれにくまれぐち|Abusive language
離れ離れ|れはなればなれ|Separate / Scattered
腰を上げる|こしを あげる|To finally start to do something / to get off ones arse
むしゃくしゃ|むしゃくしゃ|vexed; irritated; fretful
キビキビ||briskly
常套句|じょうとうく|Conventional phrase / Stock phrase / Cliche
筆舌に尽くしがたい|ひつぜつに つくしがたい|beyond description
揉み上げ|みもみあげ|Sideburns
抑止力|よくしりょく|Deterrent
論者|ろんしゃ|an Advocate
取り柄|りとりえ|Redeeming Feature / Worth
虫眼鏡|むしめがね|Magnifying glass
神々しい|こうごうしい|Divine / Sublime / Solemn
墓所|はかしょ|Graveyard
英断|えいだん|Resolution / Decisive judgement
シャボン玉|しゃぼんだま|Soap bubble
徒刑囚|とけいしゅう|Convict / con / inmate / yardbird
カモ||(1) (uk) duck; (2) (uk) easy mark; sucker; sitting duck (these latter meanings t
かがり火|かがり び|fire built in an iron basket (watch fire, fishing fire, etc.); bonfire; campfire
廃材|はいざい|1. scrap wood; waste wood2. waste; waste material; scrap material
彼は我々からすたこら逃げた。|かれは われわれからすたこら にげた|He showed his heels to us.すたこら = 急いで歩くさま。また、あわてて立ち去るさま。「―（と）逃げ出す」
改造|かいぞう|Remodel / Reshuffle / Adapt
系図|けいず|Ancestry / Family Tree
丸薬|がんやく|Pill / Pellet
録画|ろくが|videotaping, recording
打算的|ださんてき|Calculating (in an evil mastermind way?)
性懲り|しょうこり|Persistent / Incorrigible
回覧|かいらん|Circulate (amongst a group of people say)
仕返しする|しかえしする|Avenge / Revenge / Pay
脳震盪|のうしんとう|Concussion
肉付け|にくづけ|Fleshing out / Modeling&nbsp;
誇示|こじ|To display
血気|けっき|hot blood / Vigour
こびりつく|こびりつく|to stick to; to cling to; to adhere to
足を取られる|あしを とられる|1. to be tripped up2. to be too drunk to stand
気鬱症|きうつしょう|depression, melancholy
いちゃもんを付ける|いちゃもんを つける|to pick a fight, to find fault
形成|けいせい|Formation (such as the bones forming)
眺め|ながめ|View / Prospect (not a 見通し like word, not 見込み)
彼女の手芸は趣味を通り越してプロに近い。|かのじょの しゅげいは しゅみを りとおりこしてに ちかい|Her handicraft is more than a hobby. It's more like a profession
呪文|じゅもん|Spell / Incantation / Magic / Hocus-pocus
険悪|けんあく|Dangerous / Serious / Gloomy / Perilous / Threatening / Stormy
ぱちくり|ぱちくり|Blinking with suprise
卵殻|らんかく|Eggshell
傍点|ぼうてん|&nbsp;(1) marks or dots used to emphasize text passage (emphasise); (2) marks to
全能者|ぜんのうしゃ|the Almighty, The Omnipotent One
媚び諂う|こび へつらう|to toady, to be obsequiousこびへつらうウェイターは最上のテーブルをあてがわれる。なぜなら、そうしたウェイターは、いつもマネージャーや上
膝行|しっこう|Moving forward by sliding on ones knees (Aikido)
陶磁器|とうじき|Ceramics and porcelain
三角筋|さんかくきん|Delts (muscle)
いかつく|いかつく|Anger and disgust
闘魂|とうこん|Fighting spirit
特攻|とっこう|Suicide attack / Kamikaze attack
畏怖|いふ|awe; fear; fright
時計仕掛け|とけいじかけ|clockwork
護憲|ごけん|Defense of the constitution
滑らか|なめらか|Smooth / Glassy
病院でレントゲンを撮ったよ。|びょういんでを とったよ|I had X-rays taken at the hospital.
しょぼい|しょぼい|元気がなく、さえない。貧相である。みすぼらしい。ぱっとしないShabby / Dull / Gloomy
炎症|えんしょう|Inflammation / Irritation
骨盤|こつばん|Pelvis
上々の出来だ|じょうじょうの できだ|It is very well done
使い回す|つかい まわす|(1) to use one thing for several purposes; to use the same thing on multiple occ
他意|たい|other intention, hidden purpose, ulterior motive, ill will, malice
脈打つ|みゃくうつ|to pound (e.g. heart), to pulse (e.g. vein), to pulsate
連環|れんかん|links, chain, shackle, linking
美学|びがく|aesthetics
口走る|くちばしる|to let slip / to blurt out (say and give yourself away, liar game)
目鼻立ち|めはなだち|Facial features / looks
割愛する|かつあいする|Giving up on something reluctantly
体温上昇、脈拍上昇・・・酸素欠乏状態です。|たいおん じょうしょう みゃくはく じょうしょう さんそけつぼう じょうたいです|Body temperature rising, pulse rising ... he's in a state of oxygen deficiency
蛤|はまぐり|Clams (as in seafood)
蒸留|じょうりゅう|Distillation
徴兵忌避|ちょうへいきひ|Draft evasion&nbsp;
図らずもその映画の主演女優の役を与えられた|はからずもその えいがの しゅえん じょゆうの やくを あたえられた|She was unexpectedly given [【形式ばった表現】 assigned] the leading role in the film
朝練|あされん|morning training (e.g. before school)
乱パ|らん|sexual orgyAbbreviation of 乱交パーティー
蒸す|ふかす  むす|to Steam
神道では先祖を大切にします。|しんとうでは せんぞを たいせつにします|In Shintoism we revere our ancestors.
彼は山の麓に住んでいるよ。|かれは やまの ふもとに すんでいるよ|He lives at the foot of a mountain.
衝撃|しょうげき|Shock / Impact / Pulse
その物語は映画用に脚色された。|その ものがたりは えいが ように きゃくしょくされた|The story was adapted for the movie
怒鳴り込む|りどなりこむ|To storm in with a yell
抑え込む|えおさえこむ|To shut out ones opponents / to stop the other side from scoring
大空|おおぞら|The heavens / The sky (big plane to take off into)
侮る|あなどる|To despise / Disdain / To make light of
～というところだ　Grammar|というところだ|Displays an amount / level / degree 程度　/ also with something remaining to finish
文庫本|ぶんこぼん|Pocketbook
無性に|むしょうに|Extremely / Very much
感慨|かんがい|Strong feelings / Deep emotion
我々の利益は彼らの利益と相容れない。|われわれの りえきは かれらの りえきと あいいれない|Our interests clash with theirs
切子|きりこ|This is a "faceted" object, which you should probably google if you've forgotten
カッカする|する|Burning hotly / Burning redly
砲丸投げ|ほうがんなげ|shot put
託児所|たくじしょ|creche, day nursery
みみっちい|みみっちい|Stingy / Mean / like ケチ
引き上げる　（Another meaning)|きひきあげる|To pull out / to return home
吾輩|わがはい|Arrogant me, us, ourselves etc
鼻緒|はなお|Sandal strap
首を横に降る|くびを よこに ふる|To shake ones head
岩棚|いわたな|Ledge (to stand on when going into crater!)
向寒|こうかん|Facing the winter / Getting cold
友達は服飾関係の仕事を希望している|ともだちは ふくしょく かんけいの しごとを きぼうしている|My friend would like a job related to accessories
食事するには半端な時間です|しょくじするには はんぱな じかんです|It is an odd time to eat
塗料|とりょう|Paint
網膜|もうまく|Retina (eye)
詰め所|つめ しょ|Station / Office / Guardroom
如し|ごとし|&nbsp;(See 如き) like; as if; the same as
自己検査|じこけんさ|self-checking; self-diagnosis
ていては  grammar|ていては|if one keeps doing something
高射砲|こうしゃほう|Antiaircraft gun
採集|さいしゅう|To collect / gather
同署|どうしょ|the (above mentioned) authorities / police (from said station)
屠る|ほふる|To slaughter / To massacre / To defeat / To butcher
嗾ける|けしかける|そそのかす&nbsp;勢いづけて相手を攻撃させるTo instigate / To incite / To spur on
花鳥風月|かちょうふうげつ|Beauties of nature / the traditional themes of natural beauty in Japanese aesthe
殴り書き|りなぐりがき|scribble; scrawl
気を張る|きを はる|To pay attention to / to brace oneself / to steel oneself to
随意|ずいい|voluntary; optional; free; elective
禿同|はげどう|I strongly agreeInternet slang, Jocular, humorous term, abbr. of 激しく同意
臨死体験|りんしたいけん|near-death experience
裁判|さいばん|Trial / Judgement / Case / Suit
終盤|しゅうばん|End game / End time
広背筋|こうはいきん|Lats (muscles)
取り締まり法|りとりしまり ほう|Control law (of stimulants)
漏洩|ろうえい|Leakage (of gas or liquids or information) - snowden!
希代|きたい|Uncommon / Rare / Extraordinary / Matchless
満腹感|まんぷくかん|Feeling of a full stomach after a meal
第６条議長は全会議を主宰するものとする。|だい じょう ぎちょうは ぜん かいぎを しゅさいするものとする|Article 6. The president shall preside at all meetings
書面|しょめん|1. document, letter2. writing, contents (e.g. of a letter)
厩舎|きゅうしゃ|barn, stable
気前|きまえ|generosity
木にブランコを吊るしました。|きにを つるしました|I hung a swing up on the tree.
賃貸人|ちんたいにん|Lessor (person renting an apartment)
上の空|のうわのそら|Absense of mind / distraction
集積|しゅうせき|Accumulation
上腕三頭筋|じょうわんさんとうきん|Triceps
収拾|しゅうしゅう|Control / Settling / Coping (with the violence in some place)
その計画は数々の危険を孕んでいる|その けいかくは かずかずの きけんを はらんでいる|The plan is full of pitfalls
卿|きょう|(honourable) Lord / Sir
まともな判断|まともな はんだん|sane judgment
静まり返る|まりしずまりかえる|to fall completely silent; to become still as death
運動量|うんどうりょう|{physics} momentum (2) amount of exercise
風味豊か|ふうみゆたか|flavorful, flavorsome
ちっぱい|ちっぱい|small breasts
素質|そしつ|Capability / Aptitude / Talent
不必要なファイルは削除してください。|ふひつようなは さくじょしてください|Please delete any unwanted files.
色彩|しきさい|Colour / Hue / Tints
明かん|あかん|Useless / No good / Hopeless
偏差値|へんさち|Deviation
連なる|つらなる|Range / Stand in a row
瀬戸物|せともの|Ceramics / China / Porcelain
形象文字 / 象形文字|けいしょうもじ しょうけいもじ|hieroglyph
口論する|こうろんする|To quarrel / argue
納戸|なんど|Storage Room
命ずる|めいずる|To command / To appoint (iwaya-san to lifestyle department)
交える|まじえる|To mix / To combine / To exchange (words, fire) / To cross (swords)
領有|りょうゆう|Possess / Have possession of (territory)
肩幅|かたはば|Shoulder width (breadth)
順路|じゅんろ|Fixed route
知将|ちしょう|Skilled manager / resourceful general
鳴り物入り|りなりものいり|flourish of trumpets; fanfare
千切り|せんぎり|finely cut strips (of vegetables); shredded vegetables
酒豪の友達|しゅごうの ともだち|Heavy Drinker Friend
余地|よち|Room / Space
先走る|さきばしる|To be forward / to be impertinent
役場|やくば|Town hall
蕁麻疹|じんましん|Rash / Hives
忌憚のない|きたんのない|Frank / Candid (giving advise)
暗転|あんてん|Theatrical blackout / going black &nbsp;/ also "taking a turn for the worse"
画素|がそ|Image pixel
不信任|ふしんにん|Non-confidence / lack of confidence
硝石|しょうせき|Saltpeter (weird ff14 tribe mining place)
袖にする|そでにする|Give someone the cold shoulder / leave somebody in the lurch / turn a deaf ear t
成文律|せいぶんりつ|written law; statute law
紙袋|かみぶくろ|Paper back
取り込む|りとりこむ|To win over (someone), to take in / adopt
演習|えんしゅう|Practice / Exercise / Manoeuvers / Drill (mostly military)
診療予約を取ってもらえますか。|しんりょう よやくを とってもらえますか|Can I make an appointment to have a medical examination?
陰険|いんけん|Sly / Sinister / Sneaky
まじまじと|まじまじと|Staringly / Fixedly (staring at the barrel)
碁を打つ|ごを うつ|To play a game of 'go'
現存|げんそん|Living / Existing
最寄り|もより|Nearest / Neighbouring
舟艇|しゅうてい|boat; watercraft
ぷにぷに|ぷにぷに|squishy; springy; bouncy (fat wakka)
荒唐無稽|こうとうむけい|absurd; nonsensical; preposterous
多感|たかん|sensitive, susceptible, emotional, impressionable, sentimental
各自の|かくじの|Respective ...
アヒル||Duck / Duckling / Drake (not かも)
先鋒|せんぽう|Advanced Guard (Liar Game)
面目ない|めんぼくない|Ashamed
言いっこなし|いいっこなし|Lets not say such things to each other
展望|てんぼう|Outlook / View / Prospect
更衣室|こういしつ|Locker room / Changing room / Dressing room
今最終原稿を推敲しています|こん さいしゅう げんこうを すいこうしています|I'm polishing the final manuscript now
どよめく|どよめく|Resound / Ring
