輪ゴム|わごむ|ゴムでできた輪状の文房具で、書類を束ねたり物をまとめたりするのに使います。
農耕|のうこう|「農耕」は、土地を耕して作物を栽培する農業活動全般を指すやや硬い表現です。「農業」よりも技術的・学術的なニュアンスがあり、文明史や文化の文脈で使われることが多いです。「農耕民族」「農耕文明」のように、社会の形態を表す複合語でよく用いられます。
農耕地|のうこうち|農作物を栽培するために使われる土地を指します。田んぼや畑などが含まれ、農業に関連する文脈で使われるやや専門的な用語です。
農薬|のうやく|「農薬」は、農業で使う害虫や雑草を駆除する薬剤。安全性や環境問題の話題でよく出る。日常的な言葉。
辺|へん|「辺」は、図形や物体の縁を構成する線分や境界を指す幾何学用語です。三次元モデリングや数学の文脈で使われ、面と面の間の境界線を指します。また、日常的には周辺や付近を意味する使い方も一般的です。
辺境|へんきょう|「辺境」は、国の中心から遠く離れた境界地域を指します。文明や文化の中心地から隔たった、未開で荒涼としたイメージがあります。
辺鄙|へんぴ|都市から遠く離れていて、交通や生活に不便な場所を表します。田舎や山間部など、人里離れた地域をややネガティブに評価する言葉です。
辻斬り|つじぎ|武士が街中で通行人を無差別に斬る行為。時代劇や歴史の話題で出てくる。
辻褄|つじつま|「辻褄」は、話や物事の筋道や道理が合っていることを指します。「辻褄が合う」「辻褄が合わない」の形で最もよく使われ、矛盾なく説明がつくかどうかを問題にする時に用います。会話や論理の一貫性を評価する日常的な表現です。
込み上げる|こみあ|感情や涙、笑いなどが内側からあふれ出そうになる様子を表します。特に「涙が込み上げる」「笑いが込み上げる」という形で使われ、感情表現の豊かな言葉です。
込み入った|い|「込み入った」は物事が複雑に入り組んでいる様子を表す形容詞です。話し言葉でも書き言葉でも使われ、人間関係や事情、構造などが簡単ではない時に用います。「複雑」よりカジュアルで、話し言葉寄りの表現です。
込める|こ|物の中に何かを入れる、または精神や力を一つのことに集中させるという意味があります。
迂回|うかい|直接通らずに遠回りすることを意味します。道路工事や渋滞を避ける物理的な迂回から、問題やルールを直接破らずに間接的な方法で目的を達成する「迂回手段」のような比喩的な使い方もあります。
迂遠|うえん|「迂遠」は、回りくどくて直接的に目的に達しないことや、話し方や方法が遠回りで非効率的なことを表します。無駄に複雑だったり、時間がかかる割に効果が薄い様子を批判的に指します。
迂闊千万|うかつせんばん|
迂闊（な）|うかつ|注意が足りず、不用意であること。うっかりしていて気が回らない様子を表す。「迂闊なミス」「迂闊だった」のように、自分の失敗を反省するときによく使われる。
迎え入れる|むかえい|人を招いて中に入れること、または新しいメンバーとして受け入れることを意味します。歓迎の気持ちを込めて使われる温かい表現です。
迎え撃つ|むかえう|「迎え撃つ」は、攻めてくる相手を待ち構えて反撃することを意味します。軍事やスポーツの文脈で使われ、受け身の姿勢ではなく、積極的に迎え撃つという積極防御のニュアンスがあります。
迎合|げいごう|「迎合」は、自分の意見や信念を曲げてまで相手や世間に気に入られようとすることを意味します。単なる同意ではなく、自己を犠牲にしてへつらう批判的なニュアンスが強いです。
迎撃する|げいげき|攻めてくる敵や飛来物を途中で迎え撃つことを表します。軍事や防衛の分野でよく使われる言葉です。
迎撃用ミサイル|よう|「迎撃用ミサイル」は、攻撃してくるミサイルを空中で迎え撃つために使用されるミサイルのことです。軍事・防衛の文脈で使われる専門用語で、ニュースなどでもよく見かけます。
近くで小火があったらしい|ぼや|「ぼや」と読み、小規模な火事のこと。火災ほど大きくないが、放っておくと大火事になる可能性がある。火災報知器の誤報などにも使う。
近くに立て掛ける壁などが無い場合でも自立できるようにしたスケートボードを提供する|ていきょう|「立て掛ける」は、物を壁や何かに寄りかからせるようにして、立てた状態で置くことを意味します。本や板などを、倒れないように支えてもらいながら置く動作です。「たてかける」と読みます。
近くの神社に初詣でに行きました。|い|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
近く交通法が改正されます。|かいせい|法律や規則などの不備を改めて正しく直すことを指します。主に法律や制度に対して使われる正式な言葉です。
近世|きんせい|歴史の時代区分の一つで、中世と近代の間の時期を指します。日本の場合、安土桃山時代から江戸時代頃までを言います。
近付ける|ちかづ|近付ける（ちかづける）は、物や人をある対象に物理的または心理的により近くに移動させることを意味します。「距離を縮める」「親密にする」という使役のニュアンスがあります。
近代|きんだい|「近代」は、歴史の時代区分の一つで、中世や近世の後、現代に近い時期を指します。日本では明治時代以降、西洋では産業革命以降の時代を指すことが多いです。政治、経済、文化などが大きく変化した時代です。
近代の技術の発展はものすごいです。|はってん|「術」は物事を達成するための方法・技術・手段を意味します。武術や芸術のように体系化された技術から、生き延びる術のような日常的なノウハウまで幅広く使われます。漢字の「術」は「技」よりも体系的で洗練されたニュアンスがあります。
近代医学の進歩は長い道程を歩んだ。|あゆ|「道程」は「どうてい」と読み、目的地までの物理的な距離や、目標達成までの過程・経路を指す。比喩的にも使われる硬い表現。
近似値|きんじち|正確な値に極めて近いが、完全には一致しない数値のことです。数学や統計で使われます。
近寄りがたい|ちかよ|人や場所に近づきにくい、親しみにくい様子を表す形容詞です。威厳がありすぎる人や不気味な場所に対して使われることが多いです。
近寄る|ちかよ|ある場所や人に近づくことを意味します。物理的な距離だけでなく、人との関係を築こうとする比喩的な使い方もあります。
近年|きんねん|現在に近い過去数年の間を指します。ニュースや統計データなどで、最近の傾向や変化を述べる際によく使われる言葉です。
近所|きんじょ|「近所」は、自分の家や現在地の近くの地域を指します。ご近所さん（隣人）という意味でも使われます。
近所には公営のプールがあります|こうえい|「近所」は、自分の家や現在地の近くの地域を指します。ご近所さん（隣人）という意味でも使われます。
近景|きんけい|視界の中で手前側に見える景色や対象を指します。写真や絵画、風景描写で使われる「遠景」の対義語です。
近未来|きんみらい|「近未来」は、現在からあまり遠くない未来、数十年以内の未来を指します。SF作品の設定としてよく使われるほか、技術予測や社会予測の文脈でも使われます。
近況|きんきょう|最近の様子や状況を意味します。久しぶりに会う人や連絡を取る人に対して「近況を報告する」「近況はいかがですか」のように使われるのが一般的です。
近海|きんかい|陸に近い海、つまり自分たちの住む地域の周りの海域を指します。漁業や海運の話題で使われることが多く、「近海もの」＝地元で獲れた魚、という言い方も定番です。遠くの海を指す「遠洋」の対義語として覚えると整理しやすいです。
近眼|きんがん|「近眼」は、遠くのものが見えにくく、近くのものがよく見える目の状態を指します。医学的には「近視」が正式な用語ですが、「近眼」は日常会話でよく使われる表現です。遺伝や長時間の近距離作業などが原因とされています。
近衛|このえ|「近衛」は、天皇や将軍の身辺を警護する役職や部隊。歴史的には「近衛府」という律令制度の官職。現代では自衛隊の儀仗隊などにその名残がある。ファンタジー作品でもよく登場する。
近衛兵|このえへい|天皇や国王など君主の身辺を警護するエリート兵士のこと。特に日本の場合は明治期の近衛兵や、西洋の近衛兵など歴史的な文脈で使われます。
近視|きんし|「近視」は、近くのものはよく見えるが遠くのものが見えにくい目の状態を指す医学用語です。「近視眼」とも言います。比喩的に「先の見通しが立たない」という意味でも使われます。反対語は「遠視」です。
近親相姦|きんしんそうかん|親子や兄弟など、血のつながった親族間での性的関係を指す法律用語・社会学用語です。タブー視される行為であり、多くの社会で法律的に禁止されています。
近距離|きんきょり|「近距離」は、距離が短いことを意味します。物理的な距離だけでなく、「近距離恋愛」のような比喩的な使い方もされます。日常会話でもビジネスでも使える、ニュートラルな言葉です。
近辺|きんぺん|「近辺」は、ある場所の周辺や近くの地域を指します。「近く」とほぼ同義ですが、やや改まった書き言葉的な印象があります。住所や土地の説明などの文脈でよく使われます。
近道|ちかみち|「近道」は、目的地に早く着くための、通常の道より短い経路のことです。実際の道だけでなく、比喩的に「目標達成のための効率的な方法」という意味でも使われます。ただし、近道が必ずしも良い結果をもたらすとは限らないという含みもあります。
近郊|きんこう|都市の周辺に位置する地域を指します。都心からある程度離れていますが、通勤や通学が可能な範囲のことを言います。
近頃|ちかごろ|現在からあまり遠くない過去のことです。「最近」と同じ意味で、日常会話でよく使われます。
近頃、彼女の様子がおかしい。|ようす|現在からあまり遠くない過去のことです。「最近」と同じ意味で、日常会話でよく使われます。
返り討ち|かえりう|相手を討とうとして逆に相手に討たれること、または仕返しをしようとして逆に仕返しされることを意味します。
返上（する）|へんじょう|もらったものや借りていたものを元の持ち主に返すこと、または権利などを手放すことを意味します。
返却する|へんきゃく|「返却する」は、借りていた物を元の持ち主に戻すことを意味します。図書館で本を返す時や、レンタル品を返す時などに使われるフォーマルな表現です。「返す」より丁寧で書類や案内などでよく使われます。
返品（する）|へんぴん|「品」は、商品や物品、品物を指す一般的な言葉です。スーパーやデパートで売られている物を指す場合や、製品の種類を表す場合に使われます。また、「品がある」「品がない」のように、人の振る舞いや趣味の良さを表す用法もあります。
返済|へんさい|「返済」は、借りたお金を返すことを意味します。ローンや借金の文脈で使われることが多く、「返済計画」「返済期限」のような複合語でもよく見られます。フォーマルなお金に関する用語です。
返礼|へんれい|お返しとして贈り物や行動をすることです。礼儀や感謝の気持ちを表すために行われます。
返答|へんとう|「返答」は、質問や呼びかけに対して答えること、またはその答えの内容を指します。日常会話では「返事」の方がカジュアルですが、「返答」はややフォーマルで、ビジネスや正式な場面で好まれます。
返納|へんのう|「返納」は、借りていたものや預かっていたものを、公的な機関や権限のあるところに返すことを指します。免許証や武器などの返却に使われます。
返還|へんかん|
迫る|せま|相手に圧力をかけたり、期限が近づいたりすることを表します。また、物理的に接近することも意味します。
迫力|はくりょく|「はくりょく」と読み、人を圧倒するような力強さや勢いを意味します。映画や音楽、スポーツの試合、自然の景観など、見る人に強い印象を与えるものに対して使われます。
迫力満点|はくりょくまんてん|
迫害|はくがい|「迫害」は、特定の個人や集団に対して、思想や信条、人種などを理由に不当な扱いや弾圧を加えることを指す名詞です。歴史的・政治的な文脈で使われることが多く、深刻で重いニュアンスがあります。
迫真|はくしん|演技や描写などが実際の出来事のように真に迫っている様子を表します。芸術やエンターテインメントの分野でよく使われる言葉です。
迫真の演技でした|えんぎ|「技」は、練習や訓練によって身につけた技術や技巧を指します。特に武術や伝統芸能、スポーツなどで使われることが多いです。「技術」が理論的・科学的なニュアンスを持つ一方、「技」は身体的・実践的な熟練の感覚が強いです。
述べる|の|自分の考えや意見を言葉や文章で表すことを意味します。フォーマルな場面や書き言葉でよく使われます。
述べ立てる|た|「述べ立てる」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
述懐|じゅっかい|「述懐」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
迷わす|まよ|相手を惑わせて正しい判断や方向を見失わせることを意味します。物理的に道に迷わせる場合も、心理的に混乱させる場合も使われます。他動詞で、意図的に惑わすニュアンスが含まれることがあります。
迷信|めいしん|「迷信」は、科学的な根拠がないにもかかわらず、人々に信じられている言い伝えや習慣を指します。例えば「黒猫が横切ると不吉」「夜に爪を切ってはいけない」などが迷信の例です。
迷宮|めいきゅう|「迷宮」は、入り組んだ通路が複雑に張り巡らされ、出口が分からなくなるような場所を指します。文字通りの迷路（ラビリンス）のほか、比喩的に「迷宮入り」のように、解決が困難な状態を表すのにも使われます。
迷宮|めいきゅう|「迷宮」は、入り組んだ通路が複雑に張り巡らされ、出口が分からなくなるような場所を指します。文字通りの迷路（ラビリンス）のほか、比喩的に「迷宮入り」のように、解決が困難な状態を表すのにも使われます。
迷宮入り|めいきゅうい|「迷宮入り」は、事件や問題の捜査が行き詰まり、解決の見込みが立たない状態になることを指します。元々は刑事事件で使われる用語で、未解決事件のことを「迷宮入り事件」と呼びます。「迷宮（めいきゅう）」は迷路のことで、迷路に入り込んで出口が見えなくなるという比喩です。ビジネスや学術の分野でも、解決困難な問題に対して比喩的に使われることがあります。
迷彩|めいさい|「迷彩」は、周囲の環境に溶け込むように施した模様や色彩のことを指します。元々は軍隊の隠蔽用ですが、ファッションの迷彩柄としても一般的です。カタカナの「カモフラージュ」とほぼ同じ意味です。
迷走|めいそう|「迷走」は、進むべき道や方向性を見失い、あちこちにさまようことを意味します。物理的な「道に迷う」だけでなく、比喩的に計画や政策、思考が定まらずに混乱している状態を表します。特に組織やプロジェクトの方向性が定まらない状況に対して批判的なニュアンスで使われることが多いです。
迷路|めいろ|「迷路」は、複雑に入り組んだ道から出口を探すパズルや迷宮を指します。比喩的に「迷路に迷い込んだような気持ち」と使われ、方向性を見失った心理状態を表現する場合もあります。
迸る|ほとばし|「迸る」は、水や感情が激しくあふれ出る様子を表す力強い動詞です。「涙が迸る」「怒りが迸る」「アイデアが迸る」のように、抑えきれないものが一気に外部に放出されるイメージを伴います。物理的な噴出にも比喩的な感情の爆発にも使え、文学的で感情的な響きが強い表現です。口語よりは小説や詩など書き言葉で好まれます。
追いかけっこ|お|子供が遊びで互いを追いかける遊び。鬼ごっことほぼ同じだが、より「追う」動作に焦点を当てた言い方。
追いすがる|お|
追いはぎ|お|道端で通行人を襲って金品を奪う強盗の一種で、特に旅人を狙う犯罪者を指します。
追いやる|お|人を無理やり遠くに去らせること。比喩的にも使われます。
追い出す|おいだ|人や動物を無理やり外に出したり、その場所から去らせたりすることです。
追い打ちをかける|う|「追い打ちをかける」は、元々は逃げる敵を追いかけてさらに攻撃することを意味します。比喩的には、不幸な状況にある人にさらに追い討ちをかけるように悪いことが重なる様子を表します。
追い払う|おいはら|「追い払う」は、嫌なものや邪魔なものを遠くに追いやって除くことを意味します。虫や動物を物理的に追い出すことから、不安や眠気などの感情を払拭する比喩的な意味まで幅広く使われます。
追い抜く|おいぬ|追い抜くは「前を行くものの後ろから追いかけて追い越す」ことを意味する動詞です。車の追い越し、競走での順位の逆転、比喩的な業績の追い越しなど、幅広い場面で使われます。
追い落とし|お|「追い落とし」は、競争や権力闘争において、相手をその地位から追い出して転落させることを意味します。政治の世界で「政敵を追い落とす」、ビジネスで「ライバル会社を追い落とす」のように、主に競争に勝つために相手を押しのける行為を指します。ネガティブなニュアンスが強く、手段を選ばないような印象を与えることがあります。
追い討ち|おいう|逃げる敵をさらに追跡して攻撃すること。比喩的に、弱っているところにさらに追い打ちをかけること。
追い詰める|おいつ|「追い詰める」は、相手に逃げ場をなくして、厳しい状況に追い込むことを意味します。物理的に追いかけて隅に追いやる場合と、比喩的に議論や交渉で相手を窮地に立たせる場合の両方で使われます。
追い詰める|おいつ|「追い詰める」は、相手に逃げ場をなくして、厳しい状況に追い込むことを意味します。物理的に追いかけて隅に追いやる場合と、比喩的に議論や交渉で相手を窮地に立たせる場合の両方で使われます。
追い追い|おいお|「追い追い」は徐々に、段階を追って、または時間をかけて順次という意味の副詞です。急がずに自然な流れで物事が進展する様子を表します。やや文語的な響きがあります。
追い風|おいかぜ|「追い風」は、進行方向と同じ方向から吹く風のことで、文字通りの意味のほかに、物事が順調に進むための好条件や後押しという比喩的な意味でも使われます。
追う|お|「追う」は、逃げるものや目標に向かって後を追いかけることを意味する基本的な動詞です。物理的に追いかける場合から、目標や夢を追いかける比喩的な意味、時間に追われるという用法まで幅広く使われます。
追っ手|おって|追っ手は、逃げる人や敵を追いかける側の人物や集団を指します。主に小説や映画などの物語で使われます。
追っ払う|おっぱら|「追っ払う」は、邪魔なものや嫌なものを力強く追い払うことを意味します。
追っ掛ける|おっか|「追っ掛ける」は、逃げるものを追いかけて捕まえようとする動作を意味する動詞です。「追いかける」の強調形で、ややくだけた言い方です。また、アイドルや有名人を熱心に追いかけるファンの行動についても使われます。
追伸|ついしん|「追伸」は、手紙やメールの本文を書き終えた後に、追加で伝えたいことを付け加える際に使う言葉です。ラテン語の「ポストスクリプト」に由来し、英語の追伸記号に相当します。ややフォーマルな手紙で使われます。
追伸、お兄さんはお元気ですか。|げんき|「追伸」は、手紙やメールの本文を書き終えた後に、追加で伝えたいことを付け加える際に使う言葉です。ラテン語の「ポストスクリプト」に由来し、英語の追伸記号に相当します。ややフォーマルな手紙で使われます。
追加|ついか|すでにあるものにさらに付け加えることを意味します。注文や予約、データの追加など、様々な場面で使われます。
追加予算が下りないことには、このプロジェクトの遂行は無理だ。|むり|任務や計画を最後までやり遂げること。ビジネスや公式な場面でよく使われる。
追及|ついきゅう|問いただして真相を明らかにしようとすること。責任の所在を追い求めること。
追尾|ついび|「追尾」は目標を追跡することを意味する、やや専門的な用語です。レーダーやGPSなどの技術的な追跡から、探偵による尾行まで幅広い文脈で使われます。フォーマルな響きがあります。
追従|ついしょう|「追従」は、相手の意見や方針に従順に従うこと、あるいはゴマすりのために同調することを意味します。自分の意見を持たずに権力者に媚びるような、ネガティブなニュアンスがあります。
追徴課税|ついちょうかぜい|申告漏れや脱税などに対して追加で課される税金。税務調査の結果として課されるペナルティ的な意味合いがあります。
追悼式|ついとうしき|「追悼式」は、亡くなった人を偲び、哀悼の意を表すために行われる儀式です。一般的な「葬式」とは違い、災害や事件の犠牲者を追悼するための公的な式典や、有名人の死後に行われる式典を指すことが多いです。
追撃|ついげき|「追撃」は逃げる相手を追いかけて攻撃することを意味します。軍事やスポーツの文脈で使われることが多く、競争や戦いにおいて相手の弱点を突いて攻勢を続けるニュアンスがあります。やや硬い表現です。
追放|ついほう|人を組織や場所から強制的に去らせること。政治的な追放から、会社やコミュニティからの除名まで様々な場面で使う。
追究|ついきゅう|「追究」は物事の真相や本質を明らかにするために深く掘り下げて調べること。学問や研究の文脈でよく使われる。
追突|ついとつ|
追試（験）|しるし|「追試」または「追試験」は、欠席や不合格のために、本来の試験とは別に行われる追加の試験を指します。学校や資格試験の文脈で使われる言葉です。
追認|ついにん|「追認」は、事後的に承認や同意を与えることを意味するやや硬い言葉です。既に行われた行為や決定に対して、後から正式に認めるニュアンスがあり、ビジネスや法律の文脈で使われます。事前承認ではなく、後追いの承認という点が特徴です。
追走する|ついそう|後ろから追いかけて走ることを意味します。狩猟や追跡の場面で使われることが多く、徒歩での追跡をイメージさせる言葉です。
追跡する|ついせき|物事や人の動きを後を追って調べることを指します。犯人を追う意味や、データの変化を観察する意味でも使われます。
追跡プログラム|ついせき|何かを追いかけて記録したり、監視したりするためのコンピュータプログラムを指します。位置情報の追跡や、データの変化を監視するシステムなどで使われます。
追跡番号|ついせきばんごう|荷物の配送状況を確認するための番号を指します。宅配便やオンラインショッピングで日常的に使われる現代的な用語です。
追跡者|ついせきしゃ|逃亡者や目標を追いかけて跡を追う人を指します。探偵ものやサスペンス作品などでよく使われる表現です。
追送検|ついそうけん|「追送検」は法律・警察用語で、追加の容疑に関する書類を検察庁に送ることを意味します。犯罪捜査の過程で、新たな容疑が判明した際に行われます。一般的な会話ではほとんど使われない専門的な表現です。
追随|ついずい|「追随」は、先を行くものや優れたものに後からついていくことを意味します。多くは「追随を許さない」（追いつけないほど優れている）という形で使われます。
退かす|ど|物理的に物や人をどけて場所を空けること。やや雑なニュアンスを含むことも。
退く|しりぞ|後ろに下がる、その場から離れる。身を引く、辞任するなど比喩的な意味も持ちます。
退ける|しりぞ|相手や障害物を押しのけて遠ざけること。物理的な排除から抽象的な異議の却下まで幅広く使います。
退任|たいにん|現在の職務や役職から退くことを意味する名詞です。主に会社や組織のリーダーが辞める場面で使われます。
退位|たいい|君主や天皇がその地位を退くことです。譲位とも言われ、歴史的な文脈でよく使われます。
退出|たいしゅつ|その場から出て去ることを意味するやや改まった表現です。会議室や式典の場などで使われます。
退化|たいか|「退化」は、生物の器官や能力が進化の過程で衰えたり小さくなったりすることを指します。比喩的に、技術や技能が衰えることにも使われます。
退却|たいきゃく|「退却」は戦いや競争から後退・撤退することを意味します。
退団|たいだん|「退団」は、劇団やスポーツチーム、音楽グループなどの団体を辞めることを意味します。特にプロスポーツや芸能界で使われることが多い言葉です。引退とは異なり、単にその団体を離れることを指します。
退場カード|たいじょう|「退場カード」は、サッカーなどのスポーツで退場を宣告する際に審判が提示するカードのことで、レッドカードとも呼ばれます。重大な反則を犯した選手に与えられます。
退室|たいしつ|「退室」は、部屋から出ることを意味する正式な表現です。学校や会議、オフィスなどで使われ、「入室」の対義語です。やや改まった場面で使われることが多いです。
退屈|たいくつ|することがなくて時間が長く感じられ、つまらないと感じる状態のことです。
退屈しのぎ|たいくつ|「退屈しのぎ」は暇な時間を潰すための手段や行為を指します。本を読む、ゲームをする、散歩するなど、特に目的がなくても時間を過ごすための活動に使われます。ネガティブなニュアンスはあまりなく、日常会話でよく使われます。
退屈といったらない|たいくつ|することがなくて時間が長く感じられ、つまらないと感じる状態のことです。
