老醜|ろうしゅう|年を取って容貌や言動が醜くなること。かなり厳しい批判のニュアンスがあります。
耳目|じもく|文字通り「耳と目」のことですが、比喩的に「人々の注意や関心」を意味します。「耳目を集める」という形で、多くの人の注目を集めることを表現する硬い言い回しです。
耳聡い|さと|「耳聡い」は、ちょっとした情報や噂をすぐに聞きつけて知ってしまう性質を表す形容詞です。情報通で耳が早い人に対して使われますが、良くも悪くも使われます。感覚が鋭いという肯定的な意味と、ゴシップに敏感というやや軽いニュアンスの両方があります。
耳障り|みみざわ|聞いていて不快になる音や話し方。耳障りな音・耳障りな言葉遣いなど。
耳鳴り|みみな|周囲に音がないのに、耳の中で音が聞こえるように感じる症状を指します。キーンという高い音や、ザーという雑音のように感じられることが多いです。
耽る|ふけ|あることに夢中になり、時間を忘れて没頭すること。多くの場合、すべきことをおろそかにしてまで熱中するネガティブなニュアンスを含みます。「読書に耽る」「物思いに耽る」「酒に耽る」など。ポジティブな没頭には「熱中する」の方が適切です。
耽溺|たんでき|「耽溺」は、ある物事に深く没頭し、他を顧みないほどに溺れることを意味します。多くは良くない習慣や趣味にのめり込む否定的な文脈で使われ、快楽や欲望に溺れるニュアンスがあります。
聖なる|せい|神聖で清らかな様子を表す形容動詞です。宗教的な文脈や、特別に尊いものに対して使われることが多いです。
聖人君子|せいじんくんし|「聖人君子」は、道徳的に完全で非の打ちどころがない理想的な人物を指します。現実にはいないような完璧な人格者というニュアンスです。
聖典|せいてん|「聖典」は、宗教や信仰において神聖な書物や経典を指します。キリスト教の「聖書」、イスラム教の「コーラン」、仏教の「経典」など、それぞれの宗教で最も重要な教えを記した書物のことです。比喩的に、ある分野で絶対的な権威を持つ書物を指すこともあります。
聖地巡礼|せいちじゅんれい|「聖地巡礼」は、もともと宗教的な意味での聖地を巡る旅を指していましたが、現在ではアニメや映画の舞台となった場所をファンが訪れることを指す言葉としても広く使われています。
聖戦|せいせん|宗教的な理由で行われる戦争を指します。特にイスラム教のジハードの訳語として使われます。
聖書|せいしょ|「聖書」は、キリスト教の教典で、旧約聖書と新約聖書から成ります。世界中で最も読まれている書物の一つで、宗教的な文脈だけでなく、西洋文化や文学を理解する上でも重要な文献です。日常会話ではあまり使われませんが、教養語として知られています。
聖火|せいか|「聖火」は、オリンピック競技大会で使われる神聖な火を指します。古代オリンピックに由来し、開催国から聖火リレーで運ばれ、開会式で聖火台に点火される象徴的な存在です。厳かで神聖なニュアンスがあり、オリンピック関連の報道でよく使われます。
聖者|せいじゃ|宗教的に神聖な人や、模範的な徳を備えた人を指します。キリスト教の聖人や、仏教の高僧などが該当します。比喩的に、非常に人格が高潔な人をほめて使うこともあります。
聖職|せいしょく|神や宗教に仕える職業を指します。僧侶や牧師など、宗教的な使命を帯びた仕事を表します。
聖職者|せいしょくしゃ|「聖職者」は、宗教的な儀式や教えを司る職業に就く人を指す言葉です。キリスト教の牧師や司祭、仏教の僧侶、イスラム教のイマームなど、さまざまな宗教の指導者が含まれます。社会一般から特別な尊敬や道徳的な期待を寄せられる立場であり、「聖職者のような」という比喩表現では、清廉で高潔な人柄を褒める意味になります。やや硬い表現ですが、新聞や教養番組などで使用されます。
聖霊が降臨する|こうりん|神や仏、または高貴な存在が天から地上に下りてくること。また、比喩的に重要な人物や物事が突然現れることも指す。
聞かす|き|話や音楽、芸などを相手に聞かせることを意味する動詞です。「一杯聞かす」（だます意）という慣用句もあり多義的に使われます。日常では「聞かせる」のほうが一般的で、「聞かす」はくだけた、男っぽい響きがあります。
聞き付ける|ききつ|何かの音や話を耳にして、それを認識したり気づいたりすることを指します。特に偶然聞こえてくる場合に使われます。
聞き入る|い|夢中になって熱心に聞くこと。音楽や話に没入して、周りが目に入らない状態を表します。
聞き入れる|ききい|「聞き入れる」は、相手の意見や願いを聞いて受け入れること。目上の人が目下の人の要望を認める場面でよく使う。
聞き出す|ききだ|聞き出すとは、相手からうまく話を引き出して情報を得ることを意味します。
聞き分け|ききわ|「聞き分け」は、子供が大人の言うことを素直に聞いて従うことを指します。特に「聞き分けのいい子」「聞き分けがない」という形で、子供の性格や態度を評価する時に使われます。良い意味では「素直」、悪い意味では「わがまま」に対応します。
聞き及ぶ|ききおよ|「聞き及ぶ」は、人づてに噂や情報を聞いて知ることを意味するやや古風な動詞です。「聞く」よりも間接的で、正式な情報源ではなく風聞によって知るニュアンスがあります。書き言葉的で、日常会話ではあまり使われません。
聞き取り|ききと|「聞き取り」は、聞いて理解することを意味します。語学の「聞き取り（リスニング）」、または警察や調査の「聞き取り調査（ヒアリング）」の両方で使われます。動詞「聞き取る」の名詞形です。
聞き咎める|とが|「聞き咎める」は、聞いた言葉や話の中に気になる点や問題点を見つけて、それを追求したり問い詰めたりすることを意味します。主に、上司や先生など立場が上の人が、部下や生徒の発言の矛盾や不適切な点を指摘する場面で使われます。「咎める」は「責める」に近い意味で、相手の過失を追及するニュアンスを含みます。厳しい印象のある言葉で、日常会話でカジュアルに使うことはあまりありません。
聞き届ける|とど|人の願いや要求を聞いて、それを承諾することを意味するやや古風な動詞。目上の人が目下の者の願いをかなえる場面で使われることが多いです。
聞き手|ききて|話を聞く側の人を指す名詞です。会話やスピーチ、インタビューなどの場面で使われ、話し手と対になる概念です。
聞き捨てならない|ききず|今聞いた言葉をそのまま聞き流せない、という強い反発や驚きを表す慣用句です。侮辱や重大な発言に対して「聞き捨ならない」と反応します。
聞き捨てる|ききず|「聞き捨てる」は、聞いたことを無視したり、聞き流したりすることを意味します。特に「聞き捨てならない」という否定形でよく使われ、見過ごせない・重要な情報として受け止めるニュアンスになります。
聞き流す|ききなが|相手の話を本気で受け止めず、そのまま聞いて忘れること。重要な話や注意を無視するニュアンスがある。
聞き耳|ききみみ|「聞き耳」は、周囲の音や話を注意深く聞こうとする姿勢や、その耳を意味します。「聞き耳を立てる」という形で、こっそりと他人の話を盗み聞きする時や、特定の情報を注意深く探る時に使われます。好奇心や警戒心から自然に行う動作で、やや秘密めいたニュアンスがあります。
聞き耳を立てる|た|周囲の音や会話を注意深く聞こうとすることを意味する慣用句です。特に、本来聞くべきでない話や、こっそりと聞き取ろうとする状況で使われ、意識的に耳をそばだてる様子を表します。
聞き落とす|お|話の内容をうっかり聞き逃すことを意味します。注意を払っていなかったために重要な情報を聞き逃した場面で使われます。
聞き覚える|おぼ|「聞き覚える」は、聞いて内容を記憶することや、音や言葉を聞いて覚えることを意味します。見て覚える（「見覚える」）との対比で使われ、耳からの情報を自然に記憶するニュアンスがあります。また、「聞き覚えがある」（以前聞いたことがある）という慣用的な使い方も一般的です。
聞き込み|ききこ|「聞き込み」は、特に警察の捜査で、関係者や周辺住民に話を聞いて情報を集めることを指します。また、営業や調査でも使われます。地道に多くの人に話を聞くことで、手がかりを得る手法です。
聞き返す|ききかえ|相手の言ったことが聞き取れなくてもう一度尋ねること。また、逆に質問し返すこと。
聞くが早いか、あいつは飛び出していった。|とびだ|海に生息する軟体動物で、食用として広く親しまれています。イカそうめんやイカの刺身など、日本料理では欠かせない食材です。
聞くに値する|あたい|価値や資格があること。ある行為や物事に対して「それに見合うだけの価値がある」という評価のニュアンスです。やや硬い表現です。
聡い|さと|頭の回転が速く、物事の理解が早いこと。特に「耳が聡い」という形で、ちょっとした情報をすぐに聞きつける敏感さも表す。ポジティブな評価の言葉。
聡明|そうめい|頭の回転が速く、物事を深く理解できる賢い様子を表す形容動詞です。知性と品のある印象を与えます。
聡明（な）|そうめい|頭の回転が速く、賢くて理解力があることを表す褒め言葉です。知識だけでなく、物事の本質を見抜く知恵も含みます。
聳える|そび|山や建物などが高くそびえ立つ様子。周囲より一段と高く見える。
聳やかす|そび|「聳やかす」は、高くそびえ立たせること、または威圧的に見せかけることを意味する動詞です。建物や山などが物理的に高く聳える様子だけでなく、肩を怒らせて大きく見せようとする人間の動作にも使われます。「聳える」が自動詞なのに対し、「聳やかす」は他動詞として使われる点が異なります。
聴取|ちょうしゅ|注意して聞くこと。特に、警察の事情聴取やラジオの聴取など、目的を持って聞く行為を指すフォーマルな語。
聴取は、その歌手に盛大な拍手をおくった。|はくしゅ|注意して聞くこと。特に、警察の事情聴取やラジオの聴取など、目的を持って聞く行為を指すフォーマルな語。
聴導犬|ちょうどうけん|聴覚障害のある人のために、音を知らせる役割をする介助犬のことです。電話や玄関のチャイム、火災警報などを聞き分けて教えます。
聴衆|ちょうしゅう|「聴衆」は、講演や演奏会などで話や音楽を聴く人々の集まりを指します。観客よりは「聴く」ことに重点が置かれ、コンサートや講演会などに適した言葉です。
聴衆から歓声があがった。|かんせい|「歓声」は、嬉しさや喜びのあまり思わず発する叫び声を指します。スポーツの試合やコンサート、お祭りなどの楽しい場面で使われることが多く、ポジティブな意味合いが強いです。複数人の声を指すことが一般的です。
聴衆は惜しみない拍手を送った|おく|「聴衆」は、講演や演奏会などで話や音楽を聴く人々の集まりを指します。観客よりは「聴く」ことに重点が置かれ、コンサートや講演会などに適した言葉です。
聴覚|ちょうかく|音を聞き取る感覚のことを指します。五感の一つです。
聴解|ちょうかい|「聴解」は、聞いた内容を理解する能力を指す言葉で、主に語学教育の分野で使われるやや専門的な用語です。日本語教育では「聴解」は「リスニング」とほぼ同義で、読解（リーディング）と対をなすスキルです。
聴診器|ちょうしんき|「聴診器」は医師が心音や呼吸音を聴くための医療器具です。胸に当てる部分（チェストピース）と耳に当てる部分（イヤーチップ）がチューブでつながっています。診察の象徴的な道具としてよく知られています。
聴講|ちょうこう|「聴講」は、講義や講演を聴いて学ぶことです。正規の学生でなくても聴講できる制度（聴講生）があります。
職人|しょくにん|「職人」は、特定の技術に秀で、製作や施工を専門とする人のことです。熟練した技術とこだわりを持っています。
職務概要|がいよう|「職務概要」は、求人情報や社内文書で、ある仕事の内容や責任範囲を簡潔にまとめたものを指します。ビジネスや人事の分野で使われる専門用語で、求職者が仕事内容を理解するための重要な情報です。
職務経歴書|しょくむけいれきしょ|職務経歴書は、応募者の職歴や実績を詳細にまとめた書類。履歴書より具体的な業務内容を記載する。
職員|しょくいん|会社や組織、官公庁などに勤める人を指します。従業員や社員よりも広い意味で、公務員や学校の先生なども含みます。
職場での男女不平等はよく見られるね。|み|不平は、現状に満足せず、不満や文句を言うことを指します。「不満」が内心の感情に焦点を当てるのに対し、「不平」はそれを口に出して表現する側面が強いです。「不平を言う」「不平不満」のように使われます。やや口語的で、日常の愚痴や文句の文脈でよく使われます。
職場で使う術語をリストにまとめた|じゅつご|「術」は物事を達成するための方法・技術・手段を意味します。武術や芸術のように体系化された技術から、生き延びる術のような日常的なノウハウまで幅広く使われます。漢字の「術」は「技」よりも体系的で洗練されたニュアンスがあります。
職場に、自動販売機を備え付ける。|そなえつ|「備え」は将来の事態に備えて準備しておくことを意味する名詞です。「備えあれば憂いなし」という有名なことわざでも使われます。
職業|しょくぎょう|「職業」は、人が生計を立てるために従事する仕事の種類を指します。会社員、医者、教師など、社会における役割や活動を表す基本的な語です。
職種|しょくしゅ|仕事の種類や分野のことです。事務、営業、技術、医療など、様々な職業の区分を表します。
職種によらず、賃金によらず、仕事があれば何でもやります|なん|「種」は、植物の種子を指すほか、物事の種類や原因、カードゲームのスートなど多様な意味を持つ言葉です。非常に基本的な語彙で、日常会話から専門的な文脈まで幅広く使われます。
職能|しょくのう|「職能」は特定の職業や仕事を遂行するために必要な能力や技能を指します。資格や経験によって培われる専門的な能力で、ビジネスや人事の文脈で使われることが多いです。「職能資格制度」などの複合語でも見られます。
職責|しょくせき|「職責」は、その職務に伴う責任や義務。単なる「仕事」より重く、責任の重さを強調する。管理職や専門職で使われることが多い。
聾|つんぼ|「聾」は、耳が全く聞こえない状態を指す医学的・古風な表現です。現代では「聴覚障害」の方が一般的で、「聾」は差別的ニュアンスを含む場合があるため注意が必要です。
聾者|ろうしゃ|
肉から脂身を取りなさい。|と|肉の脂肪の多い部分を指し、料理の際に扱われる食肉の部位です。
肉をたらふく食う|く|「たらふく食う」は満腹になるまでたっぷり食べることを表すくだけた表現です。
肉をとろとろと煮込んだその料理はとても美味しい|おい|物事の筋道や道理、正しい道理のことです。自然科学の分野では「原理」や「法則」という意味でも使われます。
肉付け|にくづ|「肉付け」は文字通り「肉をつける」という意味もありますが、比喩的に「（計画や作品などの）骨格に具体的な内容を加えて充実させる」という意味でよく使われます。料理の分野では、肉に脂身や他の肉を巻き付ける調理法も指します。
肉体|にくたい|人間の精神や心に対して、物理的な身体のことを指します。やや硬い表現で、文語や学術的な文脈で使われることが多いです。
肉体はいつか滅びます。|ほろ|人間の精神や心に対して、物理的な身体のことを指します。やや硬い表現で、文語や学術的な文脈で使われることが多いです。
肉体労働|にくたいろうどう|体を使って行う仕事を指します。工事現場や工場などで行われ、頭脳労働と対比される言葉です。
肉体関係|にくたいかんけい|「肉体関係」は、男女間の性的な関係を婉曲に指す表現です。公の場やフォーマルな文脈で使われることが多く、直接的な表現を避ける際に用いられます。恋愛や結婚の話題で登場することが多い言葉です。
肉声|にくせい|機械やマイクを通さない、生の人間の声。録音や放送ではなく、直接耳で聞く声のこと。
肉屋|にくや|「肉屋」は、肉を販売する店のことです。精肉店とも呼ばれます。
肉弾戦|にくだんせん|「肉弾戦」は、銃器などを使わず、身体をぶつけ合って戦う白兵戦や格闘戦を指します。戦争や武道の文脈で使われるほか、比喩的に「迫力ある激しい戦い」という意味でスポーツなどにも用いられます。
肉汁|にくじゅう|肉を調理する際に出る汁。ステーキやハンバーガーの「肉汁があふれる」ような表現で、食欲をそそる響きがある。スープとしての肉汁（ブイヨン）も指す。
肉片|にくへん|肉の小さな一片や切れ端を指します。料理や解剖などの場面で使われることが多いです。
肉球|にくきゅう|「肉球」は、猫や犬などの動物の足の裏にある柔らかい肉質の部分です。英語のpaw padに相当し、歩行時の衝撃吸収や静音化の役割を果たします。動物の可愛い特徴として人気があります。
肉眼|にくがん|「肉眼」は、望遠鏡や顕微鏡などの道具を使わない、生の人間の目を指します。肉眼で見える／見えないといった形で、機器を使わない自然な視覚について述べる時に使います。
肉薄|にくはく|目標や敵に非常に接近すること。物理的な接近から、記録や業績に迫る比喩的用法まで含む。
肉薄した戦闘|せんとう|「にくはくしたせんとう」と読み、敵と至近距離で直接戦う戦闘様式を指します。銃器を使わず、刀やナイフ、素手で戦う白兵戦の意味で、軍事・アクション作品で使われます。
肉親|にくしん|血のつながった家族のことを指します。親子や兄弟など、最も近い関係の親族を表すやや改まった表現です。
肉食|にくしょく|肉食は、動物の肉を食べることを指します。食習慣や動物の分類について話すときに使われます。
肉食系|にくしょくけい|「肉食系」は、恋愛や仕事に対して積極的で攻撃的な姿勢を持つ人を指す、やや俗語的な表現です。本来は草食系と対比される言葉で、特に恋愛において自分から積極的に行動するタイプを表します。現代の日本で作られた比較的新しい言葉です。
肋|あばら|胸郭を構成する弓状の骨。内臓を保護する役割を持つ。
肌|はだ|肌とは、人間や動物の皮膚を指します。また、物事の表面や質感を表す比喩的な使い方もあります。
肌で感じる|かん|直接経験を通じて、感覚的に物事を理解したり実感したりすることを意味する慣用表現です。理論ではなく、実体験から学ぶニュアンスがあります。
肌寒い|はださむ|肌に感じる寒さがややある状態。本格的な冬の寒さほどではないが、ひんやりと感じる春秋の気温を表す。
肌着|はだぎ|「肌着」は、肌に直接着用する下着のことです。特に和語としての「肌着」は、シャツやランニングシャツなどのトップス系の下着を指すことが多いです。「下着」がボトムスも含む包括的な言葉なのに対し、「肌着」は特に上半身に着けるものを指す傾向があります。
肌色|はだいろ|人間の肌の色を指す言葉です。かつては「肌色」といえば薄いベージュ色を指しましたが、近年は多様性の観点から使用に注意が必要です。
肌荒れ|はだあ|肌の状態が悪くなり、乾燥や吹き出物、かゆみなどが生じることを指します。季節の変わり目やストレスが原因になることが多いです。
肌触り|はだざわ|「肌触り」は、布地や素材を肌で触れたときの感覚や手触りを指します。柔らかい、滑らか、ざらざらなど、布や紙、革などの質感を評価する日常的な表現です。
肖像画|しょうぞうが|「肖像画」は、特定の人物を描いた絵画のことです。写真が普及する前は、人物の姿を残す主要な手段でした。現在でも著名人や家族の記念として描かれることがあります。
肘|ひじ|「肘」は、腕の関節部分で、上腕と前腕をつなぐ部位を指す身体の名称です。日常的に非常によく使われる基本的な名詞で、肘をつく、肘をぶつける、肘掛けなどの表現で使われます。
肘当て|ひじあ|椅子のひじ掛け部分や、肘を置くためのパッドやクッションのことです。
肘掛|ひじかけ|椅子やソファの両側にある、腕を乗せるための部分です。長時間座る時の快適さに影響します。
肘掛いすに腰掛ける。|こしか|「腰掛ける」は「座る」の丁寧な言い方で、特に腰を下ろす動作を丁寧に表現するときに使います。日常会話では「座る」が一般的ですが、「腰掛ける」はやや改まった印象を与えます。
肛門|こうもん|
肝いり|肝[きも]いり|目上の人が熱心に後援・支援することを意味します。特に「社長肝いりのプロジェクト」のように、トップ自らが推進しているというニュアンスで使われます。単なる「支援」より強い関与と熱意を含み、そのプロジェクトや企画が特別に重要視されていることを示します。
肝に銘じる|めい|「肝に銘じる」は深く心に刻んで決して忘れないことを意味する慣用句です。「肝（きも）」は比喩的に心や精神を表し、強い決意や教訓を胸に刻むニュアンスがあります。やや硬い表現で、真剣な場面で使われます。
肝を潰す|つぶ|「肝を潰す」は「非常に驚く」「肝を冷やす」と同様に、強い恐怖や衝撃を受けることを意味する慣用表現です。「肝」は内臓の肝臓ではなく、昔の人が「肝」に精神や勇気が宿ると考えたことに由来します。現代ではやや古風な言い方です。
肝臓|かんぞう|体内で最も大きな臓器の一つで、食べ物の消化や解毒など様々な重要な役割を果たします。健康管理の話題でよく出てきます。
肝臓と腎臓はどちらも大切な器官です|きかん|体内で特定の機能を持つ部分。生物の体を構成する部分のこと。
肝要|かんよう|非常に重要であること。「〜が肝要である」のように硬い文章語として使い、「重要」よりも格調高い印象を与える。
肝試し|きもだめ|夜の墓地や廃墟など怖い場所に行き、勇気を試す遊び。夏のイベントとして子供や若者の間でよく行われます。
股|また|両脚の付け根の部分を指します。人体の部位の名称で、日常会話ではあまり使われないやや改まった言葉です。
股にかける|また|二つの地域や分野にまたがって活動すること、または物理的に足を広げてまたぐことを意味します。慣用的には「全国を股にかけて活躍する」のように、広範囲にわたる活動を表すのに使われます。
股間|こかん|両脚の付け根の部分、特に男性器周辺を指す。医学的な文脈から日常会話まで使われるが、やや直接的な表現。
肢体|したい|人間の手足や胴体を含む身体全体を指す、やや文学的な表現です。美術や文学で人体の造形美を描写する際や、官能的なニュアンスを含む文脈で使われることが多いです。
肥える|こ|「肥える」は、土地が肥沃になるという原義から、経験を積んで感覚や判断が鋭くなることをも意味します。「目が肥える」「耳が肥える」のように、審美眼や鑑識眼が磨かれることを表す比喩的用法が特に有名です。
肥やす|こ|「肥やす」は土地を肥沃にすることや、動物を太らせること、また比喩的に知識や経験を豊かにすることを意味します。
肥大|ひだい|体の器官や組織が必要以上に大きく育つこと、また物事が必要以上に膨らむことを表します。医学用語として「前立腺肥大」「心肥大」のように使われることが多く、比喩では「権力の肥大」「都市の肥大」など問題性を帯びた拡大を指します。
肥料|ひりょう|「肥料」は、植物の成長を促進するために土壌に与える物質の総称です。化学肥料と有機肥料があり、農業や園芸で使用されます。植物に栄養を供給し、収穫量や品質を向上させる役割があります。
肥沃な|ひよく|土地が豊かで、作物がよく育つことを表す形容詞です。農耕に適した土壌を表現するときに使われる、やや硬い書き言葉です。
肥満|ひまん|「肥満」は医学的に体脂肪が過剰に蓄積した状態を指す言葉で、「太っている」よりもフォーマルで客観的なニュアンスがあります。健康診断や医療の文脈でよく使われます。
肩が凝っている|こ|「肩が凝っている」は、首や肩の筋肉が緊張して硬くなり、痛みや不快感がある状態を表す慣用句です。長時間のデスクワークやスマートフォンの使いすぎ、ストレスなどが原因で起こります。日本の職場で非常によく使われる日常的な表現です。
肩こり|かた|首から肩にかけての筋肉が緊張して硬くなり、痛みや不快感を伴う状態を指します。現代人の悩みとしてよく話題になります。
肩で息をする|いき|呼吸によって肺に出し入れする空気のことです。また、生きている証としての呼吸を指します。
肩の力を抜く|ぬ|「肩の力を抜く」は、緊張や気負いを解いてリラックスすることを意味する慣用表現です。文字通り肩の力を抜く動作から来ており、比喩的に「もっと気楽にやろう」というアドバイスとして使われます。日常会話でよく使われるカジュアルな表現です。
肩の荷が下りる|お|長い間抱えていた責任や心配事から解放されて、ホッとすることを表す慣用句です。文字通りには「肩に担いでいた荷物を下ろす」ことで、比喩的に「重圧から解放される」意味になります。
肩をすくめる|かた|「肩をすくめる」は、両肩を上に上げる仕草を表す表現で、困った時や分からない時、または無関心を示す時に使われます。相手に何も言わずに困惑や無関心を伝える動作で、会話の中でよく使われる慣用的な表現です。
肩を持つ|も|争いや対立の中で、特定の一方の味方をする・支援すること。公平な立場ではなく、一方に偏って応援するニュアンス。
肩を組む|く|「肩を組む」は、二人以上の人が互いの肩に腕を回して組む動作を表します。親しさや連帯感、仲間意識を示す身体的なジェスチャーで、スポーツの試合前後や記念撮影などでよく見られます。
肩を落とす|お|「肩を落とす」は、期待や希望が外れてがっかりしたり、落ち込んだりする様子を表す慣用表現です。失望や落胆の感情を身体的な動作で表現したもので、フォーマル・カジュアルどちらでも使われます。
肩代わり|かたが|「肩代わり」は他人の借金や責任を代わりに引き受けることを意味します。「借金の肩代わり」「債務の肩代わり」のように、経済的な負担の移転を指すことが多いですが、比喩的に「責任の肩代わり」とも使われます。
肩入れ|かたい|特定の人物や団体を支援・応援することを意味します。比喩的に「肩に力を入れる」という動作から派生した表現で、ややカジュアルな場面で使われることが多いです。
