戸別に|こべつに|Door to door
私たちの前途には幾多の困難が横たわっている。|わたしたちの ぜんとには いくたの こんなんが よこたわっている|There lie many difficulties before us
長蛇の列|のちょうだのれつ|Long line / Long queue
豊満|ほうまん|Stout / Plump
碑|いしぶみ|Monument
けしからぬ|けしからぬ|outrageous; scandalous; inexcusable; disgraceful; shameful; rude
真相|しんそう|Truth
座り技|すわり わざ|Aikido seated defense
旗が風に靡いている|はたが かぜに なびいている|The flag is fluttering in the breeze
入り江|りいりえ|Inlet / Cove / Creek / Bay
排他的|はいたてき|Exclusive
踏み台|みふみだい|Stool (stood on to reach high objects) / Small stepladder / (figurative) steppin
更地|さらち|Empty lot / Vacant plot of land
私はちょっぴり悲しい|わたしはちょっぴり かなしい|I am a trifle sad
押し当てる|おし あてる|to push (something) against
ずきずき（する）|ずきずきする|To throb (legs in pain, still throbbing?)
目から鱗が落ちる|めから うろこが おちる|To &quot;see the light&quot; (idiom)
錆付く|さびつく|To rust together
事欠く|ことかく|To lack
時間稼ぎ|じかんかせぎ|Holding out / Stalling / Putting off / Time buying
耳寄りな情報があります|みみよりな じょうほうがあります|I have some encouraging news
日本においても、青少年の犯罪が増えている|にっぽんにおいても せいしょうねんの はんざいが ふえている|Even in Japan youth crime is rising ( において )
条件分岐|じょうけんぶんき|Conditional branch
増長|ぞうちょう|growing impudent; becoming arrogant; getting stuck-up
民事|みんじ|civil affairs; civil case
裏表|うらおもて|Inside out / front and back
彼女は法廷に判事と陪審員の前にたった。|かのじょは ほうていに はんじと ばいしんいんの まえにたった|She stood in the court before judge and jury
高弟|こうてい|Best pupil / Leading disciple
マッチ棒|ぼう|matchstick
蛭|ひる|Leech
会社に従属するのがいいとは限らない|かいしゃに じゅうぞくするのがいいとは かぎらない|It is not necessarily a good thing to depend on the company
空振り|からぶり|Striking at something and missingin vain
併設|へいせつ|Establishment as an annex (eg of a school) / placing side by side
いいようにする|いいようにする|to do as one wishes, to act as one wills
府|ふ|prefecture&nbsp;&nbsp;(not 県)
調教|ちょうきょう|Another word for &quot;training, schooling&quot;. I'll give you some schooling *
上部|じょうぶ|Top part / Surface
計画は裏目に出て我々は大損をした。|けいかくは うらめに でて われわれは おおぞんをした|The plan backfired on us and we lost a lot of money
分乗|ぶんじょう|riding separately
