羨望|せんぼう|envy
一過性|いっかせい|transient (symptom, phenomenon), temporary, passing, fleeting
応じる|おうじる|応ずる相手の働きかけに対応して行動を起こす。こたえる呼びかけに返事をする。応答する物事の変化に合わせて、それにふさわしく対応する。適合するTo adapt
手入れ|ていれ|Care / Repairs
備え|そなえ|Provision / Preparation / Reserve
不意打ち|ふいうち|Suprise attack
歪む|いがむ|Be crooked&nbsp;
集大成|しゅうたいせい|Compilation
三人称|さんにんしょう|Third person (camera etc)
滅相もない|めっそうもない|don't be absurd, that's out of the question, nonsense, don't mention it
徹する|てっする|1. to penetrate, to sink in2. to devote oneself (to), to do intently and exclusi
雑煮|ぞうに|soup containing rice cakes and vegetables (New Year's dish)
門外不出|もんがいふしゅつ|(treasuring something by) never taking (it) off the premises
後塵|こうじん|trailing dust, dust left by someone running ahead
口喧しい|くちやかましい|1. nagging, critical2. talkative, gossipy
個展|こてん|solo exhibition, one-man exhibition, one-woman exhibition
推進 （する）|すいしんする|Promotion (recycling?)
罵る|ののしる|To speak ill of / to abuse / swear / curse / call X names
発足|ほっそく|Starting / Inauguration / Launch (the Asakura naikaku!)
論理積|ろんりせき|AND operation / logical product
敬服|けいふく|great admiration; deep respect
根に持つ|ねに もつ|to hold a grudge; to hold something against somebody
繁吹き|しぶき|splash; spray
ギクシャク||1. awkward (movements, speech, etc.), jerky, stiff, stilted2. strained (relation
外角|がいかく|Outside (Baseball)
憎悪|ぞうお|Hatred
操縦席|そうじゅうせき|Cockpit
夜中に電話がかかってくるのは甚だ迷惑だ|やちゅうに でんわがかかってくるのは はなはだ めいわくだ|It is very annoying when someone calls in the middle of the night
人相書き|にんそうがき|Personal description
課金|かきん|Charges / Billing
多勢に無勢|たぜいに ぶぜい|being outnumbered (e.g. in a military context)
被後見人|ひこうけんにん|ward (of the court)
悩ましい|なやましい|Seductive / Enchanting
逸話|いつわ|Anecdote
咥える|える|To hold in ones mouth ... again! another kanji
提示|ていじ|To present / production
風がぴたりと止んだね。|かぜがぴたりと やんだね|The wind suddenly died down.
鱗|うろこ|Scale (of fish)
放火魔|ほうかま|pyromaniac
勤勉|きんべん|Diligence / hard work (iknow word)
土砂降り|どしゃぶり|Downpour / rained in buckets
安泰に暮らす|あんたいに くらす|Live in security
有り気|りありげ|Appearing like / Seeming to be
熱中している|ねっちゅうしている|Keen / Zealous / Crazy / Absorption / Enthusiasm
託宣|たくせん|oracle
やり込み|やり こみ|self-imposed challenge (e.g. speedrun, 100% completion, no deaths)
遠投|えんとう|long throw
定規|じょうぎ|(measuring) Ruler
退却|たいきゃく|Retreat / Withdrawel / Retirement
先生に怒られたってへっちゃらだい。|せんせいに おこられたってへっちゃらだい|I couldn't care less if the teacher is mad at me.
耳打ち|みみうち|whispering into a person's ear
定命|じょうみょう|{Buddh} (See 寿命) one's predestined length of life; (2) (ていめい only) destiny; fate
居間|いま|Living Room
厚生労働省|こうせいろうどうしょう|Ministry of health, labour and welfare
気を取られる|きを とられる|To have ones attention taken away / To be preoccupied with
門下生|もんかせい|Pupil / Disciple / Follower
純然|じゅんぜん|absolute; complete; utter; pure; sheer
凄み|すごみ|1. ghastliness, dreadfulness, grimness, weirdness2. intimidation, menace, threat
吝か|やぶさか|reluctant, hesitant
情勢|じょうせい|State of things / situation
浴衣|ゆかた|Kanji for Yukata
臨機応変|りんきおうへん|Ad-Hoc / Winging it / Playing it by ear / adapting onself to the requirements of
入り乱れる|りいりみだれる|To be jumbled together
～ともあろう Grammar|ともあろう|Is the same as たる, can think of "so called", or just という
土嚢|どのう|Sandbag
進呈|しんてい|presentation (e.g. of a gift)
往来|おうらい|coming and going; traffic; (n) (2) road; street
如実知見|にょじつちけん|perceiving reality as it is, true awareness of reality
事足りる|ことたりる|to suffice, to serve the purpose, to be satisfied
席順|せきじゅん|Seating order / arrangement
条約|じょうやく|Treaty
思い込む|いおもいこむ|Assume / Believe
文部科学省|もんぶかがくしょう|Ministry of education / culture / sports / science and technology (MEXT)
積乱雲|せきらんうん|Cumulonimbus cloud
存亡|そんぼう|Life or death / existence / destiny
しんどいこととか全然ない？|しんどいこととか ぜんぜんない|Isn’t it tough at all?
柔和|にゅうわ|gentle; mild; meek; tender
月日|つきひ|Date (as in time)
爆薬|ばくやく|Explosive / Blasting powder
手風琴|てふうきん|Harmonica / Accordion
丘陵地帯|きゅうりょうちたい|hill country; hilly area
由縁|ゆえん|事の起こり。由来。わけ関係。ゆかりacquaintance; relation; affinity; reason
墳墓|ふんぼ|grave; tomb
華氏|かし|Fahrenheit
身籠る|み ごもる|to become pregnant
売れ残る|うれ のこる|to remain unsold, to be left on the shelf
すらすら|すらすら|Unhesitantly / Confidently
部数|ぶすう|Circulation / Number of copies
先進国|せんしんこく|Advanced nation / Developed nation
包む|つつむ|To be engulfed in / enveloped by / to wrap up / to tuck in / to cover with
順を追って|をじゅんをおって|In order / From start to end
然程|さほど|Not so / Not particularly / Not very (far away etc)
風味|ふうみ|Taste / Flavour
殺処分|さつしょぶん|Culling
徒弟|とてい|apprentice
おじゃん|おじゃん|coming to nothing
家令|かれい|steward; butler
一段と|いちだんと|Greater / Further (iknow word)
明々後日|しあさって|Three days from today
魚雷|ぎょらい|Torpedo
引きずる|ひきずる|drag along
をものともせずに　（Grammar)|をものともせずに|In the face of, in defiance of, in spite of にもかかわらず
甚だ|はなはだ|Very / Greatly / Exceedingly
嵐の後には凪が来る。|あらしの のちには なぎが くる|After a storm comes a calm
暇乞い|いとまごい|別れを告げること。別れの言葉ひまをくれるように願い出ることleave-taking; offering one's resignation; farewell 
取り下げる|とり さげる|to withdraw, to abandon (e.g. a lawsuit)
都道府県|とどうふけん|Administrative divisions of Japan
側近|そっきん|Aide / Inner circle / Palace guard
召使|めしつかい|Servant
固執|こしつ|Adherence （negative nuance）・Stubbornness / Persistence
台頭|たいとう|Rise of / Appearance of / Prominence (Of linux!)
日食|にっしょく|Solar eclipse
先生は彼を贔屓しています|せんせいは かれを ひいきしています|The teacher favours him
詳らか|つまびらか|detailed; clear
花は長さを揃えて花瓶にさしましょう。|はなは ながさを そろえて かびんにさしましょう|Cut the flowers the same length and stand them in the vase.
全寮制|ぜんりょうせい|System where all students live in dormitories
こめかみ|こめかみ|Temple (of the forehead)
満潮|まんちょう|High tide / high water / full tide
金管楽器|きんかんがっき|brass instrument
勤める|つとめる|To work / be employed
外科医|げかい|Surgeon
恨む|うらむ|To hate / bear a grudge
今日は組合の集まりがあるわ。|きょうは くみあいの あつまりがあるわ|There is a union meeting today.
嘆き悲しむ|なげき かなしむ|To grieve and moan
窟|いわや|Cavern / Grotto
大慌て|おおあわて|Great excitement
付き物|きつきもの|Accessory / Accompaniment
達磨|だるま|daruma, tumbling doll, round, red-painted good-luck doll in the shape of Bodhidh
右に同じ|みぎに おなじ|like he said, same for me, ditto
閉口|へいこう|Stumped / Dumbfounded / Also Annoyed / At ones wits end
体裁|ていさい|Decency / Style / Form / Appearance
祝賀会|しゅくがかい|Celebration
煽る|あおる|To agitate / To stir up / To fan (wind?)
首輪|くびわ|1. (animal) collar2. necklace, choker
やめろといったにもかかわらず彼は我を通した。|やめろといったにもかかわらず かれは わがを とおした|He stuck to his opinion though I told him not to.
下ネタ|しも|Dirty joke
鱈腹|たらふく|To ones heart content
帝王切開にしてください。|ていおうせっかいにしてください|I'd like to have a Caesarian operation
雄雄しい|おおしい|Manly / Brave / Heroic
空気銃|くうきじゅう|Air gun / Air rifle
耐久|たいきゅう|endurance; persistence
監査役|かんさやく|Auditor / Inspector
小賢しい|こざかしい|Smart alecky / Crafty / Sly
厳正|いむ ただし|Rigid / Strict
遺棄|いき|Abandonment / Desertion
余波|よは|Waves that remain after wind has subsided / aftermath / after effect
元より|もとより|From the beginning / All along&nbsp;
愛用|あいよう|To use regularly
時報|じほう|Time signal
宣べ伝える|せんべ つたえる|To proclaim (eg gospel)
ところが|ところが|however, even though
故あって|ゆえあって|for a certain reason, owing to unavoidable circumstances
殺生|せっしょう|Killing / Destruction of life
要領|ようりょう|The knack of something / Point / Trick / Art / Secret
増殖|ぞうしょく|Increase / Multiply / Propagation
がつがつ|がつがつ|Greedily / Burning with desire for something
珪素|けいそ|silicon
狂喜|きょうき|wild joy, ecstasy
肉汁|にくじゅう|meat soup, bouillon, juices (from grilled meat), gravy
有価証券|ゆうかしょうけん|Marketable securities / stocks and bonds
上体|じょうたい|Upper body
～とあれば　Grammar|とあれば|Really an emphasised "if" used same as なら
その政治家は志操堅固にして、高潔清廉な人だった。|その せいじかは しそうけんごにして こうけつ せいれんな ひとだった|The politician was a man of principle, purity and nobility.
日本舞踊|にほんぶよう|Traditional Japanese dance
部下が敵に寝返った|ぶかが てきに ねがえった|The subordinate betrayed his ally to the enemy
抜擢|ばってき|Selection (from many people for an important job position) / exceptional promoti
座卓|ざたく|low table
しみじみ言い聞かした|しみじみ いいいきかした|I talked seriously to him
不穏分子|ふおんぶんし|dissidents; troublemakers; disturbing elements
抜き去る|ぬき さる|1. to pass, to overtake, to leave behind2. to pull out, to extract, to remove, t
長姉|ちょうし|一番年上の姉
クラゲ||Jellyfish
どうにか|どうにか|Somehow..
排気ガス|はいきがす|Exhaust gas
段差|だんさ|a bump (in road?)
落札|らくさつ|Successful bid
鉄骨|てっこつ|Steel Framework
買いかぶる|かいかぶる|Overrate / Overestimate
武具|ぶぐ|Arms / Armor
見込み違い|みみこみちがい|Miscalculation
～かね|かね|Interrogative sentence ending particle expressing doubt
元気旺盛|げんきおうせい|Full of life / Brimming with vitality
家路|いえじ|the road home
あっかんべー|あっかんべ|facial gesture of pulling one's eyelid down and sticking out one's tongue
引き抜く|きひきぬく|To headhunt / extract / pull away
満艦飾|まんかんしょく|dressed up, decked out
刺々しい|とげとげしい|sharp, harsh, stinging, thorny, snappy
民間|みんかん|citizens, civilians　(国民ではない）
厳守する|げんしゅする|Strict observance / adherence / scrupulous compliance (to the rules)
険悪（な）|けんあくな|Nasty / Ominous / Ugly / Black
卍 / 万字|まんじ   まん じ|Swastika
未明|みめい|Early dawn / Grey of morning
彼女は無地のTシャツを着ています|かのじょは むじの てぃーしゃつを きています|She is wearing a plain colored T-shirt
筋道|すじみち|Logic
違反|いはん|Violation
警部|けいぶ|Police inspector / Sergeant
種明かし|たねあかし|1. reveal of how a trick is done2. disclosure of a secret (cause, source, etc.),
家屋|かおく|House / Building (another iknow one)
現行（の）|げんこうの|The present / active / current / going (thing?)
窃盗|せっとう|Theft / Stealing
学府|がくふ|Academic centre
私が余計なことを言ったことから議論が紛糾した。|わたしが よけいなことを いったことから ぎろんが ふんきゅうした|The discussion became complicated because I said something uncalled for.
獅子舞|ししまい|Lion dance / Traditional dance performed by one or more dancers wearing a guardi
ひび割れる|ひび われる|to crack, to develop a crack
暗幕|あんまく|blackout curtain
毒気|どっき|1. poisonous air, poisonous gas, poisonous vapour2. poisonous ingredient, poison
何たる|なんたる|1. what (e.g. "what rudeness")2. what (something) is like
たちまち|たちまち|Instantly (became a hero)
祭壇|さいだん|Altar / Shrine
拉致|らち|Abduction
至難の技|しなんの わざ|Herculean task / Next to impossible undertaking
差し当たり|しさしあたり|For the time being
芽生える|めばえる|To bud / sprout
忌まわしい|いまわしい|(1) unpleasant; disagreeable; abominable; disgusting; unsavory; (2) unlucky; ina
いびる|いびる|to pick on; to tease
もっとも|もっとも|quite right
転ばぬ先の杖|ころばぬ さきの つえ|Japanese equivalent to &quot;An ounce of prevention is worth a pound of cure.&qu
円周率|えんしゅうりつ|Pi (3.1415926...)
足手まとい|あしてまとい|Impediment / Burden / Hindrance / Drag
～んばかりに　Grammar|んばかりに|Means まるで, "as if"
その車は洗練されたデザインが売りだ|その くるまは せんれんされたが うりだ|The refined design of that car is popular
野暮|やぼ|Unrefined / Rustic / Hick / Inelegant / Clownish
見捨てる|みすてる|To desert / Forsake
一国一城の主|のいっこくいちじょうのあるじ|Head of a household / Proudly independent person
施術|せじゅつ|1. treatment (medical, cosmetic, massage, etc.), carrying out (therapy, hypnosis
不快感|ふかいかん|Discomfort
商談|しょうだん|Business communication / Negotiation
負える|おえる|To be able to bear / To be able to manage
優先的|ゆうせんてき|Preferential
結婚式の段取りが決まった|けっこんしきの だんどりが きまった|The plans for the wedding have been laid out
彼はその出来事を克明に記録した|かれはその できごとを こくめいに きろくした|He recorded the event in detail
極彩色|ごくさいしょく|richly colored; richly coloured
真贋|しんがん|genuineness or spuriousness; authenticity; the genuine and the spurious
懐手|ふところで|with hands in pockets, idleness
変革|へんかく|Change / Reform / Upheaval / Revolution
軽傷|けいしょう|minor injury
強請る|ねだる|To tease / To coax / To solicit / To demand / To extort (3 man for each date!)
苛立つ|いらだつ|To be irritated
開眼|かいがん|Enlightenment / Spiritual awakening
滞る|とどこおる|物事が順調に運ばない。はかどらない。つかえる金を支払うべき期限になっても支払わない流れがとまる。停滞するためらう。ぐずぐずするTo stagnate / To 
如実|にょじつ|1. reality, actuality, actual conditions, true situation, faithful representatio
下品（な）|げひんな|Vulgar / Indecent
大腸|だいちょう|Large Intestine
彼女の美しさにはっとしたよ。|かのじょの うつくしさにはっとしたよ|I was amazed by her beauty.
断定|だんてい|decision, conclusion
綿密|めんみつ|Scrupulous / Exact / Detailed
壮観|そうかん|Spectacle / Magnificent view
ほざく|ほざく|To sprattle / To mumble / To prattle / to Say
剥奪|はくだつ|Deprive / Recovate / Take away
殺菌|さっきん|Sterilization / Disinfection
うつらうつら|うつらうつら|Drowsily / Nodding off
露店|ろてん|Street stall / Stand / Booth
大勢に逆らっても無駄だ|たいせいに さからっても むだだ|Its useless to oppose so many people (the general trend)
単体|たんたい|Simple substance (chemical) / something standing alone / separate item
犬歯|けんし|canine (tooth); dogtooth
霧消|むしょう|vanishing like mist
花形|はながた|1. floral pattern, flourish, ornament2. star (actor, player, etc.)I saw this in 
徳用の|とくようの|Economical
下り坂|りくだりざか|Downhill / Descent / Decline / Warning
どういう風の吹き回しか|どういう のきかぜのふきまわしか|For some reason (or other)
懐疑的|かいぎ てき|Skeptical
八方美人|はっぽうびじん|Everybodys friend
視認|しにん|Confirm by sight / Eyeballing / Sighting
蒼穹|そうきゅう|blue sky
部室|ぶしつ|clubroom
都市|とし|人口が多い町
文法：　がてら|ぶんぽうがてら|While doing something (grammar, used more in writing, same as ついでに)
背筋|せすじ|The muscles along the spine / dorsal muscles
この会社は独自の方法で商売をしている|この かいしゃは どくじの ほうほうで しょうばいをしている|This company does business by a unique method
物事を説明するには総論から入ると分かりやすい|ものごとを せつめいするには そうろんから はいると わかりやすい|When explaining things, it is easy to understand if you start from the basics
審理|しんり|Trial (law)
消し炭|けし ずみ|Partly burned charcoal
彼は趣味が高尚です。|かれは しゅみが こうしょうです|He has elegant tastes
編集者|へんしゅうしゃ|Editor (in publishing etc)
拵える|こしらえる|To make up / To manufacture
戦端|せんたん|opening of hostilities
舞い戻る|まい もどる|to come back
一回生|いっかいせい|1. first year (college) student, freshman2. graduate of one year's standing
間もない|まもない|1. after (practically) no time, immediately after, just2. having no time to
説教師|せっきょうし|preacher
蘭学|らんがく|rangaku, study of Western knowledge through the Dutch language during the Edo pe
認定|にんてい|To acknowledge / certify
無邪気|むじゃき|innocent, ingenuous
彼の実力をもってすれば、成功するだろう|かれの じつりょくをもってすれば せいこうするだろう|He is sure to succeed because he is very capable (彼の実力でやってみれば)
妨げる|さまたげる|To disturb / hinder
彼に儀礼ではなく心からお礼を言った|かれに ぎれいではなく こころからお れいを いった|I thanked him not out of etiquette but from the heart
爛れる|ただれる|To be sore / To be inflamed
殊勲|しゅくん|meritorious deeds
商魂|しょうこん|commercial spirit
内線|ないせん|Extention (phone)
霜|しも|Frost
称賛|しょうさん|Praise / Commendment (FA on hiring Hodgson)
耽る|ふける|Indulge / Abandon oneself to / Absorb
酵素|こうそ|Enzyme
要出典|ようしゅってん|Citation required
技量|ぎりょう|Ability / Competency / Talent
聞くに耐えない歌いぶり|きくに たえない うたいぶり|execrable singing&nbsp;
送還|そうかん|Sending home
所感|しょかん|impressions, thoughts, feelings, opinions
艇|てい|Boat (not 船)
盟友|めいゆう|Sword friend
高潔|こう きよし|Purity / Nobility
ありふれた|ありふれた|unsurprising; trite; commonplace; mundane; hackneyed; garden variety (of)
ギンギン||ecstatic; ecstatically
難中の難|なん ちゅうの なん|the hardest thing of all
異性愛者|いせいあい しゃ|heterosexual
森林|しんりん|Forest / Woodland
養蚕業|ようさんぎょう|Silk industry
舗装|ほそう|Road surface / Pavement
選りすぐる|えりすぐる|To choose the best
読み上げる|みよみあげる|To read out loud (and clearly) / To call a roll
彼は逮捕投獄される危険を冒した。|かれは たいほ とうごくされる きけんを おかした|He ran the risk of being caught and imprisoned.
憤怒|ふんぬ|anger, rage, resentment, indignation, exasperation
高い高い|たかい たかい|lifting (a child) high up in the air
雑草|ざっそう|Weed
なんてざまだ！|なんてざまだ|What a sight you are!
勧告に即して作成される|かんこくに そくして さくせいされる|be developed from a recommendation
因果関係|いんがかんけい|Causal relationship / Consequence
清らか(な)|きよらかな|Clean / Pure
～たが最後|たが さいご|After X then ずっと something else
恋しがる|こいしがる|To yearn for / To miss
固唾|かたず|saliva held in ones mouth during times of tension
事象|じしょう|event; phenomenon; matter
今しがた|いましがた|a moment ago, just now
レッテルを貼る|を はる|to label (someone as)
ダボダボ||1. loose (of clothing), loose-fitting2. plenty (of pouring a liquid)3. sloshing 
見越す|みこす|To anticipate / To foresee
統合失調症|とうごうしっちょうしょう|Schizophrenia
免じて|めんじて|(exp) (as ...に免じて) in consideration of; in deference to; out of respect for; for
紋切り型|りもんきりがた|Stereotyped / Cliched
排気量|はいきりょう|Engine displacement (ie, 250cc)
能書き|のうがき|Boasting / Advertising the excellence of ones wares
決別|けつべつ|Separation / Farewall (from Sephiroth)
背格好|せいかっこう|Ones height or stature / ones physique
ぽつり|ぽつり|Isolated / Standing alone
迷わす|まよわす|To puzzle / perplex / bewilder / mislead / delude
無辜|むこ|Innocent / Blameless
縊り殺す|り ころす|to strangle to death
引き結ぶ|ひき むすぶ|1. to connect, to link together, to pull together, to draw together2. to close t
煮立つ|にたつ|to boil, to simmer
海産|かいさん|Marine
号外|ごうがい|Extra / Special (newspaper special, added free gift thing)
運用|うんよう|Operation / Management
二者|しゃ|Two persons
針葉樹|しんようじゅ|Conifer / needle leaved tree
蜥蜴|とかげ|lizard
盆休み|ぼんやすみ|Bon holidays, Bon holiday period (in mid-August)
氷雨|ひさめ|Freezing Rain
一瞬|いっしゅん|In a moment
天変地異|てんぺんちい|Natural disaster / Calamity (not 天災)
得意がる|とくいがる|To be inflated with pride
その農家ではトマトの促成栽培をしている|その のうかではの そくせいさいばいをしている|Tomatoes are grown intensively on that farm
あの会社は多角経営だ|あの かいしゃは たかくけいえいだ|That is a diverse market company
愚行|ぐこう|Folly / Foolish move
怒り狂う|りいかりくるう|to be in a fit (of anger); to rage
くねらす|くねらす|to wriggle, to twist (one's body), to writhe
出典|しゅってん|Reference / Source (noun)
聞き耳を立てる|きききみみを たてる|Keeping ears open / Straining ones ears / Listen with all ones ears
捩る|ねじる  よじる  すじる もじる|1. to screw, to twist2. to distort, to parody, to make a pun3. to torture, to wr
歳月|さいげつ|Time
弟が私のケーキを横取りした|おとうとが わたしのを よこどりした|My younger brother stole (intercepted??) my cake
窄める|すぼめる|&nbsp;to make narrower; to shut (an umbrella); to shrug (one's shoulders); to pu
とっ散らかる|とっ ちらかる|to be scattered around, to be all over the place
献花|けんか|flower offering, floral tribute, laying flowers
押入|おしいれ|Closet
直通|ちょくつう|direct link
思い浮かべる|いおもいうかべる|To be reminded of / to call to mind
七夕|たなばた|The star festival (begins July 7th - August) - think start of Densha Otoko
往々にして|おうおうにして|From time to time / now and then / occasionally
見所|みどころ|Good points / Highlights
風流|ふりゅう|Refined elegance
奮う|ふるう|To rouse up (courage!)
風来坊|ふうらいぼう|Wanderer / Vagabond / Hobo
取り持つ|りとりもつ|to mediate; to entertain; to serve
かち割る|かち わる|to hit and break open, to crush, to smash
厨房|ちゅうぼう|1. kitchen, galley2. (Internet) troll
挑む|いどむ|Another verb for &quot;to challenge&quot;, not 挑戦. Also apparently can mean &quo
番人|ばんにん|Guard / Watchman
しんどい|しんどい|Worrisome / Bothersome / Tiresome
一切れ|ひときれ|A slice / small piece (say, of pizza)
彼らは結婚式の日取りを繰り上げた。|かれらは けっこんしきの ひどりを りくりあげた|They advanced the wedding date
非礼|ひれい|Impoliteness
申し付ける|しもうしつける|To order / To instruct
纏わり付く|まつわり つく|To coil about / to follow about&nbsp;
食い下がる|いくいさがる|To hang on / To persist
宙に浮く|ちゅうに うく|to float in the air; (2) to be unfinished; to be unsettled; to be undecided
蛾|が|moth
供養塔|くようとう|memorial tower
博愛|はくあい|Philanthropy / Humanitarianism
表意文字|ひょういもじ|Hieroglyph / Ideograph (What kanji characters are, as they give meaning)
富豪|ふごう|Wealthy person / Millionaire
停滞|ていたい|Stagnate / Congestion / Falling into arrears
金づる|かねづる|Source of revenue / Financial supporter
逐語的|ちくごてき|Word for word / Verbatim
請願|せいがん|Petition (the queen not to kill him, only imprison him forever instead)
危なっかしい|あぶなっかしい|Dangerous / Critical / Grave
収納|しゅうのう|Crop / Harvest / also "putting or stowing away"
傑出|けっしゅつ|being outstanding; excelling; being foremost
禁制|きんせい|prohibition; ban; embargo
婚活|こんかつ|(abbr) 結婚活動)searching for a marriage partner; marriage hunting; activities leadi
科す|かす|to inflict; to impose (a fine, etc.)
革|かわ|Leather
不信任案|ふしんにんあん|No-confidence motion
自己陶酔|じことうすい|Narcissism / Self absorption / Self intoxication
士気|しき|morale (of troops, team, etc.); esprit de corps
縫い目|ぬい め|Seam / Stitch
正味|しょうみ|net weight
終わりを告げる|おわりを つげる|to mark the end
育休|いくきゅう|childcare leave; leave taken after the compulsory maternity leave
彼はまだ失恋を引きずっています。|かれはまだ しつれんを ひきずっています|He's still dragging along the emotional baggage of a romantic breakup.
揺り起こす|りゆりおこす|To shake someone to wake
着信拒否|ちゃくしんきょひ|Blocking communications (email address or phone)
何気なく言った言葉も誰かを傷つけることがある。|なにげなく いった ことばも だれかを きずつけることがある|A casual remark can hurt someone
円滑に|えんかつに|Smoothly / Without a hitch / Harmoniously
初代|しょだい|First generation / Founder
遠近法|えんきんほう|Perspective (things appearing far away)
主導権を握る|しゅどうけんを にぎる|To seize the initiative
水疱|すいほう|A blister
夜更け|よふけ|Late at night
落花生|らっかせい|Peanut
宿志|しゅくし|Longstanding desire
山肌|やまはだ|mountain's surface; bare surface of a mountain
道理に適う|どうりに かなう|to stand to reason
音節|おんせつ|Syllable
寛ぎ|くつろぎ|Ease / Relaxation / Comfort / Unwinding
委ねる|ゆだねる|Leave / Refer / Entrust
名目|めいもく|Pretext / Name
責任を転嫁するのはやめましょう|せきにんを てんかするのはやめましょう|Lets stop passing the buck
淡白|たんぱく|Light (colour, taste) / plain
耳目|じもく|Eyes and ears
老婆心|ろうばしん|Concern
成敗 2|せいばい|punishment; judgement; judgment for "seibai not seihai"
羨望の的|せんぼうの まと|object of envy
天皇|てんのう|Emperor of Japan
