馬鹿馬鹿しい|ばかばかしい|stupid, absurd
外は木枯らしが吹いているよ。|そとは こがらしが ふいているよ|A cold wintry wind is blowing outside.
結論|けつろん|Conclusion
戸籍|こせき|Family register
彼は金持ちぶっているが、本当に借金がたくさんある。|かれは かねもちぶっているが ほんとうに しゃっきんがたくさんある|Though he pretends to be rich, in reality he is in serious debt (金持ちのふりをしている)
このままでは身の破滅です|このままでは みの はめつです|If you carry on like that you will destroy yourself
私の息子は左利きです。|わたしの むすこは ひだりききです|My son is left-handed.
長靴|ながぐつ|leather boots; rubber boots; wellingtons; wellies; long boots; high boots
目撃者|もくげきしゃ|A witness / someone who saw a crime, say (from trick)
かっと|かっと|Lose ones temper / fly into a rage
弟子|でし|先生について教えを受ける人（Pupil / Disciple)
景色が良かったので途中下車したよ。|けしきが よかったので とちゅうげしゃしたよ|We stopped off on the way because the scenery was lovely.
増幅器|ぞうふくき|Amplifier
バク転|ばくてん|Backflip
崩れ去る|くずれ さる|To crumble away / To collapse
高収入の人|こうしゅうにゅうの ひと|Person with high income
試験が近づくにしたがって、緊張が高まる|しけんが ちかづくにしたがって きんちょうが たかまる|As the exam gets closer, feel more nervous
洪水|こうずい|Flood / Inundation
これは、中年の男性によく見られる症状です。|これは ちゅうねんの だんせいによく みられる しょうじょうです|These symptoms are often seen in middle-aged men.
細かい|こまかい|小さいこと（Very fine/small)
漢方薬|かんぽうやく|Chinese herbal medicine
翻訳|ほんやく|Translation
今夜は天の川が見えますね。|こんやは のあまのがわが みえますね|The Milky Way can be seen tonight.
磁気|じき|Magnetism
可愛がる|かわいがる|To love / cherish (not&nbsp;&nbsp;愛用)
学歴、経験は問わず、やる気のある社員を募集します|がくれき けいけんは とわずやる きのある しゃいんを ぼしゅうします|Regardless of experience or academic background, recruiting people who have enth
混ざる|まざる|be mixed, be stirred
アラサー||Around 30 (slangish)
法案|ほうあん|Law Bill
会長さんは今日いらっしゃらないとのことだ|かいちょうさんは きょういらっしゃらないとのことだ|the boss apparently won't be coming in today
全ての惑星が直列することはめったにない|すべての わくせいが ちょくれつすることはめったにない|It is very rare that all the planets are in line
お尻に出来物ができているので座るに座れない。|お しりに できぶつができているので すわるに すわれない|Because I have a boil on my bottom, I cannot (manage to) sit down.
私は彼女に英語で話さないでほしい|わたしは かのじょに えいごで はなさないでほしい|I dont want my girlfriend to speak in English
強調|きょうちょう|Emphasis
実現|じつげん|考えていたことが本当にそうなること
思う存分にデートを楽しんだ|うおもうぞんぶんにを たのしんだ|I thoroughly enjoyed the date
そこの酒屋さんでビールを買って来て。|そこの さかやさんでを かって きて|Go and buy some beer at that liquor store.
この学校は1962年に創立されました。|この がっこうは  ねんに そうりつされました|This school was established in 1962.
この地域では、今度も大きい地震が来るとみられている|この ちいきでは こんども おおきい じしんが くるとみられている|This area is expected to have a major earthquake again in the future (来ると考えられている
交際|こうさい|Association / Friendship
無担保|むたんぽ|unsecured (loan)
乾燥|かんそう|Dry
富める|とめる|Rich / Wealthy
長剣|ちょうけん|Long sword
大便|だいべん|stool, feces
飛び下りる|びとびおりる|jump off, jump down
以後|いご|From now on / after that
彼女は私に途方もない金額を要求してきた|かのじょは わたしに とほうもない きんがくを ようきゅうしてきた|She asked me for an unreasonable sum of money
本店移転及び商号変更についてお知らせいたします。|ほんてん いてん および しょうごう へんこうについてお しらせいたします|We hevery notifiy you of the relocation of the head office and the change of our
強引|ごういん|Forcible / Assertive / Pushy
彼女の失踪で謎が一段と面白くなった。|かのじょの しっそうで なぞが いちだんと おもしろくなった|Her disappearance gave zest to the mystery
あなたは言い訳が多すぎます。|あなたは いいいわけが おおすぎます|You give too many excuses.
震える|ふるえる|To shake / to shiver
私達の生活は、どんどん変わっていくでしょう|わたし たちの せいかつはどんどん かわっていくでしょう|Our lifestyle will continue to change rapidly
彼は最近、失恋したらしいの。|かれは さいきん しつれんしたらしいの|I hear he had a broken heart recently.
切り落とす|りきりおとす|To cut down
灯油|とうゆ|Kerosene / Lamp oil
後任者が決まらないので辞めるに辞められない|こうにん しゃが きまらないので やめるに やめられない|Because my successor hasn't been chosen yet, I haven't been able to resign
保守|ほしゅ|conservation, maintenance
ろうそく|ろうそく|Candle
この本を読みこなします|この ほんを よみこなします|I`ll read the book cover to cover (and fully understand / internalise it)
武士|ぶし|Warrior
給料に関するかぎり、それはよい仕事である。|きゅうりょうに かんするかぎりそれはよい しごとである|It's a good job as far as the pay goes.
常のごとく|つねのごとく|As usual
経済特区|けいざいとっく|Special economic zone
儀式用|ぎしきよう|ceremonial
整理する|せいりする|To organise / Arrange
暮らす|くらす|To live / get along
この新聞の社説は面白いね。|この しんぶんの しゃせつは おもしろいね|The editorial in this newspaper is interesting.
優秀|ゆうしゅう|excellence
