処遇|しょぐう|Treatment / Dealing with
高電位|こうでんい|high-voltage
個別|こべつ|Discrete / Individual / Separate
純資産|じゅんしさん|net worth, net assets, total equity
競争|きょうそう|あることについて勝ち負けをあらそうこと
厚着|あつぎ|Heavy clothing
楽天的な人生観|らくてんてきな じんせいかん|A cheerful outlook on liife
政治亡命|せいじぼうめい|Political exile
撲殺|ぼくさつ|To beat to death
眼力|がんりき|insight; power of observation
大家|おおや|Landlord / House Owner
締結|ていけつ|Conclusion / Execution (of a contract) / Entering (into treaty）
ピント||Focus (of a camera?)
みんなの意見はまちまちです|みんなの いけんはまちまちです|Everyone has different opinions
聞き取り|きききとり|Listening comprehension / dictation
主人の使いで市役所に行くところです。|しゅじんの つかいで しやくしょに いくところです|I'm about to go to city hall on an errand for my husband.
存在感を感じる|そんざいかんを かんじる|To feel ones presence (literally, shes talking aobut not being able to feel him 
博士号|はかせごう|PHD / Doctorate
さもないと (Grammar)|さもないと|Or else / Otherwise
切実|せつじつ|Compelling / Serious / Severe
たかり|たかり|Exortion / Sponging
図体|ずうたい|Body / Frame
混濁|こんだく|Muddiness (eg of water / mind) / cloudiness (of a liquid)
彼の演説は痛快だった|かれの えんぜつは つうかいだった|It gave me real pleasure to hear him speak
丁半|ちょうはん|Dice game (Yakusa kiwami), odd and even numbers
次女|じじょ|Second daughter
陣地|じんち|Military encampent / Position
健気（な）|けなげな|Admirable / Praiseworthy
偏頭痛|へんずつう|Migraine
沢|さわ|浅く水がたまり、草が生えている湿地山あいの比較的小さい渓谷Swamp / Marsh / Valley / Mountain stream
奮発|ふんぱつ|Effort / Treat (oneself etc)
跳ね除ける|ねはねのける|&nbsp;to push aside; to brush or thrust aside; to remove; to get rid of
流れ者|れながれもの|Tramp / Wanderer
奴隷|どれい|Slave
細菌の大きさは1ミクロンないし数ミクロンだ。|さいきんの おおきさは ないし すうだ|Bacteria are between one and several microns large.
持ち合わせる|ちもちあわせる|To happen to have on hand or in stock
来るべき|きたるべき|Expected to arrive (occur) in the near future
鉄槌|てっつい|Iron hammer / also "a complete beginner at swimming"
車が溝にはまったの。|くるまが みぞにはまったの|The car got stuck in the ditch.
挙動|きょどう|Conduct / Behaviour
親米|しんべい|Pro american
完売|かんばい|Sold out
愛妻家|あいさいか|Devoted husband
しまい込む|しまい こむ|To put away / to stow away / To tuck away (into pocket etc)
横着な奴だ|おうちゃくな やっこだ|He is a lazy git
種目|しゅもく|Item / Event
試練|しれん|Test / Trial
理不尽な|りふじんな|Unreasonable / Outrageous
途切れる|とぎれる|To pause / To be interrupted
粘着|ねんちゃく|Cohesion / Adhesion&nbsp;
夜の帳|のよるのとばり|Veil of darkness
通常業務|つうじょうぎょうむ|normal duties; (one's) regular work
摩耗|まもう|Wear / Abrasion (say, to the floor)
窮す|きゅうす|To be hard pressed / To be at a loss (ie, &quot;hard pressed to answer why&quot;
検閲|けんえつ|Censorship / To review (in order to censor) / To inspect (in order to censor)
逗留|とうりゅう|&nbsp;旅先などに一定期間とどまること。滞在その場にとどまって進まないこと。また、1か所でぐずぐずすることその場にとどまる時間。ひまStaying / So
〜ありき|ありき|Suffix for "based on, originating from"
芳醇|ほうじゅん|mellow (flavor or fragrance, esp. alcohol), rich, full-bodied, superior
原理主義者|げんりしゅぎしゃ|fundamentalist
保険計理人|ほけんけいりにん|actuary
