詐称|さしょう|Misrepresentation / False statement
攻略|こうりゃく|Walkthrough or specific advice (ie, computer game walkthroughs!)
瞬く間に|またたく まに|In the blink of an eye
言伝|ことづて|Hearsay / Rumour / Oral message
拍子抜け|ひょうしぬけ|Anticlimax / let down / disappointment / loss of interest
バサバサ||Rustle / Loose
店頭|てんとう|Shop front / counter&nbsp;
書式|しょしき|Format (ie, write it in another format, 1.0 / 3 instead for float div)
より好み　を　する|より このみをする|To be particular (about, over something)
彼らの筋肉は硬直している。|かれらの きんにくは こうちょくしている|Their muscles are stiff
浮世離れ|うきよばなれ|Other wordly / free from worldliness
天啓|てんけい|Divine oracle / Divine revelation
権化|ごんげ|embodiment (as in "embodiment of evil"); incarnation; personification
実のところ|じつのところ|as a matter of fact; to tell the truth
色分け|いろわけ|classification, color coding, colour coding, color keying, colour keying, differ
はした金|はした がね|paltry sum of money, small change, odd money, pittance, chicken feed１００ドルなんてはした金
司書|ししょ|Librarian
貴重|きちょう|Precious / valuable / Rich
くたびれる|くたびれる|To get tired / worn out (all hiragana)
そこそこに|そこそこに|in a hurry (4 doubler)
星空|ほしぞら|Starry sky
真ん前|んまんまえ|Right in front of
その場逃れ|その ばのがれ|Makeshift / Stopgap
外販|がいはん|Direct sales
引力圏|いんりょくけん|Sphere of gravity
叙する|じょする|to relate; to narrate; to describe; (2) to confer (a rank);
悶絶|もんぜつ|fainting in agony
黙り|だんまり|1. silence; keeping silent; taciturnity2. giving no notice; giving no warning
兄弟姉妹|きょうだいしまい|Brothers and sisters / Siblings
校舎|こうしゃ|学校の建物
分類|ぶんるい|classification
愛想がいい|あいそがいい|Cheerful (new N1 book)
戦慄　する|せんりつする|To shudder / tremble
物置|ものおき|Storage room
嫌疑|けんぎ|Suspicion (of crime or whatever)
折れる|おれる|Can also mean "to give in" to what someone else wants, obviously also "to break"
障害者|しょうがいしゃ|Disabled person / physically handicapped person
謹慎|きんしん|House arrest / Discipline / Suspension
彼の顔は青黒くむくみ、見るからに健康を害していた。|かれの かおは あおぐろくむくみ みるからに けんこうを がいしていた|His face was pale, dark and swollen. You could tell just by looking at him that 
田圃に苗を植えています|たんぼに なえを うえています|We are planting the seedlings in the rice field
尽力|じんりょく|"Effort" / "Exertion" / "Diligent assistance"
Nuance
尽力 refers to actively doing
平板|へいばん|Slab / flat board
全容|ぜんよう|full portrait; whole aspect; full story
赤心から出る言葉|せきしんから でる ことば|words that flow from one's heart
征く|せいく|to conquer; to subjugate
明敏|めいびん|intelligence; discernment
内海|うつみ|inlet; bay; inland sea
林立|りんりつ|standing close together; bristling (with)
並み居る|なみ いる|to sit in a row, to be present (and lined up)
嘘っぱち|うそっぱち|downright lie
社交辞令|しゃこうじれい|Lip service / Polite or diplomatic way of putting things
摂取|せっしゅ|Intake (food, water, etc)
虱|しらみ|Lice
なけなし|なけなし|very small amount which looks like nothing
創痍|そうい|wound; scar
百歩譲る|ひゃっぽ ゆずる|to concede one is entirely in the wrong (for the sake of argument)
板金|ばんきん|sheet metal, metal plate
口げんか|くちげんか|Quarrel / fight (not&nbsp;&nbsp;口論)
炎熱|えんねつ|Sweltering heat
おろそか（な）|おろそかな|Negligent
簡潔|かんけつ|"Concise" / "Brief and clear"
Nuance
簡潔 refers to expressing something in a shor
いかん　（Grammar)|いかん|Based on. Same meaning as によって
減衰|げんすい|Attenuation / Damping / Decay
言い渡す|いいいわたす|To announce / To tell / To order
定まる|さだまる|To become settled / To be fixed (ones schedule for example)
ビニール袋|びにーるぶくろ|Plastic bag
入庫|にゅうこ|Warehousing / Storing&nbsp;
ずたずた|ずたずた|To pieces / to shreds (cut up by barbed wire?)
目くるめく|めくるめく|To dazzle / To blind
煙道|えんどう|Chimney / Flue
緊切|きんせつ|urgent; pressing
偕老同穴|かいろうどうけつ|happy life partnership, living faithfully together till death
標語|ひょうご|Slogan / Catchword / Motto
備蓄|びちく|Emergency stores
堅実な|けんじつな|Consistent / Solid / Sound
少年たちは「万難を排して決行しましょう」と言った。|しょうねんたちは ばんなんを はいして けっこうしましょうと いった|The young men said that they would do it despite all of the difficulties
目盛|めもり|Scale (for measuring)
流失|りゅうしつ|Washed away
姑息|こそく|Makeshift
寡占|かせん|Oligopoly
株主に利益が配当された|かぶぬしに りえきが はいとうされた|The profit was divided among the shareholders
抱擁|ほうよう|Embrace / hug / holding in ones arms
ふらつく|ふらつく|To wobble / Feel dizzy / Stagger
古めかしい|ふるめかしい|"old-fashioned," "quaint," or "reminiscent of a bygone era."Nuances:This adjecti
分泌|ぶんぴつ|To secrete / ooze
彼は問題を起こして左遷された|かれは もんだいを おこして させんされた|He was demoted after causing some problems
生殖|せいしょく|Reproduction
飢餓感|きがかん|Feeling of hunger
王朝|おうちょう|dynasty
敏捷|びんしょう|nimble; prompt; agile; quick; shrewd; smart
散りばめる|ちりばめる|to inlay; to set; to stud (e.g. star-studded sky); to enchase (a thing) with; to
松葉杖|まつばづえ|crutch; crutches
パサパサ||state of being dried out
悶々|もんもん|1. anguished, distressed, worried, discontented2. horny
真善美|しんぜんび|the true, the good, and the beautiful
末梢神経|まっしょうしんけい|peripheral nerves
無理数|むりすう|irrational number
冷やっと|ひやっと|1. feeling a sudden chill, feeling a shiver2. feeling sudden surprise (fright, h
報復|ほうふく|Revenge / Reprisal / Retaliation
桜のつぼみが膨らんだのね。|さくらのつぼみが ふくらんだのね|The cherry blossom buds swelled.
手数|てすう|trouble, bother
黒幕|くろまく|Godfather / Puppet master / Power broker
困惑|こんわく|Embarass / Bewilderment / Perplexity
間違った通念|まちがった つうねん|A commonly mistaken notion
両親が甘かったばかりに子供たちは自立心がない。|りょうしんが うまかったばかりに こどもたちは じりつしんがない|Those children don't have a sense of independence just because they are spoiled 
聾|つんぼ|Deafness / Deaf person (derogatory?)
不備|ふび|Defect / Imperfection / Flaw
この問題は軽視できない|この もんだいは けいしできない|This problem cannot be disregarded
ここは交通の要所です|ここは こうつうの ようしょです|This is a busy traffic junction
憑依|ひょうい|Dependence / possession (by a spirit etc)
傍線|ぼうせん|Underlining / side line (equivalent to underlining in vertically written text, i
樫|かし|Evergreen oak (ie tree)
明かりがちらちらする|あかりがちらちらする|The light flickers
ちょこちょこ|ちょこちょこ|1. toddling; with small, quick steps2. restlessly; in continuous motion3. quickl
膨満|ぼうまん|Fullness, distension, bloatingNuance膨満
 is a medical and formal term that refers
窯|かま|stove, furnace
足元を掬う|あしもとを すくう|to trip someone up, to pull the carpet from under
湯煎|ゆせん|warming (something) in a vessel placed in hot water
微に入り細を穿つ|びに はいり ほそを うがつ|to go into the minutest details
炉床|ろしょう|New English word: A Hearth:a brick, stone, or concrete area in front of a firepl
抗議|こうぎ|Protest / Remonstrance
バスが乗用車に追突したよ。|が じょうようしゃに ついとつしたよ|The bus bumped the passenger car from behind.
息抜き|いきぬき|Taking a breather / Relaxation&nbsp;
貶める|おとしめる|To show contempt for / To look down on / to have a low opinion of
源泉|げんせん|Source / Origin (of my color)
除算|じょざん|Division
常時接続|じょうじせつぞく|Always on connection
底力|そこぢから|Latent energy / Reserve strength / Potentiality
伸縮|しんしゅく|Expansion and contraction / Elasticity / Flexibility
香炉|こうろ|Incense burner
深遠|しんえん|profound, deep, unfathomable
踝|くるぶし|ankle, malleolus, ankle bone
不偏不党|ふへんふとう|impartiality, neutrality, independence
人魚|にんぎょ|Mermaid
鮫|さめ|Shark
この辺は住宅が立て込んで います。|この へんは じゅうたくが てたてこんでいます|This area is crowded with houses.
怪談|かいだん|Ghost story
立ちふさがる|たちふさがる|To block / Obstruct / stand in ones way
元首|げんしゅ|Ruler / Sovereign
寸分|すんぶん|Tiny bit
禍根|かこん|Root of evil / Source of evil
手札|てふだ|(1) one's hand (when playing cards); (2) name tag; nameplate; business card
鯔背だね|いなせだね|He's looking good
天翔る|あまがける|to soar (esp. of spirits and gods)
緋鯉|ひごい|red carp, golden carp
弱腰|よわごし|weak attitude
媚薬|びやく|1. aphrodisiac2. love potion, philter
緩い|ゆるい|Loose / Lax / Slack
絶滅危惧種|ぜつめつきぐしゅ|Endangered species
動悸|どうき|Beat / Pulse / Beating
居並ぶ|いならぶ|To sit in a row (tv reporters) / to be arrayed
アルゼンチン||Argentina
御免被る|ごめん こうむる|To be excused from
執務|しつむ|performance of one's official duties
断末魔|だんまつま|death agony
差し違える|しさしちがえる|&nbsp;(1) to misplace; to put in the wrong place; (2) {sumo} to make a mistake i
訳あり|わけあり|(having) special circumstances (e.g. problems, issues, advantages, flaws, defect
世にも|よにも|Extremely / Very
息切れ|いきぎれ|shortness of breath
打ち止める|うち とめる|to hammer into place /&nbsp;to kill (with a gun, sword, etc.); to slay; to shoot
饅頭|まんじゅう|manjū, steamed yeast bun with filling
巻物|まきもの|Scroll
仏閣|ぶっかく|Buddhist Temple
乗りが良い|のりが よい|(exp) spreading well / easy to get into / easily be influenced into joining some
わんさ|わんさ|Great crowds / In swarms / Very many / たくさん
詭弁|きべん|Play on words / Chicanery
白羽の矢を立てる|しらはの やを たてる|to select someone (out of many people)
魂胆|こんたん|(1) ulterior motive; plot; scheme; (n) (2) complicated circumstances; intricacie
番う|つがう|to pair with; to pair up; to pair off
重ね重ね|ねかさねがさね|repeatedly; frequently; over and over; time and time again; (adv) (2) exceedingl
手玉に取る|てだまに とる|to lead someone around by the nose
なまくら|なまくら|Blunt (sword) [tales of arise]
矯めつ眇めつ|ためつ すがめつ|scrutiny, scanning, taking a good look
斎場|さいじょう|1. funeral hall2. ceremony site
神通力|じんつうりき|supernatural power, divine power, magical power
政教分離|せいきょうぶんり|separation of church and state
研修|けんしゅう|training (esp. in-service), induction course
無量|むりょう|immeasurable
出来レース|でき|fixed game, bid-rigging, put-up job, contest in which the victor is practically 
込み入った|こみ いった|intricate, complicated
嘱託殺人|しょくたくさつじん|contract killing
垂直の|すいちょくの|Perpendicular ~
彼は金遣いが荒いな。|かれは かねづかいが あらいな|He spends money recklessly.
没頭する|ぼっとうする|Immersing oneself (e.g. in work?)
不成立|ふせいりつ|Failure / Rejection / Rupture
見合う|みあう|To counterbalance / to correspond / also to exchange glances
山開き|やまびらき|Start of the mountain climbing season
一挙一動|いっきょいちどう|Ones every action / Every single move
最高峰|さいこうほう|Highest peak / Most prominent / Highest authority
池の水が澱んでいます|いけの みずが よどんでいます|The pond water is stagnant
滴る|したたる|(1) to drip; to drop; to trickle; (2) to overflow (with freshness, beauty, etc.)
腐蝕|ふしょく|corrosion
怒涛|どとう|surging waves; raging billows; (adj-no) (2) turbulent; tempestuous; tumultuous; 
亀の子たわし|かめの こたわし|tortoise-shaped scrubbing brush (from company name)
稚気|ちき|childishness, naivete
血流|けつりゅう|bloodstream, blood flow
鐙|あぶみ|stirrup
取り消す|りとりけす|To Cancel
甘える|あまえる|Depend on / take advantage of
インコ||Parakeet
凹凸|おうとつ|Unevenness / Roughness
それでも|それでも|But still / And yet / Nevertheless / Notwithstanding
屯する|たむろする|To gather in large numbers (people) / to hang out (as a large group) / to assemb
船倉|ふなぐら|Ships hold / Hatch
盛り土|りもりつち|Embankment (for road, railway etc)・Raising the ground level
弩|いしゆみ|crossbow&nbsp;
大概にする|たいがいにする|to stay within bounds; to not take (something) to extremes; to not get carried a
準ずる|じゅんずる|to apply correspondingly, to correspond to, to be proportionate to, to conform t
堕天使|だてんし|fallen angel, Lucifer, demon, Satan
彼女は文系です。|かのじょは ぶんけいです|She's in a humanities program.
右に出る|みぎに でる|To be superior to
切らす|きらす|To run out of / to be short of / to be out of
共同作業|きょうどうさぎょう|Group work
持ち堪える|もち こたえる|To hold out / to survive
縁者|えんじゃ|Relative
横隔膜|おうかくまく|Diaphragm (body)
背嚢|はいのう|Knapsack
気高い行為|けだかい こうい|a noble action
～逸れる|それる|逸れる means "to stray" and -逸れる shows that "one has missed out on something". It i
ひよこ|ひよこ|(1) young bird; chick; (2) green; wet behind the ears; juvenile
低頭|ていとう|low bow
源流|げんりゅう|1. source (e.g. of a river), headwaters2. origin of something continuous (langua
神経内科|しんけい ないか|neurology department
乏しい|とぼしい|Scarce / short of
立法|りっぽう|Legislation
往診する|おうしんする|House call / Visit (from doctor?)
チンケ||Worst / Poor and boring / Uncool
フラフラ||Unsteady on ones feet / Dizzy
光陰矢のごとし。|こういん やのごとし|Time flies like an arrow / Life is short (expression)
是が非でも|がぜがひでも|Rightly or wrongly / by all possible means
仰せ付かる|おおせ づけかる|to receive a command; to be appointed; to be ordered
軍門|ぐんもん|(pol) camp gate; general
触発|しょくはつ|(1) detonation by contact; contact detonation; (2) touching off something; trigg
祠|ほこら|hokora, small wayside shrine
風が吹けば桶屋が儲かる|かぜが ふけば おけ やが もうかる|any event can bring about an effect in an unexpected way, if the wind blows the 
着脱|ちゃくだつ|attaching and detaching, putting on and removing
差分|さぶん|incremental difference (e.g. between files), "diff", subtraction, (finite) diffe
思いがけない|おもいがけない|Unexpected, unforeseen, unanticipatedNuance思いがけない
 describes something that occu
旱魃|かんばつ|Drought
伴侶|はんりょ|Partner / Companion
凶暴|きょうぼう|Ferocious / Brutal / Atrocious
侵略行為|しんりゃくこうい|Act of aggression
口先|くちさき|Lip (service) / Empty
この授業は必修です|この じゅぎょうは ひっしゅうです|This class is compulsory
意匠|いしょう|Design
繁茂|はんも|luxuriant growth; rankness (of weeds)
発掘調査|はっくつちょうさ|excavation (usu. archeological), dig
巣立つ|すだつ|1. to leave the nest2. to go out into the world, to become independent (of one's
ガセネタ||faked information, bogus intelligence, disinformation
椛|もみじ|Maple (tree)
議事妨害|ぎじぼうがい|Obstruction of proceedings / A filbuster
下手人|げしゅにん|Offender / Criminal
非同期|ひどうき|Asynchronous
見損なう|みそこなう|To misjudge / To mistake / To miss seeing
勾配|こうばい|Gradient / Slope / Inclination
彼はいつもサンダルを突っ掛けている|かれはいつもを つっ かけている|He always slips on sandals
卒倒|そっとう|Fainting / swooning (to hear the shocking news!)
眼瞼|がんけん|eyelid
秘匿特権|ひとくとっけん|privilege (e.g. "attorney-client privilege")
身をもって|みをもって|with one's own body, by one's own action, through one's own experience, firsthan
力こぶ|ちからこぶ|large biceps, well-developed biceps
仏壇|ぶつだん|Buddhist (household) altar
病原体|びょうげんたい|pathogen
用紙|ようし|Form / Printed form
呼び捨てにする|びよびすてにする|to call address someone without using an honorific title (eg san)
奥義|おうぎ|Secrets / Mysteries / Hidden purpose
彼の本は田園生活の話から始まる。|かれの ほんは でんえん せいかつの はなしから はじまる|His book begins with a tale of country life
秀才|しゅうさい|Brilliant person / Bright / Brain
気遣う|きづかう|To worry about / To feel anxious about / To have apprehensions of
平手打ち|ひらてうち|Slap / Spanking (probably the former, its tifa!)
自問　２|じもん|Self doubt
分け隔て|わけ へだて|Favouritism / Distinction
丹念|たんねん|Dilgence / Application
心苦しい|こころぐるしい|Painful
支部|しぶ|branch; subdivision
術者|じゅつしゃ|practitioner (in medicine, art, etc.)
びくつく|びくつく|to be scared
凝固点|ぎょうこてん|freezing point
付きが回る|つきが まわる|to have fortune come your way, to become lucky
発汗|はっかん|sweating, perspiration, sudation, hidrosis, diaphoresis暖かい天候の時は、発汗作用が体温の調節をする上で役
習字|しゅうじ|Penmanship / Calligraphy
受理（する）|じゅりする|To accept
隊列|たいれつ|Rank
細胞|さいぼう|Cell (body)
うずうず　している|うずうずしている|Itching to do something
衝立|ついたて|A screen, the one Yuffie hid behind!
人聞き|ひとぎき|reputation; respectability
神出鬼没|しんしゅつきぼつ|Appearing in unexpected places and at unexpected moments / Elusive (David Silva!
不整脈|ふせいみゃく|irregular pulse; arrhythmia
一喜一憂|いっきいちゆう|now rejoicing, now worrying; swinging from joy to sorrow; glad and sad by turns;
総体|そうたい|all; the wholeon the whole; all in all; generally; all things considered
御都合主義|ごつごうしゅぎ|opportunism, double standards, timeserving, expediency
怒気|どき|anger, wrath
木彫り|きぼり|wood carving, woodcraft
ワンセグ||1seg (Japanese terrestrial digital broadcasting service for mobile devices)
模式図|もしきず|schematic diagram
穿孔カード|せんこう|punch card
心配性な人|しんぱいしょうな ひと|A natural worrier
使命|しめい|Mission / Errand / Message
試行錯誤|しこうさくご|Trial and error
着工|ちゃっこう|Start of construction work
会社の不正が摘発されました|かいしゃの ふせいが てきはつされました|Injustices in the company were uncovered
物腰|ものごし|Manner / Demeanor / Bearing
肩胛骨|けんこうこつ|Shoulder blade / Scapula
締め括る|めしめくくる|1. to bring to a finish2. to bind firmly
斃す|す|Another character for&nbsp;倒す
無粋|ぶすい|unrefined; tactless; vulgar; lacking elegance or sophistication
Nuance: 無粋 descr
パネェ||See also: 半端ない, Slang, Abbreviationa lot, to a very great extent, absolutely
登攀|とうはん|scaling, climbing, ascending
汗だく|あせだく|dripping with sweat, bathed in perspiration
ひざ掛け|ひざ かけ|lap blanket
粋狂|すいきょう|whim, vagary, capriciousness, eccentricity好奇心から人と異なる行動をとること。物好きなこと。また、そのさま。酔興。「真
総当たり|そうあたり|brute force (in cryptography), using all combinations / round robin
画家|がか|Artist / Painter
どさくさ|どさくさ|Mess / Confusion
官房|かんぼう|Government secretariat
遮断機|しゃだんき|Railway crossing gate
ものは考えようだ。|ものは かんがえようだ|Something good can come out of it (考え方による)
時計方向|とけい ほうこう|Clockwise
生還|せいかん|Returning alive / Reaching the home plate (baseball)
歯並び|はならび|Row of teeth
酒宴|しゅえん|Drinking bout / Banquet
愚民政策|ぐみんせいさく|policy of keeping the people ignorant and easily subjugated
生姜|しょうが|ginger
水飴|みずあめ|mizuame, glucose syrup, starch syrup, corn syrup
温泉卵|おんせんたまご|egg slow-boiled so that the yolk is hard but the white is still soft (traditiona
穿孔|せんこう|perforation, punching, boring, drilling
でたらめ|でたらめ|Nonsense, random, haphazard, irresponsibleNuanceでたらめ
 describes something that i
動力装置|どうりょく そうち|Power Plant
飢饉が人々にひどい窮乏をもたらした。|ききんが ひとびとにひどい きゅうぼうをもたらした|Famine caused great distress among the people
白粉|おしろい|Powder / Face powder
浮かれる|うかれる|Have fun / Merry / Be in high spirits
刎頚|ふんけい|Decapitation
引導を渡す|いんどうを わたす|To perform the last rites over the deceased
羽目をはずす|はめをはずす|to cut loose; to act without restraint
被食者|ひしょくしゃ|Prey
怪人|かいじん|mysterious person
囃す|はやす|1. to play accompaniment, to keep time2. to cheer, to applaud3. to jeer, to mock
力こぶを入れる|ちからこぶを いれる|to put a lot of effort (into), to take a strong interest (in), to put great emph
お萩|お はぎ|rice ball coated with sweetened red beans, soybean flour or sesame
垂直面|しで ちょくめん|Vertical Plane
撒き散らす|まき ちらす|To spread / scatter / sprinkle
会食|かいしょく|Dining together
聞き入れる|きききいれる|To comply with / To grant (eg a wish)
調停|ちょうてい|To mediate / conciliate / arbitrate (like go between)
貪る|むさぼる|Be greedy / Covet
恐嚇|きょうかく|intimidation; threat
弾幕|だんまく|barrage
治外法権|ちがいほうけん|extraterritoriality
猟具|りょうぐ|hunting gear
語感|ごかん|1. sense of language2. feeling of a word, impression a word makes, nuance
腕甲|わんこう|brassard (armor), brassart, rerebrace, vambrace
岩板|がんばん|Rock plate (earth plates)
変動費|へんどうひ|Variable costs
覆面をした男達が旅客を襲って金を奪った。|ふくめんをした おとこだてが りょかくを おそって きんを うばった|Masked men held up the passengers and robbed them of their money
分子|ぶんし|Molecule
人揃え|ひと そろえ|A set / Suit (of figurines)
内出血|ないしゅっけつ|Internal bleeding
言いつける|いいつける|To tell / To order / 命令する
使う物と捨てる物とを選り分けた|つかう ものと すてる ものとを りえりわけた|I separated the useful things from the garbage
抄録|しょうろく|Quotation / Abstract / Selection / Summary (of some translations into English)
招致|しょうち|Invitation / Summons / Bidding (eg to hold olympics)
気骨がある|きこつがある|have backbone
借り上げる|かり あげる|to hire; to lease; to requisition; to charter
石にかじりついても|いしにかじりついても|come hell or high water
抱える|かかえる|To hold / embrace
引き返す|きひきかえす|Reverse ones steps / go back / retrace
浸る|ひたる|To be immersed in / soaked in
吹き出す|きふきだす|To gush out / To spout out / To spurt out
悪天候が式を台無しにした。|あくてんこうが しきを だいなしにした|The bad weather marred the ceremony
動議|どうぎ|A motion
押し込める|しおしこめる|To shut up / To imprison
伸び伸び|びのびのび|At ease
天与|てんよ|Godsend / Heavens gift
彼女は彼のために口添えした。|かのじょは かれのために くちぞえした|She spoke up for him
歌姫|うたひめ|songstress; diva
フリーター||(from freelance and arbeiter) young people subsisting on part-time work; one who
揉みくしゃ|もみくしゃ|1. jostling, being jostled, being mobbed, (in a) crush2. crumpling
飼い殺し|かい ごろし|1. keeping a domestic animal beyond its useful life2. keeping a person on the pa
蚕|かいこ|Silkworm
鼻たれ|はなたれ|Drooling
まみえる|まみえる|To have an audience / To meet (humble)
面積|めんせき|Area (500m2 etc)
審美的|しんびてき|Aesthetic
創世|そうせい|Creation of the world
果てしない|はてしない|endless; boundless; everlasting
ひとところ|ひとところ|one place; the same place
本丸|ほんまる|core, center, centre, focus, crux
進ぜる|しんぜる|"To present (respectfully)," "to offer," or "to dedicate (to a superior or deity
そうこうする内に|そうこうする うちに|in the meantime, meanwhile
里親|さとおや|1. foster parent, foster parents2. (pet) caretaker
疲労|ひろう|Fatigue
腹痛|はらいた|Stomach pain
着こなし|きこなし|Dressing well
苗床|なえどこ|Seedbed / Seed-plot / Nursery
筋骨|きんこつ|Muscles and bones
短筒|たんづつ|pistol; revolver
受けが良い|うけが よい|Popular (with)
暇を出す|ひまを だす|1. to dismiss (an employee), to discharge, to let go, to fire2. to divorce one's
傲然|ごうぜん|proud, arrogant, haughty
ちょこん|ちょこん|Translation:ちょこん (chokon) – Perched cutely; sitting or placed in a small, neat w
修辞|しゅうじ|figure of speech, rhetorical flourish
早食い競争|はやぐい きょうそう|speed-eating contest
交わる|まじわる|mingle, socialize
為政者|いせいしゃ|Statesman
会場をくまなく見て回りました|かいじょうをくまなく みて まわりました|I checked the hall thoroughly (every nook and cranny)
机に貼ってあるツールを剥がしてください|つくえに はってあるを はがしてください|Please remove the stickers that are stuck to the desk
強張る|こわ ばる|Become stiff / Stiffen
見境なく|みさかいなく|Indiscriminately
鎮める|しずめる|To suppress (nerves) / control / quell / to calm
応酬|おうしゅう|(1) exchange; reciprocation; give-and-take; return; (2) reply; riposte
こそ泥|こそ どろ|sneak thief; petty thief; cat burglar
越権行為|えっけんこうい|exceeding one's authority; abusing one's legal authority; ultra vires activities
進行状況|しんこうじょうきょう|state of progress
会わす|あわす|&nbsp;to make (someone) to meet; to let (someone) meet; (2) to expose to; to sub
酒浸り|さけびたり|1. liquor-soaked2. continuous drinking; daily drinking; binge drinking
食い気|いくいけ|Appetite
メタン||Methane
福々しい|ふくぶくしい|(plump and) happy-looking
加減|かげん|1. degree, extent, amount, balance, state, condition2. (health) condition, state
寄せ書き|よせ がき|collection of words or drawings by several people on a single sheet of paper
値する|あたいする|Be worth / deserve
譲歩|じょうほ|Concession / To concede / Compromise / Appease / Give way
工法|こうほう|Method of construction
この二つの作品には似通ったところがあります|この ふたつの さくひんには にかよったところがあります|The two products resemble each other a lot
疑獄に加担した|ぎごくに かたんした|He is implicated in the scandal
剃刀|かみそり|razor
団栗|どんぐり|Acorn
渡米|とべい|going to the United States
伝染る|うつる|to be infected, to be contagious
鈍間|のろ ま|Dunce / Blockhead / Gullible (person)
よろめく|よろめく|To stagger
割れ目|われ め|Crevice / Crack (dirty image is okay...)
元素|げんそ|Chemical element
女子|じょし|Woman / Girl - Another reading! Don Corneo used in ff7
舌を巻く|したを まく|To be astonished
端数|はすう|fraction / odd amount / leftover amount
どこからかハープの流麗な調べが聞こえてきた。|どこからかの りゅうれいな しらべが きこえてきた|They could hear the elegant, flowing sound of a harp coming from somewhere
面舵|おもかじ|starboard (side of a ship) the right side!!
憤然|ふんぜん|anger; indignation; rage; wrath
奢る|おごる|&nbsp;(1) (uk) (esp. 奢る) to give (someone) a treat; (v5r,vi) (2) (uk) to be extr
留守|るす|absence; being away from home
酔態|すいたい|"Drunken behavior" or "state of drunkenness"

Nuance:
酔態 is a formal or descript
ぼろを出す|ぼろを だす|to reveal the faults
イメチェン||image change, changing one's image, makeover
設備|せつび|Equipment / Facility
頻りに|しきりに|Frequently / Repeatedly
もっと範囲を狭めて探しましょう|もっと はんいを せばめて さがしましょう|Let's narrow the range and search.
失点|しってん|Goals conceded / Runs conceded
一日|にち|The first day of the month
彼は威勢のいい若者です|かれは いせいのいい わかものです|He is a dashing young man
原っぱ|はらっぱ|Empty lot / Open field
歌舞伎界では才能だけでなく世襲も重要だ。|かぶき かいでは さいのうだけでなく せしゅうも じゅうようだ|In Kabuki not only talent but also heredity counts
