団体行動|だんたいこうどう|Group behaviour
でなくてなんだろう　Grammar|でなくてなんだろう|If thats not ..... I don't know what is
日本語を勉強してよかったです|にほんごを べんきょうしてよかったです|I'm glad that I have studied Japanese
先生にそんな言葉遣いをしてはいけません。|せんせいにそんな ことばづかいをしてはいけません|Do not speak to the teacher like that.
明ける|あける|To dawn
前歯|まえば|Front tooth
彼は逆玉を狙っている|かれは ぎゃく たまを ねらっている|He is aiming to marry a wealthy woman
誰にも口外するな。|だれにも こうがいするな|This is strictly between us.
明白|めいはく|はっきりしていること
彼はわざとそうしたんだとふと私は思った。|かれはわざとそうしたんだとふと わたしは おもった|It occurred to me that he had done it on purpose
宇宙には不変の法則がある|うちゅうには ふへんの ほうそくがある|There are immutable laws in space
苦労した末の成功は、何よりもうれしいものです。|くろうした すえの せいこうは なによりもうれしいものです|After a long time of hardship there is nothing more delightful than success
制限|せいげん|Restriction / Limit
彼は1年2組の生徒です。|かれは  ねん  くみの せいとです|He's a student in first grade, second class.
言葉遣い|ことばづかい|Wording / Language
世界初|せかいはつ|World-first
治癒|ちゆ|Healing / Cure / Recovery
終電|しゅうでん|Last train
娘は市立の学校に通っています。|むすめは しりつの がっこうに かよっています|My daughter goes to a municipal school.
必要に応じて気兼ねなく編集を行ってください|にひつようにおうじて きがねなく へんしゅうを おこなってください|Please feel free to edit as needed
彼は新しいアイデアをすぐ取り入れます。|かれは あたらしいをすぐ りとりいれます|He's quick to adopt new ideas.
食べ物をがっつく人|べたべものをがっつく ひと|someone who eats food rapidly and greedily
入社試験に先立ち、会社説明会が行われた|にゅうしゃしけんに さきだち かいしゃせつめいかいが おこなわれた|Proceeding the company entrance exam, company explanation meeting was held
反抗|はんこう|resistance / rebellion / defiance
相続税|そうぞくぜい|Inheritance Tax
公園の噴水の前で会いましょう。|こうえんの ふんすいの まえで あいましょう|Let's meet in front of the fountain in the park.
冷静沈着|れいせいちんちゃく|Cool calm and collected
逆効果|ぎゃくこうか|Counterproductive / backfire
水準|すいじゅん|Level / Standard
彼の決意は堅いな。|かれの けついは かたいな|His decision is firm.
その３色の絵の具を混ぜてください|その しょくの のえのぐを まぜてください|Please mix the three colours of paint
裸になる|はだかになる|To get naked
彼の趣味は囲碁です。|かれの しゅみは いごです|His hobby is playing Go.
耳鳴り|みみなり|耳の中で音がするような感じTinnitus
この日本語に相当する英語はない|この にほんごに そうとうする えいごはない|In Japanese, there is no equivalent to this english
罰金を3万円もとられたよ|ばっきんを  まん えんもとられたよ|I was fined no less than 30,000 yen.
鉄則|てっそく|絶対に守らなければならない決まり
ドシドシ働け|はたらけ|Work away!
直行|ちょっこう|まっすぐに行くこと（Go Directly)
たくさんあって、とても食べ切れません|たくさんあってとても たべ きれません|There is so much that I can't possibly eat it all
その選手は2種目でメダルを取ったわ。|その せんしゅは  しゅもくでを とったわ|The athlete won medals in two events.
婆さん|ばあさん|Grand mother, old lady
原子力|げんしりょく|Atomic Energy / Nuclear Power
彼は悪女に騙されたんだ。|かれは あくじょに だまされたんだ|He was betrayed by a wicked woman.
明かり|あかり|Light
この荷物は丁寧に扱って下さい。|この にもつは ていねいに あつかって ください|Please handle this luggage with care.
水底|すいてい|Bottom of the sea
原則としてキャンセルできません。|げんそくとしてできません|As a general rule, cancellations can't be accepted.
会に先立って彼らは夕食をとった。|かいに さきだって かれらは ゆうしょくをとった|Prior to the meeting, they had dinner.
ストーブの灯油がなくなったわよ|の とうゆがなくなったわよ|The kerosene for the stove has run out.
最近は悪質な事件が多いですね。|さいきんは あくしつな じけんが おおいですね|There have been a lot of malicious incidents recently.
実物|じつぶつ|Actual thing
父の料理は見た目こそ悪いが、とてもいい味をしている|ちちの りょうりは たみためこそ わるいがとてもいい あじをしている|My fathers dishes dont look nice but they are delicious (悪いのは見た目だけで)
戦争は国の財産を枯渇させる|せんそうは くにの ざいさんを こかつさせる|War is a great drain upon a country's resources
これは日本固有の鳥です。|これは にっぽん こゆうの とりです|This bird is native to Japan.
飽き飽き|きあきあき|getting tired of; getting sick of; getting bored with; getting fed up with
東京の人口は年々増えています。|とうきょうの じんこうは ねんねん ふえています|The population of Tokyo increases year by year.
競馬|けいば|Horse Race
忍び込む|びしのびこむ|To sneak in / To creep in
水星|すいせい|Mercury (Planet)
仕立て屋|てしたてや|Tailor / Dressmaker
印刷機が安いほど、インクが高い|いんさつきが やすいほどが たかい|The cheaper the printer the more expensive the ink
チャンピオンがタイトルを防衛した。|がを ぼうえいした|The champion defended the title.
皆が恒久平和を望んでいる|みなが こうきゅう へいわを のぞんでいる|Everyone hopes for permanent peace
薄れる|うすれる|To fade / Thin / Vanish / Rub off
脱線|だっせん|Be derailed, run off the track
儀式|ぎしき|Ceremony / Ritual
頼る|たよる|To depend on (someone), not 甘える
決着をつける|けっちゃくをつける|To settle something, to fight it out, to close
予告|よこく|Advance notice / Prelimary Announcement
笛|ふえ|Flute / Pipe / Whistle
埃を払う|ほこりを はらう|To brush or wipe off dust
女優|じょゆう|Actress
褪せる|あせる|To fade / To go off
