温暖化|おんだんか|Warming
3日に1度の割りで彼からメールが来るの。|にちに  どの わりで かれからが くるの|I get e-mails from him at a rate of once every three days.
この暑さは高気圧のせいです。|この あつさは こうきあつのせいです|This heat is due to high atmospheric pressure.
航続距離|こうぞくきょり|cruising range; flying range
横切る|よこぎる|To cross / go across (not&nbsp;&nbsp;横断) (go across in front of me)
家が海に近いおかげで、新鮮な魚が食べられる|いえが うみに ちかいおかげで しんせんな さかなが たべられる|Thanks to the house being close to the sea, we can eat fresh fish
これは外部には秘密です。|これは がいぶには ひみつです|This is confidential.
弟は家族の心配もかまわず、危険な冬山へ行こうとする|おとうとは かぞくの しんぱいもかまわず きけんな ふゆやまへ いこうとする|Without caring about his families worries, the younger brother wants to try and 
彼との結婚を真剣に考えている。|かれとの けっこんを しんけんに かんがえている|Thinking seriously about marrying him
服用する|ふくようする|Taking medicine / Dosing
この気持ちをうまく言い表わせません。|この きもちをうまく いい あらわせません|I can't express this feeling well.
実用的|じつようてき|Practical
私は玉ねぎが嫌いです。|わたしは たまねぎが きらいです|I hate onions.
彼はあくまでも日本の参戦に反対を唱え続けた。|かれはあくまでも にっぽんの さんせんに はんたいを となえ つづけた|He kept opposing Japan's entry into the war up to the end
この度|この たび|on this occasion
誠に|まことに|Truly / Very much
控え室|えひかえしつ|waiting room (AGAIN, not 待合室 or anything similar)
よくよく考えてみるとこの転職は間違いだった|よくよく かんがえてみるとこの てんしょくは まちがいだった|Thinking about it carefully, it was a mistake to change jobs
台風がこのまま北上すると、日本に上陸する恐れがある|たいふうがこのまま ほくじょうすると にっぽんに じょうりくする おそれがある|If the typhoon keeps moving north this way, I fear that it may make landfall in 
松|まつ|Pine
適材適所|てきざいてきしょ|the right person in the right place
為さる|なさる|To do - seems to be used same as する, I think this is most formal way possible
中絶|ちゅうぜつ|Abortion / Termination
来週、仕事が忙しくない限り、クラス会に参加した|らいしゅう しごとが いそがしくない かぎり くらすかいに さんかした|Next week, unless I'm busy with work, I want to participate in the class
万引　（する）|まんびきする|Shoplifting
経営|けいえい|Management / administration / running
荷造り|にづくり|Packing&nbsp;
このコンピューターは壊れている|このは こわれている|This computer is broken
彼らは東京近郊に住んでいる。|かれらは とうきょう きんこうに すんでいる|They live on the outskirts of Tokyo.
あけましておめでとうございます|あけましておめでとうございます|Happy New Year!
この花はなんときれいなことか。|この はなはなんときれいなことか|How pretty this flower is!
手と手が触れてどきどきしたよ。|てと てが ふれてどきどきしたよ|My heart pounded as our hands touched.
二倍|ばい|Twice / Double
血圧|けつあつ|Blood Pressure
所在|しょざい|Whereabouts (the emperors whereabouts i dont know..)
ウミガメが陸に上がってきたんだ。|が りくに あがってきたんだ|The sea turtles have come up to dry land.
ますます|ますます|Increasingly (= もっと )
先生は医療の発達に貢献した。|せんせいは いりょうの はったつに こうけんした|Teacher Contributed to the development of medical treatment
眠り薬|りねむりぐすり|Sleeping powder / Sleeping drug
視聴率|しちょうりつ|TV Audience rating
この会社はお金があるのに、給料は低い|この かいしゃはお かねがあるのに きゅうりょうは ひくい|This company is rich, but its workers salaries are low
私用|しよう|Private business / Private use
機長の放送があったの。|きちょうの ほうそうがあったの|There was an announcement from the captain.
だれかご用を承っておりましょうか？|だれかご ようを うけたまわっておりましょうか|Are you being attended to? (being served)
極めて|きわめて|Extremely / Very (iknow one)
不機嫌|ふきげん|in a bad mood
チャック||Fastener / Zipper
