不可逆|ふかぎゃく|irreversible
自惚れ|うぬぼれ|Conceited / Hubris / Pretension
相対性理論の創案者はアインシュタインであった。|そうたいせいりろんの そうあんしゃはであった|The theory of relativity originated with Einstein
選出|せんしゅつ|To elect
遠出|とおで|Going afar / going a long way away
一貫して|いっかんして|Consistent (is use of OOP in python)
立脚|りっきゃく|"basis," "foundation," "grounding (in an idea or principle)."Nuances:This
 term 
鑑みる|かんがみる|To heed / To take into account / To learn from / To take warning from
成り果てる|なり はてる|To be reduced to .......
全う|まっとう|proper; respectable; decent; honest
非負|ひふ|non-negative (ie, unsigned)
在り来り|あり きたり|common; ordinary; conventional; customary
不可知論|ふかち ろん|agnosticism
多め|おおめ|somewhat larger (amount); quite a lot; a little more (than usual); a little extr
簒奪|さんだつ|帝王の位、政治の実権などを奪い取ることusurpation
棚上げ|たなあげ|shelving (a project, for now)
ホラ話|ばなし|tall story, tall tale, cock-and-bull story
歯止めをかける|はどめをかける|To put a stop to; to curb; to restrain; to brake.
Nuance: Literally from 歯止め (はど
彩る|いろどる|1. to colour, to color, to paint2. to apply make-up3. to decorate, to garnish, t
捻挫|ねんざ|Sprain / Twist
歴戦|れきせん|Long military service
使い|つかい|Errand
統制|とうせい|Regulation / Control
踏み入れる|みふみいれる|To walk in on / To tread upon
多態性|たたいせい|Polymorphism
積み立て|みつみたて|Reserving / Laying by
文通|ぶんつう|Correspondence
愛でる|めでる|To love / To admire
思い上がる|いおもいあがる|to be conceited
取り合わせ|りとりあわせ|Combination / An assortment (ie interesting combination of people)
弁慶の立ち往生|のちべんけいのたちおうじょう|situation in which one can move neither forward nor backward; Benkei's last stan
一様|いちよう|Uniform; identical; equally; without exceptionNuances:This
 term describes a sta
橋渡し|はしわたし|1. mediation; good offices; go-between; intermediary; mediator; bridge (between)
背に腹はかえられない|せに はらはかえられない|you can't make an omelet without breaking eggs, you can't solve a problem withou
揺り返し|ゆり かえし|aftershock, afterquake
遵法|じゅんぽう|law observance, obeying the law
首長|しゅちょう|1. head (of organization, organisation), chief2. sheikh, emir
空想|くうそう|Imagination / Fantasy
巻き返す|まき かえす|To rally / comeback
恒例|こうれい|Customary / Established practice /　Usual
街中|まちじゅう|The whole town
はみ出す|はみ だす|To be forced out / To be crowded out / To jut out (of bounds)
ひとしきり|ひとしきり|For a while
聴講|ちょうこう|Lecture attendance
知略|ちりゃく|"strategy," "tactics," or "cunning."Nuance:This term describes intellectual clev
触れ合い|れふれあい|Contact / Touch
食品会社による擬装が問題になっている|しょくひんがいしゃによる ぎそうが もんだいになっている|deception by food companies is becoming a problem
刺青|しせい|Another reading for tattoo / いれずみ
あるまじき|あるまじき|Unworthy / Unbecoming / Unproper
申告漏れ|しんこくもれ|undeclared income; unreported earnings; unreported income
投函|とうかん|To post (a letter); to mail; to drop into a postbox.Nuance:"投函"
 specifically re
御用達|ごようたつ|company (or restaurant, place, etc.) that caters to or is popular with a specifi
一房|ひとふさ|1. one tuft (of hair, threads, etc.)2. one bunch (of grapes, bananas, etc.), one
何糞|なにくそ|damn it!, dang it!
愛想笑い|あいそわらい|愛想笑い（あいそわらい）means a "forced smile," 
"polite laugh," or "socially obligatory chu
出棺|しゅっかん|carrying out a coffin, funeral procession
瞬発|しゅんぱつ|instantaneous
腹ごなし|はらごなし|walking or light activity after a meal; digestion exercise; light exercise to ai
懲らしめる|こらしめる|to chastise, to punish, to discipline
常備|じょうび|To keep around
吹き込む|ふき こむ|Infuse / Plot / Inspire (thoughts)
煎餅布団|せんべいぶとん|A flattened futon (after time. Senbei is that flat food sensei recommends)
消息不明|しょうそくふめい|Go missing / whereabouts unknown (like 行方不明)
たどたどしい|たどたどしい|With difficulty / Awkward
葛藤|かっとう|Conflict / Complication / Troubles / Discord
透過|とうか|Penetration (color!)
手合わせをする|てあわせをする|to have a match, game
過多|かた|Excess / Superabundance
その記事は8回にわたって新聞に連載された。|その きじは  かいにわたって しんぶんに れんさいされた|The articles appeared serially in the newspaper over eight issues (lit., extendi
包囲|ほうい|Encirclement / Siege
退避|たいひ|Evacuation / Refuge
彼はテストで満点を取って有頂天になった|かれはで まんてんを とって うちょうてんになった|He was over the moon when he got a perfect score on the test
地面にぽっかり穴があいていました|じめんにぽっかり あながあいていました|A big hole appeared in the ground
凶悪|きょうあく|Atrocious / Fiendish / Brutal / Villainous
探訪|たんぼう|searching; hunting for news story; journalist
庇護|ひご|patronage; protection
笠に着る|かさに きる|to wear the mantle of (borrowed) authority and misuse it
