進行状況|しんこうじょうきょう|state of progress
盟約|めいやく|Oath / Pledge / Pact
尻込み|しりごみ|Flinching / Shrinking back / recoil / hesitation
その交響曲はト短調である|その こうきょう きょくは とたんちょうである|The key of the symphony is G minor
類稀|たぐいまれ|unique; rare; exceptional; unparalleled; incomparable
犬死に|いぬじに|dying in vain; wasteful sacrifice of life
矢継ぎ早|ぎやつぎばや|Rapid succession (eg of questions)
縦断的|じゅうだんてき|longitudinal
補償|ほしょう|Compensation
年内|ねんない|By the end of the year
寝違える|ねちがえる|Sleep in awkward position and wake with crick in ones neck
すべし|すべし|is the classical Japanese form of "should," "must," or "ought to."Nuance:This
 a
中庭|なかにわ|Courtyard
娘がよちよち歩きを始めた|むすめがよちよち あるきを はじめた|My daughter started to toddle
