団結する|だんけつする|To unite
国土交通省|こくどこうつうしょう|Ministry of land, Infrastructure, Transport and Tourism
反面|はんめん|Opposite Side
熱意|ねつい|Zeal / Enthusiasm / Zest / Eagerness / Fire / Mania
制御文字|せいぎょもじ|Control character
健闘|けんとう|Fighting bravely
理想的|りそうてき|Ideally
売れ行き|れうれゆき|Sales
彫刻刀|ちょうこくとう|Chisel
既定値|きていち|Default value
それは間接的な原因の一つです。|それは かんせつてきな げんいんの ひとつです|It's one of the indirect causes.
けらけら笑う|けらけら わらう|To cackle
吹き矢|きふきや|Blowpipe / Dart (Teemo weapon)
南部|なんぶ|Southern part
局部麻酔|きょくぶますい|Local anaesthetic
装置|そうち|Equipment / Apparatus
礼儀|れいぎ|Courtesy / Manners
エロい|い|Erotic / Pornographic
登山|とざん|Mountain-climbing
突破する|とっぱする|To breakthrough / penetrate (a barrier, number of orders per second)
お絞り|お しぼり|Those wet towels supplied at table
自分の考えを人に押し付けてはいけません|じぶんの かんがえを ひとに しおしつけてはいけません|Do not force your own ideas on other people
感じ取る|じかんじとる|To feel
町全体で犯罪を撲滅に努めます|まち ぜんたいで はんざいを ぼくめつに つとめます|The whole town is working to eliminate crime
ストレスはいろいろな病気の引き金になる|はいろいろな びょうきの きひきがねになる|Stress can be a trigger for various illnesses
彼は崖から身投げした|かれは がけから みなげした|He threw himself from the cliff
殴り飛ばす|りなぐりとばす|To knock a person off his feet
読本|どくほん|リーダー
幾ら|いくら|No matter how much
花粉症|かふんしょう|Hay fever
垂らす|たらす|To hang down / To spill / To dribble / To dangle
上訴|じょうそ|to Appeal (in court)
成績|せいせき|Grade / Academic Record
廃止予定|はいしよてい|Obsolescence / Obsolete (code, not to use)
今月の付録はアニメのDVDです。|こんげつの ふろくはの です|The free gift this month is an anime DVD.
試練の時|しれんの とき|Test time / The moment of truth
本田くんは誰かにパスワードを盗まれたそうです|ほんだくんは だれかにを ぬすまれたそうです|I hear that Honda-kun had his password stolen by someone
徘徊する|はいかいする|To roam/prowl (think mental sick guy on TV)
筋肉|きんにく|Muscle
どんなことがあっても、彼に宝石を渡してはなりません|どんなことがあっても かれに ほうせきを わたしてはなりません|Whatever happens, he must not get the jewels
照らす|てらす|Lighten / Illuminate (verb)
迎撃する|げいげきする|To intercept　(fighting)
私にとって動物は身近な存在です。|わたしにとって どうぶつは みぢかな そんざいです|I feel very close to animals.
作り話|りつくりばなし|fable, fiction
次ぐ|つぐ|Rank next to / come next
部族|ぶぞく|Tribe / Clan / House
洗顔 する|せんがんする|Wash ones face
採算性|さいさんせい|Profitability
報告|ほうこく|To report / account
やればできるものを、どうしてやらないんですか？|やればできるものをどうしてやらないんですか|You know you can do it, why don't you? (できるのに)
出来ざる問題がこの世にいないだと思います。|できざる もんだいがこの よにいないだと おもいます|I think there aren't any unsolvable problems in this world
訪日する|ほうにちする|To visit Japan
肉体労働|にくたいろうどう|Manual or physical labour
加工|かこう|Processing
住所がわからないことには、連絡しようがありません。|じゅうしょがわからないことには れんらくしようがありません|We can't contact them unless we know the address.（ないことには）
焼く付く|やく つく|To burn out (computer chip) / burn into X / Brand
犯人は警察に抵抗したの。|はんにんは けいさつに ていこうしたの|The criminal resisted the police.
収益性|しゅうえきせい|Profitability
以降|いこう|Or later
地方ならではの魅力的な仕事|ちほうならではの みりょくてきな しごと|A charming type of work specific to the region
ラムネ||ramune, type of lemon soda sold in a Codd-neck bottle
船室|せんしつ|Cabin (boat)
運命|うんめい|Fate / Destiny
応答|おうとう|Reply / Answer / Response
これは気骨の折れるやっかいな仕事だ|これは きこつの おれるやっかいな しごとだ|This job is very tricky, and a great strain on my nerves
罰金|ばっきん|Fine / Penalty
同盟国|どうめいこく|Allied countries
ぴょんぴょん|ぴょんぴょん|Jump / hop (6 doubler)
売国|ばいこく|Selling out ones country / betraying ones country / treason
彼はついに弁護士の資格を取ったよ。|かれはついに べんごしの しかくを とったよ|He finally passed the bar examination.
この人とその人は、同一人物ですか。|この ひととその ひとは どういつじんぶつですか|Are this person and that person the same?
君とは金輪際口なんかきかないぞ|きみとは こんりんざい くちなんかきかないぞ|I'll never, ever speak to you again
赤らめる|あからめる|to blush; to redden
水兵|すいへい|（Naval) Sailor
農具|のうぐ|farming implement; farm tools
彼女は語学力を仕事に生かしているね。|かのじょは ごがくりょくを しごとに いかしているね|She takes advantage of her language ability in her work.
福祉|ふくし|Welfare
回す|まわす|Turn / Rotate / Spin
彼は職務怠慢だった。|かれは しょくむたいまんだった|He was negligent of his duties
我慢汁|がまんじる|Pre-ejaculate (nice ... ugh)
戦いごっこ|たたかいごっこ|play-fighting
原則|げんそく|Principle / General rule
昼ごはんは簡単に済ませましょう。|ひるごはんは かんたんに すませましょう|Let's have a quick lunch.
マスコミ||Mass Media (papers / radio / TV etc, from GTO)
侵略|しんりゃく|Aggression / Invasion / Raid
彼は織田信長の子孫だよ。|かれは おだ のぶながの しそんだよ|He is a descendant of Oda Nobunaga.
生徒たちは朝8時ごろ登校します。|せいとたちは あさ  じごろ とうこうします|Pupils arrive at school around 8 AM.
聖職|せいしょく|Sacred Profession
私達は忙しくて猫の手も借りたいくらいだ。|わたし たちは いそがしくて ねこの ても かりたいくらいだ|We are so busy we'd take any help we could get.
