女装|じょそう|Female clothing
冒険する|ぼうけんする|To adventure, go on an adventure (think Zelda)
生活する|せいかつする|To lead a life
息|いき|Breath
相撲では、太っているほど有利だ|すもうでは ふとっているほど ゆうりだ|In Sumo, its advantageous to be fatter
彼は名案を思い付いたの。|かれは めいあんを いおもいついたの|He hit on a good idea.
この頃、あの人は不機嫌ですね。|この ごろあの ひとは ふきげんですね|He's been in a bad mood lately.
魚を切った後、まな板を洗ったの。|さかなを きった のちまな いたを あらったの|I washed the cutting board after cutting fish.
残った肉は冷凍してください。|のこった にくは れいとうしてください|Please freeze the left over meat
空中|くうちゅう|In the air / in the sky
満員|まんいん|Packed / Crowded / Full
彼は車を後ろ向きに駐車したの。|かれは くるまを ろうしろむきに ちゅうしゃしたの|He parked the car backwards.
彼は川に沿って歩いた。|かれは かわに そって あるいた|He walked along the river.
所得税|しょとくぜい|Income tax
駅前に公立の図書館があるよ。|えきまえに こうりつの としょかんがあるよ|There is a public library opposite the station.
信用|しんよう|Trust
パン屑|ぱんくず|(bread) crumb
害す|がいす|To injure / To damage / To harm / To hurt
走ることにかけては、誰にも負けないつもりだ|はしることにかけては だれにも まけないつもりだ|Regarding running, dont intend to lose to anyone
不眠症|ふみんしょう|Sleepless / Insomnia
デフレ||Deflation
私は緑豊かな場所が好きです|わたしは みどりゆたかな ばしょが すきです|I like places with foliage
主体|しゅたい|Agent / Main constituent
本陣|ほんじん|Troop headquarters
池に鴨の親子がいます。|いけに かもの おやこがいます|A mother duck and her ducklings are in the pond.
進化する|しんかする|To evolve
それは極端な意見だね。|それは きょくたんな いけんだね|That is an extreme opinion.
飼う|かう|Have / Keep [Pet]
機能|きのう|Function (functionality of a phone?)
彼女は多忙な人です。|かのじょは たぼうな ひとです|She's a busy person.
最近、パソコン通信の利用者は増える一方だ|さいきん ぱそこんつうしんの りようしゃは ふえる いっぽうだ|Recently, The number of people communicating by computer has been increasing (no
重量挙げ選手|じゅうりょうあげ せんしゅ|Weight Lifter
私たちはがんの要因を研究しています。|わたしたちはがんの よういんを けんきゅうしています|We're researching the contributing factors of cancer.
かぼちゃのスープは美味しいです。|かぼちゃのは おいしいです|Pumpkin soup is delicious.
助詞を変えると文の意味が変わります。|じょしを かえると ぶんの いみが かわります|The sentence meaning changes when the particle is changed.
いかに暫定的処置とは言え、これはずさんすぎる。|いかに ざんていてき しょちとは いえこれはずさんすぎる|No matter how temporary these measures are supposed to be, this is just too slip
雨天決行|うてん けっこう|NOT canceled in case of rain
中古|ちゅうこ|Second hand
棒の先端を持って下さい。|ぼうの せんたんを もって ください|Please hold the end of the stick.
自動化|じどうか|Automation
聞いたところによると来年は授業料が上がるらしい。|きいたところによると らいねんは じゅぎょうりょうが あがるらしい|Based on what I heard, (it appears that) tuition will go up next year.
これからは経費を節約しましょう。|これからは けいひを せつやくしましょう|From now on let's save on expenses.
打率|だりつ|Batting Average
国語|こくご|National Language, Japanese
知識|ちしき|Knowledge
みんなの話からすると、それは真実だろう。|みんなの はなしからするとそれは しんじつだろう|By all accounts, it is truth.
駆け足|けかけあし|To gallop / run
たまには外食しましょう。|たまには がいしょくしましょう|Let's dine out occasionally.
今日の日の入りは午後6時でした。|きょうの のひのいりは ごご  じでした|Today, the sun set at 6 p.m.
雑音|ざつおん|Noise (the thing itself, not just "noisy")
両社が合併に合意しました。|りょうしゃが がっぺいに ごういしました|The two companies agreed to the amalgamation.
腰掛けはありませんか。|こしかけはありませんか|Isn't there a seat?
隣の部屋から話し声が聞こえます。|となりの へやから しはなしごえが きこえます|I can hear voices coming from the room next door.
彼は私費で留学したんだ。|かれは しひで りゅうがくしたんだ|He went to study abroad at his own expense.
外貨|がいか|Foreign Currency
その子が言っていることは作り話です。|その こが いっていることは りつくりばなしです|What that kid said is a made-up story.
時折|ときおり|Sometimes
生卵|なま たまご|Raw Egg
無色|むしょく|colorless
知らず知らず|らずしらずしらず|Unawares / Without knowing it
昨日株価が暴落しました。|きのう かぶかが ぼうらくしました|Stock prices dropped sharply yesterday.
たかが10万円で何ができるというのですか。|たかが  まん えんで なにができるというのですか|What do you expect us to do with only 100,000 yen?
彼は出世するタイプだな。|かれは しゅっせするだな|He is the successful type.
胸|むね|Chest
手編みのセーター|てあみの|A hand knit sweater
レバーを右に回すと締まります。|を みぎに まわすと しまります|It will shut when the lever is turned to the right.
その男はロビーをしばらくうろうろしていたよ。|その おとこはをしばらくうろうろしていたよ|That man was wandering about the lobby for a while.
石鹸|せっけん|Soap
車がないから、歩いて行くより仕方が無い|くるまがないから あるいて いくより しかたが ない|Since I dont have a car, I have no choice but to walk
食生活|しょくせいかつ|Eating habits
暗殺する|あんさつする|Assassinate
手続き|てつづき|procedure, formalities
不幸せ|ふしあわせ|unhappy, unfortunate
この時計はすぐ狂うの。|この とけいはすぐ くるうの|This clock often gets out of whack.
このセットで勝敗が決まります。|こので しょうはいが きまります|Victory or defeat will be decided in this set.
商売|しょうばい|Trade / Business (iknow word)
今日は快晴ですね。|きょうは かいせいですね|Today's weather is fine.
自然|しぜん|Nature
博物館で昔の貨幣を見ました。|はくぶつかんで むかしの かへいを みました|I saw some old money in the museum.
退屈|たいくつ|Boredom
相続財産|そうぞくざいさん|Inheritance
前回の続きから始めます。|ぜんかいの つづきから はじめます|We will start where we left off last time.
漫画|まんが|Manga
親孝行|おやこうこう|Dutiful to ones parents (filal piety??)
おしゃべりは後回しにしましょう。|おしゃべりは あとまわしにしましょう|Let's leave the chit-chat for later.
道の両側にたくさんお店がありますよ。|みちの りょうがわにたくさんお たながありますよ|There are a lot of shops on both sides of the road.
彼女の死は彼には大打撃だった。|かのじょの しは かれには だいだげきだった|Her death was a great blow to him.
新幹線の速度はどれくらいですか。|しんかんせんの そくどはどれくらいですか|How fast is the speed of the Shinkansen?
最低条件|さいてい じょうけん|Minimum Requirements
一応|いちおう|Tentatively
何を食べても太らない人がうらやましい|なにを たべても ふとらない ひとがうらやましい|I envy people who never get fat no matter what they eat
