橋梁|きょうりょう|Bridge
愛おしい|いとおしい|1. lovely, dear, beloved, darling, dearest2. pitiable, pathetic, piteous, poor
救命いかだ|きゅうめいいかだ|1. life raft, lifeboat2. 救生筏
対立|たいりつ|Conflict / Opposition
米印|べい しるし|Asterisk / star (stupid conversation on that bizarre website)
娘とあれば、どんなことでもします|むすめとあればどんなことでもします|I'll do anything for my daughter
彼はテストの結果に満更でもないようだ|かれはの けっかに まんざらでもないようだ|It seems that his test results were not altogether disappointing
推し測る|おし はかる|To guess / To conjecture / to surmise
信号弾|しんごう だん|pyrotechnic signal; signal flare
慈悲殺|じひさつ|mercy killing (euthanasia performed to end someone's suffering, but without cons
その芸術祭は市が主催しています。|その げいじゅつさいは しが しゅさいしています|The art festival is sponsored by the city.
粒|つぶ|Grain / Drop
法曹界|ほうそうかい|Legal circles
受難|じゅなん|Suffering / Agony
移譲|いじょう|Transfer / Assignment
一意専心|いちいせんしん|Single mindedly / Wholeheartedly
冷気|れいき|Chill
痕跡|こんせき|Trace / Impression / Imprint
皮下脂肪|ひかしぼう|Belly fat (I think!)
行き着く|きいきつく|To end up at / To arrive at
捲る|めくる|To roll up (sleeves) / To turn up (jeans at bottom maybe?) / also verb suffic fo
肛門|こうもん|Anus
同梱する|どう こりする|To include something in a package (the readme.txt)
この芝居の後援はテレビ局です|この しばいの こうえんは てれびきょくです|A TV station is sponsoring this play
道徳的に正当化される|どうとくてきに せいとう かされる|morally justified
鉱脈|こうみゃく|1. vein (of ore), reef, streak, lode2. 礦脈
設計する|せっけいする|To plan&nbsp;&nbsp;/ design
牽制|けんせい|Check / Restraint / Constraint (of Apples price fixing ways)　Also 偽りの行動により偽る
暑さでばてないように気をつけてください|あつさでばてないように きをつけてください|Please be careful of heat exhaustion
人倫|じんりん|Human relations / humanity
利器|りき|convenience; (2) sharp-edged tool
心の傷|こころの きず|emotional scars, mental trauma
制止する|せいしする|To restrain someone, hold them back
政局|せいきょく|Political situation
乾季|かんき|Dry season
血迷う|ちまよう|To lose ones mind / to lose control of oneself
算術|さんじゅつ|Another word for &quot;arithmetic&quot; (like arithmetic function)
並み外れ|なみ はずれ|out of the common, far above the average, extraordinary, abnormal, unreasonable
缶詰|かんづめ|Can (like canned food, but not drink cans!)
時代の流れにあえて抗おうとしたが、徒労に終わった。|じだいの ながれにあえて あらがおうとしたが とろうに おわった|I dared to resist the flow of the times, but it was all in vain.
彼の手口を見抜く|かれの てぐちを みぬく|See through his game
手出し|てだし|Meddling / Interfering
巨匠|きょしょう|Master / Masterhand / Maestro
書評|しょひょう|Book review
されど|されど|be that as it may; even so; though that be so
弄ぶ|もてあそぶ|(1) to play with (a toy, one's hair, etc.); to fiddle with; (2) to toy with (one
文鎮|ぶんちん|a Paperweight
広報活動|こうほうかつどう|Public relations
陰湿|いんしつ|Malicious / Spiteful / devious / underhanded
使徒|しと|Apostle / Disciple
労災|ろうさい|Work related injury / on the job accident
煽り立てる|あおり たてる|to flap strongly, to stir up fiercely
べた負け|べた まけ|complete defeat, losing all matches
空高い|そら たかい|High in the sky
掻き毟る|きかきむしる|To scratch off / to tear off / to pluck
絶叫|ぜっきょう|Exclamation / Scream / Shout
絵の具|のえのぐ|Paint
臣民|しんみん|subject; national
絶賛する|ぜっさんする|Praise / Acclaim / Plaudit / Rave
根っから|ねっから|By nature / From the very beginning / Through and through / At heart
独奏者|どくそうしゃ|Soloist (music)
話が進むにつれ彼の弁舌はますますさえた。|はなしが すすむにつれ かれの べんぜつはますますさえた|His speech had more and more power as it went along
美食家|びしょくか|Gourmet / Epicure
風船|ふうせん|Balloon
満たす|みたす|いっぱいにする
抵抗|ていこう|Resistance / Opposition (not 反発)
奉仕|ほうし|Service / Church work / Attendance
暴露|ばくろ|Disclosure / Exposure / Revelation
猟犬|りょうけん|Hound / Hunting dog
デザートは栗のパイです|は くりのです|There is chestnut pie for dessert
縄張り|なわばり|Ones territory / Kingdom
周囲|しゅうい|Circuit / Circumference / Perimeter
寸法|すんぽう|Measurement / Size / dimension
次号では離婚について特集します|じごうでは りこんについて とくしゅうします|The next issue will feature articles on divorce
財源確保|ざいげんかくほ|Securing financial resources
骨の髄まで|ほねの ずいまで|To the core (lit: to the marrow) / to the bone
彼はこの会の発起人です|かれはこの かいの ほっきにんです|He is the founder of this association
監督|かんとく|Movie Director
たまげる|たまげる|Another word for 驚く、ビックリ
離脱する|りだつする|To drop out / secede / defect (not 脱落)
対処|たいしょ|To cope with / deal with
職場での男女不平等はよく見られるね。|しょくばでの だんじょ ふびょうどうはよく みられるね|You can often find gender inequality in the workplace.
口の中でチーズが蕩ける|くちの なかでが とろける|Cheese melts in ones mouth
白話|はくわ|Colloquial Chinese
租借地|そしゃくち|Leased territory
彼は社会から疎外されている|かれは しゃかいから そがいされている|He has been alienated by society
牽制運動をする|けんせい うんどうをする|to make a diversion―make a feint
氷河|ひょうが|Glacier
供給する|きょうきゅうする|To Supply
蛋白質|たんぱくしつ|Protein
身の毛がよだつ|のみのけがよだつ|to have ones hair stand on end
自明|じめい|Self evident
この写真はピントがぼけていますね|この しゃしんはがぼけていますね|The photograph was out of focus
稀有|けう|Rare / Uncommon
肩透かし|かたすかし|Dodging / Parrying (questions)
天蓋|てんがい|canopy; dome
筆頭|ひっとう|The first on the list
言うまでの事だが|いうまでの ことだが|Needless to say ...
脇役|わきやく|Supporting role (actor) / Minor role
突風|とっぷう|Sudden gust
借家|しゃくや|Rented house
新内閣の組閣が発表された|しんないかくの そかくが はっぴょうされた|The formation of a new cabinet was announced
ばてる|ばてる|Exhausted / To tire out
二重敬語|にじゅうけいご|Redundant Keigo (ie improper use of the -rareru honorific form together with an 
甘党|あまとう|Someone who really likes sweet foods
絶食する|ぜっしょくする|To fast / fasting
ほな|ほな|Well then..
磐石|ばんじゃく|Huge rock / Firmness / Solidity
連盟|れんめい|League / Alliance (the FIFA league etc)
過半数|かはんすう|The majority
由来|ゆらい|Origin / Source (place / language etc)
爆ぜる|はぜる|To burst open / To pop / To split
適用|てきよう|application (say, how some rule applies)
猛将|もうしょう|Brave General / Courageous Warrior
慰める|なぐさめる|To console / comfort
金融庁|きんゆうちょう|Financial Services Agency; FSA
亡命|ぼうめい|政治的な理由で外国へ逃げる事
肯定|こうてい|Affirmation
企業買収|きぎょうばいしゅう|Corporate Acquisition (buyout)
差し込む|しさしこむ|To thrust in / To flow in / To shine in
発進|はっしん|Departure / takeoff
便箋|びんせん|letter paper
随分|ずいぶん|Kanji for ずいぶん
解き放つ|きときはなつ|To release
親分|おやぶん|Godfather
手加減|てかげん|Going easy on someone / Make an allowance for / Take situational peculiarities i
鋸|のこ|A saw (to cut things with)
悟り|さとり|Comprehension / Understanding / Buddhist enlightenment
日刊|にっかん|Published daily
春雨がしとしと降っています|はるさめがしとしと ふっています|Spring ran gently falls
身のため|みのため|one's best interests, one's own good
嫌というほど|いやというほど|1. (more than) enough, too much2. bitterly, extremely, keenly
絵画|かいが|Painting / Picture (え)
上場株|じょうじょうかぶ|listed stock
隕石|いんせき|Meteor
方角|ほうがく|Direction (not 方位)
頭突き|ずつき|Headbutt
給食|きゅうしょく|School lunch / providing a meal
麓|ふもと|foot of the mountain
手下|てした|Subordinate / Underling
ガラクタ||Junk / Rubbish / Trash / Garbage (Dynes scrapheap in ff7)
電話なりメールなりで、彼に連絡してください。|でんわなりなりで かれに れんらくしてください|Please get in touch with him by phone or email or whatever
生え抜き|えはえぬき|Native-born / Trueborn
面と向かう|めんと むかう|To meet face-to-face
社屋|しゃおく|company office building
いびき|いびき|Snoring
五分|ふん|Fifty fifty / tie / half / 50%
活かす|いかす|To make use of / to leverage (ones linguistic skills!) / To capitalize on
吹かす|ふかす|To smoke (a cigarette) / To rev (an engine!) / To accelerate
～かたがた　Grammar|かたがた|Means ついでに、　兼ねて, という別の目的も持って、あることをする
毎時|まいじ|Every hour / Hourly
ぎょっと|ぎょっと|Shock
戴冠|たいかん|coronation; crowning
先行予約|せんこうよやく|Preorder
台風がその半島を通過したの。|たいふうがその はんとうを つうかしたの|The typhoon passed over the peninsula.
とのことだ (Grammar)|とのことだ|It is said that / Apparently
威圧|いあつ|Coercion
資金調達|しきんちょうたつ|Fundraising
落ち着き払う|ちきおちつきはらう|To keep cool / calm
くり抜く|くり ぬく|To gouge out (a shape, hole?) / To bore / To drill &nbsp;
匂わせる|におわせる|To hint at / to intimate / to give off a scent / to smell of
彼はチャンスを見す見す逃してしまった|かれはを すみすみす のがしてしまった|He let the opportunity pass him by
見て見ぬ振り|みて みぬ ふり|pretending not to see something, turning a blind eye to, burying one's head in t
戸外|こがい|Outdoors / Open Air
性器|せいき|Genitals
下心|したごころ|Secret intention / ulterior motive (or just 友人関係？）
汲み取る|みくみとる|To scoop out / To pump out / To understand / To surmise
滑走路|かっそうろ|Runway (for a plane)
疫病が発生した。|やくびょうが はっせいした|An epidemic has broken out
衝動的|しょうどうてき|Impulsive
祟り|たたり|A curse (not 呪い)
宴　・　宴会|うたげ えんかい|Banquet / Dinner / Feast / Reception
お辞儀|お じぎ|Bowing / To bow
追放|ついほう|Exile / Banishment / Expulsion
布|ぬの|Cloth
移行期|いこうき|Transition / Cutover period
内部告発|ないぶこくはつ|Whistleblowing (Snowdon case)
代弁|だいべん|Act for another / speak for another / pay by proxy
相手取る|あいてどる|To take on an opponent
彼は初めての海外旅行でまごまごしていた|かれは はじめての かいがいりょこうでまごまごしていた|He was reluctant to travel abroad for the first time
反感を買う|はんかんを かう|to antagonize; to provoke antipathy
数分ならまだしも、30分も待ってません|すう ふんならまだしも  ふんも まってません|I'm alright waiting a few minutes, but 30 minutes is unacceptable
借金を踏み倒す|しゃっきんを ふみ たおす|to default on one's debt
幻想|げんそう|Illusions
擁立|ようりつ|Backing / Support (for an electoral candidate)
詳説|しょうせつ|detailed explanation
夜桜|よざくら|Cherry blossoms at night
口紅|くちべに|Lipstick
恋愛願望|れんあい がんぼう|Desire for love
単身赴任|たんしんふにん|Leave for ones new post [job] alone
待てど暮らせど彼女から返事が来なかった。|まてど くらせど かのじょから へんじが こなかった|Though I waited for so long, no reply came from her.
流浪|るろう|Vagrancy / Wandering / Nomadism
徐に|おもむろに|Slowly / Gently
略奪|りゃくだつ|To pillage / plunder
反響|はんきょう|Echo / Reverberate
私は夕暮れの渚が好きです|わたしは ゆうぐれの なぎさが すきです|I like the beach in the evening
貴公|きこう|You (primary used by males when addressing their male equals or inferiors)
物足りない|ものたりない|Unsatisfied / Unsatisfactory
発する|はっする|To emit / To give forth / To fire (a gun)
騒がす|さわがす|To annoy / To cause trouble
カエルとヒキガエルの区別が出来ない。|との くべつが できない|I can't distinguish a frog from a toad.
面識|めんしき|Acquitance
繰り広げる|りくりひろげる|To unfold / To open
取得物の生成年代は特定不能|しゅとく ぶつの せいせい ねんだいは とくてい ふのう|Impossible to determine when acquired thing was produced
彼は塀に梯子を掛けた。|かれは へいに はしごを かけた|He placed the ladder against the fence
食い止める|いくいとめる|To resist / hold back / prevent
惚ける|とぼける|Pretend ignorance
得意客|とくいきゃく|frequent customer, good customer, client
しばしば|しばしば|Often / Frequently
胴長短足|どうながたんそく|Having a long torso and short legs
食生活はホルモンの分泌に影響する|しょくせいかつはの ぶんぴつに えいきょうする|Eating habits influence the secretion of hormones
不可解|ふかかい|Incomprehensible / Baffling / Inexplicable
骨片|こっぺん|bone fragment, spicule
みっともない|みっともない|Disgraceful / Shameful
伸縮（性）|しんしゅく せい|Stretch / Elasticity / Retractile
腐敗する|ふはいする|To decay / To rot / decompose / become putrid
彼女は悩ましい目つきで僕を見た。|かのじょは なやましい めつきで ぼくを みた|She looked at me seductively
志|こころざし|Will / Intention / Motive
叩き|はたき|A Duster
炊き出し|きたきだし|Emergency rice feeding (helping the poor I guess?)
夫妻|ふさい|Husband and wife / Mr and Mrs
日当たり|ひあたり|Exposure to the sun
名字|みょうじ|Surname / family name
発動|はつどう|Invoke (law), put into operation
謝金|しゃきん|Apology money？
薄膜|はくまく|物の表面を覆う薄い皮。thin film
贈呈|ぞうてい|To present (a thank you letter to the man)
今月は光熱費が高かった|こんげつは こうねつひが たかかった|The utility bills were high this month
宣伝する|せんでんする|To advertise
検察庁|けんさつちょう|Public prosecutors office
島内に火山灰が大量に堆積した|とうないに かざんばいが たいりょうに たいせきした|There are large volcanic ash deposits on the island
この町には紡績工場があります|この まちには ぼうせきこうじょうがあります|There is a cotton mill in this town
半濁音|はんだくおん|The p-sound / semivoiced sound
酢漬け|すづけ|pickling, pickles
酸性|さんせい|Acidity
敬う|うやまう|To show respect / honour
都庁|とちょう|Tokyo Metropolitan City Hall
専修|せんしゅう|Specialization
悪名高い|あくめい たかい|Notorious / Infamous
耐震構造|たいしんこうぞう|Earthquake resistant construction
銘々|めいめい|Each / Severally
ちぎれる|ちぎれる|be torn off, come off (NOT &quot;to tear off&quot;, transitive/intransitive)
よからぬ|よからぬ|Bad / Wrong
激痛|げきつう|Intense sharp violent pain
如才ない|じょさいない|tactful; shrewd; cautious; clever; smart; adroit
こんがらがる|こんがらがる|to become entangled; to become complicated; to get mixed up; to screw up; to get
北西|ほくせい|Northwest
しくじる|しくじる|To blunder / To fail / To fall through
迂闊（な）|うかつな|Careless / Thoughtless
探し当てる|しさがしあてる|To find out / To detect / To discover
彼女はよそ行きの顔をしていた|かのじょはよそ いきの かおをしていた|She was looking her best
徒歩|とほ|歩いて行くこと
この辞書の改訂には６年かかった。|この じしょの かいていには ねんかかった|The revision of this dictionary took six years
地熱発電|じねつはつでん|Geothermal power generation
ひょっこり|ひょっこり|By chance / Unexpectedly
鯨飲馬食|げいいんばしょく|drinking like a fish and eat like a horse, eating mountains of food and drink oc
等級|とうきゅう|1. grade, class, degree, rank, rating, order, points2. magnitude
寸断|すんだん|To [ cut / break / tear ] to pieces
私は天然痘に免疫になっている。|わたしは てんねんとうに めんえきになっている|I am immune to smallpox
肴|さかな|1. appetizer or snack served with drinks2. performance to liven up a bar, conver
金塊|きんかい|gold bar / gold nugget
従軍|じゅうぐん|軍隊に所属または従属して戦地へ行くこと
巨漢|きょかん|Giant
腐肉食|ふにくしょく|scavenging
規定|きてい|Regulation / Provision
この建物は規準に達していない|この たてものは きじゅんに たっしていない|This building doesnt meet the construction standards
音響|おんきょう|Sound
労働の搾取を許すべきではない|ろうどうの さくしゅを ゆるすべきではない|The exploitation of labour should not be permitted
ばっくれる|ばっくれる|to feign ignorance; (2) (col) to evade one's responsibilities
馴鹿|となかい|reindeer
ぬるぬる|ぬるぬる|slimy (4 doubler, NOT ねばねば)
現役|げんえき|Active duty / Active service
髑髏|どくろ|Skull
待望|たいぼう|Long-awaited / Expectant waiting
しゃぶる|しゃぶる|To suck / To chew
両脇|りょう わき|Both sides
突っ込む|っつっこむ|To plunge into / to go into deeply / to thrust something into something
故国|ここく|Ones native land
圧政的な政府はしばしば政敵を投獄する。|あっせい てきな せいふはしばしば せいてきを とうごくする|Tyrannical governments frequently put their political opponents in prison
節榑立つ|ふしくれだつ|(1) to be knotty (of a tree, etc.); to be gnarled; (2) to be rough and bony (han
総合|そうごう|synthesis, integration
路線図|ろせんず|Route map (buses and trains etc)
社の弁護士に暫定合意の内容を吟味してもらおう。|しゃの べんごしに ざんてい ごういの ないようを ぎんみしてもらおう|We'll have our firm's attorneys look through the provisional agreement
降り立つ|おり たつ|To go down and stand (in front of zidane, the mage number 2!)
訴状|そじょう|Legal complaint / brief (according to the complaint ...)
剛の者|のこうのもの|very strong person; brave warrior; veteran
封殺|ふうさつ|suppression (e.g. of free speech)
処す|しょす|1. to manage, to deal with, to cope with2. to sentence, to condemn, to punish
～ともなく|ともなく|Without really planning to / without paying much attention to (Grammer point)
あのビルの屋上からの展望はすばらしかった。|あのの おくじょうからの てんぼうはすばらしかった|The view from the top of that building was magnificent
数種|すうしゅ|Several varieties / poly-
専務が来月で定年退職します|せんむが らいげつで ていねんたいしょくします|The executive director will retire next month
完膚|かんぷ|Unwounded skin
経営費|けいえいひ|Operating expenses
裸眼|らがん|Naked eye
腕立て|うでたて|Pushups
思い当たる|いおもいあたる|To come to mind / To recall / To think of
のっけ|のっけ|The very beginning
上方修正|じょうほうしゅうせい|Upward adjustment / Upward revision (of economic forecast!)
息を切らす|いきを きらす|To be out of breath
悉く|ことごとく|Altogether / Entirely
風化|ふうか|Weathering (I think this means things like erosion)
(群衆を)ざわざわ騒がす|ぐんしゅうをざわざわ さわがす|to cause a crowd to make a lot of noise
題名|だいめい|Title
グレッグはつかさによく笑われる|はつかさによく わらわれる|Greg is often laughed at by Tsukasa
鼻息|はないき|Nasal breathing / Persons pleasure / Excitement
戦|せん|War / Battle / Fight
轟かす|とどろかす|To make a thundering sound / To make roar
引責辞任|いんせきじにん|taking responsibility upon oneself (and resigning)
魔の手|まの て|evil influence, (evil) clutches, tentacles of evil
弓道|きゅうどう|Japanese Archery
論理|ろんり|Logic (not 筋道)
彼はヒゲを生やしています。|かれはを はやしています|He's growing a beard.
呆然|ぼうぜん|Daze / Stun
引き換えに|きひきかえに|Conversely
薬草|やくそう|Medicinal plants
彼らに血縁関係はない|かれらに けつえんかんけいはない|They are not related by blood
頭脳線|ずのう せん|head line (in palm reading)
イラッと|と|becoming irritated (suddenly) / Getting annoyed
省く|はぶく|To omit / Skip / leave out
手摺|てすり|Handrail / Railing
笑い飛ばす|いわらいとばす|To laugh at
先生にして間違えるのだから、できないのは当然である|せんせいにして まちがえるのだからできないのは とうぜんである|It is only natural that you couldn't solve it because your teacher couldn't eith
奪取|だっしゅ|Taking back / Usurpation
研究者は頭脳の新しい受容器の複合体を識別する|けんきゅうしゃは ずのうの あたらしい じゅようきの ふくごうたいを しきべつする|Researchers Identify New Receptor Complex in Brain
沈没する|ちんぼつする|Sinking / Going down / Submersion
ここで直角に曲がってください。|ここで ちょっかくに まがってください|Please make a 90 degree turn here.
彼はよく何もせずに日向ぼっこをしていた|かれはよく なにもせずに ひなたぼっこをしていた|He would sit in the sun doing nothing
健やか|すこやか|Healthy / Sound
二人は先程から押し問答しています|にんは さきほどから しおしもんどうしています|The two of them have been arguing for a while
渦中|かちゅう|Vortex / Maelstrom / Whirlpool
色情狂|しきじょうきょう|Sex mania
空き巣|きあきす|Sneak thief / prowler
判明|はんめい|Establishing / Proving / Identifying / Confirming
汚らわしい|けがらわしい|Filthy / Unfair
等価|とうか|Equivalence / Parity
運休|うんきゅう|Suspension of service
器量|きりょう|Looks / Features / Personal beauty / ability / talent / dignity
遺贈|いぞう|Bequest / Legacy
総帥|そうすい|Another word for &quot;leader&quot;, not 総裁
大船に乗る|おおぶねに のる|Metaphor for gaining a reliable foundation and being in safe condition (lit: boa
規範|きはん|Model / Standard / Criterion
怒号|どごう|angry roar; bellow
可愛げがない|かわいげがない|charmless, lacking charm, not adorable, unendearing, not very nice at all
発狂|はっきょう|madness, craziness, insanity
この家は来年出来上がります。|この いえは らいねん できあがります|This house will be completed next year.
手直し|てなおし|Correction / Adjustment / Tweaking / Improvement / Minor alteration
二の次|のにのつぎ|Secondary / Subordinate
短気|たんき|short temper
脱退|だったい|Secession / Retirement / Withdrawel
フィックスは息を切らし、髪もバサバサだった|は いきを きらし かみもだった|Fix was out of breath, and his hair was in disorder
管|かん|Tube / Pipe / Channel
名前は五十音順に並んでいます。|なまえは ごじゅうおんじゅんに ならんでいます|The names are arranged in the order of the Japanese syllabary.
縦書き|たてがき|Vertical writing
不治の病|のふじのやまい|Incurable illness
にこやか|にこやか|Smiling / Beaming
お払い箱|お いはらいばこ|Discarding / Firing (an employee)
斑点|はんてん|Speck / Spot
湛える|たたえる|To fill (to the brim)
まごつく|まごつく|Be flustered
節操|せっそう|Constancy / Integrity / Honour / Chastity / Fidelity
商店街は平日ひっそりしている。|しょうてんがいは へいじつひっそりしている|Shops are quiet on weekdays
手腕|しゅわん|ability; capability; skill
七三分け|しちさんわけ|side parting, hair parted to one side
学派|がくは|A school of thought
苦戦|くせん|Hard fight / Close game
世界の国々から元首が集まった|せかいの くにぐにから げんしゅが あつまった|The heads of countries all over the world gathered
子どもたちは原っぱで遊んでいます|こどもたちは はらっぱで あそんでいます|Children are playing in the field
状況プレイ|じょうきょう|Lets Play / Recorded playthrough of video game
濁る|にごる|Become turbid (cloudy, dirty?)
怒り出す|おこり だす|To fly into a rage / To lose ones temper
元凶|げんきょう|Ringleader / Main culprit / Main cause
紙鑢|かみやすり|sandpaper; emery paper
固有|こゆう|Peculiar to / Characteristic
あしらう|あしらう|To handle / To deal with / To arrange
ひっそり|ひっそり|Quiet / Still / Silent / Deserted
振り仰ぐ|ふり あおぐ|To look up
