語彙|ごい|Vocabulary
現代においては、コンピューターは不可欠なものである|げんだいにおいてはは ふかけつなものである|In this day and age computers are indispensible (&nbsp;&nbsp;において )
彼らは大統領の暗殺を謀った|かれらは だいとうりょうの あんさつを はかった|They plotted the assassination of the president
微細|びさい|minute; micro; detailed; delicate; subtle
几帳面な父にひきかえ、息子はだらしなかった。|きちょうめんな ちちにひきかえ むすこはだらしなかった|The son, in contract to his meticulous father, was slovenly.
語呂合わせ|ごろあわせ|rhyming game; play on words; pun
その少年は盗みをしかねない。|その しょうねんは ぬすみをしかねない|The boy is capable of robbery.
餃子|ぎょうざ|Kanji for Gyouza
衛生兵|えいせいへい|Combat medic / A medic
有意義|ゆういぎ|Significant / Meaningful / Worthwhile / Useful / Valuable
攻めて|せめて|Offense
下降|かこう|Downward / Descent / Drop / Fall
順当に行けば|じゅんとうに いけば|If everything goes smoothly..
陰謀論|いんぼうろん|conspiracy theory
血尿が出ました。|けつにょうが でました|I had blood in my urine
釈放|しゃくほう|Release / Discharge / Acquittal / Free
仮の申し込みをしました。|かりの しもうしこみをしました|I submitted a temporary application.
台風で山も海も荒れています。|たいふうで やまも うみも あれています|Because of the typhoon, the weather is rough both on the mountains and in the oc
対義語|たいぎご|antonym
商店街|しょうてんがい|Shopping District
心拍停止|しんぱく ていし|Cardiac Arrest
彼のチームは一挙に５点も入れた|かれのは いっきょに てんも いれた|His team got five points all at once
君が今言った事は私が昨日聞いた事と符合する|きみが いま いった ことは わたしが きのう きいた ことと ふごうする|What you've just told me chimes in with what I heard yesterday
小馬鹿|こばか|fool; someone beneath one's contempt
環境|かんきょう|Environment
敏感な|びんかんな|Sensitive / Delicate
料金|りょうきん|Fee / Toll / Charge
木版|もくはん|Wood block / Wood engraving
子供がすやすや眠っているね。|こどもがすやすや ねむっているね|The child is sleeping soundly.
日本の多くの河川は工場の廃液で汚染されている。|にっぽんの おおくの かせんは こうじょうの はいえきで おせんされている|Many rivers in Japan are polluted by waste water from factories
拘束|こうそく|Restriction / Binding
潤滑剤|じゅんかつざい|Lubricant
虚しい　・　空しい|むなしい むなしい|Empty / Hollow / Useless
毛先|けさき|Tips of hair (can ask for that when asking for a trim haircut)
私どもの手違い続きでさぞお腹立ちのことでしょう。|わたくしどもの てちがい つづきでさぞお はらだちのことでしょう|After a series of mistakes on our end, I'm sure you are very angry.
洋間|ようま|Western style room
軟式テニス|なんしきてにす|Softball tennis
大仕事|おおしごと|Big job / great task
注目|ちゅうもく|Notice / Attention
その国は次第に資本主義になったわね。|その くには しだいに しほんしゅぎになったわね|The country gradually became capitalist.
釣った魚を逃がしました。|つった さかなを にがしました|I let go of the fish I had caught.
脱ぎ捨てる|ぎぬぎすてる|To fling / throw off (clothes) / kick off (shoes)
長編|ちょうへん|Long film / Long book / Long poem etc
大容量|だいようりょう|High capacity
傾斜|けいしゃ|Slope / Slant / Inclination
果てしなく|はてしなく|eternally; interminably
降伏|ごうぶく|To surrender [not 降参]
演説|えんぜつ|Public Speech
建築家|けんちくか|Architect
宝石|ほうせき|Gem / Jewel
この暑さに１０マイルもてくてく歩くのはたまらない|この あつさにもてくてく あるくのはたまらない|I can't bear to tramp ten miles in this heat
書き取る|きかきとる|To take notes
彼女はゆったりした服を着ていますね。|かのじょはゆったりした ふくを きていますね|She's wearing baggy clothes.
