寒中|かんちゅう|Mid winter
この小切手は不渡りになりました。|この こぎっては ふわたりになりました|This check was not honored
軍艦|ぐんかん|Warship
滝|たき|Waterfall
遊戯|ゆうぎ|Game / Play / Sports
名折れ|なおれ|A disgrace / A blot
切除|せつじょ|cut off; cut out; ablation; resection; surgical removal
この写真はピントがずれています|この しゃしんはがずれています|This photo is out of focus
丸っきり|まるっきり|Completely / Just like
滅菌|めっきん|sterilization, sterilisation
恩返し|おんがえし|Repay / to owe one / return a favour
括弧|かっこ|Parentheses / brackets
一世一代|いっせいちだい|Once in a lifetime / the first and last of a lifetime (great idea grantack!)
その薬は病気の進行に歯止めをかけた|その くすりは びょうきの しんこうに はどめをかけた|The medicine halted the progression of the disease
革張り|かわばり|Leather covered (sofa etc)
食器は金無垢だ|しょっきは きんむくだ|The plate is of pure gold
老後|ろうご|Ones old age
陸軍|りくぐん|Army
中立|ちゅうりつ|Neutrality
彼は柔道で腰を傷めたんだ。|かれは じゅうどうで こしを いためたんだ|He hurt his lower back doing judo.
暇つぶし|ひまつぶし|Waste of time / killing time
巧妙な|こうみょうな|Shrewd / Ingenious / Clever / Smart
か弱い|か よわい|Frail / Weak
密閉|みっぺい|Seal off / Airtight
消極的|しょうきょくてき|Negative / Passive
彼は大昔の流行歌を口ずさんだ|かれは おおむかしの りゅうこうかを くちずさんだ|He hummed a popular song from years ago
交わる|まじわる|To Cross / Intersect
斜め|ななめ|Diagonal / Slant
相棒|あいぼう|Pal / Buddy / Mate
問いただす|といただす|To enquire of someone about something
目まいがする|めまいがする|to Feel faint
退治|たいじ|Extermination
意識不明|いしきふめい|Unconscious / Senseless
清涼飲料|せいりょういんりょう|Cool drink
連射|れんしゃ|Rapid fire
いい子ぶる|いい こぶる|to act the goody-goody; to pretend to be nice
たいてい|たいてい|Usually / Generally
粉|こな|Powder (single reading)
放り込む|りほうりこむ|To throw into / To toss into
卒論|そつろん|Graduation thesis
日頃の行い|ひごろの おこない|Ones habitual behaviour
紐付きの|ひもつきの|Conditions / Strings attached / Restrictions
チョコレートを無性に食べたい|を むしょうに たべたい|I want to eat chocolate very much
貿易協定|ぼうえき きょうてい|trade agreement
落下傘|らっかさん|parachute
偵察|ていさつ|Reconnaissance
受給者|じゅきゅうしゃ|Receipts of payments / pensioner
鉄格子|てつごうし|Lattice or bars / Iron grill / the big iron gate!
沿道の人たち|えんどうの ひとたち|Roadside people
副反応|ふく はんのう|1. side effect (from a vaccine)2. side reaction
盗賊|とうぞく|Thief / Robber (SF3)
盗み聞き|みぬすみぎき|Eavesdropping
救世主|きゅうせいしゅ|Savior / Messiah
チームを従えて監督が入場してきた|を したがえて かんとくが にゅうじょうしてきた|The coach entered accompanied by the team
~めく|めく|To indicate an atmosphere of a state. Only used with Nouns! がる is for adjectives
振り掛ける|りふりかける|To sprinkle over (eg salt, pepper, on food)
旋風|せんぷう|Whirlwind / Whirl / Vortex
ごまかす|ごまかす|Deceive / Evade
介入する|かいにゅうする|To intervene (government in the yen)
彼は大学入試をよそに、毎日パソコンに興じてる。|かれは だいがくにゅうしをよそに まいにちに きょうじてる|Despite having university entrance exams soon, he's wasting his time on the comp
原始人|げんしじん|primitive man
実行時|じっこうじ|execution-time, run time, object time
。。と言ったらない|と いったらない|.. is extraordinary / extremely
山羊|やぎ|Goat
彼の指はすばやく鍵盤の上を走った。|かれの ゆびはすばやく けんばんの うえを はしった|His fingers ran swiftly over the keys
この町は山と海が隣り合っています。|この まちは やまと うみが となり あっています|This town lies between the sea and the mountain.
大絶賛|だいぜっさん|rave reviews, extremely high praise
加齢|かれい|aging, ageing, adding to one's years
石油|せきゆ|Oil / Petroleum
ただいまシステムに照会しています|ただいまに しょうかいしています|We are connecting to the system now (as an application for more information)
品質|ひんしつ|(material) quality
申請|しんせい|Application / Petition
中央値|ちゅうおうち|Median
