一礼|いちれい|Bow (salute, greeting)
些細|ささい|Slight / Trivial
彼は給食を食べに行くという趣旨のメモを残した。|かれは きゅうしょくを たべに いくという しゅしのを のこした|He left a note to the effect that he was going out for lunch
遅咲き|おそざき|late blooming (flower, talent), late flowering
船着き場|ふなつき ば|harbour, harbor, landing place, wharf, anchorage
割算|わりざん|Division (math)
騒動|そうどう|Commotion / Uproar (not 騒ぎ)
世間一般|せけん いっぱん|The world in general / society
精密|せいみつ|Precise / Detailed / Close (inspection etc)
設計書|せっけいしょ|Design specifications
お出でを待ちしておりました|お いでを まちしておりました|We were expecting your visit
妙齢|みょうれい|Young / Blooming (age)
硬直|こうちょく|Stiffening / Rigidity / Stiffness
罵倒|ばとう|abuse; disparagement
十字キー|じゅうじき|D-pad (directional keypad on a video game game controller, remote control, etc.)
山形県|やまがた けん|Yamagata-ken
異教僧|いきょう そう|Pagan Monk
路面|ろめん|Road surface
宣告|せんこく|Sentence / Verdict
嬉々|きき|Gleeful / Joyful
吸い寄せる|いすいよせる|To draw in / To attract
切れ端|きれ はし|fragment; scrap; cut end; cut-off piece; chip; odds and ends
水神|すいじん|Water god
味覚|みかく|Taste / Palate
冗長|じょうちょう|Tedious / Verbose / Redundancy
猟銃|りょうじゅう|Hunting gun / Sportsgun
観察|かんさつ|To observe
万事休す|ばんじきゅうす|There is nothing more that can be done
～ものとする　Grammar|ものとする|Really its と決める, to decide
保守契約|ほしゅけいやく|Maintenance contract (for computers etc)
享楽|きょうらく|Enjoyment / Pleasure
周回|しゅうかい|Going around (Jupiter!, the planet) / circumference / surroundings
いじましい|いじましい|Paltry / piddling,&nbsp;pitiful、pitiable、pathetic
高得点|こうとくてん|high score
投げ出す|げなげだす|To throw down / To abandon / To sacrifice (their lives?)
神話|しんわ|Myth / Mythology
負けず劣らず|けずまけずおとらず|equally (talented, etc.); evenly; neck and neck; nip and tuck
挑発する|ちょうはつする|To provoke / ask for it
了承する|りょうしょうする|To approve / consent (Liar game word)
幻|まぼろし|Illusion / Phantom
儀小切手|ぎ こぎって|Counterfeit cheque
送付する|そうふする|Sending / Forwarding / Remitting
公務執行妨害|こうむしっこうぼうがい|Interference with a public servant in the execution of his or her duties (is why
索|さく|rope; cord
被験者|ひけんしゃ|subject (of a medical experiment, etc.); test subject; trial subject; testee; (2
狒狒|ひひ|1. baboon2. lecher; dirty old man; skirt-chaser
垢抜ける|あかぬける|to be refined, to be polished, to be stylish, to be sophisticated
掲示板|けいじばん|Bulliten Board
取引先への送金を済ませました|とりひきさきへの そうきんを すませました|I completed the money transfer to our client.
不穏|ふおん|Unrest / Turbulence (In Alexandria!)
上回る|うわまわる|To go beyond / above / exceed / Surpass / Overtake (think that graph with a line
出場|しゅつじょう|Participation
不覚|ふかく|Failure / Defeat / Mistake / Blunder
筆箱|ふでばこ|Pencil box / Pencil case
実務家|じつむか|Person with a head for business
敗走|はいそう|Take flight / Take to ones heels
声を立てる|こえを たてる|To cry out
想定外の問題が生じたの。|そうていがいの もんだいが しょうじたの|An unexpected problem arose.
盛り込む|りもりこむ|&quot;incorporate&quot; (something) - another word, not 組み込む, or 組み入れる
密猟者|みつりょうしゃ|Poacher
趣意書|しゅいしょ|prospectus
丸ごと|まるごと|in its entirety, whole, wholly
離職率|りしょくりつ|job separation rate, job turnover
相関|そうかん|Correlation / Interrelation
習俗|しゅうぞく|Manners and customs
駐停車|ちゅうていしゃ|Stopping or parking a vehicle
彼は決して自分の学問を誇示することは無かった。|かれは けっして じぶんの がくもんを こじすることは なかった|He never made a display of his learning.
泥を塗る|どろを ぬる|to besmirch; to sully / fling mud at / put shame on
心細い|こころぼそい|Helpless / Lonely
飛び交う|びとびかう|to fly about; to flutter about; to flit about; to fly past each other
若干|じゃっかん|Some / Few / Number of
そよ風|そよ かぜ|Gentle breeze
荒れ狂う|れあれくるう|(1) to rampage; to run wild; to go berserk; to run amok; (2) to be violent (wave
紅生姜|べにしょうが|red pickled ginger
夜気|やき|night air, stillness of night, cool evening
信条|しんじょう|Belief (in something) / Article of faith
なんたらかんたら|なんたらかんたら|1. something or other, what-do-you-call-it, what-do-you-call-them2. blah blah bl
彼らは何でも古い慣習にしがみつく。|かれらは なんでも ふるい かんしゅうにしがみつく|They stick to old customs in everything
引っ張る|っひっぱる|To pull / To draw (out her leg from the gap)
快眠|かいみん|Pleasant sleep
代代|だいだい|Generation after generation
彼は素晴らしい成績を修めた|かれは すばらしい せいせきを おさめた|He cultivated a fantastic track record
練り直す|りねりなおす|to knead again; (2) to rework; to revise; to polish
接着|せっちゃく|Glue
前記参照|ぜんき さんしょう|See above
入籍|にゅうせき|Entry in family register
肩で息をする|かたで いきをする|to breathe heavily (e.g. with much movement of the shoulders)
体裁上|ていさいじょう|for appearances' sake, for appearance sake
給湯器|きゅうとうき|Water Boiler
崇拝する|すうはいする|To worship / adore (like in a cult)
幼馴染|おさななじみ|Childhood Friend
称える|たたえる|To give praise
ふんどし|ふんどし|Loincloth (SF3)
思い出話|いおもいでばなし|reminiscent talk
関門|かんもん|Hurdle / Key / Barrier (beating toshya is the key..)
長官|ちょうかん|Director general / Director / Commissioner
大原則|だいげんそく|Great principle
仕損じる|しそんじる|to blunder; to fail; to make a mistake
苦にする|くにする|to worry
卵黄|らんおう|Yolk
夜陰に乗じて|やいんに じょうじて|Under cover of night / stealthily?
看過|かんか|あることを目にしていながら、そのままほうっておくこと。見逃すことShutting ones eyes to
道なき道|みちなき みち|trackless path
維持|いじ|Maintenance / Upkeep
敷く|しく|To spread out / to lay out (tracks all over Midgar)
太陽はまさに山の稜線に沈まんとしていた。|たいようはまさに やまの りょうせんに しずまんとしていた|The sun was about to sink behind the mountain ridge.
初任給|しょにんきゅう|Initial salary
量子論|りょうしろん|Quantum Theory
その倉庫は麻薬密売者の隠れみのだった。|その そうこは まやくみつばい しゃの かくれみのだった|The warehouse was a front for drug traffickers
過激派|かげきは|Radical party / Extremists
あっぱれ|あっぱれ|Splendid / Praiseworthy / Well done! Bravo!
椀|わん|1. bowl (wooden)2. counter for bowls of food or drink
基地|きち|Base / Military Base
箇条書き|かじょうがき|Itemised list / Itemised form
この法令は高齢者の視点に立脚している|この ほうれいは こうれいしゃの してんに りっきゃくしている|This law is based on the viewpoint of senior citizens
御用だ、神妙にしろ|ごようだ しんみょうにしろ|You are my prisoner
山行|さんこう|mountain hiking, walking in the mountains
文字間隔|もじかんかく|character spacing
引き取る|きひきとる|To take over / take custody
すすり泣く|すすり なく|To sob
官能的|かんのうてき|Sensual / Sexy
伝声管|でんせいかん|speaking tube; voice pipe
ある程度|ある ていど|To a certain extent
連帯責任|れんたいせきにん|Joint responsibility (liability)
面会謝絶|めんかいしゃぜつ|No visitors
卓越|たくえつ|Preeminence / Excellence / Superiority / Transcendence
悪い行いをすれば罰を受けるのは自明の理だ|いわるいおこないをすれば ばちを うけるのは のじめいのりだ|Its self evident that if you do a bad deed, you will be punished
血のりがズボンにべっとりついてしまった|ちのりがにべっとりついてしまった|The blood clot got stuck to the pants
配信|はいしん|Distribution / Transmission
万事|ばんじ|Everything
試験に落ちたからといって、嘆くにはあたらない|しけんに おちたからといって なげくにはあたらない|Its not worth crying over failing the examination
大詰を迎える|おおづめを むかえる|to approach the finale; to come to a close
夜型人間|よるがたにんげん|An evening person / Nocturnal
強姦する|ごうかんする|Violation / Rape
乖離|かいり|Separation / Estrangement (how work ability and ones education seem separate and
卑猥|ひわい|Indecent / Obscene (putting big books into linux kernel!)
州都|しゅうと|State Capital
滋賀県|しがけん|Shiga-ken
蛆虫|うじむし|Maggot
札入れの中身が紛失していた。|さついれの なかみが ふんしつしていた|The contents of the wallet were missing
揚力|ようりょく|Dynamic lift / Lifting Power (for my airplane)
本日はお礼かたがたお伺いしました。|ほんじつはお れいかたがたお うかがいしました|I came to show my gratitude to you today (お礼を兼ねて)
彼は滑って引っ繰り返った|かれは すべって っりひっくりかえった|He slipped and fell head over heels
ざら（な）|ざらな|Common / Often
急ごしらえ|きゅうごしらえ|hastily made; improvised preparation
事典|じてん|Encyclopedia
経済面|けいざいめん|Economic front / Financial page of a newspaper
皺|しわ|Kanji for wrinkle
持ち物|ちもちもの|one's belongings
思いとどまる|おもいとどまる|To give up a plan or idea
犬が涎をたらしている|いぬが よだれをたらしている|The dog is drooling
節操が無い|せっそうが ない|He has no principles
逆走|ぎゃくそう|1. going in the opposite direction2. going against the wind3. running or operati
連帯|れんたい|Another word for &quot;solidarity&quot;
管弦楽団|かんげんがくだん|Orchestra
円相場|えんそうば|Yen exchange rate
丸み|まるみ|Roundness
軍拡|ぐんかく|Expansion of armaments
内密|ないみつ|Privacy / Secrecy
急募|きゅうぼ|hurried recruitment; urgent recruitment
戸口|とぐち|Doorway / Entrance
彼女は会場整理の係だったの。|かのじょは かいじょう せいりの かかりだったの|She was in charge of the hall arrangement.
私はあなたの計画に同調します。|わたしはあなたの けいかくに どうちょうします|I will go along with your plan
盛装|せいそう|Dressing up / Wearing rich clothes
連載|れんさい|Serialization / Serial story
腸|はらわた|Guts / Bowels / Intestines
財産|ざいさん|Assets / Wealth / Estate / Fortune
王座|おうざ|Throne (for cid to sit on, the big chair!)
彼は無心で練習した|かれは むしんで れんしゅうした|He was absorbed in practice
擦り減らす / 磨り減る|こすり へらす すり へる|to wear away; to rub down; to abrade /&nbsp;to be worn down; to be reduced
失語症|しつごしょう|失語症とはいったん獲得された言語機能が中枢神経系の損傷によって言語の理解と表出に障害をきたした状態であるaphasia
抗うつ剤|うつこううつざい|Antidepressant
恋文|こいぶみ|Love letter
私は立ち上がるのがしんどいです|わたしは ちたちあがるのがしんどいです|Standing up is tiring for me
砕氷船|さいひょうせん|ice breaker
彼らは去年の夏は山地の保養地へ行った。|かれらは きょねんの なつは さんちの ほようちへ いった|They went to a resort in the mountains last summer
がっつく|がっつく|To be greedy / To devour greedily
擁護|ようご|Support / Advocacy / Defense / Protection (rights etc)
指の節|ゆびの ふし|knuckle
秒針|びょうしん|second hand (of clock)
お目見え|お めみえ|(The privilege to have) an audience with (the queen etc)
封入|ふうにゅう|enclose (eg in letter)
技官|ぎかん|technical official, technical officer
太陽は東から昇ります。|たいようは ひがしから のぼります|The sun rises in the east.
申し開き|しもうしひらき|Explanation / Self-defense / Answer / Defend or justify oneself
棺桶|かんおけ|Coffin / Casket
寝床|ねどこ|Bed
単車|たんしゃ|Motorcycle
戸別に|こべつに|Door to door
揉む|もむ|rub, massage
習慣|しゅうかん|Custom
一人語散る|にん ご ちる|To talk to oneself / to mutter
差し当たり会場だけは確保しました|しさしあたり かいじょうだけは かくほしました|For the time being, just the meeting location has been booked
健康|けんこう|Health / Condition
貫通|かんつう|Pierce / Penetrate (Aeris with a sword!)
今彼はちょっぴり不安になっている|いまかれはちょっぴり ふあんになっている|At the moment hes a bit uptight
幼体|ようたい|immature form (of an organism); young animal
直感|ちょっかん|Hunch / Sixth sense
しきたり|しきたり|Tradition / Convention
対峙|たいじ|Confronting / Holding your own with
みんなでわいわい騒いだ|みんなでわいわい さわいだ|We all made a lot of noise excitedly
顔が火照る|かおが ほてる|Face feels hot / burns
猛烈な|もうれつな|Fierce / Intense (extremely super duper, bit silly, use it for miki)
聴解|ちょうかい|Listening Comprehension
赤ちゃんをベッドに寝かせた。|あかちゃんをに ねかせた|I laid the baby down on the bed.
お浸し|お したし|Food - boiled greens in flavoured soy sauce (vegetable side dish)
助力|じょりょく|Assistance / Support
縺れる|もつれる|Become tangled
先途|せんど|Crisis in a battle / death
勿体ない|もったいない|(1) (uk) impious; profane; sacrilegious; (2) (uk) too good; more than one deserv
房中術|ぼうちゅうじゅつ|ability in the bedroom, art of lovemaking
暑さは峠を越したね。|あつさは とうげを こしたね|The worst of the heat has passed.
工業|こうぎょう|Industry (not 産業)
配管|はいかん|Plumbing / Piping
目掛ける|めがける|To aim at
打ち据える|ちうちすえる|To hit very hard / To place firmly
ぐったり|ぐったり|Completely exhausted / Dead tired
～そうもない　Grammar|そうもない|Something it doesnt seem can be done / 可能性は低い
注釈|ちゅうしゃく|Annotation / comments / remark (also annotate rust variable type)
摂食障害|せっしょくしょうがい|Eating Disorder
悪党|あくとう|Villain
生ずる|しょうずる|arise, bring about
支局|しきょく|Branch office (again)
気をもむ|きをもむ|To worry / To fret / To get anxious
比喩的な感覚においても、いっぱいにする|ひゆてきな かんかくにおいてもいっぱいにする|For&nbsp;湛える, "make full, also in a metaphorical sense"
体験記|たいけん き|Memoir
横道|よこみち|Side street
彼は親日家だ|かれは しんにちかだ|He is a Japanophile
アクション映画にはらはらした|あくしょんえいがにはらはらした|The action movie made me feel excited / in suspense?
有り合わせで夕食を済ませました|りありあわせで ゆうしょくを すませました|We made do with what we could find for supper
区画|くかく|Division / Section (iknow word)
この紙飛行機は左右の釣り合いがとれていないな。|この かみひこうきは さゆうの りつりあいがとれていないな|The right-left balance on this paper airplane isn't right.
きつつき|きつつき|Woodpecker
珍事|ちんじ|Strange occurrence / unusual occurrence
札|さつ|Label / Tag
累々|るいるい|In heaps
煩わしい|わずらわしい|い verb with new Kanji: troublesome / annoying
不条理|ふじょうり|Absurdity / Irrationality / Inconsistency
王は人民から税を厳しく取り立てた。|おうは じんみんから ぜいを きびしく りとりたてた|The king exacted taxes from his people
等号|とうごう|Equal sign
シック||chic
どっと|どっと|Burst (out laughing)
斜体|しゃたい|Italic (font style)
侵食|しんしょく|Encroachment / Erosion (Jenova cells taking over Hojo)
この本は新聞に掲載された随筆をまとめたものだ|この ほんは しんぶんに けいさいされた ずいひつをまとめたものだ|This book is a collection of essays published in the newspaper
詰め込む|めつめこむ|To cram (for study! cramming, also to pack into something)
領導|りょう どう|leadership, guidance
素粒子加速器|そりゅうしかそくき|particle accelerator
