乗馬|じょうば|horse riding
家の近くに灌漑用水があります|いえの ちかくに かんがいようすいがあります|There is irrigation water near the house
私たちは砂漠でオアシスとおぼしきものを見た|わたしたちは さばくでとおぼしきものを みた|We saw what looked like an oasis in the desert
インチキ||Cheating / Fake / Bogus
消費者連盟|しょうひしゃ れんめい|Japan Consumers Union
蝉|せみ|Locust
蒸し返す|しむしかえす|(1) to reheat; to steam over; (2) to bring up again (a problem that has been dea
敵に回す|てきに まわす|to make an enemy (of); to antagonize
総裁|そうさい|president, governor　(大統領、総統、総理、じゃない）
結わえる|ゆわえる|to bind; to fasten; to tie up
幹|みき|Tree Trunk
夢想|むそう|Daydream / Fantasy
ばら蒔く|ばら まく|To disseminate / To scatter / To give money freely
未納|みのう|In arrears / Unpaid
邪念|じゃねん|wicked thought, wicked mind
会社を辞めたのを機に、水泳を始めた。|かいしゃを やめたのを きに すいえいを はじめた|Quitting my job provided me with the opportunity to start swimming
過払い|かばらい|overpayment; paying too much
この椅子はがたがたしているね。|この いすはがたがたしているね|This chair is unstable.
タンポポ||Dandelion
遠方ご足労をかけて済みません|えんぽうご そくろうをかけて すみません|Thank you for coming so far!
望ましい|のぞましい|desirable, welcome
分際|ぶんざい|(used scornfully) Social Standing
パトカー||patrol car
彼はすごく知的な人です|かれはすごく ちてきな ひとです|He's an extremely intellectual person.
襟首|えりくび|Nape of neck (Barret grabbing the random guy)
彼女は分からず屋です|かのじょは からずわからずやです|She is an obstinate person
体験版|たいけんばん|Trial version / Playable version (demo)
右腕を骨折したようです。|うわんを こっせつしたようです|I think my right arm is broken.
紛れ込む|れまぎれこむ|to disappear into; to slip into; to be lost in; to be mixed up with
説得力|せっとくりょく|Persuasive power
横断歩道|おうだんほどう|pedestrian crossing
私費|しひ|Private expenses
空欄|くうらん|Blank Space (like, in a form)
日の出|のひので|Sunrise
泥酔|でいすい|Dead drunk
口外|こうがい|Disclosure / reveal (ie a secret）
抉る|えぐる|to gouge; to hollow out; to bore; to excavate; to scoop out
他でもない。。。|たでもない|The fact of the matter is / What I want to say is.....
偽造する|ぎぞうする|To forge / Falsify / Fabricate / Counterfeit
周縁|しゅうえん|Fringe / Rim
申し立て|しもうしたて|statement; account (of something); declaration; allegation
荘厳|しょうごん|Solemn
調印|ちょういん|Signature / Sign / Sealing
搭載される|とうさいされる|be Equipped with / built-in / loaded on (windows on PCs)
彼は新聞を取り上げて何気なく１面を眺めた。|かれは しんぶんを りとりあげて なにげなく めんを ながめた|He picked up the newspaper and glanced casually over the front page
意外に人目を気にするタイプだ。|いがいに ひとめを きにするだ|Surprisingly, he is the type that worries about being in the public eye
酒気帯び運転|びしゅきおびうんてん|Driving under influence of alcohol
目をそらす|めをそらす|Turn ones eyes away
子宮|しきゅう|Womb / Uterus
彼女は人ごみの中でまごついた|かのじょは ひとごみの なかでまごついた|She got flustered in the crowd of people
世間話|せけんばなし|General chit chat
ついさっき|ついさっき|Just now / A little while back / A short time ago
その赤ん坊は正常な発育を示した。|その んあかんぼうは せいじょうな はついくを しめした|The baby showed a normal development
木戸|きど|Gate / Wicket
仮設の|かせつの|Hypothetical
消化|しょうか|Digestion; processing; getting through (a schedule).Nuance:"消化"
 literally means
鉛筆|えんぴつ|Pencil
搬送|はんそう|To transport / deliver (the criminal to hospital!)
襟|えり|Collar / Lapel
どろどろ|どろどろ|Muddy / Syrupy
その曲はピアノ協奏曲に編集された。|その きょくは きょうそうきょくに へんしゅうされた|The piece was arranged for piano and orchestra
総毛立つ|そうけだつ|to get goosebumps, to have one's hair stand on end, to shudder
気体|きたい|Gas / Vapor
歯医者に痛い歯を触られて思わず悲鳴を上げた。|はいしゃに いたい はを さわられて おもわず ひめいを あげた|I yelled out in spite of myself when the dentist touched my aching tooth.
生存率|せいぞんりつ|Survival Rate
肝臓|かんぞう|Liver
突き上げる|きつきあげる|To push up / To toss
正社員|せいしゃいん|Full time worker
ぴょんと|ぴょんと|jump (like the doubler)
身分相応|みぶんそうおう|Appropriate to ones lot in life / Within ones means
そわそわしています|そわそわしています|I'm restless
人は見かけによらないな。|ひとは みかけによらないな|You can't judge people by their appearance.
腕を磨く|うでを みがく|to polish one's skills
癒す|いやす|To mend / heal
悲劇|ひげき|Tragedy
あなたの言葉で報われました|あなたの ことばで むくわれました|I was rewarded because of your words
理に勝って非に落ちる|りに かって ひに おちる|to lose an argument despite being in the right, to have the right on one's side,
保育園|ほいくえん|Day care center / Nursery school
何はともあれ|なにはともあれ|Any any rate / in any case / at the very least
女傑|じょけつ|brave woman; heroine; lady of character
姿勢|しせい|Pose / Posture / Attitude / Demeanor
私たちは内臓器官を調べるためにカエルを解剖した。|わたしたちは ないぞう きかんを しらべるためにを かいぼうした|We dissected a frog to examine its internal organs
鏡面|きょうめん|Mirror surface
遠洋漁業|えんようぎょぎょう|Deep sea fishing
虜|とりこ|Slave / Prisoner / Captive
自ずから明らか|おのずから あきらか|self-evident
放流|ほうりゅう|Discharge (eg of water from a dam)
おしゃべりの奔流がそれに続いた|おしゃべりの ほんりゅうがそれに つづいた|A torrent of talk followed
買い物客|いかいものきゃく|Shopper
貴族|きぞく|Aristocrat / Nobleman
乗り気|のり き|Interest / Eagerness / Enthusiasm
有益|ゆうえき|Beneficial / Profitable
短剣|たんけん|Dagger
着色|ちゃくしょく|Coloration / Coloring
ボンベ||Compressed Gas Cylinder
熱望|ねつぼう|Longing for / Burning desire
王様は金の冠をかぶっていた|おうさまは きんの かんむりをかぶっていた|The king was wearing a golden crown
彼は力強い演技をするね。|かれは ちからづよい えんぎをするね|He's a powerful actor.
堂々巡り|どうどう めぐり|Going around in circles
領空|りょうくう|Airspace
お神輿|お みこし|Portable shrine (that huge thing people carry on their shoulders)
来年こそ、日本へ行きたいと思っている|らいねんこそ にっぽんへ いきたいと おもっている|I do want to go to Japan next year for sure
税制|ぜいせい|Tax system
弁償|べんしょう|Reimbursement / Compensation / Replace
外貨を両替しました。|がいかを りょうがえしました|I exchanged some foreign currency.
レモンの爽やかな香りがした。|の さわやかな かおりがした|There was the fresh smell of lemon.
この曲を聞くと気持ちが和らぎます。|この きょくを きくと きもちが やわらぎます|When I hear this tune, I feel at ease.
鍛鋼|たんこう|鍛造用の鋼材forged steel
小銭入れ|こぜにいれ|change purse
書き味|きかきあじ|The feel or performance of a pen!
考えに考えて進学を断念した。|かんがえに かんがえて しんがくを だんねんした|I decided not to go to a higher level school after thinking carefully. (よく考えて)
彼らは夜陰に乗じてかろうじて逃れる事ができた。|かれらは やいんに じょうじてかろうじて のがれる ことができた|They had a narrow escape under cover of darkness
縋る|すがる|To cling to / To rely on
検疫所|けんえきしょ|Quarantine station
即効|そっこう|Immediate effect / Instant effect
精読|せいどく|Intensive reading
皿回し|さらまわし|Plate spinning trick
人畜無害|じんちくむがい|Harmless to man and beast
軍隊はその地歩を保った。|ぐんたいはその ちほを たもった|The troops maintained their ground
延べ|のべ|Aggregate / Total
〜について訴訟を起こす|について そしょうを おこす|To go to court over ~
首領|しゅりょう|Captain / Leader / Head / Chief
無罪放免|むざいほうめん|acquittal
流暢|りゅうちょう|Fluent (speaking, at Japanese)
弟には一人として敵はいません|おとうとには にんとして てきはいません|My little brother doesn’t have an enemy in the world
補聴器|ほちょうき|hearing aid
詫びる|わびる|To apologise (not お詫び but close)
比較的|ひかくてき|Relatively / Comparatively
産出|さんしゅつ|Yield / Produce
熱効率|ねつこうりつ|Thermal efficiency
一回なりとも是非してみたい。|かいなりとも ぜひしてみたい|I definitely want to try it at least once
騎乗位|きじょうい|Girl on top sexual position :D
城主|じょうしゅ|Lord of a castle
職場で使う術語をリストにまとめた|しょくばで つかう じゅつごをにまとめた|A list of technical terms used in the office was put together
坑夫|こうふ|Miner (ie someone who works in a mine..)
お年寄りが道端にしゃがんでいますね。|お としよりが みちばたにしゃがんでいますね|An old person is squatting down on the side of the road.
過激|かげき|Extreme / Radical (to take radical measures to achieve something)
進入|しんにゅう|Penetration / Entry
中近東|ちゅうきんとう|The middle east (needs peace!)
ともすれば + Noun/Adj|ともすれば|apt to; prone to
解明する|かいめいする|To solve / resolve (a mystery, an unknown thing?)
ミセスのための雑誌を買ってきた|のための ざっしを かってきた|I bought a married womens magazine
店舗|てんぽ|Shop / Store
連日|れんじつ|Day after day / Everyday
再編する|さいへんする|Reorganize / Reconstitute
満タンにする|まんたんにする|Fill up / Tank up (car petrol)
実機|じっき|Real machine, as opposed to model or simulation
一矢|いっし|an arrow
趣味|しゅみ|Hobby
蓋を開ける|ふたを あける|To open the lid
拙い|つたない|Poor quality / shoddy / crude
換骨奪胎|かんこつだったい|Adaptation (eg of a poem or novel) / rewriting / rehashing
見目麗しい|みめ うるわしい|good-looking; fair; beautiful
自警|じけい|policing (an area, etc.) by oneself; protecting by oneself; vigilantism; (2) cau
火炎瓶|かえんびん|Molotov cocktail; petrol bomb
ネタバレ||Spoiler / Something that spoils the ending of a story or movie
彼は自らの命もかえりみず戦場に向かった|かれは みずからの いのちもかえりみず せんじょうに むかった|He went to the war front regardless of his own life
金権|きんけん|power of money; financial influence
春雨|はるさめ|Spring Rain
浜辺できれいな貝がらを拾いました。|はまべできれいな かいがらを ひろいました|I picked up a beautiful shell on the beach.
よそ見|よそ み|turn and look
表向きの理由|きのおもてむきのりゆう|An official reason
平坦|へいたん|Even / Flat / Level
密告|みっこく|Secret information / Betrayal / Inform on
至福|しふく|Supreme bliss
候補 （になる）|こうほになる|Candidacy
剥ぐ|はぐ|To strip / skin
台所から香ばしい香りが流れてきた|だいどころから こうばしい かおりが ながれてきた|A savory smell drifted from the kitchen
身柄拘束|みがらこうそく|physical restraint (e.g. by police); (taking into) custody; detention
彼に営業を妨害されました。|かれに えいぎょうを ぼうがいされました|My business operations were thwarted by him.
彼はとても体格がいいわ。|かれはとても たいかくがいいわ|He has a very nice body.
私たちは物陰に隠れたんだ。|わたしたちは ものかげに かくれたんだ|We hid ourselves away.
後学の為に|こうがくの ために|For future reference
会話を教えるのは気骨が折れる|かいわを おしえるのは きこつが おれる|Teaching conversation is a strain on the nerves
簡略|かんりゃく|simple, brief
一行目|いっこう め|The first line
彼はいかなる忠告にも耳を貸さなかった。|かれはいかなる ちゅうこくにも みみを かさなかった|He didn't lend an ear to any kind of advice.
言わんばかり|いわんばかり|As if to say / as much as to say / as though
祖母は書道の心得があります|そぼは しょどうの こころえがあります|My grandmother has knowledge of calligraphy
今夜は凍えるほど寒い|こんやは こごえるほど さむい|It is cold enough to freeze tonight
年賀|ねんが|New Year's celebration, New Year's gift
描画|びょうが|Drawing / Painting (ie, to the computer screen in code)
故事来歴|こじらいれき|The origin and history of X
先遣|せんけん|Sending ahead
しっかり|しっかり|To do properly (ちゃんと）
魅惑的な声|みわくてきな こえ|A seductive [enchanting] voice
入射角度|にゅうしゃかく ど|Angle of incidence (light bouncing around）
暗に。。|あんに|By way of implication (I'm saying...?)
大文字|だいもんじ|Upper case letters / Capital letters
国宝|こくほう|National treasure
お供|お とも|Attendant / Companion
結び目|むすび め|Knot
充電器|じゅうでんき|A charger (say, phone charger)
焼き払う|きやきはらう|To clear away by burning / reduce to ashes
笑む|えむ|To smile
艇長|ていちょう|Skipper (of a boat)
他人|たにん|Some other person
陣取る|じんどる|To encamp / To take up positions
余りの恐怖に体が強張った|あまりの きょうふに からだが つよ はった|My body went stiff with such terror
偶然符合したに過ぎぬ|ぐうぜん ふごうしたに すぎぬ|It is a mere coincidence
そのしわ寄せが、不法就労の外国人労働者に及んでいる|そのしわ よせが ふほうしゅうろうの がいこくじんろうどうしゃに およんでいる|The serious job shortage is also affecting those illegal foreign workers
贖罪|しょくざい|atonement
説教|せっきょう|Sermon / Lecture
掃除|そうじ|To clean up
ここはかつてゴールドラッシュで栄えた町だよ。|ここはかつてで さかえた まちだよ|This town once prospered during the Gold Rush.
識別し|しきべつし|Identifier
今年のインフルエンザは高熱が出るうえ、せきもひどい|ことしのは こうねつが でるうえせきもひどい|This years influenza not only brings out a high temperature, in addition the cou
人工授精|じんこうじゅせい|Artificial insemination
魚の皮を剥ぐ|さかなの かわを はぐ|To skin a fish
制裁|せいさい|Sanctions (on N Korea) / Restraints / Punishments
滅多に|めったに|Seldom / Rarely
子供が親におもちゃをねだっている|こどもが おやにおもちゃをねだっている|The child is pestering the parents for the toy
そんな軽はずみなことを言ってはいけないよ|そんな かるはずみなことを いってはいけないよ|You shouldn't say such a thoughtless thing
イチゴ狩り|かり|Strawberry picking
居合わせる|いあわせる|To happen to be present
～ならいざ知らず|ならいざ しらず|I don't know about (that time period etc) / ならそうかもしれないが、全く違う状況なのだから結果も違う。
歓声|かんせい|Cheer / Shout of joy
華奢|きゃしゃ|Luxury / Delicate
石化|いし か|Petrification / Fossilisation
腹を下す|はらを くだす|to have diarrhea
正体|しょうたい|Identity
図鑑|ずかん|Pictorial Encyclopedia
怨霊|おんりょう|revengeful ghost
自分の手柄にする|じぶんの てがらにする|to take credit for
麻薬取締班|まやくとりしまりはん|narcotics squad, narc squad
痛覚|つうかく|sense of pain
ひらり|ひらり|nimbly; lightly
今にも|いまにも|At any moment
他社と一線を画する商品を開発した|たしゃと いっせんを かくする しょうひんを かいはつした|They developed a product that made them stand out from the competition
首魁|しゅかい|forerunner; ringleader
悲願|ひがん|Ones dearest wish
模型|もけい|Model / Dummy （Of Midgar)
社説|しゃせつ|Editorial
剣客|けんきゃく|Fencer / Swordsman
自信満々|じしんまんまん|Full of confidence / brimming with confidence
漢字の部首|かんじの ぶしゅ|Kanji's Radical
出生証明書|しゅっしょうしょうめいしょ|Birth certificate
天下一品|てんかいっぴん|Best article under heaven / Peerless
健常者|けんじょうしゃ|Healthy person / Non handicapped person
布教活動|ふきょう かつどう|Missionary work
彼は忘我の境をさまよっている。|かれは ぼうがの さかいをさまよっている|He is wandering around in a trance
消え失せる|えきえうせる|to disappear; to vanish
夏場|なつば|夏の間
治療 『する』|ちりょうする|Cure / Remedy / Treatment
利率|りりつ|Interest rate (banks)
子供は力加減を知らないことが多い|こどもは ちから かげんを しらないことが おおい|Children often don't know their own strength
烈士|れっし|upright man; patriot; hero
発信源|はっしんげん|Source (of information)
諸条件|しょじょうけん|Terms and conditions
低温|ていおん|Low temperature
彼は男前だ|かれは おとこまえだ|Hes handsome
輪番|りんばん|Rotation
妊娠|にんしん|Pregnant
素早い|すばやい|Nimble / quick
風変わり|ふうがわり|Strange / Eccentric
指差呼称|しさこしょう|pointing and calling (occupational safety method)
兵器|へいき|Arms / Weapon (not 武器 or 凶器)
落とし穴|としおとしあな|Pitfall / Trap / Pit
彼はそんな窮乏の中でどうやって暮らしていたのか。|かれはそんな きゅうぼうの なかでどうやって くらしていたのか|How did he make his living in such poverty?
巫女|みこ|Shrine maiden / sorceress
その川には淡水魚がうようよしていた|その かわには たんすいぎょがうようよしていた|The river was alive with fresh water fish
墓|はか|Grave
形式|けいしき|Format
彼女はとても繊細な人です|かのじょはとても せんさいな ひとです|She is a very delicate person
険悪な事態|けんあくな じたい|an ugly situation
テンパる|る|To be about to blow one's fuse
漁場|ぎょじょう|Fishery
収入関税|しゅうにゅうかんぜい|Revenue Tax
都心に出た折に、古本屋街に足を延ばした。|としんに でた おりに ふるほんや がいに あしを のばした|When I went into downtown Tokyo, I also went (lit., extended my trip) to the use
最近、不規則な生活をしている。|さいきん ふきそくな せいかつをしている|My life has been quite disorganized lately.
うっかり寝過ごしてしまったんだ。|うっかり ねすごしてしまったんだ|I accidentally overslept.
便秘する|べんぴする|To be constipated
使用して機種及びソフトウエアを表1に示す。|しようして きしゅ およびを ひょう に しめす|The computer models and software we used are listed in Table 1.
再興|さいこう|Revival / Restoration / Resuscitation
全面的|ぜんめんてき|All out / overall
～だの　～だの　Grammar|だのだの|when giving examples from a list, often used when describing dissatisfaction wit
腕白|わんぱく|Disobedient / Unruly
よくも|よくも|How dare ....
近距離|きんきょり|Short distance
洪水でたくさんの家が流されたの。|こうずいでたくさんの いえが ながされたの|A lot of houses were washed away in the flood.
結託する|けったくする|To collude / conspire
上辺だけの|うわべだけの|Superficial / Of the surface
彼女は美人で有名もさることながら、才能がある。|かのじょは びじんで ゆうめいもさることながら さいのうがある|While she is famous for her beauty she also has talent
中途|ちゅうと|Halfway
彼は芝居もどきのせりふを言う|かれは しばいもどきのせりふを いう|He speaks as if he were acting on the stage
スレタイ||Thread title (denko story)
放浪者|ほうろうしゃ|Nomad
天涯孤独|てんがいこどく|Have no relatives (to depend on) / To be quite alone
信号が点滅している時は停止してください|しんごうが てんめつしている ときは ていししてください|Please stop when the signal is flashing
水銀灯|すいぎんとう|Mercury lamp
彼らは（キリストの）福音を全世界に広めた。|かれらはの ふくいんを ぜんせかいに ひろめた|They spread the Gospel all over the world
白髪|はくはつ|White hair
初陣|ういじん|First campaign / Ones first battle
奔放|ほんぽう|Wild / Uninhibited / Extravagant / Rampant
この家は私の名義です|この いえは わたしの めいぎです|This house is my name
朝活|あさかつ|using early morning time (before going to work) for some other activity (e.g. st
上申（する）|じょうしんする|Report
協調|きょうちょう|Cooperation / Conciliation
二段階認証|にだんかい にんしょう|two-factor authentication
赤面する|せきめんする|To blush / redden
風で髪が乱れたね。|かぜで かみが みだれたね|The wind has messed up your hair.
一本調子|ほんちょうし|Monotone
手振り|てぶり|movements or gestures of hands or arms
口をつける|くちをつける|To taste / To try (food or drink)
人体|じんたい|人間の体（Human Body)
うろうろ|うろうろ|Wander
聞き及ぶ|きききおよぶ|To hear of / To learn of
言論界|げんろんかい|The press
縛る|しばる|To bind / restrict
彼は威張ってなんかいません。|かれは いばってなんかいません|He's not acting superior/snobbish
寒いので暖かい肌着を着ました。|さむいので あたたかい はだぎを きました|I was cold so I put on some warm underwear.
樹木のある公園に行くと気持ちが休まります|じゅもくのある こうえんに いくと きもちが やすまります|I feel relaxed when I go to a park that has trees
早期|そうき|Early stage
夢見る|ゆめみる|To dream of (a good life etc)
痩せこける|やせこける|To get too skinny
急ぐととかく失敗しがちだ|いそぐととかく しっぱいしがちだ|If you hurry its easy to make mistakes (often make mistakes)
抑制|よくせい|To restrain / suppress / inhibit (some dark power...)
証|あかし|Proof / Evidence / Testimony
レンタカーの乗り捨て料金はいくらだろう？|の りてのりすてりょうきんはいくらだろう|How much more does it cost to return the rental car to another location?
満室|まんしつ|No vacancy
脱衣|だつい|Undressing
のばら|のばら|Wild rose
国際法|こくさいほう|International Law
長方形の対辺は平行している。|ちょうほうけいの たいへんは へいこうしている|The opposite sides of a rectangle are parallel
神官|しんかん|Shinto priest
生き恥|きいきはじ|Living in disgrace
縁起物|えんぎもの|talisman; lucky charm
彼は歯科医師です。|かれは しかいしです|He is a dentist.
中傷|ちゅうしょう|Slander / Defamation
うろ覚え|うろ おぼえ|vague recollection; faint memory
解消する|かいしょうする|Reduction / Relief (of stress) / Cancellation / Liquidation
豹はその斑点を変えることはできない。|ひょうはその はんてんを かえることはできない|The leopard cannot change his spots
彼は競争者を優に凌駕した|かれは きょうそうしゃを ゆうに りょうがした|He has far distanced his rivals―soared above his rivals
彼女は出席を拒否した。|かのじょは しゅっせきを きょひした|She refused to attend.
ぶら下がる|ぶら さがる|To hang down / dangle
空前|くうぜん|Unprecedented / Record breaking
玉座|ぎょくざ|Throne
次から次へと|つぎから つぎへと|In succession / One after another
刻一刻と|こくいっこくと|Moment by moment
彼の経歴は前任者のそれに匹敵する。|かれの けいれきは ぜんにんしゃのそれに ひってきする|His background parallels that of his predecessor
点描|てんびょう|Dotting / Drawing dots / Sketch
生粋|きっすい|Pure / Genuine / Natural-born
彼女は彼をまじまじと見つめた|かのじょは かれをまじまじと みつめた|She stared at him
布地|ぬのじ|cloth; fabric
誰が店番をしているですか？|だれが みせばんをしているですか|Who's minding the store?
異論|いろん|Objection
行政的|ぎょうせい てき|By administrative means (like, getting the government to change something?)
爺|じい|Old man / geezer
商標|しょうひょう|Brand / Label / Trademark
巧み|たくみ|Skill / Cleverness
章|あきら|Chapter
因る|よる|be caused by, be due to
引き渡す|きひきわたす|To hand over / To turn over / surrender / yield
閃光|せんこう|Flash / Glint
地質|ちしつ|Geological features&nbsp;
年頃|としごろ|Marriageable age / Age range
彼女は映画の流血シーンを見て失神した|かのじょは えいがの りゅうけつを みて しっしんした|She saw a bloody scene in a movie and fainted
書庫|しょこ|library; book storage; stack room
小麦粉|こむぎこ|Flour
重い荷物をずるずる引くずる|おもい にもつをずるずる ひくずる|To drag heavy luggage
言及する|げんきゅうする|Reference / Allusion
累乗|るいじょう|累乗（るいじょう）means "exponentiation," 
"raising to a power," or "repeated multiplicat
非常用の|ひじょうようの|For emergency use
捕捉|ほそく|&nbsp;(1) capture; seizure; prehension; (2) apprehension; understanding
せせら笑う|せせら わらう|To sneer at / ridicule
不問|ふもん|not asking (about), letting go unquestioned, disregarding, ignoring, overlooking
水分|すいぶん|Moisture
私があなたの安全を保障します。|わたしがあなたの あんぜんを ほしょうします|I guarantee your safety.
得失|とくしつ|Pluses and minuses
押し倒す|しおしたおす|To push down (someone?)
養成スクール|ようせい|Training school (new word for &quot;training&quot; from GTO)
風がさっと吹いて来た|かぜがさっと ふいて きた|There was a sudden gust of wind
行く当て|いく あて|somewhere to go; place to go
姓名|せいめい|Yet another word for "name"
建設現場|けんせつげんば|Construction site
搬出|はんしゅつ|Carry out
私の母は食事の後はいつでも爪楊枝を使います|わたしの ははは しょくじの のちはいつでも つまようじを つかいます|After eating my mother always cleans her teeth with a toothpick
退化|たいか|degeneration, retrogression
退路|たいろ|Path of retreat
総理大臣の適任者は彼をおいては考えられない|そうりだいじんの てきにんしゃは かれをおいては かんがえられない|I think he is the only person who is qualified to be the president
僵屍|きょんしー|jiangshi (chi: goeng-si); Chinese hopping vampire
デブス||fat and ugly person, overweight and homely
彼女は割り箸を使わず、自分の箸を使うの。|かのじょは りわりばしを つかわず じぶんの はしを つかうの|She uses her own chopsticks rather than disposable ones.
品定めする|しなさだめする|Size up / Appraise / Evaluate (checking out densha otoko!)
抱き上げる|きだきあげる|To hold up in ones arms
水理|すいり|Hydraulic / Hydrologic
音痴|おんち|Tone deaf
導火線|どうかせん|Fuse (cannon etc)
夫人|ふじん|wife, married lady
