業界動向|ぎょうかいどうこう|Industry trend
ふとっちょ|ふとっちょ|Fat person
結集|けっしゅう|Concentration / Regimentation (of troops)
あくび|あくび|Yawn
乗り出す|りのりだす|lean forward, embark on
教育機関|きょういくきかん|Educational Institution
憔悴|しょうすい|Wasting away / tiredness / haggardness / emaciation
バツ||cross, x-mark (marking exam?)
部分的に|ぶぶんてきに|Partially ~
内容種別|ないようしゅべつ|content type
二等の|とうの|Second class (second mate)
視点|してん|Viewpoint
令状|れいじょう|Warrant / Summons / Written order
演壇|えんだん|Platform / Podium / Stage
余裕|よゆう|Margin / Room (think time, having enough margin for error)
見極める|みきわめる|To make sure of / To see through
彼は体格ががっしりしている|かれは たいかくががっしりしている|He has a stocky physique
念には念を入れる|ねんには ねんを いれる|to be extremely cautious; to be as sure as sure can be; to make assurance doubly
空論|くうろん|abstract or impracticable theory
言い淀む|いいいよどむ|to hesitate to say
書類はこのファイルにとじてください。|しょるいはこのにとじてください|Put the documents in this file.
不倫相手|ふりんあいて|Person with whom one is having an illicit love affair
定理|ていり|Theorem / Proposition
滑らせる|すべらせる|To let something slip (let your mouth slip!)
飽き性|あき しょう|Fickle nature / flighty temperament / inconstant person
手並み|てなみ|Skill
太鼓腹|たいこばら|potbelly, paunch
火元|ひもと|origin of a fire
推定|すいてい|Presumption / Assumption / Estimation
日帰り|ひがえり|A day trip
私は顔を窓に近付けたんだ。|わたしは かおを まどに ちかづけたんだ|I brought my face close to the window.
彼らは村を洪水から守るために堤防を補強した|かれらは むらを こうずいから まもるために ていぼうを ほきょうした|They strengthened the embankments to secure the village against floods
業況|ぎょうきょう|Condition of industry / enterprise etc
オレンジの濃縮ジュースを買ってきました|の のうしゅくを かってきました|I bought some concentrated orange juice
頭脳明晰|ずのうめいせき|Clear-headed
フクロウは縁起がいい鳥と言われている|は えんぎがいい とりと いわれている|It is said that an owl is a good omen
気にかける|きにかける|To weigh on ones mind / To trouble ones heart / To be concerned about
濃厚|のうこう|Tension / Concentration / Density (So much news of Pelligrini to come in)
彼は幽閉の身だ|かれは ゆうへいの みだ|He is confined
垢|あか|Dirt / Filth / Grime
無駄遣いを親に叱られたよ。|むだづかいを おやに しかられたよ|My parents reproached me for being wasteful.
汽船|きせん|Steamship
横流し|よこながし|diversion into illegal channels; putting on the black market; selling through il
６割です|わりです|Its 6 out of 10 (chance of success? Orange Days)
ケツ||Ass / Arse
酔いしれる|よいしれる|To be intoxicated with / To be drunk with (power maybe, etc)
塵|ちり|Litter / Rubbish / Trash
捻じれる|ねじれる|To get entangled / become complicated / be twisted
指笛|ゆびぶえ|whistling through one's fingers, whistle made by sticking one's fingers in one's
熱湯|ねっとう|Boiling Water
夜更かし|よふかし|Staying up late at night
秘訣|ひけつ|The secret / The key (to something)
集計|しゅうけい|To aggregate / tally (eg votes) / Totalization
隣接|りんせつ|Adjoin / Adjacent / Related
出刃包丁|でばぼうちょう|Knife / Pointed carver
満喫する|まんきつする|To enjoy something (think, after being unable to do something for a long time)
よける (another meaning)|よける|avoid, evade
公示する|こうじする|To announce (the election!)
鳥が小枝を銜えて飛んでいった|とりが しょう えだを くわえて とんでいった|The bird was flying with a twig in its mouth
彼女、飲みっぷりがいいね。相当、酒に強いんだろう。|かのじょ のみっぷりがいいね そうとう さけに つよいんだろう|Shes drinking quickly. She must be able to drink a lot. (飲む様子)
彼は驚いてぽかんとしている|かれは おどろいてぽかんとしている|He was flabbergasted
開花|かいか|Blooming / showing results / becoming popular
膠着|こうちゃく|Stalemate / Deadlock
古巣|ふるす|Old haunts / Former homes
遅配|ちはい|delay in rationing
アスペ||アスペルガー症候群 /&nbsp;aspie; autist; autistic person
その国には物資の援助が必要です。|その くにには ぶっしの えんじょが ひつようです|That country needs substantial aid.
道に土の塊ができてたよ。|みちに どの かたまりができてたよ|A clump of earth had formed on the road.
内科|ないか|Internal medicine
却下|きゃっか|Rejection / Dismissal (of a patent application)
たじろぐ|たじろぐ|To falter / To wince
なりとも　Grammar|なりとも|At least (a little bit) of A (usually a small amount)Implies that more would be 
船舶の操縦には免許が必要です|せんぱくの そうじゅうには めんきょが ひつようです|You need a license to control a ship
追いかけっこ|おいかけっこ|Playing tag / chasing after one another
這う|はう|1. to crawl, to creep, to go on all fours2. to slither, to wriggle3. to trail (o
これから身長と体重を測定します。|これから しんちょうと たいじゅうを そくていします|Now your height and weight will be measured.
稚魚|ちぎょ|Young fish
降臨|こうりん|Advent (of christ etc) / Descent
話をそらす|はなしをそらす|To change the subject
進展|しんてん|Progress / Development
妻が反対だと言えば、あきらめるまでだ|つまが はんたいだと いえばあきらめるまでだ|I'll have to give it up if my wife is against it
慎ましい|つつましい|Modest / Reserved / Quiet / Humble
負債|ふさい|Another word for debt
彼女の条件が結婚相手を選ぶ際の優先事項だ。|かのじょの じょうけんが けっこんあいてを えらぶ さいの ゆうせんじこうだ|Her conditions for choosing a marriage partner took priority
随所|ずいしょ|Everywhere
亜種|あしゅ|Subspecies
蛮地|ばんち|savage land; barbaric region
総意|そうい|consensus, collective will, collective opinion
（〜を）踏む|を ふむ|To step on ~
模倣|もほう|Imitation / Copying
アホノミクス||stupid Abenomics; idiot economics
毒親|どく おや|toxic parent; parent who interferes excessively in their children's lives
読書|どくしょ|読むこと
丸っこい|まるっこい|Round / Spherical / Circular
険しい山々が連なっています|しいけわしいやまが つらなっています|There is a row of steep mountains
母親と触れ合うことで赤ちゃんは安心します|ははおやと れふれあうことで あかちゃんは あんしんします|The baby was comforted by the mothers touch
見限る|みかぎる|Desert / Give up
知恵は小出しにせよ。|ちえは こだしにせよ|Dole out your wisdom a little at a time
恐怖症|きょうふしょう|Morbid fear / Phobia
完全主義者|かんぜんしゅぎしゃ|A perfectionist
泣きじゃくる|なきじゃくる|To sob
自己矛盾|じこむじゅん|self-contradiction, paradox
回数券|かいすうけん|Book of tickets
押し付ける|しおしつける|To press onto / To push / To force
彼の憤慨は彼を打ちまかした。|かれの ふんがいは かれを うちまかした|His Resentment got the better of him
即席|そくせき|Impromptu / Improvised
売り言葉|りうりことば|Inflammatory words
絶壁|ぜっぺき|Precipice / Cliff
割高|わりだか|Rather Expensive
彼に集中するよう注意を促しといたよ。|かれに しゅうちゅうするよう ちゅういを うながしといたよ|I urged him to concentrate.
一夫一婦|いっぷいっぷ|Monogamy
高める|たかめる|To raise / to lift / to boost / to enhance
異邦|いほう|Foreign country
彼らの話は隣の部屋に筒抜けに聞こえた|かれらの はなしは となりの へやに つつぬけに きこえた|Their conversation could be clearly [distinctly] heard in the next room
営む|いとなむ|（会社など）を経営する　／　（ホテル、店、学校など）を経営する
精を出す|せいを だす|Labor / Hustle / Toil / Put great energy into
川縁|かわぶち|Riverside
要は|ようは|In short / The point is
増水|ぞうすい|High water (danger of etc)
別動隊|べつどうたい|flying column; detached force
暗所恐怖症|あんしょきょうふしょう|fear of the dark; nyctophobia; scotophobia
ひとまず|ひとまず|For the time being / for a while (not 当分)
生徒たちは起立して先生に挨拶した|せいとたちは きりつして せんせいに あいさつした|Students stood up and greeted the teacher
冥福|めいふく|Happiness in the next world
よくよく考えた末|よくよく かんがえた すえ|after much deliberation
航続|こうぞく|Cruising / Flight
張り切る　(iknow definition)|りはりきる|Go all out / make efforts
くれぐれも|くれぐれも|sincerly / earnestly (when saying take care, yoroshiku etc)
野獣|やじゅう|Wild animal / Beast
痛手|いたで|Serious wound / Hard blow
鬼|おに|Ogre / Demon
八つ当たり|つやつあたり|Outburst of anger
消耗戦|しょうもうせん|War of attrition
修復|しゅうふく|Another word for &quot;repair&quot; - for motor bike?
食物連鎖|しょくもつれんさ|The food chain
厚かましいついでにお願いがもう一つあります。|あつかましいついでにお ねがいがもう ひとつあります|I've already been shameless (in asking you favors), but I have another favor to 
暴れだす|あばれだす|To begin to act violently (virus) / to grow restive
片言の英語を話す|かたことの えいごを はなす|To speak broken English
妨害工作|ぼうがいこうさく|Sabotage
当てずっぽう|あてずっぽう|Conjecture / guesswork
不眠不休|ふみんふきゅう|no sleep or rest; working day and night
保険証|ほけんしょう|Insurance card
直立|ちょくりつ|Upright / Vertical
寄り添う|りよりそう|To nestle [to, against], to snuggle
物分り|ものわかり|understanding (of peoples circumstances and feelings) / Perceptiveness / Sympath
彼に計画の概略を述べてもらおう。|かれに けいかくの がいりゃくを のべてもらおう|Ask him to sketch out his plan
レッテル||Label / Sticker
通院|つういん|Commuting to hospital
磔になる|はりつけになる|To die on the cross
彼女は素朴で優しいひとです|かのじょは そぼくで やさしいひとです|She is a simple and gentle person
彼は仕事が乱雑です|かれは しごとが らんざつです|His work is chaotic
お祓い|お はらい|(Shinto) exorcism rite / purification
身動き|みうごき|Moving about / stirring about
銅像|どうぞう|Bronze Statue
風呂場|ふろば|Bathroom (not 浴室)
登壇|とうだん|Taking the podium / Going on stage to give a speech
彼らは和やかに食事をした。|かれらは なごやかに しょくじをした|They ate peacefully.
向寒の折から、どうかお体にお気をつけ下さい。|こうかんの おりからどうかお からだにお きをつけ ください|It's getting cold, so please take good care of yourself.
かれは本当に神童である。|かれは ほんとうに しんどうである|He truly is a prodigy
買い言葉|いかいことば|Tit for tat
以南|いなん|south of;
ひっ捕らえる|ひっ とらえる|to arrest, to capture, to seize
荷車|にぐるま|Cart
に限らず　＝　だけではなく|に かぎらずだけではなく|に限らず　＝　だけではなく
仰向けになる|あおむけになる|To lie on ones back
念を押す|ねんを おす|To make sure of / To emphasise / To call attention to
伸びやか|のびやか|Carefree
使途不明金|しとふめいきん|Unaccounted for expenditure
抜く|ぬく|To pull out (from something stuck)
絡む|からむ|To involve in (things like fights) - think densha otoko drunk guy
相手の出方を待つ|あいての でかたを まつ|To wait for opponents next "move" -- 出方 = move / attitude
磯臭い|いそくさい|smelling of the sea, smelling of the seashore
屈み込む|かがみ こむ|To lean over / to lean in
太陽は西に没する。|たいようは にしに ぼっする|The sun sets in the west
その国は侵略者の手に落ちた。|その くには しんりゃくしゃの てに おちた|The country fell into the invader's hand
隔離所|かくり しょ|Quarantine
ぞろぞろ|ぞろぞろ|In groups / In succession
怪盗|かいとう|mysterious (phantom) thief
箱に水色のリボンがかかっていたの。|はこに みずいろのがかかっていたの|A light blue ribbon was tied around the box.
寝そべる|ねそべる|To lie sprawled
アル中|あるちゅう|Alcoholism
関節|かんせつ|Joint
沈静化|ちんせいか|calming down; quieting down
男はさも親しげに私に近寄ってきた。|おとこはさも したしげに わたしに ちかよってきた|The man approached me as if he knew me very well.
犬が手に噛み付きました。|いぬが てに みかみつきました|The dog bit my hand.
平行線|へいこうせん|Parallel lines
研ぎ澄ます|ぎとぎすます|To sharpen / To grind / To hone
作曲|さっきょく|Composition (song?)
突き抜ける|きつきぬける|To pierce through / To break through
濃縮|のうしゅく|Concentration
この三角形の面積を出しなさい。|この さんかっけいの めんせきを だしなさい|Figure out the dimensions of this triangle.
吹き付ける|きふきつける|To blow against / To spray (paint etc, onto a surface)
残党|ざんとう|remnants; survivors; refugees; pocket (of resistance)
事故が相次ぐ|じこが あいつぐ|There continues to be accidents
この頃から、海外旅行を希求する|この ころから かいがいりょこうを ききゅうする|Around this time, he started aspiring to travel abroad
攫う|さらう|Carry off / kidnap
安心感|あんしんかん|Sense of security
配備|はいび|Deploy / Deployment
刑事は男が横を向いた瞬間に飛びついた。|けいじは おとこが よこを むいた しゅんかんに とびついた|The detective jumped on the man the moment he turned away.
花粉|かふん|Pollen
自意識過剰|じいしきかじょう|Overly self conscious
解せない|ほぐせない|Incomprehensible
依怙贔屓|えこひいき|favoritism; favouritism; partiality; prejudice; bias
困窮|こんきゅう|Poverty / Distress
干物女|ひものおんな|Meaning of girl who stays home on NYE and never goes out like Nobu and wearing g
事後に事を悟るのは容易だ。|じごに ことを さとるのは よういだ|It is easy to be wise after the event
陽電子|ようでんし|Positron
行き倒れ|きゆきだおれ|To drop dead on the street / person collapsed and dying in the street
危機的|ききてき|Critical / Crisis
一網打尽|いちもうだじん|A big haul / wholesale arrest / catching the whole herd with one throw
孵化|ふか|Incubate / Hatching
原子炉|げんしろ|Atomic reactor / Nuclear reactor
代金引換|だいきんひきかえ|Cash on delivery (pay when arrives, pizza etc)
同窓会の日取りを決めた。|どうそうかいの ひどりを きめた|We fixed the date for our class reunion
下端|かたん|Lower end / Bottom edge
彼は通俗的な作家と言われている|かれは つうぞくてきな さっかと いわれている|It is said that he is a popular writer
出廷|しゅってい|Appearance in court
その価いくばく|その あたいいくばく|What is the price?
操る|あやつる|to Manipulate / Control / Manage / Maneuver
草をむしる|くさをむしる|To pull weeds
不具合|ふぐあい|Another word for &quot;bug&quot; / defect / flaw / malfunction (software)
彼はデパートでスーツを誂えた|かれはでを あつらえた|He ordered the suit at the department store
ドシドシ読め|よめ|Read away!
見舞い状|みまい じょう|get-well card, sympathy letter
大弱り|おおよわり|extremely troubled
縁組は天でなされる|えんぐみは てんでなされる|Marriage is made in heaven
引きずり出す|きずりひきずりだす|to drag out
その油井はたくさんの原油を産出する。|その ゆせいはたくさんの げんゆを さんしゅつする|The well delivers a great deal of oil
ボロ勝ち|ぼろがち|decisive win; winning hands down
必須|ひっす|indispensable; essential; requisite; required; compulsory; necessary
案ずるより産むが易し|あんずるより うむが やすし|it is easier to do something than worry about it, fear overruns the danger, it i
復帰|ふっき|Return / Reinstate / Rejoin / Restore
信管|しんかん|Fuse (for bomb!)
振り解く|ふり とく|To shake and untangle
異動|いどう|Reshuffle / Shifting
税別|ぜいべつ|tax not included (in price); tax separate
その女性は、事故か何かにあったのか？|その じょせいは じこか なにかにあったのか|Did she have an accident or something?
定員|ていいん|Fixed number / capacity
下回る|したまわる|To fall below (think graph)
占める|しめる|Accounts for, takes over
凹形|おうがた|Concave
現場検証|げんばけんしょう|On the site inspection
敵に加担する|てきに かたんする|to side with the enemy
氷河期|ひょうがき|1. glacial period, glacial epoch, glacial era, ice age2. tough period, drought (
意図|いと|Intention / aim
妃殿下|ひでんか|Her Imperial Highness
よもやうそではあるまい.|よもやうそではあるまい|Surely it cannot be false
砂ぼこり|すなぼこり|cloud of dust (sand, etc.)
未熟児|みじゅくじ|premature baby
四角|しかく|Square / Rectangle
妹|いもうと|年が下の女の兄弟
表皮|ひょうひ|skin
映る|うつる|To be reflected
ここでやめるのは敗北を認めることにほかならない。|ここでやめるのは はいぼくを みとめることにほかならない|To quit now only means that we have conceded defeat.
送金|そうきん|Money transfer
妬む|ねたむ|Envy / Begrudge&nbsp;&nbsp;(like 嫉妬、しっと)
疑念|ぎねん|Doubt / Suspicion / Misgivings
退院|たいいん|Leave hospital / be discharged
名声|めいせい|Fame / Reputation / Honour
遥か向こうに目的地が見えてきた。|はるか むこうに もくてきちが みえてきた|Far in the distance, our destination came into view.
彼女は彼のことを思い煩っている|かのじょは かれのことを いおもいわずらっている|She is worrying about him
外泊|がいはく|Spending night away from home / sleepover
まだ時差ボケが取れません|まだ じさが とれません|I have no recovered from jet lag
有機肥料|ゆうきひりょう|Organic fertilizer
有用|ゆうよう|useful; helpful
病魔|びょうま|demon of ill health; disease
登用|とうよう|Appointment / Assignment / Promotion
超過|ちょうか|Excess
寝室の壁紙を張り替えました。|しんしつの かべがみを りはりかえました|I repapered the bedroom walls.
私たち夫婦は家事を分担しています。|わたしたち ふうふは かじを ぶんたんしています|We share the housework in my marriage.
仕官|しかん|Officer (military)
彼は彼女と別れて強い虚無感を感じた|かれは かのじょと わかれて つよい きょむかんを かんじた|He felt a gnawing emptiness after he split up with her
「買い物に付き合って」と彼女にせがまれた|いかいものに きつきあってと かのじょにせがまれた|She pestered me to go shopping with her
彼女と別れなければよかった|かのじょと わかれなければよかった|I should not have broken up with her
その中毒者は麻薬の過剰摂取で死んだ。|その ちゅうどくしゃは まやくの かじょうせっしゅで しんだ|The addict died from a drug overdose
ゲロ袋|ぶくろ|(See エチケット袋) sick bag; barf bag
選抜|せんばつ|Selection / To screen
そんな恥知らずな行いはやめなさい|そんな はじしらずな おこないはやめなさい|Stop doing such brazen things
痩せ型|やせ がた|slender build; slender figure
市道|しどう|city road, municipal road
統一|とういつ|unity, coordination, standardized
非通知|ひつうち|Having blocked ones number
洋服屋|ようふくや|Tailors shop / Dressmakers shop
苦笑い|にがわらい|Bitter smile
栄えある|さかえある|splendid; glorious
再帰的|さいきてき|Recursive
皇室|こうしつ|Imperial house / Royal family
発声|はっせい|Vocalization
晩婚|ばんこん|Late marriage
水道代は一ヶ月につき４０００円かかります|すいどう だいは かげつにつき えんかかります|Water bill cost per month is 4000 yen
耳を貸す|みみを かす|to lend an ear to; to listen to
至上者|しじょうしゃ|Supreme Being
剃る|そる|To shave (face, at barbers say)
肩紐|かた ひも|Shoulder strap
培養|ばいよう|cultivation; nurture; culture
小石|こいし|Pebble
怨念|おんねん|Grudge / Malice / 恨み
勇猛果敢|ゆうもうかかん|daring and resolute; having dauntless courage
〜と決心する|と けっしんする|To be determined to ~ / to resolve to ~
価格から言えば日本の方が高い。|かかくから いえば にっぽんの ほうが たかい|judging from prices, Japan is more expensive.
抑える|おさえる|Suppress / Bring under control
握り締める|りにぎりしめる|squeeze, grip
未開|みかい|Barbaric / Uncivilized / Primitive
瘤|こぶ|Bump / Lump
心に浮かぶ|こころに うかぶ|to cross one's mind, to spring to mind, to occur to one
半径|はんけい|Radius
可燃性の|かねんせいの|Burnable
それはいわば生死の問題だ。|それはいわば せいしの もんだいだ|It is, as it were, a life and death problem
咆哮|ほうこう|Yell / Roar / Howl (of a monster!)
殉教|じゅんきょう|martyrdom
入浴|にゅうよく|To get in the bath
縮む|ちぢむ|To shrink / contract
下部|かぶ|Substructure / Lower part
準備万端|じゅんびばんたん|Every preparation (arrangement) / All sorts of preparations (for the FA cup fina
祖父は小学校の教諭だった|そふは しょうがっこうの きょうゆだった|My grandfather was a teacher at the elementary school
取り替える|りとりかえる|Change / Replace
手離れ|てばなれ|Hands off
間食|かんしょく|Eating between meals / Snacking
嵩張る|かさばる|To be bulky / To be unwiedly
色柄|いろがら|Coloured pattern
反射神経|はんしゃしんけい|Reflexes
実績|じっせき|Track record / actual result
昇格する|しょうかくする|To get promoted (say, to the number 1 baseball team!)
肺炎|はいえん|Pneumonia
秘密保持契約|ひみつほじけいやく|NDA / Non disclosure agreement
二人の言っていることはあべこべです|にんの いっていることはあべこべです|The two of them contradict each other
保護|ほご|Care / Protection / Shelter
ずうずうしい|ずうずうしい|Cheeky / Impudent
稲妻|いなづま|A flash of lightning
高所恐怖症|こうしょきょうふしょう|Fear of heights
大写し|おおうつし|close-up
乱暴|らんぼう|Rude / Violent / Rough / Lawless
嘆く|なげく|To grieve / mourn
園芸|えんげい|Gardening
ぷつんと|ぷつんと|Snap (sound of something being suddenly and irreversibly broken)
直下|ちょっか|directly under; (n,vs) (2) falling perpendicularly
気を持たせる|きを もたせる|To encourage someone to expect something / To raise someones hopes
飛行機の乗客はわたしを除いて皆日本人だった|ひこうきの じょうきゃくはわたしを のぞいて みな にっぽんじんだった|All the passengers on the plane were Japanese except me
劇場|げきじょう|Theatre / Playhouse
これからも両国の親善を深めましょう。|これからも りょうこくの しんぜんを ふかめましょう|Let's continue promoting friendship between our two countries from now on.
大多数|だいたすう|Greater part / Majority
術語|じゅつご|Technical term / Terminology
難癖を付ける|なんくせを つける|To blame / To find fault with
彼は世襲によって王位についた。|かれは せしゅうによって おういについた|He came to the throne by succession
因果応報|いんがおうほう|Retributive justice / Karma / Just desserts / poetic justice
埃っぽい|ほこりっぽい|Dusty
聞き返す|きききかえす|To ask in return / To ask again
彼は納得できず上司に食い下がった|かれは なっとくできず じょうしに いくいさがった|He could not consent and held out against the superior
第六感|だいろっかん|Intuition
熟読|じゅくどく|Perusal / Careful reading
変態的|へんたいてき|Abnormal
逆さ吊り|さかさ づり|hanging upside down
その土地をどうするかをめぐって反目が生じた。|その とちをどうするかをめぐって はんもくが しょうじた|A quarrel arose about what to do with the land.
惑わす|まどわす|To bewilder / to perplex
顰める|しかめる|To knit the brows / To raise eyebrows / to scowl / to frown / to grimace
余生|よせい|Ones remaining years
双眸|そうぼう|pair of eyes
盆栽|ぼんさい|bonsai, miniature potted plant
専制　／　専制者　／　専制政治|せんせい せんせい しゃ せんせいせいじ|[Tyranny / Despotism ] / Dictator / Tyrannical Government
群がる|むらがる|Gather in crowds
彼女はけちと言わないまでも倹約家だ。|かのじょはけちと いわないまでも けんやくかだ|She is a frugal, not to say stingy
合宿|がっしゅく|Lodging together / Training camp / Boarding house
お涙頂戴|お なみだちょうだい|Tearjerker / Sob story
こらえる|こらえる|To bear / to stand / to ensure (different pronunciation same kanji)
足労|そくろう|Trouble of going somewhere
陰茎増大|いんけいぞうだい|penis enlargement
同い年|いおないどし|Of the same age
ぺけ|ぺけ|no good; cross; cross out
欲する|ほっする|To want / To desire
讃える|たたえる|to extol; to give praise
感涙|かんるい|tears (from being deeply moved), tears of gratitude
後期|こうき|Latter period
書類に不備があった|しょるいに ふびがあった|There were flaws in the document
師弟|してい|Master and pupil
住宅手当|じゅうたくてあて|Housing allowance
寝転がる|ねころがる|To lie down / To throw oneself down
放屁|ほうひ|Breaking wind / Fart
閉眼|へいがん|closing one's eyes; (n,vs) (2) passing away
速達|そくたつ|Special Delivery
彼は卸売りの仕事をしています|かれは おろしうりの しごとをしています|He works in wholesale (selling large quantities to be retailed by others!)
彼は痛烈な批判を浴びている|かれは つうれつな ひはんを あびている|He is being battered with scathing criticism
そんな汚らわしい話をするのはやめて。|そんな けがらわしい はなしをするのはやめて|Stop telling those filthy stories
幹線|かんせん|Main line, trunk line
酒樽|さかだる|Cask (for wine etc. storage)
を限りに|を かぎりに|with ～, some continuing activity will end (or a prohibition on an activity will 
通俗的|つうぞくてき|Common / Popular
面長|おもなが|Oval faced / Long faced
送迎|そうげい|seeing off and meeting on return
興味本位|きょうみほんい|Just out of curiosity / in order to satisfy ones curiosity
符合|ふごう|Agreeing / Coincidence
これは子供に特有の病気です|これは こどもに とくゆうの びょうきです|This illness is particular to children.
管轄|かんかつ|Jurisdiction / Control (of some government agency say)
短髪|たんぱつ|short hair
このナスは畑で取れたばかりです。|このは はたけで とれたばかりです|This eggplant has just been picked from the field.
風景画|ふうけいが|Landscape painting
程なく|ほどなく|Soon
あの高い建物が都庁です。|あの たかい たてものが とちょうです|That tall building is Tokyo Metropolitan City Hall.
由緒|ゆいしょ|Venerable / Time honoured / Historic
幾何級数的|きかきゅうすうてき|geometric (progression, etc.)
ひた隠し|ひた かくし|cover-up; hiding at all costs
雪玉|ゆき だま|snowball
妊婦服|にんぷふく|maternity clothes
第三度熱傷|だいさんどねっしょう|third degree burn
頭がよければこその悩みですね。|あたまがよければこその なやみですね|Especially becuase she is smart, she worries about such things.
監視員|かんしいん|observer; watchman; lifeguard
どころではない|どころではない|this is not the time/occasion for; …is out of the question, (strongly emphatic) 
高低アクセント|こうていあくせんと|Pitch accent
留意|りゅうい|Heeding / Paying attention / bearing in mind
もっと繊維質をとりなさい。|もっと せんいしつをとりなさい|You need to eat more fiber
並走|へいそう|running parallel (to); running side-by-side; keeping pace (with)
年金問題は行政の最大の課題のひとつよ。|ねんきん もんだいは ぎょうせいの さいだいの かだいのひとつよ|The pension problem is one of the current administration's biggest issues.
独占|どくせん|To monopolise / To hog
軍隊を出動する|ぐんたいを しゅつどうする|To dispatch the armed forces
５０万円の個人基礎控除がある。|まん えんの こじん きそこうじょがある|You have a personal tax exemption of 500,000 yen
大差|たいさ|Great difference
壊滅する|かいめつする|To annihilate / wipe out / destroy
転がり込む|がりころがりこむ|To roll in / To fall into ones lap / to visit (esp to stay overnight as an unwan
なかなか良い思い付きですね|なかなか よい いおもいつきですね|Its quite a good idea don't you think?
闇で|やみで|Under the counter
動き出す|きうごきだす|To come alive / To get going / to start to move (Holy materia!)
彼らは沈没する船を見捨てた。|かれらは ちんぼつする ふねを みすてた|They abandoned the sinking ship
唾|つば|Spit
彼女は真っ赤な頬をしているね。|かのじょは っまっかな ほおをしているね|Her cheeks are flushed.
庭をいじる|にわをいじる|To tend the garden
手短|てみじか|Brief / Short
様子見|ようすみ|wait-and-see (situation, stance, etc.); waiting to see (how things play out); wa
会釈する|えしゃくする|To greet by bowing slightly
彼は動作が機敏です。|かれは どうさが きびんです|His movements are quick.
到達|とうたつ|Arrival / Attainment (not 到着)
腰抜け|こしぬけ|ANOTHER word for &quot;coward&quot;, not 臆病、卑怯者
熱狂的|ねっきょうてき|Wildly enthusiastic / Crazy (about something)
冷やした果実のゼリーは美味しい|ひやした かじつのは おいしい|Chilled fruit jelly is delicious
呟く|つぶやく|mutter, murmur
金婚式|きんこんしき|golden wedding (anniversary)
絞る|しぼる|To wring / squeeze / press
初夏|しょか|Early summer
脆弱性|ぜいじゃくせい|Vulnerability (in the linux kernel! oh no!)
気恥ずかしい|き はずかしい|Embarrassed / Feeling ashamed or awkward
捜索する|そうさくする|To search for / investigate (Hunters!)
あの子は大人の鑑賞にたえる絵を描く|あの こは おとなの かんしょうにたえる えを えがく|That kid draws pictures that are worthy of adult appreciation
剥げる|はげる|come off, peel off
失敗に懲りる|しっぱいに こりる|To learn a lesson by making a mistake
健康を損なう|けんこうを そこなう|To ruin ones health
そんなことをするなんて彼は無恥な人間だ|そんなことをするなんて かれは むちな にんげんだ|He has no shame doing something like that
灌木|かんぼく|bush; shrub
会議中につき中に入ってはいけない|かいぎ ちゅうにつき なかに はいってはいけない|Since they’re having a meeting, you can’t come in
未満|みまん|Less than / fewer than
庶民|しょみん|Commoner / The common people
