金婚式|きんこんしき|golden wedding (anniversary)
貶す|けなす|To speak ill of (Linux?!)
共存共栄|きょうそんきょうえい|co-existence and co-prosperity
子供騙し|こどもだまし|trick that may deceive a child; transparent ploy; mere child's play; kid stuff; 
応募作品の大小は問いません。|おうぼさくひんの だいしょうは といません|Submitted works of all sizes accepted.
募集要項をよくお読みください。|ぼしゅう ようこうをよくお よみください|Please read the application guidelines carefully.
食事代|しょくじだい|Cost of a meal
隠し子|しかくしご|Illegitimate child
ネクタイにスニーカーではちぐはぐだ|にではちぐはぐだ|You'd look mismatched if you wore sneakers with a necktie
欠勤|けっきん|absence (from work)
自己嫌悪|じこけんお|self-hatred; self-abhorrence; self-loathing
主流|しゅりゅう|Mainstream / Current (like 2.6 linux kernel)
その煙突は真っ黒い煙を噴出している。|その えんとつは っまっくろい けむりを ふんしゅつしている|The chimney is belching black smoke
習性|しゅうせい|Habit / Behaviour / Trait / Nature
守勢|しゅせい|(being on the) defensive
心底謝れば許してやらないでもないけど。|しんそこ あやまれば ゆるしてやらないでもないけど|I he really apologizes to me from the bottom of his heart, then I may find it in
変換する|へんかんする|I have this twice now, but to CONVERT something. Useful!
解剖|かいぼう|Dissection / Autopsy
あれは儚い恋でした|あれは はかない こいでした|That was a short lived love
伝記を読む|でんきを よむ|Read a biography
私があなたに１ドル払えば清算がつく。|わたしがあなたに はらえば せいさんがつく|If I pay you a dollar we'll be even
低能|ていのう|low intelligence, feeble-mindedness, imbecility
黄昏|たそがれ|Twilight / Dusk
風景|ふうけい|Scenery / Landscape
所有権|しょゆうけん|Ownership rights
係数|けいすう|Coefficient / Factor (math)
必需品|ひつじゅひん|Necessaries
硫黄|いおう|Sulphur
常設展|じょうせつ てん|permanent exhibition
比類の無い|ひるいの ない|Incomparable / Peerless
恥|はじ|Shame / Disgrace
庇う|かばう|To protect / shelter / cover
部活|ぶかつ|Club activities
この条件に該当する人は誰もいない。|この じょうけんに がいとうする ひとは だれもいない|There is nobody who fulfils these conditions
一直線|いっちょくせん|straight line
ブスせん|せん|attraction to ugly people
認識|にんしき|recognition, acknowledgment
もうじき|もうじき|Soon (not やがて、another from iknow)
仁義|じんぎ|Humanity and Justice / Respect
元手|もとで|Capital / Fund
詩人|しじん|Poet
分校|ぶんこう|Branch school
友達と百貨店で買い物をしました。|ともだちと ひゃっかてんで いかいものをしました|I went shopping at the department store with my friend.
釣り合い|りつりあい|balance, proportion
神国|しんこく|land of the gods; Japan
抗炎症|こう えんしょう|anti-inflammatory
踏まえる|ふまえる|On the basis of (similar to に基づいて)
末日|まつじつ|Last day
戻り値|りもどりち|Return value (programming)
さぞ　・　さぞや　・　さぞかし|さぞさぞやさぞかし|All appear to be the same "I am sure, no doubt"
時効|じこう|Statute of limitations / lapse of rights after a period of time (ie it happened 
分母|ぶんぼ|Denominator
彼は飛び切りやさしい男だった|かれは びとびきりやさしい おとこだった|He was as gentle a man as ever lived
事例|じれい|Precedent / Example
分け前|けわけまえ|share; portion; quota; cut
息の根|のいきのね|life
定例会|ていれいかい|regular meeting
頬っぺ|ほっぺ|cheek
芥川賞|あくたがわしょう|Akutagawa Price (literary award)
混同する|こんどうする|Confuse / mix up / muddle up
