使い走り|いつかいはしり|running errands
うんと頑張ろう|うんと がんばろう|Lets give it all we've got
警官は懐中電灯で車に止まれと合図をした。|けいかんは かいちゅうでんとうで くるまに とまれと あいずをした|The policeman signaled the car to stop with a flashlight
火消|ひけし|&nbsp;(1) extinguishing a fire; (2) (Edo-period) fireman
逆さ言葉|ささかさことば|word said backwards; word of opposite meaning
販売店|はんばいてん|store, shop
身なりのいい人が入ってきた。|みなりのいい ひとが はいってきた|A well-dressed person came in.
乗じる|じょうじる|(1) to take advantage of; to follow blindly; (2) {math} to multiply;
新しい議長の選出で期せずしてみんなの意見が一致した|あたらしい ぎちょうの せんしゅつで きせずしてみんなの がいけんがいっちした|In the election for a new chairman, unexpectedly, everybody agreed
保護機能|ほごきのう|Safeguard
僻み|ひがみ|Bias / Warped view
履歴書には賞罰記入の欄がある|りれきしょには しょうばつ きにゅうの らんがある|On the resume form, htere is a column to fill in the rewards and penalties
一安心|ひとあんしん|Feeling of relief
水呑み百姓|みみずのみびゃくしょう|poor peasant or farmer
活版|かっぱん|printing; typography
符号語|ふごうご|codeword
彼は心が歪んでいる|かれは こころが いがんでいる|His mind is twisted
走馬灯|そうまとう|Revolving Lantern
伸るか反るか|のるか そるか|win or lose; sink or swim; make or break; all or nothing
痺れる|しびれる|1. to become numb, to go to sleep (e.g. a limb)2. to get an electric shock, to t
彼らはにこやかに挨拶を交わしたけどね。|かれらはにこやかに あいさつを かわしたけどね|They exchanged greetings with a smile at first.
窮余の策|きゅうよの さく|Desperate measures
大法螺|おおぼら|big lie; whopper
幽鬼|ゆうき|ghost, revenant, spirit (of the dead), departed soul
まったりする|まったりする|To chill out
色めき立つ|いろめき たつ|To become excited
暑い日が続いたので夏ばてしてしまった|あつい ひが つづいたので なつばてしてしまった|I am suffering from heat exhaustion as the hot days continue
蘇生|そせい|Rebirth / Resurrection / Reviving
待ち受け画面|まち うけ がめん|standby screen (on a mobile phone), (phone) wallpaper
広場は興奮でわきたった。|ひろばは こうふんでわきたった|The square buzzed with excitement.
正式|せいしき|Formal / Regular
取り乱した|りとりみだした|Distraught / Unbalanced / Frenzied / Distracted
仇する|あだする|To harm / To injure / To oppose
因縁|いんねん|Fate / Destiny / Connection
足払い|あしばらい|Tripping up
とじる|とじる|bind, file
体臭|たいしゅう|Body odour / Personal odour
轟音|ごうおん|Thunderous roar / Roaring sound
真価|しんか|True value
宴もたけなわ|うたげもたけなわ|party in full swing, party at its peak
屁っ放り|へっ ぴり|1. useless person, worthless person2. farting, farter
押しとどめる|おしとどめる|to check, to stop, to keep back
度々|たびたび|Often
体系的|たいけいてき|Systematic
文脈|ぶんみゃく|Context
身のこなし|みのこなし|Agility / Movement of the body (Garnet, how impressive she jumps around)
傷害|しょうがい|Injury / Wound
このソフトで画像を合成できます。|こので がぞうを ごうせいできます|Images can be synthesized with this software.
強情な|ごうじょうな|Headstrong / Stubborn (not 頑固)
萌芽|ほうが|Germination / Sprout / Bud
気は心|きは こころ|It's the thought that counts
図柄|ずがら|design, pattern
魅了|みりょう|to charm; to fascinate; to mesmerize
中枢|ちゅうすう|Center / Nucleus / Mainstay / Backbone (of Apple)
疎い|うとい|Distant / Estranged / Disinterested
軟弱外交|なんじゃくがいこう|weak foreign policy, weak-kneed diplomacy
放映する|ほうえいする|To televise / To broadcast on television
根絶|こんぜつ|Eradication / Extermination
重用|じゅうよう|Appointing to a responsible post
衣食足りて礼節を知る|いしょく たりて れいせつを しる|(proverb) the poor can't afford manners; only when basic needs for living are me
砂場|すなば|Sandbox / Sand area
肩を持つ|かたを もつ|To side with / To support
勝ち誇る|ちかちほこる|To triumph / To be elated with success
核心|かくしん|core, heart (of the matter), point, crux, kernel
大体|だいたい|Approximately / About / Just About
地毛|じげ|Ones own hair
吹奏|すいそう|Playing wind instruments
無限大|むげんだい|Infinity
美白|びはく|Whitening
揺らめく|ゆらめく|To flicker / To quiver / To waver / To sway
一報|いっぽう|Information
一段落|いちだんらく|Completing the first stage / reaching a point where one can pause
聡い|さとい|&nbsp;(1) (uk) clever; smart; (2) (uk) sharp (ear, etc.); sensitive; discerning
先刻承知|せんこくしょうち|being already (well) aware
力作|りきさく|1. painstaking piece of work, work of great effort, tour de force, outstanding w
標高|ひょうこう|Altitude
艦長|かんちょう|Captain (Cid! Captain of a warship)
その校舎は夕暮れの中にきらきらと輝いていた。|その こうしゃは ゆうぐれの なかにきらきらと かがやいていた|The school building was a blaze of light in the evening darkness
処罰|しょばつ|Punishment
学位|がくい|Academic degree
半狂乱|はんきょうらん|Half crazed / frantic
立ち込める|ちたちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
後遺症|こういしょう|after-effect /&nbsp;prognostic symptoms
不発|ふはつ|misfire
額|がく|Forehead / Brow
立て篭もる|たて こもる|To barricade oneself in
吊り革|りつりかわ|A strap (to hold onto)
塵取り|ちりとり|A dustpan
突き落とす|きつきおとす|To push over (a cliff, off the train, off the roof etc)
包含的|ほうがんてき|inclusive
先頭に立つ|せんとうに たつ|to take the lead; to lead a group; to be in the vanguard
等身大|とうしんだい|1. life-size, life-sized2. true-to-life, faithful (depiction), realistic
シェア||Market Share
幻滅|げんめつ|Disillusionment
名工|めいこう|Master craftsman / Skillful worker
割り出す|りわりだす|To calculate / To compute / To infer
最近いじめが社会に蔓延っている|さいきんいじめが しゃかいに はびこっている|Recently, bullying is rampant in society
初潮|しょちょう|First menstruation
惨殺(する)|ざんさつする|To murder cruelly / brutally kill
本箱|ほんばこ|Bookcase
逃走|とうそう|Flight / Desertion / Escape
太陽の照り返しが強い。|たいようの りてりかえしが つよい|There's a lot of glare.
腫瘍|しゅよう|Tumor / Growth
潜り抜ける|くぐり ぬける|To go through (door etc) / To pass through / To escape through / To evade (the l
不屈|ふくつ|Persistence / Fortitude
正しく|まさしく|Surely / Certainly / 正に
通信簿。通知簿。通知表|つうしんぼ つうちぼ つうちひょう|学校における児童・生徒の学業成績・行動状況・健康状態、およびそれらに対する所見を記入し、家庭に通知するための書類。通知簿。通知表A report card / 
洗いざらい|あらいざらい|Everything
氷柱|つらら|Icicle / Ice pillar
乞う|こう|To ask / To request / To invite
翳す|かざす|to hold one's hands out (e.g. towards a fire) / to hold up over one's head, to h
大聖堂|たいせいどう|cathedral
こすり合わせる|こすり あわせる|to rub together (e.g. one's hands)彼は両手をこすりあわせた。He rubbed his hands together.
クッションを枕に代用する|を まくらに だいようする|Substitute a cushion for a pillow
手錠|てじょう|Handcuffs
助成する|じょせいする|To subsidize / aid / support
奮い立つ|いふるいたつ|To cheer up
～やしない　Grammar|やしない|Basically is 全然 never X
彼は近世文学を勉強しています|かれは きんせいぶんがくを べんきょうしています|He studies early modern literature
彼女は不満を 2, 3 やんわりともらした|かのじょは ふまんを  やんわりともらした|She made a few mild complaints
びり|びり|last on the list; at the bottom
駆逐艦|くちくかん|destroyer (ship)
花丸|はなまる|encircled flower seal (equiv. of a gold star awarded to children for good work a
堕獄|だごく|going to hell, falling into hell
同盟|どうめい|同じ目的のために協力すること
要件|ようけん|Necessary condition / Requirement
寄宿|きしゅく|lodging
開通|かいつう|opening (of a new road, railway, etc.); going into operation (e.g. telephone com
順不同|じゅんふどう|&nbsp;(exp) (listed in) no particular order; arbitrary order; random order
酩酊|めいてい|drunkenness, intoxication
最近の子供たちは夜更かしです。|さいきんの こどもたちは よふかしです|These days children stay up till late.
手をつける|てをつける|To start work on / To embezzle / To use (money obtained illegally)
肝試し|きもだめし|Test of courage / A dare
彼女は赤ちゃんをおんぶしています|かのじょは あかちゃんをおんぶしています|She is carrying the baby on her back
有り合わせ|りありあわせ|Available / On hand
堕胎|だたい|abortion; feticide
戦線離脱|せんせん りだつ|leaving the front line, retiring from the game, deserting the battle
責務|せきむ|Duty / Obligation
相性|あいしょう|Compatibility / Chemistry
冬季|とうき|Winter season
陰性反応|いんせいはんのう|Negative Reaction
御曹司|おんぞうし|Son (son and heir? used for domyouji)
襲来|しゅうらい|Invasion / Raid / Attack / Visitation (of a calamity)
彼女は腹立ちまぎれに婚約を破棄した。|かのじょは はらだちまぎれに こんやくを はきした|She broke off her engagement in a fit of anger
蝕む|むしばむ|Eat into / Undermine
異端者|いたんしゃ|Heretic
そっと|そっと|Softly / Gently (pat?)
母は張り切ってお弁当を用意したの。|ははは りはりきってお べんとうを よういしたの|My mother went all out when she made this lunch box.
愚問|ぐもん|Stupid question
募る|つのる|To solicit help or participation&nbsp;/ To grow violent / to become stronger / t
虚偽だとは言わないまでも、かなり紛らわしい表現だ。|きょぎだとは いわないまでもかなり まぎらわしい ひょうげんだ|I can't go so far as to call this wording deceptive, but it sure is misleading.
譲渡す|じょうとす|To hand over / To fork over / To fork up / To turn in
腹ペコ|はらぺこ|hungry; starving
承服|しょうふく|accepting; consenting; agreeing; submission; compliance; agreement; consent
世話が焼ける|せわが やける|to be troublesome; to require the aid and labour of others
スコップ||shovel, spade, scoop
機嫌|きげん|Mood / Health
要塞|ようさい|Fortress / Fort
鞭打ち|むちうち|Whipping / Beating with a whip / Whiplash
彼は煙に巻かれて窒息した。|かれは けむりに まかれて ちっそくした|He suffocated, smothered in smoke
烈火|れっか|Raging fire / Conflagration
完膚なきまで|かんぷなきまで|Completely / Thoroughly / Horribly / without exception / until theres no untouch
崩御|ほうぎょ|(hon) death (of an emperor); demise
悲痛|ひつう|grief, sorrow, extreme sadness, heartbreak
彼女は自然と調和した暮らし方をしている|かのじょは しぜんと ちょうわした らしくらしかたをしている|She lives her life in harmony with nature.
合致|がっち|Agreement / Concurrence / Conformance / Compliance
番地|ばんち|House number / Address
万里|ばんり|Thousand of miles
~てかなわない|てかなわない|can’t stand; unable to
汚物|おぶつ|filth (esp. excrement, feces, urine); muck; waste
薙ぎ払う|ぎなぎはらう|To mow down / To scythe down
燥ぐ|ぐ|to make merry; to frolic; to be in high spirits
突起|とっき|1. to bulge out2. projection; prominence; bump
路傍|ろぼう|roadside
異様|いよう|Bizarre / Strange / Queer / Odd
この定規にはミリメートルの目盛りがある。|この じょうぎにはの めもりがある|This ruler has the scale in millimeters
雇い主|いやといぬし|Employer
物言う|ものゆう|To do the talking / To make all the difference
目論見|もくろみ|Project / Programme / Scheme (other programs that dont have lots of resources!)
食いしん坊|いしんくいしんぼう|Glutton
極道|ごくどう|Wicked / Evil / Immoral
彼女はあけっぴろげにものを言う。|かのじょはあけっぴろげにものを いう|She is frank in speech
台本|だいほん|Script / Scenario
合唱|がっしょう|Chorus
流離い|りゅうりい|Wandering (eg bird, lifestyle) / wandering alone in a strange country (what stil
車の窓を開けると外気は冷たかった|くるまの まどを あけると がいきは つめたかった|When we opened the car window the air outside was cold
かりそめにもそんな心を起こしてはならない|かりそめにもそんな こころを おこしてはならない|Not for a moment must you think of doing anything like that
消炎剤|しょうえんざい|anti-inflammatory agent, antiphlogistic
慈善|じぜん|Charity / Philanthropy
見学|けんがく|Study by observation / field trip / inspection
先行き|さきゆき|The future
不敵|ふてき|Daring / Fearless / Bold / Tough
虎の威を借る狐|とらの いを かる きつね|person who swaggers about under borrowed authority, small man acting arrogantly 
野望|やぼう|Ambition / Aspiration / Designs / Treachery
引っ張り出す|っひっぱり だす|To drag out / To take out
ほ乳瓶を煮沸消毒しなさい。|ほ にゅうびんを しゃふつしょうどくしなさい|Boil the milk bottles
彼女はその試合で華々しい活躍をした|かのじょはその しあいで はなばなしい かつやくをした|She did brilliantly in the match
眉目秀麗|びもくしゅうれい|Having a handsome face
弾み|はずみ|Bounce / Rebound / Spring (bike bounced into the gate!)
下草|したくさ|Undergrowth / weeds beneath a tree
真紅|しんく|Deep crimson
片腹痛い|かたはらいたい|Long word for "Ridiculous"
雇い入れる|やとい いれる|To employ / To engage
骸骨|がいこつ|Skeleton
たまたま|たまたま|By chance / by accident / unexpectedly / as it so happens..
喜怒哀楽|きどあいらく|Human emotions (joy, anger, pathos and humour)
手落ち|ておち|Error / Omission
佇まい|たたずまい|Appearance / Shape / Figure
靄|もや|mist; haze
自主廃業|じしゅ はいぎょう|voluntary liquidation, voluntary closure (of business)
祝儀|しゅうぎ|1. celebration, celebratory event, wedding ceremony2. congratulatory gift3. tip,
冊子|さっし|Booklet / Pamphlet / Brochure
強奪する|ごうだつする|To rob / snatch / grab
気が重い|きが おもい|Depressed / Bummed out / down
チクチク痛む|いたむ|to prickle, to tingle
原始|げんし|Primitive
彼はマラソン大会で優勝し表彰された|かれは まらそんたいかいで ゆうしょうし ひょうしょうされた|He won the marathon and was congratulated
工芸には細かい手作業が必要です|こうげいには こまかい てさぎょうが ひつようです|Detailed work by hand is required for crafts
万病|まんびょう|All kinds of sicknesses
イカれている|れている|To be nuts / crazy (from scam tv show)
定圧|ていあつ|constant pressure
信望|しんぼう|confidence, popularity
仮病|けびょう|To fake illness
掘る|ほる|To dig
元気付く|げんき つく|To get encouraged / To become heightened in spirits
燻る|いぶる|To smoulder / To smoke / To sputter
かくの如く|かくの ごとく|thus, in this way, like this
領主|りょうしゅ|Lord
道中|どうちゅう|Along the way / Journey
注意点|ちゅういてん|Point to make note of / Important point
推定値|すいていち|Estimated value
明記|めいき|Clear writing / Specification
申告|しんこく|Report / Declare / Filing a return
大別|たいべつ|大まかに分類すること。また、大体の区別 / General Classification
郷土愛|きょうどあい|Love for ones hometown
築城|ちくじょう|fortification; castle construction
泣いても笑っても|ないても わらっても|whether you like it or not, no matter what one may do, in any event, at all even
即興演奏|そっきょう えんそう|improvisation (usu. musical), impromptu performance
無彩色|むさいしょく|neutral colour, neutral color, achromatic (colour, color)
逃げ腰|げにげごし|Preparing to flee / Being ready to run away
日和|ひより|Fine weather / Weather
名月|めいげつ|Full moon / Harvest moon
呈する|ていする|To present / To offer / To show / to display / to assume (eg a shape)
その気体は圧縮されてボンベに詰め込まれた。|その きたいは あっしゅくされてに めつめこまれた|The gas was compressed into a gas cylinder
誉れ|ほまれ|Honour
中略|ちゅうりゃく|omission (of middle part of a text); ellipsis
迫る|せまる|To threaten / overhang (report deadline....)
悔い|くい|Regret / Repentance
添字|そえじ|Subscript / Index (like, into an array!)
清廉潔白|せいれんけっぱく|Being upright and cleanhanded
小一時間|こいちじかん|Nearly one hour
塩素|えんそ|Chlorine
歩兵|ほへい|Infantry, foot soldier, also "pawn"
ガタンと|と|(with a) bump; (with a) bang; (with a) crash; sharply
誤差|ごさ|Measurement error / Calculation error
小部屋|こべや|Closet / Small room
なまじっか政治に手を出すのはやめた方がよい。|なまじっか せいじに てを だすのはやめた ほうがよい|You'd better not get involved in politics halfheartedly.
紛らす|まぎらす|To divert / distract / relieve
白濁|はくだく|Cloudiness
毒電波|どくでんぱ|radio waves, as sent out and received by people's minds
妄想|もうそう|Delusion /&nbsp;&nbsp;Hallucination
悟る|さとる|To attain enlightenment / To perceive / To understand
裏面|りめん|Back / Reverse / Otherside (of a tennis racket, the backhand!)
脇|わき|Under arm
気骨|きこつ|(moral) backbone / spirit / soul / grit
旧姓|きゅうせい|one's original family name; maiden name
大口顧客|おおくちこきゃく|major customer; large customer
古書店|こしょてん|secondhand bookshop
副業|ふくぎょう|Side Job
性質|せいしつ|Nature (as a personnel characteristic)
官僚|かんりょう|Bureaucracy / Government official
痣|あざ|Birthmark / Bruise / Spot
繁華街|はんかがい|Business district / shopping district / bustling street / downtown (what 六本木 is 
手動|しゅどう|Manual (something worked by hand)
最近空気が乾燥しているので肌が突っ張っている|さいきん くうきが かんそうしているので はだが っつっぱっている|Recently, my skin is taut because the air is dry
実権|じっけん|Real power
奥歯|おくば|molars, back teeth
無頓着|むとんじゃく|indifferent, unconcerned, nonchalant, unmindful, inattentive, careless
地中|ちちゅう|地面の中
ワッペン||Crest / Coat of arms / Badge
おんぼろ|おんぼろ|Ragged / Shabby / Beat up
カンパ||Fund raising campaign
両家|りょうけ|Both families
イチャイチャ||flirting, making out
図録|ずろく|illustrated book, picture book
余燼|よじん|smouldering fire, smoldering fire, embers
弱小チーム|じゃくしょう|Minor Team
間取り|まどり|Type of room (1LDK, 2DK etc. &quot;Layout&quot;)
15キロオーバーだったが、幸い警告だけで済んだ。|だったが さいわい けいこくだけで すんだ|It was 15 km/hr above (the speed limit), but fortunately I got off with just a w
彼は情緒不安定だ|かれは じょうちょふあんていだ|He is emotionally unstable
勝機|しょうき|Chance of winning
凌駕|りょうが|Excelling / Surpassing / Outdoing / Superior
器が大きい|うつわが おおきい|tolerant; big; flexible; big-hearted; accepting; open-minded; mature
市松人形|いちまつにんぎょう|ichimatsu doll; traditional Japanese doll with a torso made of hardened sawdust
金ずくで|かねずくで|for money, just for money, by means of money, by force of money
突貫工事|とっかんこうじ|Construction at top speed
彼は３月末日で退職しました|かれは さんがつ まつじつで たいしょくしました|He retired at the end of March
降圧剤|こうあつざい|Drug to lower blood pressure
腰を据える|こしを すえる|&nbsp;(1) to settle down (and deal with something); to concentrate all one's ene
窓際族|まどぎわぞく|Useless employees (shunted off by a window to pass their remaining time until re
家庭教師|かていきょうし|Private Teacher
画鋲|がびょう|Thumbtack / Drawing Pin
5月は田植えの季節です。|つきは たうえの きせつです|May is the rice planting season.
みなさん、着席してください。|みなさん ちゃくせきしてください|Everybody, please be seated.
困り果てる|りこまりはてる|Greatly embarrassed / Greatly perplexed
有効化|ゆうこうか|Validation
項垂れる|うなだれる|To hang ones head
初めて裁判を傍聴しました|はじめて さいばんを ぼうちょうしました|It was the first time I had sat in on a trial
鼻歌交じり|はなうたまじり|humming a tune; humming unconcernedly
百発百中|ひゃっぱつひゃくちゅう|always hitting the bull's-eye; infallible
あこぼれに預かる|あこぼれに あずかる|To have a small part of ones profits / get a little tiny share of X
慈しみ|いつくしみ|Affection / Love
腹下し|はらくだし|1. laxative, purgative, evacuant2. loose bowels, diarrhea, diarrhoea
じろじろ|じろじろ|To stare (4 letter hiragana doubler)
切り替えし ／ 切り替える|りきりかえし りきりかえる|To switch over (when taking turns?)
室内装飾|しつないそうしょく|Interior decorating
～には及ばない Grammar|には およばない|TWO meanings, (1) 必要はない (2) そのレベルには達していない
指切り|ゆびきり|Pledging by hooking each others pinkies
洗礼|せんれい|baptism
日照り|ひでり|日が照りつけること。特に、真夏に晴天が続き雨が降らないことあるべきもの、あって欲しいものなどが不足すること
余すところなく|あますところなく|fully, thoroughly
修辞疑問|しゅうじぎもん|rhetorical question
姓名判断|せいめいはんだん|Fortune telling based on writing or pronunciation of ones name
来週は予定がびっしり詰まっています|らいしゅうは よていがびっしり つまっています|The schedule will be tightly packed next week
影の薄い|かげの うすい|Inconspicuous / low-profile
如意棒|にょい ぼう|magic staff (that Sun Wukong has)
助詞|じょし|Particle
貫く|つらぬく|To go through ー　evilness of love? ;)
捻る|ひねる|Twist / turn on (injury sense)
軽卒|けいそつ|Rash / Light headed
懐炉|かいろ|(pocket) body warmer
いずれにせよ、|いずれにせよ|In any event / At any rate
幅寄せ|はばよせ|(car) being run off the road
駆け引き|けかけひき|Tactics / Maneuver / Game (like, THE GAME)
反逆|はんぎゃく|Treason / Treachery / Rebellion
画期的な|かっきてきな|Revolutionary / Epoch making
優先度|ゆうせんど|Priority (for a task to execute)
仕事ぶり|しごとぶり|The way one works
諮問機関|しもんきかん|1. Advisory committee2. consultative body
暗礁|あんしょう|Reef / Sunken rock
口封じ|くち ふうじ|1. muzzling (a person), preventing (a person) from revealing something2. silenci
致命的な|ちめいてきな|Fatal / Mortal / Deadly
送話器|そうわき|Telephone transmitter / mouthpiece
梱包|こんぽう|packing; crating; packaging
隠喩|いんゆ|metaphor
残り香|のこり が|Lingering scent / Lingering fragrance
手枷足枷|てかせあしかせ|shackles
火かき棒|ひかき ぼう|fire hook, poker, slice bar
共通|きょうつう|Common between parties / mutual
続行|ぞっこう|Continuation (of the match in spite of weather...)
子音|しいん|Consonant (ie not a vowel)
下読み|したよみ|Preparatory reading&nbsp;
枚挙にいとまがない|まいきょにいとまがない|too many to count; too numerous to mention
のっそりと起こす|のっそりと おこす|To get up sluggishly
戦列|せんれつ|line of battle
治験薬|ちけんやく|investigational new drug
形状|けいじょう|Shape / Form
日の丸がはためいていた|のひのまるがはためいていた|Japanese flags were flying
大家 (not landlord)|おおや|Authority / Great Master / Maestro
再度の|さいどの|Second / Follow up / Another
一昨年|いっさくねん|The year before last
彼女は外国人に交じってダンスをしたの。|かのじょは がいこくじんに まじってをしたの|She mingled with foreigners as she danced.
日直|にっちょく|Day duty (duties?)
投機筋|とうきすじ|Speculator (in trade markets)
法定|ほうてい|Legal / Designated by law
二卵性|にらんせい|"Fraternal" , basically means coming from 2 different eggs, so twins but not ide
夜回り|よまわり|night watch; night watchman
遠大|えんだい|Far-reaching, Long range
神経質|しんけいしつ|High strung / Fussy / Jittery
問い詰める|いといつめる|To press a question / To cross examine
生活費を自分で稼いでこそ、自立していると言える|せいかつひを じぶんで かせいでこそ じりつしていると いえる|You can say that you are independent only after you begin to earn a living
蔑む|さげすむ|To despise
埋め合わせ|めうめあわせ|Compensation / to make up for something
蘊蓄を傾ける|うんちくを かたむける|to draw upon one's profound knowledge
預り証|あずかり しょう|claim check, baggage check, luggage check, deposit receipt
斜め読み|ななめ よみ|skim reading
がぶがぶ|がぶがぶ|(the sound of) guzzling (4 doubler)
名言|めいげん|Wise saying
同棲|どうせい|Living together / cohabitation
後部|こうぶ|Rear / Stern
ビンタ||Slap in the face
保養|ほよう|Health preservation / Recuperation
まやかし|まやかし|Fraud
どれも|どれも|Any / All / Every
書簡|しょかん|Letter / Note / Correspondence
明け渡す|けあけわたす|To surrender / evacuate / to vacate
苦楽|くらく|pleasure and pain; joys and sorrows
透析|とうせき|Dialysis
幻覚|げんかく|Hallucination / Illusion
度し難い|どし がたい|Beyond help / Incorrigible
慣性の法則|のかんせいのほうそく|Laws of inertia
明年は楽しい年になりそうです|みょうねんは たのしい としになりそうです|Next year promises to be a fun year
過敏|かびん|Nervousness / Over sensitivity
野試合|のじあい|casual match, non-competitive match
大会のスローガンを掲示したよ。|たいかいのを けいじしたよ|I posted the rally's slogan.
物質|ぶっしつ|matter, substance
預金には利息がつきます。|よきんには りそくがつきます|Savings gain interest.
鯨|くじら|Whale
突如|とつじょ|All of a sudden / Suddenly
誤報|ごほう|False report / disinformation
藪|やぶ|thicket / bush / scrub
洗い熊|いあらいぐま|common raccoon (Procyon lotor)
死産|しざん|stillbirth
フラグが立つ|が たつ|to have a flag set (indicates the setting of a variable that determines, for exa
気楽|きらく|Easygoing / comfortable
劣勢|れっせい|Inferiority / Inferior position / Disadvantage / Unfavourable situation
僕が合格したのは僥倖です|ぼくが ごうかくしたのは ぎょうこうです|It was pure chance [sheer luck] that I passed the examination
じろりと見る|じろりと みる|to cast a sharp glance
前頭葉|ぜんとうよう|frontal lobe
農場|のうじょう|1. farm (agriculture)2. 農場, 农场
売主|うりぬし|The seller
幾重|いくえ|Multiplied / repeated
物音がしたので見に行った。|ものおとがしたので みに いった|I heard a noise so I went to look.
そのテクノロジーは企業に新たな様相をもたらした|そのは きぎょうに あらたな ようそうをもたらした|That technology brought a new dimension to the corporation
夜を徹する|よるを てっする|to stay up all night, to sit up all night, to do something all night
素描|そびょう|1. drawing, sketch2. outline, summary, synopsis3. 圖畫, 图画, 圖片, 图片4. 素描
半端に|はんぱに|By halves
馴染み|なじみ|Familiar / well known
恩恵|おんけい|Benefit / Blessing / Favour (of having more money)
匿う|かくまう|To shelter / to shield / to hide
因数分解|いんすうぶんかい|factorisation
まとめ上げる|まとめ あげる|to compile, to bring together, to weave, to put together, to bring to a conclusi
冷害|れいがい|cold-weather damage (to crops)
下克上|げこくじょう|juniors dominating seniors, inferiors overthrowing their superiors, retainer sup
彼には理屈が通じない|かれには りくつが つうじない|He doesn't understand logics.
向き不向き|きむきふむき|Appropriateness
手の込んだ|ての こんだ|Intricate / Elaborate / Complicated
彼はちょっと用足しに出ています|かれはちょっと ようたしに でています|He has popped out on an errand
威光|いこう|Power / Authority / Influence
厄年|やくどし|unlucky year
獄則|ごく そく|prison regulations; prison rules
壁際|かべぎわ|close to the wall, alongside the wall
寄せる|よせる|draw near, draw up, gather
何しろ|なにしろ|anyhow, as you know
流儀|りゅうぎ|Style / Fashion (of working making anime)
栄養素|えいようそ|Nutrient
ダントツ||(from 断然 + トップ) far and away the best; the very best; cream of the crop; crème d
戦績|せんせき|war or military record, score, military achievements, results
送料|そうりょう|Shipping / Carrying
清々しい|すがすがしい|Brisk / Refreshing
彼らの埋蔵された宝物を求めて砂漠を探索した。|かれらの まいぞうされた ほうもつを もとめて さばくを たんさくした|They explored the desert in quest of buried treasure
