雑草|ざっそう|Weed
不信任案|ふしんにんあん|No-confidence motion
自己陶酔|じことうすい|Narcissism / Self absorption / Self intoxication
士気|しき|morale (of troops, team, etc.); esprit de corps
縫い目|ぬい め|Seam / Stitch
正味|しょうみ|net weight
終わりを告げる|おわりを つげる|to mark the end
育休|いくきゅう|childcare leave; leave taken after the compulsory maternity leave
彼はまだ失恋を引きずっています。|かれはまだ しつれんを ひきずっています|He's still dragging along the emotional baggage of a romantic breakup.
揺り起こす|りゆりおこす|To shake someone to wake
着信拒否|ちゃくしんきょひ|Blocking communications (email address or phone)
何気なく言った言葉も誰かを傷つけることがある。|なにげなく いった ことばも だれかを きずつけることがある|A casual remark can hurt someone
円滑に|えんかつに|Smoothly / Without a hitch / Harmoniously
初代|しょだい|First generation / Founder
遠近法|えんきんほう|Perspective (things appearing far away)
主導権を握る|しゅどうけんを にぎる|To seize the initiative
水疱|すいほう|A blister
夜更け|よふけ|Late at night
落花生|らっかせい|Peanut
宿志|しゅくし|Longstanding desire
山肌|やまはだ|mountain's surface; bare surface of a mountain
道理に適う|どうりに かなう|to stand to reason
音節|おんせつ|Syllable
寛ぎ|くつろぎ|Ease / Relaxation / Comfort / Unwinding
委ねる|ゆだねる|Leave / Refer / Entrust
名目|めいもく|Pretext / Name
責任を転嫁するのはやめましょう|せきにんを てんかするのはやめましょう|Lets stop passing the buck
淡白|たんぱく|Light (colour, taste) / plain
耳目|じもく|Eyes and ears
老婆心|ろうばしん|Concern
成敗 2|せいばい|punishment; judgement; judgment for "seibai not seihai"
羨望の的|せんぼうの まと|object of envy
天皇|てんのう|Emperor of Japan
