無垢|むく|Purity
止まり木|まりとまりぎ|(1) perch; (2) barstool
粗忽者|そこつもの|careless person; thoughtless person
宝刀|ほうとう|treasured sword
忖度|そんたく|surmise (about someone's feelings); guess; conjecture
振り乱す|ふり みだす|to dishevel (hair)
日和見|ひよりみ|sitting on the fence, waiting and seeing (how the wind blows), opportunism, stra
目もくれない|めもくれない|indifferent, paying no attention, taking no notice
似て非なる|にて ひなる|falsely similar, counterfeit
潰瘍|かいよう|ulcer
走行距離|そうこうきょり|Mileage / Distance travelled
亡骸|なきがら|Remains, corpse, dead bodyNuance亡骸
 is a word for a dead body or corpse, but it 
幼少|ようしょう|Infancy / Tender age
殺到|さっとう|Rush / Flood / Deluge / Avalance (of phonecalls etc)
羅列|られつ|Enumeration
聞き入る|きき いる|To listen attentively to / To be lost in
妾|そばめ|Kept woman / Mistress (the kidnapped girl by korea)
落雷|らくらい|Thunderbolt / Bold of lightening
テレビの役割は端的に言うと娯楽だと思う|の やくわりは たんてきに いうと ごらくだと おもう|To be frank, I think that the role of TV is for entertainment
適性|てきせい|Aptitude
泣き面に蜂|きになきつらにはち|1. One misfortune comes after another.&nbsp;2. Misfortunes never come alone.3. W
正弦波|せいげんは|sine wave
電界|でんかい|electric field
お寝小|お ねしょ|bed-wetting
隣り合う|となり あう|Adjoin / be next door to each other
粗野（な）|そやな|Vulgar / Rough / Crude / Rugged
乱立|らんりつ|Flood (of candidates)
助太刀|すけだち|Assistance (in a fight) / Seconds (in a fight)
瘡蓋|かさぶた|Scab / Crust
逸材|いつざい|Outstanding talent
先方|せんぽう|&nbsp;(1) companion; other party (side); he; she; they; (2) destination; (3) per
平屋|ひらや|bungalow; one-story house
胸が熱くなる|むねが あつくなる|to become fraught with emotion
なすりつける|なすりつける|To blame another
改宗|かいしゅう|1. religious conversion2. 改宗
略図|りゃくず|Outline / Sketch / Rough Map
雪崩|なだれ|Avalanche
ビー玉|びーだま|Marble (as in the small balls!)
そそり立つ|そそり たつ|to rise (steeply), to tower, to soar
血の気が引く|ちの けが ひく|to go pale, to grow pale, to lose color, to turn white
火床|ひどこ|fire bed, fire grate
細字|さいじ|small type or handwriting
文章|ぶんしょう|Sentence
本性|ほんしょう|True character, real nature
粘土|ねんど|Clay
彼は何しろよくしゃべります。|かれは なにしろよくしゃべります|Anyway, he talks a lot.
隠し持つ|しかくしもつ|To carry (something) under cover
籠|かご|Basket / Cage
鳧を付ける|けりを つける|to settle; to finish; to bring to an end
伸び悩む|びのびなやむ|to be sluggish (business); to make little progress; to not grow as much as expec
凡庸|ぼんよう|mediocre; ordinary; commonplace; banal
蔵|くら|Warehouse / Storehouse / Cellar
落とし込む|おとし こむ|to apply (concepts, ideas, etc. to specific processes or methods) /&nbsp;to take
骨董|こっとう|antique
決定論的|けっていろんてき|deterministic (computer code)
べそをかく|べそをかく|to be ready to cry, to be on the point of tears
百足|むかで|centipede
売り圧迫|りうりあっぱく|selling pressure
立冬|りっとう|First day of winter
削る|けずる|Shave / Chip / Sharpen / Shorten
問屋|とんや|wholesale store, wholesaler
寛ぐ|くつろぐ|To relax / To feel at home
有償|ゆうしょう|For profit / Non free (software) / Compensation
要件　again|ようけん|Requirement - as in business requirement, user requirement
紫外線|しがいせん|Ultra-violet rays
校長先生は子供たちに慕われています|こうちょうせんせいは こどもたちに したわれています|The children are very attached to the headmaster
追徴課税|ついちょうかぜい|Additional tax
首尾よく|しゅびよく|Successfully / With success
忌み嫌う|みいみきらう|to detest; to abhor; to loathe
彫師|ほりし|tattoo artist; tattooist
例える|たとえる|Compare / Liken
日本では夫婦同姓が一般的よ。|にっぽんでは ふうふ どうせいが いっぱんてきよ|It's common in Japan for a married couple to have the same family name.
非常警戒|ひじょうけいかい|Special guard
名手|めいしゅ|Expert
足袋|たび|Japanese Socks with split toe
目深|まぶか|Wearing low over ones eyes (a coat hood!)
眉を顰める|まゆを しかめる|To frown / To scowl
ふわりと|ふわりと|Softly / Gently / Lightly
一か八か|かいちかばちか|Sink or swim / high stakes / desperate
