洗手池|xǐshǒuchí|Sink (to wash hands)
学风|xuéfēng|Style of study / school discipline
防卫|fángwèi|To defend / defensive
胶水|jiāoshuǐ|Glue
粘|nián|To stick / adhere / to glue
幕后|mùhòu|Behind the scenes
避开|bìkāi|To avoid / To evade / to keep away from
公众|gōngzhòng|Public
躲避|duǒbì|To hide / To evade / to dodge / to take shelter
倾听|qīngtīng|To listen attentively; to listen with care. Nuance: 倾听 conveys the idea of listening with full attention, often with empathy and respect. Unlike 听 (to hear/listen) which is neutral and general, 倾听 emp
公益|gōngyì|Public welfare / Public good
协作|xiézuò|Cooperation / Coordination
政权|zhèngquán|Regime / (wield) political power
塞满|sāimǎn|To stuff full / To cram in / Chock full
跨步|kuàbù|Stride / to step across
拦截|lánjié|To intercept (the football!)
丑闻|chǒuwén|Scandal
炮弹|pàodàn|Artillery shell
定期|dìngqī|Regularly / At regular intervals
炸鸡|zhàjī|Fried chicken
途径|tújìng|Way / Channel
单纯|dānchún|Simple
尘土|chéntǔ|Dust (on the road?)
行人|xíngrén|Pedestrian / traveler on foot
满面|mǎnmiàn|across ones whole face / from ear to ear
故障|gùzhàng|Malfunction / breakdown / failure
水准|shuǐzhǔn|level / standard / horizontal
汇报|huìbào|To report / to give an account of
辐射|fúshè|Radiation
泄露|xièlù|to leak (information) / to divulge
恐慌|kǒnghuāng|Panic / Panic-stricken
阴凉|yīnliáng|Cool; shady; a cool, shaded placeNuance:阴凉 describes a place or condition that is pleasantly cool and sheltered from direct sunlight, often in natural settings like under trees or in a building's shad
绷带|bēngdài|Bandage
症状|zhèngzhuàng|Symptom (of an illness)
举起|jǔqǐ|To lift / to raise up / to heave
鞭子|biānzi|Whip
抖缩|dǒusuō|To cower / To tremble
膝盖|xīgài|Knee
偷窃|tōuqiè|To steal / To pilfer
仓库|cāngkù|Storehouse / Warehouse
行凶|xíngxiōng|Violent crime / to perpetrate / to assault
伺机|sìjī|To wait for an opportunity / to watch for ones chance
刹车|shāchē|To brake (a car) / to stop / a brake
丹麦|dānmài|Denmark
鱼竿|yúgān|Fishing rod
贵族|guìzú|Lord / Nobility / Aristocrat
木匠|mùjiàng|Carpenter
棚|péng|Shed / Shack
百万富翁|bǎiwànfùwēng|Millionaire
移交|yíjiāo|To transfer / To hand oVer
长子|zhǎngzǐ|Eldest son
残忍|cánrěn|Cruel / Mean
非洲|fēizhōu|Africa
媒介|méijiè|Medium / Media / Intermediary
沾湿|zhānshī|To moisten / to dampen
优惠券|yōuhuìquàn|Coupon
喷泉|pēnquán|Fountain
技巧|jìqiǎo|Skill / Technique
天生|tiānshēng|Nature / Innate / Natural / Disposition
