凌乱不堪|<span class="tone2">líng</span> <span class="tone4">luàn</span> <span class="tone4">bù</span> <span class="tone1">kān</span><!--ling luan bu kan-->|In a terrible mess
钱财|<span class="tone2">qián</span> <span class="tone2">cái</span><!--qian cai-->|Wealth / Money
拷问|<span class="tone3">kǎo</span> <span class="tone4">wèn</span><!--kao wen-->|To question via torture
采矿|<span class="tone3">cǎi</span> <span class="tone4">kuàng</span><!--cai kuang-->|Mining
矿工|<span class="tone4">kuàng</span> <span class="tone1">gōng</span><!--kuang gong-->|Miner
矿主|<span class="tone4">kuàng</span> <span class="tone3">zhǔ</span><!--kuang zhu-->|Proprietor of a mine (Caizhens dad!)
灭口|<span class="tone4">miè</span> <span class="tone3">kǒu</span><!--mie kou-->|To kill somebody to prevent them from divuling a secret / To silence somebody
杀人灭口|<span class="tone1">shā</span> <span class="tone2">rén</span> <span class="tone4">miè</span> <span class="tone3">kǒu</span><!--sha ren mie kou-->|To silence somebody / To kill somebody to prevent them from dilvulging a secret
草菅人命|<span class="tone3">cǎo</span> <span class="tone1">jiān</span> <span class="tone2">rén</span> <span class="tone4">mìng</span><!--cao jian ren ming-->|To kill people like scything grass / A politician acting with total disregard for the life of his countrymen / human life as grass (idiom)
怒不可遏|<span class="tone4">nù</span> <span class="tone4">bù</span> <span class="tone3">kě</span> <span class="tone4">è</span><!--nu bu ke e-->|In a towering rage / Unable to restrain one's anger
强忍|<span class="tone2">qiáng</span> <span class="tone3">rěn</span><!--qiang ren-->|To resist (with great difficulty)
打通|<span class="tone3">dǎ</span> <span class="tone1">tōng</span><!--da tong-->|To open access / To remove a block / To establish contact
队友|<span class="tone4">duì</span> <span class="tone3">yǒu</span><!--dui you-->|Teammate
傻笑|shǎ xiào|Laugh foolishly / Giggle
河狸|hé lí|Beaver
说得上|shuōdeshàng|can be counted or regarded as 2) to be able to tell or answer 3) to deserve mention
浆糊|jiànghu|paste
放任|fàngrèn|not interfere; let alone adjective noninterference; laissez-faire
假扮|jiǎbàn|disguise oneself as; dress up as
冒充|màochōng|pretend to be; pass off as
冒充内行|Màochōng nèiháng|pretend to be an expert; pose as an expert
报火警|bào huǒjǐng|report a fire
侥幸心理|jiǎoxìngxīnlǐ|1&#9;trusting to luck 2&#9;wishful thinking
侥幸|jiǎoxìng|By Luck / By a Fluke / Lucky EscapeNuance侥幸 carries a nuanced meaning of good fortune that occurs by chance, often in situations where the outcome was uncertain or could easily have been negative. It 
剽窃|piāoqiè|VERB plagiarize; lift &#25104;&#27573;&#22320;&#21117;&#31363;&#21035;&#20154;&#30340;&#33879;&#20316; ch&#233;ngdu&#224;n de pi&#257;oqi&#232; bi&#233;ren de zh&#249;zu&#242; lift whole passages from
花纹|huāwén|NOUN decorative pattern; figure &#33457;&#32441;&#29627;&#29827; Hu&#257;w&#233;n b&#333;li figured glass &#21508;&#31181;&#33457;&#32441;&#30340;&#22320;&#27631; g&#232;zh&#466;ng hu&#257;w&#233;n de
欢腾|huānténg|To rejoice; to celebrate with great joy; to be jubilant.Nuance欢腾 is a verb and noun that describes a scene of exuberant, collective joy and celebration. It conveys not just individual happiness but a 
风浪|fēnglàng|wind and waves; storms; turbulenceNuances:This term literally refers to rough sea conditions but metaphorically describes life's challenges, crises, or social upheavals. It implies unpredictability an
风浪板|fēnglàngbǎn|1&#9;(Tw) windsurfing 2&#9;sailboard
底朝天|dǐcháotiān|1&#9;upside down 2&#9;upturned
瞩目|zhǔmù|VERB LITERARY fix the eyes upon; focus the attention upon &#20026;&#19990;&#30028;&#25152;&#30633;&#30446; W&#233;i sh&#236;ji&#232; su&#466; zh&#468;m&#249; attract worldwide attention
威武|wēiwǔ|ADJECTIVE powerful; mighty &#23041;&#27494;&#38596;&#22766; w&#275;iw&#468;xi&#243;ngzhu&#224;ng full of power and grandeur NOUN might; force; power
自负|zìfù|Arrogant; conceited; self-confident.Nuance: 自负 describes a person who has an excessive sense of self-importance or pride in their abilities. While it can sometimes be neutral or even positive if refer
跃然|yuèrán|to appear vividly; to leap into view (of images, emotions, or ideas)Nuances:This term describes something that emerges with such lifelike clarity and energy that it feels almost animated. It is often 
务必|wùbì|Must; be sure to; it is imperative that.Nuance务必 is a formal adverb used to express strong necessity or obligation. It conveys that something is not merely suggested but required—often with a sense of
确立|quèlì|VERB establish &#30830;&#31435;&#31038;&#20250;&#20027;&#20041;&#21046;&#24230; Qu&#232;l&#236; sh&#232;hu&#236;zh&#468;y&#236; zh&#236;d&#249; establish the socialist system &#30830;&#31435;&#27491;&
恩赐|ēncì|Bestowal, gift, favor (from a superior)Nuance恩赐 originally referred to a ruler or deity bestowing rewards or favors upon subjects, carrying a strong sense of hierarchy and grace from above. In modern 
闲扯|xiánchě|VERB chat; engage in chit-chat &#20320;&#21035;&#22312;&#36825;&#20799;&#38386;&#20102;, &#24555;&#22238;&#23478;&#21435;&#21543;&#12290; N&#464; bi&#233; z&#224;i zh&#232;r xi&#225;nch&#283; le, ku&#
松懈|sōngxiè|To slacken; to relax; to become lax (in discipline, effort, or vigilance).Nuance松懈 is a verb and adjective that describes a decline in effort, discipline, attention, or tension after a period of inten
出台|chū//tái|"to be introduced (of a policy or measure)," "to appear on stage"Nuance:出台 has two main usages. Literally, it means “to come onto the stage,” often referring to actors, performers, or officials making
承受|chéngshòu|To bear, to endure, to withstandNuance承受 emphasizes taking on and enduring something, whether it is pressure, responsibility, pain, or hardship. It often implies a passive or heavy burden that one mus
一个劲儿|yīgejìnr|ADVERB continuously; persistently &#38632;&#19968;&#20010;&#21170;&#20799;&#22320;&#19979;&#12290; Y&#468; y&#299; ge j&#236;nr d&#236;xia. It kept on raining. &#22905;&#19968;&#20010;&#21170;&#20799;
景观|jǐngguān|landscape; scenic view; spectacleNuances:This term refers to a visually striking scene, whether natural or human-made, that forms a cohesive and often aesthetically pleasing whole. It emphasizes the c
锋利|fēnglì|ADJECTIVE 1&#9;(of a tool, weapon, etc.) sharp; keen &#38155;&#21033;&#30340;&#38050;&#20992; f&#275;ngl&#236; de g&#257;ngd&#257;o sharp knife 2&#9;(of speech, writing, etc.) incisive; sharp; poignan
仔细|zǐxì|ADJECTIVE 1&#9;careful; attentive &#20180;&#32454;&#20998;&#26512; Z&#464;x&#236; f&#275;nxi careful analysis &#20180;&#32454;&#22320;&#30740;&#31350;&#25991;&#20214; z&#464;x&#236; de y&#225;nji&#363
苦难|kǔnàn|NOUN suffering; misery; distress; tribulation &#33510;&#38590;&#28145;&#37325; k&#468;n&#224;nsh&#275;nzh&#242;ng in deep distress; in the depth of misery &#33510;&#38590;&#30340;&#24180;&#20195; k&#4
热门|rèmén|NOUN arousing popular interest; popular; in great demand; hot (opp. &#20919;&#38376;&#20799;) &#36214;&#28909;&#38376; G&#462;n r&#232;m&#233;n follow a craze
性情|xìngqíng|Temperament / Disposition / NatureNuance性情 refers to a person's innate, enduring character, temperament, and emotional nature. It encompasses both their natural disposition (e.g., being cheerful or me
查阅|cháyuè|To consult; to refer to; to look up (information, documents, or references).Nuance: 查阅 emphasizes actively consulting materials or sources to obtain information, usually in a formal, academic, or prof
钦佩|qīnpèi|VERB admire; esteem &#34920;&#31034;&#38054;&#20329; bi&#462;osh&#236; q&#299;np&#232;i express admiration for &#20182;&#20204;&#22362;&#25345;&#31185;&#23398;&#23454;&#39564;&#30340;&#31934;&#31070;&
养料|yǎngliào|Nutrients; nourishment; sustenance.Nuance养料 refers to the substances that provide growth and support for living beings, most often plants, but also animals and humans in broader contexts. Literally, i
往常|wǎngcháng|NOUN habitually in the past; as one used to do &#20182;&#27604;&#24448;&#24120;&#22238;&#26469;&#24471;&#26202;&#12290; T&#257; b&#464; w&#462;ngch&#225;ng hu&#237;lai de w&#462;n. He came back later 
惊魂|jīnghún|Fright / Terrifying ExperienceNuance惊魂 is a noun that refers to a state of being deeply frightened or a terrifying experience that shocks the soul. It is often used as a modifier in compound words or 
冤魂|yuānhún|NOUN spirit of one who was wrongly put to death or was murdered &#20900;&#39746;&#19981;&#25955; yu&#257;nh&#250;nb&#249;s&#224;n the demon of the wronged never takes a rest
排场|páichang|Extravagance; ostentation; display of luxuryNuance:排场 refers to the display of wealth, status, or ceremony through lavish arrangements, elaborate decorations, and grand scale. It can be used neutrally
任命|rènmìng|VERB appoint; designate &#20219;&#21629;&#26576;&#20154;&#20026;&#26657;&#38271; r&#232;nm&#236;ng m&#466;ur&#233;n w&#233;i xi&#224;ozh&#462;ng appoint sb. president of a university
身手|shēnshǒu|NOUN skill; talent &#36523;&#25163;&#19981;&#20961; sh&#275;nsh&#466;u b&#249;f&#225;n be of no ordinary talent; display consummate skill
独创|dúchuàng|original creation; innovativeNuances:This term emphasizes the novelty and uniqueness of an idea, method, or product, highlighting its break from convention and its origin in independent thinking.Examp
摊开|tān//kāi|To spread out; to unfold; to lay openNuance:摊开 is a verb that describes the action of spreading something flat, opening it up, or making it fully visible. It can be used literally, such as spreading a
纪律|jìlǜ|Discipline; rules and order (enforced in groups, organizations, or systems).Nuances:"纪律" refers to codified behavioral constraints, emphasizing obedience and collective cohesion. It’s neutral in conte
巴结|bājie|VERB 1&#9;fawn on; curry favour with; make up to &#24052;&#32467;&#38420;&#20154; B&#257;jie ku&#242;r&#233;n fawn on rich people; court the rich &#24052;&#32467;&#19978;&#21496; b&#257;jie sh&#224;ng
胡乱|húluàn|ADVERB carelessly; casually; at random &#32993;&#20081;&#29468;&#27979; H&#250;lu&#224;n c&#257;ic&#232; make wild guesses &#32993;&#20081;&#21507;&#20102;&#28857;&#20799;&#39277; h&#250;lu&#224;n ch&
搭档|dādàng|VERB cooperate; work together &#21681;&#20457;&#25645;&#26723;&#21543;&#12290; Z&#225;n li&#462; d&#257;d&#224;ng ba. Let us two team up. NOUN partner &#32769;&#25645;&#26723; l&#462;od&#257;d&#224;ng
理会|lǐhuì|VERB 1&#9;understand; comprehend &#19981;&#38590;&#29702;&#20250; b&#249; n&#225;n l&#464;hu&#236; not difficult to understand 2&#9;[usu. in the negative] take notice of; pay attention to &#19981;&#29
窘迫|jiǒngpò|ADJECTIVE 1&#9;poverty-stricken; very poor &#29983;&#27963;&#31384;&#36843; Sh&#275;nghu&#243; ji&#466;ngp&#242; live in poverty 2&#9;hard pressed; embarrassed; in a predicament &#22788;&#22659;&#3138
眼看|yǎnkàn|To see with one's own eyes; to watch helplessly as; on the verge ofNuance:The term 眼看 has two primary nuances depending on its usage. First, it can literally mean "to see with one's own eyes," emphasi
得罪|dézui|VERB offend; displease &#25105;&#30340;&#35805;&#25226;&#20182;&#32473;&#24471;&#32618;&#20102;&#12290; W&#466; de hu&#224; b&#462; t&#257; g&#283;i d&#233;zui le. My words offended him.
表彰|biǎozhāng|To commend; to honor; to give public recognitionNuance:表彰 is a formal verb that describes the act of publicly recognizing and praising someone for their outstanding achievements, contributions, or exe
躁动|zàodòng|ADJECTIVE 1&#9;move restlessly &#20869;&#24515;&#36481;&#21160;&#19981;&#23433; N&#232;ix&#299;n z&#224;od&#242;ng b&#249;'&#257;n feel ill at ease 2&#9;(esp. of a fetus) move up and down; throb
拍卖|pāimài|NOUN auction &#19968;&#22330;&#25293;&#21334;(&#20250;) Y&#299; ch&#225;ng p&#257;im&#224;i auction sale VERB 1&#9;auction &#20132;&#25293;&#21334;&#34892;&#25293;&#21334; ji&#257;o p&#257;im&#224;ih&
辗转|zhǎnzhuǎn|to toss and turn; to pass through many hands or placesNuances:This term describes restless movement—whether physical (like turning in bed) or metaphorical (like something being transferred repeatedly)
干劲|gànjìn|NOUN drive; vigour; enthusiasm &#24178;&#21170;&#21313;&#36275; g&#224;nj&#236;n sh&#237;z&#250; be full of vigour (or drive) &#40723;&#36215;&#24178;&#21170; G&#468;q&#464; g&#224;nj&#236;n rouse one
妄想|wàngxiǎng|delusion; fantasy; wishful thinkingNuances:Implies irrational or unrealistic beliefs, often with negative connotations (e.g., mental illness, arrogance).Example Sentences:他妄想一夜暴富，结果被骗光积蓄。(His delusion
以往|yǐwǎng|In the past; previously; formerly.Nuance以往 is a noun and adverb that refers to a period of time before the present. It is a formal and somewhat neutral term for "the past," often used in written langu
缘故|yuángù|Reason / CauseNuance缘故 is a noun that refers to the cause or reason behind a situation, often one that is not immediately obvious or is indirect. It carries a slightly formal or literary tone compared
拜访|bàifǎng|VERB COURTEOUS pay a visit; call on &#25308;&#35775;&#20146;&#21451; b&#224;if&#462;ng q&#299;ny&#466;u pay visits to friends and relatives &#39034;&#20415;&#25308;&#35775; sh&#249;nbi&#224;n b&#224;i
开展|kāizhǎn|to launch; to carry out; to develop (an activity, project, or campaign)Nuances:Often used for organized initiatives (e.g., "开展工作" - to carry out work). Implies systematic progress, unlike the more gen
家境|jiājìng|NOUN family financial situation; family circumstances &#23478;&#22659;&#19981;&#38169; ji&#257;j&#236;ng b&#249;cu&#242; come from a well-to-do family &#23478;&#22659;&#36139;&#23506; ji&#257;j&#236;n
分隔|fēngé|to separate; to partition; to divideNuances:This term describes the act of creating a division between spaces, groups, or entities, often to isolate, organize, or prevent interaction. It implies a del
修筑|xiūzhù|To Construct / To BuildNuance修筑 is a verb that means to construct or build, particularly large-scale infrastructure projects such as roads, railways, dams, walls, or buildings. It carries a formal, of
圆滑|yuánhuá|ADJECTIVE smooth and evasive; slick and sly; sophisticated &#22278;&#28369;&#30340;&#25163;&#27573; yu&#225;nhu&#225; de sh&#466;udu&#224;n diplomatic tact &#35828;&#35805;&#22278;&#28369; shu&#333;hu
见鬼|jiànguǐ|VERB1&#9;FIGURATIVEbe fantastic; be preposterous; be absurd&#31181;&#24196;&#31292;&#19981;&#38500;&#33609;&#19981;&#26159;&#35265;&#39740;&#21527;&#65311;Zh&#242;ng zhu&#257;ngjia b&#249; ch&#250;c&#
惨烈|cǎnliè|"brutal," "fierce and bloody," "devastating" (describes extreme violence, destruction, or tragic intensity, often in conflicts or disasters).Nuance:This term emphasizes visceral horror and scale of su
圆满|yuánmǎn|ADJECTIVE satisfactory; perfect &#22278;&#28385;&#25104;&#21151; yu&#225;nm&#462;n ch&#233;ngg&#333;ng complete success &#22278;&#28385;&#30340;&#31572;&#26696; yu&#225;nm&#462;n de d&#225;'&#224;n sa
招摇|zhāoyáo|VERB act ostentatiously &#20182;&#36825;&#20010;&#20154;&#24456;&#25307;&#25671;&#12290; t&#257; zh&#232;ge r&#233;n h&#283;n zh&#257;oy&#225;o. He&#8217;s a showoff. or He likes to draw attention to 
亲昵|qīnnì|ADJECTIVE very intimate; affectionate &#20146;&#26165;&#30340;&#31216;&#21628; Q&#299;nn&#236; de ch&#275;nghu affectionate form of address
寒酸|hánsuān|ADJECTIVE (usu. of a poor scholar) shabby and miserable &#19968;&#21103;&#23506;&#37240;&#30456; y&#299; f&#249; h&#225;nsu&#257;n xi&#224;ng look shabby and miserable NOUN poor person; person of humb
指点|zhǐdiǎn|To Give Guidance; To Advise; To Point OutNuanceThe word 指点 literally means “to point out with the finger,” but figuratively it refers to giving advice, direction, or guidance to someone, often from a 
踉跄|liàngqiàng|Stagger / Lurch / StumbleNuance踉跄 is a verb or adjective that vividly describes unsteady, stumbling movements, often due to weakness, injury, intoxication, or disorientation. It conveys a sense of phy
地段|dìduàn|NOUN sector (or section) of a town, etc.; area &#21830;&#19994;&#22320;&#27573; sh&#257;ngy&#232; d&#236;du&#224;n shopping sector; commercial area &#26368;&#28909;&#38393;&#30340;&#22320;&#27573; zu&
和谐|héxié|Harmonious; in harmony.Nuance: 和谐 refers to a state of balance, coordination, and peaceful coexistence, whether among people, within society, or between humans and nature. It carries a positive and id
吃亏|chī//kuī|VERB 1&#9;suffer losses; come to grief; get the worst of it &#21507;&#38391;&#20111; ch&#299;m&#232;nku&#299; be forced to keep one&#8217;s grievances to oneself; swallow a bitter pill in silence; suf
梳理|shūlǐ|VERB 1&#9;TEXTILE card 2&#9;comb out (hair); dress (hair) &#22905;&#22352;&#22312;&#38236;&#21069;&#26803;&#29702;&#38271;&#21457;&#12290; T&#257; zu&#242; z&#224;i j&#236;ng qi&#225;n sh&#363;l&#464;
敬奉|jìngfèng|to reverently offer; to devoutly serveNuances:This formal term combines respect (敬) and dedication (奉), describing acts of devotion—whether toward deities, ancestors, principles, or people—with sincer
依稀|yīxī|Vaguely / Faintly / DimlyNuance依稀 is an adverb that describes a perception or memory that is not clear, distinct, or certain. It conveys a sense of something being faint, hazy, or just on the edge of 
误点|wù//diǎn|VERB late; overdue; behind schedule &#39134;&#26426;&#35823;&#28857;&#20102;&#12290; F&#275;ij&#299; w&#249;di&#462;n le. The plane is overdue (or late). &#28779;&#36710;&#35823;&#28857;&#21313;&#2099
顶端|dǐngduān|NOUN 1&#9;top; peak; apex 2&#9;end &#22823;&#26725;&#39030;&#31471; d&#224; qi&#225;o d&#464;ngdu&#257;n the end of the bridge
办妥|bàntuǒ|to settle something properly; to handle matters satisfactorilyNuances:This term emphasizes the completion of a task with thoroughness and competence, leaving no loose ends. It implies not just finishi
看待|kàndài|VERB look on (or upon); regard; treat &#25105;&#25226;&#20182;&#24403;&#26379;&#21451;&#30475;&#24453;&#12290; W&#466; b&#462; t&#257; d&#257;ng p&#233;ngyou k&#224;nd&#224;i. I look on him as a frien
绽开|zhànkāi|To blossom; to burst open; to split openNuance:绽开 is a vivid verb that describes the process of something tightly closed, like a flower bud or a seam, opening up. It often implies a sense of natural, 
露出|lù//chū|“To reveal,” “to show,” or “to expose.”Nuance露出 literally means “to expose outward,” and it is used when something hidden, covered, or internal becomes visible. It can describe physical exposure—such 
学业|xuéyè|NOUN one's studies; school work &#33618;&#24223;&#23398;&#19994; Hu&#257;ngf&#232;i xu&#233;y&#232; neglect one&#8217;s studies
片断|piànduàn|NOUN VARIANT OF &#29255;&#27573; part; passage; extract; excerpt; fragment ADJECTIVE fragmentary; incomplete &#29255;&#26029;&#30340;&#22238;&#24518; pi&#224;ndu&#224;n de hu&#237;y&#236; fragments of
相逢|xiāngféng|To meet, to encounter (often unexpectedly)Nuance相逢 is a somewhat literary or poetic word used to describe two people meeting, often by chance or under meaningful circumstances. Compared with 遇见 or 见面,
嘲讽|cháofěng|VERB sneer at; taunt &#22905;&#24102;&#30528;&#22066;&#35773;&#30340;&#31070;&#24773;&#26012;&#20102;&#20182;&#19968;&#30524;&#12290; T&#257; d&#224;izhe ch&#225;of&#283;ng de sh&#233;nq&#237;ng xi&#2
谴责|qiǎnzé|to condemn; to denounceNuances:Formal term for expressing strong moral or political disapproval, often in public or official contexts.Example Sentences:联合国谴责该国的侵略行为。(The United Nations condemned the c
策划|cèhuà|VERB 1&#9;plan; plot; scheme &#31574;&#21010;&#38452;&#35851; c&#232;hu&#224; y&#299;nm&#243;u hatch a plot &#31574;&#21010;&#20316;&#25112;&#26041;&#26696; c&#232;hu&#224; zu&#242;zh&#224;n f&#257;ng
心怀|xīnhuái|to harbor (thoughts or feelings); to have in mindNuances:This term often implies holding onto thoughts or emotions internally, sometimes with a sense of secrecy or depth. It can be neutral, positive (
交响|jiāoxiǎng|symphony; orchestralNuances:This term specifically refers to the harmonious blending of multiple musical instruments in an orchestra, symbolizing complexity, grandeur, and coordinated artistry. It ext
失利|shī//lì|to suffer a defeat; to lose (in competition)Nuances:This term specifically refers to failing to achieve victory in a contest or struggle, often with implications of setback or missed opportunity. It i
绝缘|juéyuán|To insulate; to have no contact; to be completely cut off fromNuance:绝缘 is an electrical term meaning "to insulate," preventing the flow of electricity. Figuratively, it means to be completely isolate
排除|páichú|VERB get rid of; remove; eliminate &#25490;&#38500;&#25925;&#38556; p&#225;ich&#250; g&#249;zh&#224;ng fix a breakdown; repair &#25490;&#38500;&#38556;&#30861; p&#225;ich&#250; zh&#224;ng'&#224;i remo
心目|xīnmù|In One's Mind / In One's Heart / PerspectiveNuance心目 is a noun that refers to the mental perception, perspective, or estimation held by someone. It often appears in phrases like "在某人心中" (in one's hear
迎合|yínghé|to pander to; to cater to (often negatively)Nuances:Implies adjusting one’s behavior or opinions to please others, usually at the cost of integrity.Example Sentences:他写文章只为迎合读者，缺乏独立观点。(He writes artic
充斥|chōngchì|to be flooded with; to be full of (often negative)Nuances:Usually describes an excessive, overwhelming presence of something undesirable.Example Sentences:市场上充斥着假冒伪劣商品。(The market is flooded with coun
转移|zhuǎnyí|To Transfer / To Shift / To DivertNuance转移 is a verb that describes the movement of something from one place, person, or state to another. It is a neutral and versatile term used across many contexts,
蹒跚|pánshān|ADJECTIVE LITERARY (of walk) hobbling; staggering &#36434;&#36314;&#32780;&#34892; p&#225;nsh&#257;n'&#233;rx&#237;ng hobble along; limp along (&#36314; sh&#257;n)
自由自在|zìyóu-zìzài|IDIOM leisurely and carefree; free and unrestrained &#26080;&#20107;&#29301;&#33830;, &#33258;&#30001;&#33258;&#22312; w&#250; sh&#236; qi&#257;n y&#237;ng, z&#236;y&#243;uz&#236;z&#224;i lead a free 
瓜分|guāfēn|VERB cut up a melon—carve up; dismember; partition; divide up 瓜分财产 guāfēn cáichǎn divide up property 瓜分领土 guāfēn lǐngtǔ carve up the territory
经费|jīngfèi|Funds; budget; financial resources.Nuance: 经费 refers to money allocated or available for a specific purpose, such as a project, organization, research, or activity. It emphasizes formal or official fu
快活|kuàihuo|ADJECTIVE happy; merry; cheerful &#26085;&#23376;&#36807;&#24471;&#25402;&#24555;&#27963; r&#236;zi gu&#242; de t&#464;ng ku&#224;ihuo live (or enjoy) a happy life
打动|dǎdòng|VERB move; touch &#36825;&#30058;&#35805;&#25171;&#21160;&#20102;&#20182;&#30340;&#24515;&#12290; Zh&#232; f&#257;n hu&#224; d&#462;d&#242;ng le t&#257; de x&#299;n. He was moved (or touched) by these
相比|xiāngbǐ|VERB compare &#20108;&#32773;&#19981;&#33021;&#30456;&#27604;&#12290; &#200;rzh&#283; b&#249; n&#233;ng xi&#257;ngb&#464;. There&#8217;s no comparison between the two. &#36319;&#20808;&#36827;&#21333;
宣誓|xuān//shì|VERB take (or swear) an oath; make a vow (or pledge) &#23459;&#35475;&#23601;&#32844; xu&#257;nsh&#236; ji&#249;zh&#237; take an oath of office; swear in; swear into office &#20837;&#20826;&#23459;&#3
凄惨|qīcǎn|Miserable; wretched; pitiful (in a deeply sad and desolate way).Nuance凄惨 is a strong adjective that describes a state of extreme misery, suffering, and desolation. It combines 凄 (desolate, cold, sad) 
毛重|máozhòng|NOUN gross weight; gross load (opp. &#20928;&#37325;)
净重|jìngzhòng|NOUN net weight (opp. &#27611;&#37325;)
