人困马乏|rénkùn-mǎfá|IDIOM the men weary, their steeds spent or Both men and their horses are exhausted. &#22312;&#22320;&#37324;&#24178;&#20102;&#19968;&#22825;, &#22823;&#23478;&#37117;&#20154;&#22256;&#39532;&#20047;&#
酒楼|jiǔlóu|Restaurant (often an upscale or traditional establishment); wine house.Nuance酒楼 is a noun that traditionally refers to a Chinese restaurant or eatery, particularly one that serves alcohol and features
浑圆|húnyuán|Perfectly round; plump and roundNuance:浑圆 is an adjective that describes something that is completely round, without any flatness or irregularity. It implies a fullness and completeness of shape that 
偏远|piānyuǎn|ADJECTIVE remote; faraway &#20559;&#36828;&#22320;&#21306; pi&#257;nyu&#462;n d&#236;q&#363; remote districts
勾栏|gōulán|pleasure quarters; entertainment district (historical)Nuances:This term historically referred to designated urban areas in ancient China (especially Song to Qing dynasties) where theaters, teahouses, 
烟花女|yānhuānǚ|prostitute
突兀|tūwù|"sudden; abrupt; unexpected; (visually) protruding, sticking out"Nuances:This term can describe both physical objects that stand out jarringly (e.g., a lone rock) and abstract situations/remarks that 
繁文缛节|fánwén-rùjié|excessive formalities; bureaucratic red tapeNuances:This idiom criticizes overly complicated procedures, rituals, or paperwork that hinder efficiency and practicality. It implies that the process has 
上纲上线|shànggāngshàngxiàn|"to exaggerate the severity of an issue; to escalate a minor problem to a political or ideological level"Nuances:This term originates from political discourse, where "纲" (program) and "线" (line) refer
名节|míngjié|reputation and moral integrityNuances:A Confucian concept combining social standing ("名") and personal virtue ("节"). Often used in contexts of defending one’s dignity.Example Sentences:古代士大夫把名节看得比生命还重
受辱|shòu//rǔ|VERB insulted; disgraced &#19981;&#29976;&#21463;&#36785; b&#249;g&#257;n sh&#242;ur&#468; unwilling to suffer humiliation
女童|nǚtóng|small girl
虱子|shīzi|LouseNuance虱子 is the common term for lice, small parasitic insects that infest human hair, clothing, or animals. The term carries historically negative connotations associated with poverty, poor hygie
远亲|yuǎnqīn|NOUN distant relative (or relation); remote kinsfolk (opp. &#36817;&#20146;) &#36828;&#20146;&#19981;&#22914;&#36817;&#37051;&#12290; yu&#462;nq&#299;n b&#249;r&#250; j&#236;nl&#237;n A relative far o
杂役|záyì|NOUN DATED odd-job man
理顺|lǐ//shùn|to sort out; to streamline; to rationalizeNuances:This term describes organizing chaotic elements (e.g., processes, relationships) into logical order. It implies resolving confusion through systematic
讨饶|tǎo//ráo|VERB beg for mercy; ask for forgiveness
汗流浃背|hànliú-jiābèi|Sweat dripping down one's back; drenched in sweat; sweating profusely.Nuance汗流浃背 is a vivid four-character idiom that describes a state of profuse sweating, where sweat flows so heavily that it soaks 
迷离|mílí|Vague; misty; indistinct; mysterious.Nuance: 迷离 often describes a state that is unclear, uncertain, or dreamlike, carrying a sense of mystery or subtle beauty. It can refer to physical scenes, such as
扯平|chě//píng|to call it even; to settle a scoreNuances:A casual term used when both sides are considered equal after offsets (e.g., debts, favors, mistakes).Example Sentences:你请我吃饭，我帮你搬家，咱俩扯平了。(You treated me to a
蜕皮|tuì//pí|to molt; to shed skin (or an old shell)Nuances:Describes the natural process of snakes, insects, etc., shedding outer layers to grow; metaphor for renewal.Example Sentences:蛇每年都会蜕皮，这是生长的标志。(Snakes mol
一回生，二回熟|yīhuíshēng,èrhuíshú|unfamiliar at first, familiar by the second timeNuances:This cheerful idiom encourages overcoming initial awkwardness by emphasizing that repeated interactions naturally build familiarity and comfort.
扑闪|pūshan|To flicker, to flutter, to blinkNuance扑闪 is a lively, onomatopoeic word often used to describe quick, repeated movements that catch the eye. It can refer to physical motions such as the fluttering of 
知耻|zhīchǐ|To have a sense of shame; to know shame; to be honorable.Nuance知耻 is a formal noun and verb that refers to the capacity to feel shame when one's actions fall short of moral or social standards. In Con
造福|zàofú|to benefit; to bring happiness and convenienceNuances:Emphasizes creating lasting, widespread good for a community or society.Example Sentences:科技进步为人类造福无数。(Technological progress has brought countles
丰乳|fēngrǔ|VERB enlarge one's breasts (a kind of cosmetic surgery) NOUN 1&#9;large (or big) breast; ample bosom 2&#9;breast enlargement (or augmentation)
掌嘴|zhǎngzuǐ|To slap one's own mouth/face (as punishment or self-reproach).Nuance掌嘴 is a verb that specifically refers to the act of slapping one's own face, typically across the mouth, as a form of punishment, ap
调笑|tiáoxiào|To tease; to make fun of; to joke at someone's expenseNuance:调笑 describes the act of lightly mocking or teasing someone in a playful, often social manner. Unlike outright insult, it usually occurs amo
孤陋寡闻|gūlòu-guǎwén|"ignorant and ill-informed; narrow-minded and inexperienced"Nuances:This idiom literally means "isolated, crude, and lacking knowledge." It carries a self-deprecating tone when used about oneself but 
心声|xīnshēng|Inner thoughts; true feelings; what is on one's mind (literally "heart-voice").Nuance心声 is a noun that refers to a person's genuine thoughts, feelings, or innermost desires—the voice of one's heart. I
略作|lüèzuò|to make briefly; to do slightlyNuances:This formal term indicates performing an action in a modest, abbreviated, or preliminary manner, often suggesting the action is not comprehensive or is done temp
氤氲|yīnyūn|misty; vaporous; filled with a dense, ethereal atmosphereNuances:A poetic term describing a hazy, often mystical ambiance (e.g., smoke, fog, incense). Evokes a dreamy or obscure visual quality.Example
在世|zàishì|to be alive; to be livingNuances:A formal term emphasizing current existence, often used in contrasts with "去世" (deceased).Example Sentences:老人至今在世，已近百岁高龄。(The elderly person is still alive, nearly a 
西施|Xīshī|NOUN 1&#9;name of a famous beauty of the late Spring and Autumn Period 2&#9;beautiful woman; beauty &#24773;&#20154;&#30524;&#37324;&#20986;&#35199;&#26045; q&#237;ngr&#233;ny&#462;nl&#464;ch&#363; X&
水灵|shuǐling|fresh and juicy; dewy and vibrantNuances:This term describes something brimming with moisture and vitality, often used for fresh produce (e.g., fruits, vegetables) or youthful, radiant complexions. It
红彤彤|hóngtōngtōng|bright red; glowing crimsonNuances:This vivid reduplicative adjective (ABB structure) describes an intense, warm red that seems to radiate light or heat. It often carries positive connotations of vita
可想而知|kěxiǎng'érzhī|IDIOM one can well imagine &#22823;&#23478;&#37117;&#19981;&#24895;&#24847;&#25509;&#36817;&#20182;, &#20182;&#30340;&#20026;&#20154;&#21487;&#24819;&#32780;&#30693;&#12290; D&#224;ji&#257; d&#333;u b
踩空|cǎikōng|VERB miss one's step; make a misstep &#20182;&#19979;&#27004;&#26799;&#26102;&#19968;&#33050;&#36367;&#31354;&#12290; t&#257; xi&#224; l&#243;ut&#299; sh&#237; y&#299; ji&#462;o t&#224;k&#333;ng. He m
气量|qìliàng|"tolerance," "magnanimity," "breadth of spirit" (refers to a person's capacity for forgiveness, patience, or open-mindedness).Nuance:Often used to describe someone's ability to handle criticism, setba
续弦|xùxián|to remarry (for a widowed man)Nuances:An archaic term literally meaning "replace a broken string on a instrument", metaphorically for a man taking a second wife after the first wife's death.Example Se
骂骂咧咧|màma-liēliē|COMMON PHRASE intersperse one's speech with expletives; foul-mouthed; grumble and swear (&#21671;&#21671; lie1lie1)
抠搜|kōusou|Stingy; petty; overly frugal.Nuance: 抠搜 is a colloquial and somewhat regional term (commonly heard in Northern China, especially Beijing dialect) that describes someone who is excessively thrifty to t
前所未有|qiánsuǒwèiyǒu|IDIOM never existed before; hitherto unknown; unprecedented &#21069;&#25152;&#26410;&#26377;&#30340;&#30427;&#20917; Qi&#225;nsu&#466;w&#232;iy&#466;u de sh&#232;ngku&#224;ng unprecedentedly grand occ
通天|tōngtiān|reaching the sky; extremely high or powerful; having direct access to the highest authorityNuances:This term can describe something literally towering (e.g., a skyscraper) or metaphorically immense (e
兴许|xīngxǔ|perhaps; maybeNuances:A colloquial and slightly tentative way to express possibility, softer than "可能" and more conversational than "或许".Example Sentences:你兴许是对的，但我还需要再想想。(You might be right, but I ne
囫囵|húlún|Whole; entire; not broken into parts.Nuance: 囫囵 is a literary term that emphasizes something being taken in or kept as a whole, without analysis or division. It often appears in set expressions such a
棺材|guāncai|NOUN coffin; casket
卑微|bēiwēi|"humble," "lowly," "meek," "insignificant"Nuance: 卑微 describes a low social status, position, or sense of self, often carrying a slightly negative or self-deprecating tone. It can refer to someone’s h
下九流|xiàjiǔliú|the lower classes (of traditional society); people of disreputable occupationsNuances:This historical term refers to the lowest social strata in feudal China, including occupations considered "undigni
瞧见|qiáo//jian|To catch sight of; to see.Nuance: 瞧见 is a colloquial expression meaning “to see” or “to notice.” Compared to 看见, which is more neutral and common, 瞧见 feels more casual and often used in spoken languag
掏钱|tāoqián|1&#9;to pay 2&#9;to spend money 3&#9;to fork out
冲杀|chōngshā|To charge and kill; to fight by rushing forward aggressively.Nuance: 冲杀 is a vivid term that conveys the image of rushing headlong into battle, breaking through enemy lines, and engaging in fierce com
铜板|tóngbǎn|copper coin; (modern) small changeNuances:This term originally referred to traditional Chinese copper coins with a square hole, used as currency for centuries. In modern usage, it colloquially signifi
屯|tún|to stockpile; to hoard; military settlementNuances:This character can mean gathering and storing resources (often in large quantities) or refer to a garrison or village. In modern usage, it often impl
他妈的|tāmāde|COMMON PHRASE VULGAR damn it; blast it; to hell with it &#20182;&#22920;&#30340;&#65281;&#21448;&#19979;&#38632;&#20102;&#65281; T&#257;m&#257; de! Y&#242;u xi&#224;y&#468; le! Damn it! It&#8217;s rai
妇孺|fùrú|Women and childrenNuance妇孺 is a formal or literary expression referring collectively to women and children, often used to highlight groups considered vulnerable, non-combatant, or in need of protectio
清高|qīnggāo|Lofty and aloof; noble-minded; proud of one’s integrity.Nuance: 清高 is often used to describe someone who values moral purity, integrity, or spiritual pursuits over material gain or worldly success. It
咬牙切齿|yǎoyá-qièchǐ|Gnashing one’s teeth; to grind one’s teeth in anger; to be furious.Nuance: 咬牙切齿 literally describes the physical act of clenching and grinding one’s teeth, often out of extreme anger or hatred. In usa
荣华富贵|rónghuá-fùguì|Wealth and honor; prosperity and high social status.Nuance荣华富贵 is a classic four-character idiom that represents the ultimate worldly success in traditional Chinese culture. 荣华 refers to glory, splend
没命|méi//mìng|to lose one’s life; to die // to act desperately or recklesslyNuances:Has two distinct meanings: 1) literal death; 2) exaggerated emphasis on frantic effort or extreme behavior.Example Sentences:再超速开车
行尸走肉|xíngshī-zǒuròu|"Walking corpse" or "a person who is physically alive but spiritually/emotionally dead" (similar to the English idiom "walking dead").Nuances:This term often carries a negative connotation, describing
没理|méilǐ|Unreasonable; Without Justification; At FaultNuanceThe phrase 没理 literally means “without reason,” and it is commonly used in everyday speech to describe someone’s stance, behavior, or argument as lac
讽|fěng|VERB 1&#9;satirize; mock &#35773;&#22066; f&#283;ngch&#225;o sneer at; taunt 2&#9;LITERARY chant; intone
提溜|tíliu|to lift; to carry by the handle; to drag alongNuance:提溜&nbsp;is a colloquial term describing the action of lifting or carrying something—usually by a handle, strap, or rope—or dragging it along with a
砍价|kǎn//jià|VERB COLLOQUIAL bargain; haggle over the price; chaffer &#19968;&#20010;&#21170;&#20799;&#22320;&#36319;&#21334;&#20027;&#30733;&#20215; Y&#299;g&#232;j&#236;nr de g&#275;n m&#224;izh&#468; k&#462;nji
处世|chǔshì|To Conduct Oneself in Society / The Art of Social InteractionNuance处世 is a concept deeply rooted in Chinese philosophy and social wisdom. It refers to the principles, attitudes, and methods one employ
臭美|chòuměi|to be vain; to show off one's appearance; to act conceitedNuances:"臭美" is a colloquial and slightly teasing term used to describe someone who is overly proud of their looks or achievements, often with
动嘴|dòng//zuǐ|to talk without acting; to pay lip serviceNuances:Colloquial criticism for those who only speak (e.g., promise, criticize) but avoid tangible action.Example Sentences:他光动嘴不干活，同事都很不满。(He only talks and
老天|lǎotiān|NOUN COLLOQUIAL God; Heaven &#32769;&#22825;&#26377;&#30524;&#12290; l&#462;oti&#257;n y&#466;u y&#462;n. Heaven has eyes.&#8212;There is divine justice after all. &#32769;&#22825;&#19981;&#36127;&#29
心慌|xīn//huāng|ADJECTIVE be flustered; be nervous; get alarmed &#25105;&#32771;&#35797;&#30340;&#26102;&#20505;&#26377;&#28857;&#20799;&#24515;&#24908;&#12290; w&#466; k&#462;osh&#236; de sh&#237;hou y&#466;udi&#462
详解|xiángjiě|1&#9;to explain in detail 2&#9;detailed answer 3&#9;full solution (to a math problem)
细嚼慢咽|xìjiáo-mànyàn|IDIOM chew carefully and swallow slowly; chew well before swallowing; eat slowly
宵禁|xiāojìn|Curfew; a restriction on being outdoors during certain night hours.Nuance: 宵禁 refers to a legally or officially imposed restriction that requires people to stay indoors during specified nighttime hour
劫道|jié//dào|To rob on the road; to waylayNuance:劫道 is a colloquial term that refers to highway robbery or banditry, where criminals ambush travelers on roads to steal their belongings. It carries a historical or 
警备|jǐngbèi|"to be on guard; to be vigilant; security preparedness"Nuances:This term is often used in military, public security, or organizational contexts, referring to defensive readiness against potential thre
镖师|biāoshī|armed escort; caravan guard (historical)Nuances:This term refers to skilled martial artists in imperial China hired to protect valuable goods, money, or people during transportation across dangerous r
准信|zhǔnxìn|definite answer; confirmed informationNuances:Colloquial term for reliable or final information, especially after uncertainty or delay.Example Sentences:项目能否批准，下周会给准信。(We’ll get a definite answer next
闷葫芦|mènhúlu|a taciturn person; someone who keeps to themselves and rarely speaksNuances:Literally means "a stuffy gourd," humorously comparing a quiet person to a sealed container.Describes someone who is habitua
骑虎难下|qíhǔ-nánxià|IDIOM He who rides a tiger is afraid to dismount. or If you ride a tiger it is hard to dismount.&#8212;irrevocably but unwillingly committed; unable to extricate oneself from a difficult situation; in
狗屁|gǒupì|NOUN VULGAR crap; rubbish; nonsense &#20182;&#35828;&#30340;&#20840;&#26159;&#29399;&#23617;&#12290; T&#257; shu&#333; de qu&#225;n sh&#236; g&#466;up&#236;. What he said is sheer nonsense.
抽搐|chōuchù|to twitch; to convulse; spasmNuances:This term describes involuntary, rapid muscle contractions, which can range from minor twitches (e.g., eyelid) to severe medical convulsions (e.g., epilepsy). It o
自相残杀|zìxiāng-cánshā|to kill each other; internal mutual destructionNuances:Describes fatal conflict within a group (family, team, species), emphasizing tragic absurdity and collective loss.Example Sentences:历史上许多王朝因内斗自相残
难辞其咎|náncíqíjiù|Hard to escape blame; cannot be absolved of responsibility.Nuance: 难辞其咎 is a formal or literary expression used to indicate that someone is clearly at fault and cannot avoid responsibility or criticis
一厢情愿|yīxiāng-qíngyuàn|wishful thinking; one-sided desireNuances:Describes a person insisting on unrealistic hopes or assuming mutual interest where none exists. Often implies self-deception.Example Sentences:爱情是双方的事，不能一厢情愿
不依不饶|bùyī-bùráo|Relentless; not letting go; persisting in pursuing or criticizing.Nuance: 不依不饶 describes a behavior in which someone refuses to yield, give up, or forgive, often in disputes, complaints, or criticisms
殊死|shūsǐ|life-and-death; desperate; mortal (struggle)Nuances:This term describes an all-out, no-retreat conflict where survival or total defeat is at stake. It implies a primal intensity beyond ordinary effort
郑重其事|zhèngzhòng-qíshì|To take something seriously; to act in a solemn and earnest manner.Nuance: 郑重其事 literally means “serious and solemn about the matter.” It describes a careful, respectful, and highly attentive attitude
起头|qǐ//tóu|to start; to initiate; the beginningNuances:This colloquial term refers to the act of commencing something or the initial stage of an activity. It emphasizes the origin point and often implies respons
蒙汗药|ménghànyào|Knockout drug; sedative potion (often with a shady or fictional flavor).Nuance蒙汗药 is a term that originates from traditional Chinese martial arts stories and folklore, where it refers to a drugged pot
唯利是图|wéilì-shìtú|to pursue nothing but profit; profit-obsessedNuances:This idiom criticizes individuals or entities that prioritize financial gain above all else, often at the expense of ethics, relationships, or soci
撼动|hàndòng|To shake; to rock; to shake up (literally or figuratively).Nuance: 撼动 carries the sense of causing a strong impact, either physically (as in shaking a structure) or metaphorically (as in deeply affect
零碎|língsuì|fragmentary; scattered; bits and piecesNuances:This term describes things that are small, incomplete, or disorganized, often referring to physical items, time, or information. It implies a lack of coh
继而|jì'ér|ADVERB then; afterwards
酥麻|sūmá|tingling; numb and slightly euphoric (physical or emotional)Nuances:Describes a pleasant somatic sensation (e.g., from touch, sound) or light numbness. Often implies addictive comfort.Example Sentence
料事如神|liàoshì-rúshén|IDIOM predict like a prophet; foretell with miraculous accuracy
执拗|zhíniù|"stubborn," "obstinately persistent" (describes someone who refuses to change their mind or behavior despite reason or persuasion).Nuance:This term carries a negative tone, implying irrational or infl
迫不得已|pòbùdéyǐ|To have no choice but to; to be forced into (an action against one's will).Nuances:"迫不得已" emphasizes acting under external pressure or desperation, implying reluctance and lack of alternatives. It oft
冰窖|bīngjiào|NOUN ice house; cold storage; freezer locker
侠|xiá|NOUN one adept in martial arts and given to chivalrous conduct; knight-errant; swashbuckler ADJECTIVE having a strong sense of justice and gallantry; chivalrous; quixotic
咂嘴|zā//zuǐ|to click one's tongue; to make a sucking sound with the lipsNuances:This term describes the action of producing a sharp sound by sucking air through slightly parted lips, often to express emotion—such
屈膝|qūxī|to bend the knee; to kneel (literally or metaphorically)Nuances:This term literally describes the physical act of kneeling, but metaphorically signifies submission, surrender, or pleading. It implies 
稳住|wěn//zhù|to stabilize; to hold steady; to keep calmNuances:This term conveys the idea of maintaining stability, composure, or control in a situation, whether physically (like balancing an object) or emotionall
钳制|qiánzhì|"to clamp down on," "to restrict," or "to suppress" (often implies forceful control or containment).Nuance:This term suggests a deliberate, sometimes oppressive, act of limiting or restraining—whether
果决|guǒjué|Decisive; resolute; firm and determinedNuance:果决 describes the quality of being able to make decisions quickly and firmly, without hesitation or wavering. It combines the idea of "decisiveness" with a
睚眦必报|yázì-bìbào|"to seek revenge for the slightest grievance; to retaliate over every insult"Nuance:睚眦必报 is a literary idiom used to describe a person who is extremely vindictive, refusing to forgive even minor offen
想通|xiǎng//tōng|to figure out; to come to understand; to resolve in one's mindNuances:"想通" implies a mental breakthrough after struggling with confusion, hesitation, or distress. It often carries a sense of relief or
万万|wànwàn|absolutely; by no means (used for strong negation or emphasis)Nuances:This term is used to express absolute certainty in negative contexts (similar to "on no account" or "definitely not") or to emphas
消气|xiāo//qì|To calm down; to let go of anger; to cool off.Nuance: 消气 literally means “to dispel anger” and is often used in interpersonal contexts where someone is trying to soothe or pacify an upset person. It c
祖宗|zǔzong|ancestors; forebearsNuances:This term refers to lineage predecessors, often with reverence or exasperation. It can be used seriously in ritual contexts (e.g., worship) or humorously as an exclamation 
私定终身|sīdìngzhōngshēn|To pledge to marry each other without one's parents' consent / To commit to a lifelong union privatelyNuance私定终身 carries a strong connotation of romance, rebellion, and secrecy. It specifically refers
单薄|dānbó|"thin/flimsy (material)," "frail (physique)," "weak (argument/evidence)" (describes lack of substance, strength, or robustness).Nuance:Multifaceted term—can literally describe scant clothing or figura
罪责|zuìzé|Guilt; blame; responsibility for an offenseNuance:罪责 is a formal term that combines 罪 (crime, guilt) and 责 (responsibility). It refers to both the fact of having committed a wrongful act and the moral
站不住脚|zhànbuzhùjiǎo|Unfounded / Unjustifiable / Cannot Stand UpNuance站不住脚 is an idiom used to describe an argument, theory, excuse, or claim that is weak, illogical, lacking in evidence, and therefore cannot be defended 
皱眉|zhòuméi|To frown, to knit one’s browsNuance皱眉 literally means to wrinkle the brows. It often indicates displeasure, doubt, worry, or concentration. Depending on the context, it may suggest annoyance, disappro
挑拣|tiāo//jiǎn|"to pick over," "to select carefully," "to sort through"Nuance: 挑拣 refers to the action of carefully choosing or sorting items, often to separate the good from the bad or to select the best. It emphas
兼具|jiānjù|1&#9;to combine 2&#9;to have both
沦落|lúnluò|to fall into (a wretched state); to be reduced to; to degenerateNuances:This term describes a decline from a better to a worse condition, often implying a loss of status, dignity, or moral standing. I
粪池|fènchí|NOUN manure pit
商议|shāngyì|VERB confer; discuss; consult &#26377;&#24453;&#21830;&#35758; y&#466;ud&#224;i sh&#257;ngy&#236; has yet to be discussed
贼眉鼠眼|zéiméi-shǔyǎn|"shifty-eyed," "sneaky-looking" (describes someone with suspicious, furtive expressions resembling a thief or rodent).Nuance:A vivid insult implying untrustworthiness—often used for people who glance 
做掉|zuòdiào|To eliminate; to take out (someone, often in a covert or violent manner).Nuances:"做掉" is a colloquial and often underworld/gangster term meaning to kill or remove someone, typically used in contexts o
展平|zhǎnpíng|To Flatten / To Spread Out / To SmoothNuance展平 is a verb that refers to the action of making something flat or smooth, often by unfolding, spreading out, or removing wrinkles. It implies a deliberate 
