佩服|pèifú|To admire
家伙|jiāhuo|Guy / Fellow
强度|qiángdù|Intensity
咬|yǎo|To bite
鲨鱼|shāyú|Shark
特此|tècǐ|Hereby (we hereby declare...)
展出|zhǎnchū|Put on display / be on show / exhibit
工会|gōnghuì|Trade union / Labour union
田野|tiányě|Field / Open country
昏迷|hūnmí|To lose consciousness / To be in a coma
陷入|xiànrù|To slip into / get caught up in
仿佛|fǎngfú|As if / As though / Seem
回忆|huíyì|Recollect / Recall
容貌|róngmào|Ones appearance / looks / features
斗争|dòuzhēng|Struggle (with) / fight / battle
预算|yùsuàn|Budget
领袖|lǐngxiù|Leader
具备|jùbèi|Possess / Have / Be equipped with / be able to fulfill (conditions or requirements)
天然|tiànrán|Natural
打倒|dǎdǎo|Beat down / Flatten
问候|wènhòu|Send ones regards to / send a greeting
当年|dāngnián|In those years
中药|zhōngyào|Chinese medicine
活泼|huópo|Lively / Active
不要紧|bùyàojǐn|Unimportant / Not serious
心脏|xīnzàng|Heart
卫星|wèixīng|Space satellite
无数|wúshù|Innumerable / Countless
大胆|dàdǎn|Daring / Bold
熟练|shúliàn|Skilled / Practiced / Proficient
突击|tūjī|Make a sudden attack / &nbsp;Assault
测验|cèyàn|Test / Examination
吩咐|fēnfù|To tell / To instruct / To command
流星|liúxīng|Shooting star!
舒适|shūshi|Cosy / Snug
歪|wāi|Askewed / Crooked / Awry
放大|fàngdà|To enlarge / Amplify
郊区|jiāoqū|Suburbs
依靠|yīkào|Rely on / Depend on
老是|lǎoshi|Always
人造|rénzào|Man-made / Artificial
离婚|líhūn|Divorce
不久前|bù jiǔ qián|Not long ago
答应|dāying|Reply / Promise
保卫|bǎowèi|Defend / Safeguard
婚姻|hūnyīn|Marriage
业余|yèyú|Amateur / Not professional / Spare time
叶子|yèzi|Leaf
悲痛|bēitòng|Grieved / Sorrowful
猴子|hóuzi|Monkey
联欢会|liánhuānhuì|Social get together / Evening party
失业|shīyè|Lose ones job / Unemployment
周到|zhōudào|Thoughtful / Considerate
痛苦|tòngkǔ|Pain / Suffering / Painful
灵活|línghuó|Flexible / Agile
木头|mùtou|Wood / Timber
种子|zhǒngzi|Seed
脑子|nǎozi|Brain
乐观|lèguān|Optimistic / Hopeful
仪器|yíqì|(scientific, etc) Instrument / Apparatus
鼓掌|gǔzhǎng|To applaud
蛇|shé|Snake
囚犯|qiúfàn|Prisoner / Convict
亲自|qīnzi|Personally
欢送|huānsòng|To send off / To see off
刻苦|kèkǔ|Assiduous; hardworking; diligent (especially in study or practice); to endure hardship in pursuit of a goal.Nuance刻苦 is an adjective that describes a person who applies themselves with sustained effor
朴素|pǔsù|Plain and simple / Unadorned / Not frivolous
条约|tiáoyuē|Treaty / Pact
黄油|huángyóu|Butter
之一|zhīyī|Means "one of"
汽水|qìshuǐ|Soda / Pop
捡|jiǎn|To pick up (something)
迫切|pòqiè|Urgent / Pressing
雾|wù|Fog
虫子|chóngzi|Insect / Worm
叮咬|dīngyǎo|Sting / Bite (of an insect)
尾巴|wěiba|Tail
平原|píngyuán|Plain / Field
压迫|yāpò|To oppress / repress
电风扇|diànfēngshàn|Electric fan
插头|chātóu|Plug
插座|chāzuò|Socket / Outlet
语气|yǔqì|Tone / Manner of speaking / Mood
据说|jùshuō|It is sad / They say / Allegedly
一身汗|yī shēn hàn|Sweating all over
口号|kǒuhào|Slogan / Catchphrase
胡子|húzi|Beard / Moustache
竞赛|jìngsài|Race / Contest / Competition
翅膀|chìbǎng|Wing (of a bird)
塑料|sùliào|Plastics
海绵|hǎimián|Sponge
舌头|shétou|Tongue
陷|xiàn|To get stuck / pitfall / trap / to sink
金枪鱼|jīnqiāngyú|Tuna
割|gē|Cut off
割草|gēcǎo|To mow grass
有利|yǒulì|Advantageous / Beneficial
判决|pànjué|Judgement (by a court of law)
情势|qíngshì|Situation / Circumstance
分明|fēnmíng|Very clearly (demarcated)
香肠|xiāngcháng|Sausage
煎|jiān|To pan fry
树林|shùlín|Woods / Grove / Forest
乐园|lèyuán|Paradise
猎人|lièrén|Hunter
傍晚|bàngwǎn|In the evening / When night falls / At dusk
重复|chóngfù|to repeat / to duplicate
用不着|yòng bu zháo|Have no use for / Not need
电视台|diànshìtái|Television station
埋|mái|To bury
违反|wéifǎn|To violate / run counter to (law, rules etc)
临时|línshí|Temporary
公路|gōnglù|Highway / Freeway
预备|yùbèi|Get ready / Prepare / Reserve
糟糕|zāogāo|Too bad / How terrible / What bad luck
错过|cuòguò|To miss (train, opportunity etc)
天真|tiānzhen|Naive / Innocent
嘲笑|cháoxiào|To jeer at / To ridicule / mock
嘲弄|cháonòng|To tease / to make fun of
题目|tímù|Title / Subject
冻|dòng|Freeze
诗|shī|Poem
收获|shōuhuò|Gain / Harvest
