加法|jiāfǎ|Addition +
服用|fúyòng|To take (medicine)
药片|yàopiàn|A (medicine) pill or tablet
字里行间|zìlǐhángjiān|Reading between the words and the lines
先决条件|xiānjuétiáojiàn|Precondition / Prerequisite
古典|gǔdiǎn|Classical
引人注目|yǐnrénzhùmù|To attract attention / eye-catching
调情|tiáoqíng|To flirt
磨擦|mócā|Friction / Rubbing / Chafing
不住|bùzhù|Repeatedly / Continuously / Constantly
行医|xíngyī|To practice medicine
谈恋爱|tánliànài|To court / To go steady / To be dating
切断|qiēduàn|To cut off (a supply etc)
附加|fùjiā|Additional
福利|fùlì|(material) welfare / well-being
建筑师|jiànzhùshī|Architect
下定决心|xiàdìngjuéxīn|To make a firm resolution
