耳环|ěrhuán|Earrings
肌肉|jīròu|Muscle
练肌肉|liàn jīròu|To train / grow muscle
等到。。||Wait until ..
我听不清楚|wǒ tīng bù qīngchǔ|I can't hear clearly
老朋友|lǎo péngyou|Old friends
老同学|lǎo tōngxué|Old classmates
爬山|páshān|Climb a mountain / hiking
我没赶上车|wǒ méi gǎnshàng chē|I missed the bus / train
游戏|yóuxì|A game
感动|gǎndòng|To be touched / moved
酒量|jiǔliàng|Ones capacity to drink
几乎每天都|jīhū měi tiān dōu|Almost every day
每三个月|měi sān ge yuè|Every 3 months
污染|wūrǎn|Pollution
要不然|yàobùrán|Otherwise
互相|hù xiāng|Each other
感觉很好|gǎnjué hěn hǎo|Feels good!
表达|biǎodá|To express
至少|zhìshǎo|At least
过生活||To live a way of life
想念|xiǎngniàn|To miss (something, someone, somewhere)
看起来不象||Doesn't look like
听起来不象||Doesn't sound like
气候|qìhòu|Climate
锻炼|duànliàn|Exercise / physical training
北方|běifāng|Northern part of country
南方|nánfāng|Southern part of the country
寒冷|hánlěng|Really cold!
突然|tūrán|Suddenly
泰国|tàiguó|Thailand
听 X 说||I heard from X
舒服|shūfu|Comfortable
考虑|kǎolǜ|To consider / think about
租|zū|To rent (a room, car etc)
租金|zūjīn|Rent money
书房|shūfáng|Study room
商量|shāngliang|To discuss / talk over
传统|chuántǒng|Traditional
举重|jǔzhòng|Weight lifting
外地|wàidì|Other places
教堂|jiàotáng|Church
新年快乐！|xīnnián kuàilè|Happy new year!
没错儿！|méi cuò r|Exactly!
迎接|yíngjiē|To meet / welcome&nbsp;
热闹|rènao|Lively (place, time)
没想到|máixiǎngdào|Unexpectedly
丰富|fēngfù|Rich / Abundant
营业员|yíngyèyuán|Shop assistant
挣钱|zhèngqián|To make money
排队|páiduì|Queue up
账户|zhànghù|Account (bank account etc)
手套|shǒutào|Gloves
后来|hòulái|Afterwards
只好|zhǐhǎo|Have to / Have no choice but
棉衣|miányī|Cotton padded clothes
抱歉|bàoqiàn|Sorry!
保证|bǎozhèng|Guarantee!
袜子|wàzi|Socks
靴子|xuēzi|Boots
腰带|yāodài|A belt
围巾|wéijīn|Scalf
裤子|kùzi|Trousers
牛仔裤|niúzǎikù|Jeans
衬衫|chènshān|Shirt
裙子|qúnzǐ|A dress
西服|xīfú|Business suit
羽绒服|yǔróngfú|Thick winter coat
毛衣|máoyī|Wooly sweater
调酒师|tiáojiǔshī|Barman
歌唱家|gēchàngjiā|A singer
舞蹈家|wǔdǎojiā|A dancer
科学家|kēxuéjiā|A scientist
音乐家|yīnyuèjiā|A musician
最多|zuì duō|At most
网站|wǎngzhàn|A website
下载|xiàzǎi|Download
农民|nóngmín|Peasant / Peasantry
软件|ruǎnjiàn|Software
加强|jiāqiáng|To strengthen / to enhance / to reinforce
竞争|jìngzhēng|To compete / Competition
层|céng|Counter for floors (and layers)
治疗|zhìliáo|To treat / To cure / treatment / cure
真正|zhēnzhèng|True / Real / Genuine
分别|fēnbié|To part / To leave / To distinguish / respectively / difference
优势|yōushì|Superiority / Advantage
材料|cáiliào|Material / Stuff / Ingredients
安排|ānpái|Arrangement / Plan
具体|jùtǐ|Concrete / Specific / Particular
持续|chíxù|To continue / To persist
大型|dàxíng|Large size / Large
告别|gàobié|A farewall
欣赏|xīnshǎng|To appreciate (artwork, a good film)
犹豫|yóuyù|To hesitate
走廊|zǒuláng|Corridor
更衣柜|gèngyīguì|a Locker
游泳池|yóuyǒngchí|Swimming pool
前男友|qián nányǒu|Ex boyfriend
前女友|qián nǚyǒu|Ex girlfriend
方向感|fāngxiànggǎn|Sense of direction
难找|nánzhǎo|Difficult to find
性格|xìnggé|Personality
卧室|wòshì|Bedroom
不那么难||Not so difficult
拿回来|ná huìlái|To take something back
平米|píngmǐ|Square metres
蛋白质|dànbáizhì|Protein
饮食|yǐnshí|Ones diet
饮食习惯|yǐnshí xíguàn|Diet habits / what someone usually eats
重要的是|zhòngyào de shì|The important thing is
必要|bìyào|Necessary
卡路里|kǎlùlǐ|Calorie
舞蹈|wǔdǎo|Dance (classes etc)
任何人|rènhérén|Anyone
伤害|shānghài|To hurt someone (emotionally, say)
发明|fāmíng|Invention / To invent
删|shān|To delete
浪费|làngfèi|To waste (energy, time)
宿舍|sùshè|Dormitory / Living quarters
电视剧|diànshìjù|TV series
片子|piānzi|Film / TV show
恐怖片|kǒngbùpiān|Horror films
喜剧片|xǐjùpiān|Comedy films
难学|nánxué|Difficult to study
好学|hǎoxué|Easy to study
对比|duìbǐ|To compare
长城|chángchéng|The great wall of China
感觉象是|gǎnjué xiàng shi|Feels like
称体重|chēng tǐzhòng|To weigh your body weight
轻|qīng|Light (opposite of heavy)
吸毒|xīdú|Smoke drugs
在路上|zài lù shàng|On the way
理解错了|lǐjié cuòle|Misunderstood
我走错了|wǒ zǒu cuò le|I went to the wrong place
