口袋|kǒudai|Pocket (coat?)
首付|shǒufù|Down payment
看不过去|kàn bu guò qu|Unable to put up with it any longer / Cannot stand by idly and watch
亏本|kuīběn|To make a loss
怀孕|huáiyùn|Pregnant
产期|chǎnqī|Time of birth / Period of labor
车费|chēfèi|Passenger fare
受够|shòugòu|To have had enough of / To be fed up with
活该|huógāi|Serve somebody right / Deservedly / Ought / Should
惩罚|chéngfá|Penalty / Punishment
小区|xiǎoqū|Neighborhood / District
要不得|yàobude|Unacceptable / Intolerable
叹|tàn|To sigh / To gasp
无常|wúcháng|Variable / Changeable / Fickle
恋人|liànrén|Lover / Sweetheart
雀斑|quèbān|Freckles
平淡|píngdàn|Flat / Dull / Ordinary / Nothing special
别扭|bièniu|Awkward / Difficult / Uncomfortable
被动|bèidòng|Passive
气质|qìzhì|Temperament / Personality traits / Manners
扯淡|chědàn|To talk nonsense
隐秘|yǐnmì|Secret / Hidden
假装|jiǎzhuāng|To feign / To pretend
婊子|biǎozi|Prostitute / Whore
为此|wèicǐ|For this reason / In order to do this / To this end
在乎|zàihu|Determined by / To care about / To mind
难为情|nánwéiqíng|Embarrassed
入眠|rùmián|To fall asleep
整夜|zhěngyè|The whole night / All through the night
真诚|zhēnchéng|True / Sincere / Genuine
家世|jiāshì|Family background
自责|zìzé|To blame oneself
临时工|línshígōng|Temporary work / Day laborer
脸颊|liǎnjiá|Cheek
病假|bìngjià|Sick leave
初中|chūzhōng|Junior high school
遭遇|zāoyù|Bitter experience / To encounter / To meet with unfortunately
淡淡|dàndàn|Dull / Insipid / Unenthusiastic / Indifferent
分居|fēnjū|To separate (married couple) / To live apart
全然|quánrán|Completely
荒唐|huāngtáng|Absurd; ridiculous; outrageous; preposterous Nuance “荒唐” describes something irrational, unbelievable, or beyond the bounds of common sense or morality. It can apply to behavior, ideas, or situations 
意想不到|yì xiǎng bù dào|Unexpected / Previously unimagined
分开|fēnkāi|To separate / To part
毕竟|bìjìng|After all / All in all / When all is said and done / In the final analysis
心灵上|xīnlíngshàng|Spiritual
一生一世|yī shēng yī shì|A Whole Lifetime / For the Rest of One's LifeNuance一生一世 is an idiom that emphasizes the entirety and permanence of a time span—from birth to death, or from the present until the end of one's life. It 
陪同|péitóng|To accompany
爱上|àishàng|To fall in love with / To be in love with
悲伤|bēishāng|Sad / Sorrowful
聚会|jùhuì|Party / Gathering / to get together
重逢|chóngféng|To meet again / To be reunited
场景|chǎngjǐng|Scene / Scenario / Setting
畅想|chàngxiǎng|To think freely / Unfettered imagination
已婚|yǐhūn|Married
微薄|wēibó|Micro-blogging / Microblog
长大|zhǎngdà|To grow up
歌曲|gēqǔ|Song
伤疤|shāngbā|Scar / Remnant of former damage
平常|píngcháng|Ordinary / Common / Usually / Ordinarily
暧昧|àimèi|Vague / Ambigious / Dubious
基层|jīcéng|Base level / Grass roots unit
长相|zhǎngxiàng|Appearance / Looks / Profile
智商|zhìshāng|IQ (Intelligence quotient)
失误|shīwù|Lapse / A mistake / Fault (volleyball, tennis etc)
发火|fāhuǒ|To get angry / To catch fire / To ignite
无视|wúshì|To ignore / To disregard
绅士|shēnshi|Gentleman
拯救|zhěngjiù|To save / To rescue
翻看|fānkàn|To browse / To look over (ie books)
伤口|shāngkǒu|Wound / Cut
近几年|jìn jǐ nián|In recent years
半死|bànsǐ|Half dead
副作用|fùzuòyòng|Side effect
重新开始|chóngxīn kāishǐ|To resume / To restart / To start afresh
专一|zhuānyī|Single minded / Concentrated
逃避|táobì|To escape / To avoid / To evade
说起|shuōqǐ|To mention / To bring up (a subject)&nbsp;
迷茫|mímáng|confused; lost; at a lossNuances:Describes a state of mental uncertainty, often about one’s future, direction, or purpose.Example Sentences:大学毕业时，他对前途感到十分迷茫。(Upon graduating, he felt deeply uncertain 
潦草|liáocǎo|Careless / Slovenly (writing)
刑警|xíngjǐng|Criminal police
轻易|qīngyì|Easily / Lightly
十分之一|shí fēn zhī yī|One tenth
背叛|bèipàn|To betray
搬出去|bānchūqù|To move out of (ones home)
显得|xiǎnde|To seem / To look / To appear
久而久之|jiǔ ér jiǔ zhī|Over time / As time passes / In the fullness of time
一心|yīxīn|Wholeheartedly / Heart and soul
抑郁|yìyù|Depressed / Despondent / Gloomy
倾向|qīngxiàng|Trend / Tendency
并不|bìngbù|Not at all / Emphatically not
开销|kāixiāo|Expenses
抚养|fǔyǎng|To foster / To raise / To bring up (kids etc)
抚养权|fǔyǎngquán|Custody (of a child etc)
记忆力|jìyìlì|Ability to remember / Faculty of memory
下达|xiàdá|To transmit down (chain of command) / To pass down / To issue
病情|bìngqíng|State of an illness / Patients condition
因果|yīnguǒ|Karma / Cause and effect
出轨|chūguǐ|To leave the rails / to overstep bounds / also to have an affair!
口头|kǒutóu|Oral / Verbal
小三|xiǎosān|The other woman / The other man / someone romantically involved with someone already in a committed relationship
断绝|duànjué|To sever / To break off
写下|xiěxià|To write down
再犯|zàifàn|To repeat a crime / Persistent offender
探视权|tànshìquán|Visitation rights
委屈|wěiqu|To feel wronger / Grievance
