相继|xiāngjì|ADVERB in succession; one after another &#20195;&#34920;&#20204;&#30456;&#32487;&#21457;&#35328;&#12290; D&#224;ibi&#462;o men xi&#257;ngj&#236; f&#257;y&#225;n. The delegates spoke one after another.
够格|gòu//gé|to be qualified; to meet the standardNuances:This colloquial term assesses whether someone or something possesses the necessary qualities, skills, or status to be considered acceptable or worthy. It i
相克|xiāngkè|VERB 1&#9;CHINESE MEDICINE mutually destructive; clash; inhibit; (the five elements) have a mutually inhibiting or checking effect 2&#9;COLLOQUIAL ASTROLOGY have ill-matched horoscopes &#20182;&#29238
明知|míngzhī|VERB know perfectly well; be fully aware &#20320;&#26126;&#30693;&#20182;&#19981;&#24895;&#24847;&#21442;&#21152;, &#20026;&#20160;&#20040;&#36824;&#35201;&#21193;&#24378;&#20182;&#65311; N&#464; m&#2
认证|rènzhèng|certification; to authenticate; to verifyNuances:This term refers to the official recognition of compliance with standards (e.g., products, skills) or the process of confirming authenticity (e.g., ide
恍惚|huǎnghu|"Absent-minded; in a daze; trance-like" (a state of mental distraction or semi-consciousness).Nuances:恍惚 (huǎng hū) describes being lost in thought, disoriented, or dreamy, often due to exhaustion, sh
共度|gòngdù|VERB spend (time, holiday, etc.) together &#20849;&#24230;&#20339;&#33410; g&#242;ngd&#249; ji&#257;ji&#233; celebrate a festival together
悠闲|yōuxián|ADJECTIVE leisurely and carefree &#24736;&#38386;&#33258;&#22312; y&#333;uxi&#225;nz&#236;z&#224;i leisurely and carefree
遗骨|yígǔ|Remains; skeletal remains (of the deceased).Nuance遗骨 is a formal and respectful noun that refers to the bones or skeletal remains of a deceased person. It is used in contexts of burial, exhumation, ar
瞻仰|zhānyǎng|To look at with reverence; to pay respects to (the deceased)Nuance:瞻仰 is a formal and deeply respectful verb meaning to gaze upon something or someone with utmost reverence and esteem. It is not used 
结晶|jiéjīng|VERB (-//-) crystallize NOUN 1&#9;crystal &#30416;&#32467;&#26230; Y&#225;n ji&#233;j&#299;ng salt crystals 2&#9;FIGURATIVE crystallization &#21171;&#21160;&#30340;&#32467;&#26230; l&#225;od&#242;ng d
显微镜|xiǎnwēijìng|microscope
陨石|yǔnshí|NOUN ASTRONOMY aerolite; stony meteorite
凉爽|liángshuǎng|ADJECTIVE nice and cool; pleasantly cool &#20937;&#29245;&#30340;&#31179;&#22825; Li&#225;ngshu&#462;ng de qi&#363;ti&#257;n pleasantly cool autumn days
截然不同|jiérán-bùtóng|IDIOM completely different; different as black and white; poles apart &#23401;&#23376;&#30340;&#19990;&#30028;&#19982;&#25104;&#20154;&#25130;&#28982;&#19981;&#21516;&#12290; H&#225;izi de sh&#236;ji&
自卖自夸|zìmài-zìkuā|IDIOM extol the goods one sells; indulge in self-glorification; blow one's own trumpet
濒死|bīnsǐ|VERB dying; at death's door
隐瞒|yǐnmán|VERB conceal; hide; hold back; cover up (opp. &#27844;&#38706;) &#38544;&#30610;&#38169;&#35823; Y&#464;nm&#225;n cu&#242;w&#249; conceal one&#8217;s mistakes &#38544;&#30610;&#36523;&#20221; y&#464;n
等级|děngjí|NOUN 1&#9;grade; rank &#26825;&#33457;&#25353;&#31561;&#32423;&#25910;&#36141; mi&#225;nhua &#224;n d&#283;ngj&#237; sh&#333;ug&#242;u pay for cotton according to its grade 2&#9;order and degree; soci
扰乱|rǎoluàn|VERB upset; harass; disturb; create confusion; perturb &#25200;&#20081;&#20891;&#24515; r&#462;olu&#224;n j&#363;nx&#299;n undermine the morale of an army &#25200;&#20081;&#24066;&#22330; r&#462;olu&#
上场|shàng//chǎng|VERB 1&#9;SPORTS enter the court (or field); join in a contest &#20170;&#22825;&#35813;&#35841;&#19978;&#22330;&#65311; J&#299;nti&#257;n g&#257;i shu&#237; sh&#224;ngch&#462;ng&#65311; Who&#8217;s pl
一败涂地|yībài-túdì|to fail completely; to suffer a crushing defeatNuances:Vividly describes utter failure, often in competitions, wars, or ventures, with no room for recovery.Example Sentences:这支球队一败涂地，输了整整十分。(The team 
切磋|qiēcuō|To exchange ideas; to compare notes; to engage in friendly competitionNuance:切磋 is a classical term that originally referred to the polishing of jade and bone—cutting and grinding to refine them. Meta
散落|sǎnluò|To scatter; to be strewn about; to be scattered (in different places).Nuance散落 is a verb that describes objects or people being dispersed, scattered, or distributed loosely across an area. It implies 
池子|chízi|NOUN COLLOQUIAL 1&#9;pond 2&#9;common bathing pool (in a bathhouse) 3&#9;dance floor (in a ballroom) 4&#9;stalls (in a theater); orchestra pit
水洼|shuǐwā|NOUN puddle
犯困|fàn//kùn|VERB feel sleepy; feel drowsy; be half asleep
圆环|yuánhuán|ring; circle; loopNuances:Describes any circular object or structure, from physical rings to abstract cycles.Example Sentences:她戴着一枚银质圆环戒指。(She wears a silver ring on her finger.)这座城市由多条圆环公路组成。(The ci
乘坐|chéngzuò|VERB ride (in a bus, on a train, etc.); take (a bus, train, aeroplane, ship, etc.)
超音波|chāoyīnbō|1&#9;ultrasound 2&#9;ultrasonic wave
剧毒|jùdú|NOUN hypertoxic
外形|wàixíng|NOUN appearance; external form; contour
念力|niànlì|psychokinesis; telekinesis
独吞|dútūn|VERBtake exclusive possession of; monopolizeTo hog, to keep everything for oneself
且慢|qiěmàn|VERB wait a moment; not so soon; not so fast &#19988;&#24930;, &#21548;&#25105;&#25226;&#35805;&#35828;&#23436;&#12290; Qi&#283;m&#224;n, t&#299;ng w&#466; b&#462; hu&#224; shu&#333; w&#225;n. Wait a 
银河|yínhé|NOUN ASTRONOMY Milky Way
绚丽|xuànlì|Gorgeous; dazzlingly beautiful; splendid.Nuance: 绚丽 emphasizes vividness, brilliance, and beauty, often with strong colors or striking visual impact. Compared to 美丽 (“beautiful”) or 华丽 (“magnificent”)
电荷|diànhè|NOUN electric charge; charge &#27491;(&#36127;)&#30005;&#33655; zh&#232;ng(f&#249;)di&#224;nh&#232; positive (negative) charge
传言|chuányán|NOUN hearsay; rumour &#20256;&#35328;&#19981;&#34394;&#12290; chu&#225;ny&#225;n b&#249; x&#363;. It&#8217;s not just hearsay. &#19981;&#21487;&#36731;&#20449;&#20256;&#35328;&#65281; B&#249;k&#283; q
动向|dòngxiàng|NOUN trend; tendency &#29289;&#29702;&#23398;&#26032;&#21160;&#21521; w&#249;l&#464;xu&#233; x&#299;n d&#242;ngxi&#224;ng new trends in physics
要害|yàohài|NOUN 1&#9;vital part; crucial point &#20987;&#20013;&#35201;&#23475; j&#299;zh&#242;ng y&#224;oh&#224;i hit home &#25235;&#20303;&#35201;&#23475; zhu&#257;zh&#249; y&#224;oh&#224;i scratch where it it
铸造|zhùzào|VERB cast; found &#34593;&#27169;&#38136;&#36896; l&#224; m&#243; zh&#249;z&#224;o investment casting; lost wax casting &#26080;&#30722;&#38136;&#36896; w&#250; sh&#257; zh&#249;z&#224;o sandless cast
貌似|màosì|to seem; to appear; to look likeNuances:This term describes a superficial resemblance or impression that may not reflect reality. It often implies skepticism or a need for further verification.Example
俏皮|qiàopi|witty; playful; cheekily charmingNuances:Describes lively, clever humor or lighthearted teasing that is engaging without being offensive.Example Sentences:她说话很俏皮，总能逗笑大家。(She speaks very wittily and al
珍品|zhēnpǐn|NOUN treasure &#33402;&#26415;&#29645;&#21697; y&#236;sh&#249; zh&#275;np&#464;n art treasure
谢绝|xièjué|VERB politely refuse; decline &#35874;&#32477;&#21442;&#35266;&#12290; Xi&#232;ju&#233;c&#257;ngu&#257;n. Not open to visitors.
锃亮|zèngliàng|ADJECTIVE DIALECT shiny
简约|jiǎnyuē|simple and elegant; concise yet refinedNuances:This term describes a deliberate aesthetic or style that achieves sophistication through minimalism, emphasizing functionality without unnecessary embell
限定|xiàndìng|VERB prescribe (or set) a limit to; limit; restrict &#38480;&#23450;&#26102;&#38388;&#23436;&#25104; Xi&#224;nd&#236;ng sh&#237;ji&#257;n w&#225;nch&#233;ng set a time limit for completion &#21442;&#2
越野|yuèyě|VERB travel cross-country &#21513;&#26222;&#36710;&#33021;&#36234;&#37326;&#12290; j&#237;p&#468;ch&#275; n&#233;ng yu&#232;y&#283;. Jeeps can ran across open country.
野性|yěxìng|NOUN wild nature; unruliness &#37326;&#24615;&#38590;&#39535; y&#283;x&#236;ngn&#225;nx&#249;n untamable
信赖|xìnlài|VERB trust; count on; have faith in &#22905;&#26159;&#20010;&#20540;&#24471;&#20449;&#36182;&#30340;&#20154;&#12290; t&#257; sh&#236; ge zh&#237;dex&#236;nl&#224;i de r&#233;n. She&#8217;s a trustwort
小觑|xiǎoqù|VERB despise; look down upon &#21035;&#23567;&#35281;&#23545;&#25163;&#12290; bi&#233; xi&#462;oq&#249; du&#236;sh&#466;u. Don&#8217;t underestimate your opponent.
六神无主|liùshén-wúzhǔ|distraught; panic-stricken (lit. "all six spirits left without a master")Nuances:Vivid idiom describing extreme mental disarray, as if one’s vital energies (六神) are scattered. Stronger than "慌张".Examp
痛扁|tòngbiǎn|to beat (sb) up
灼伤|zhuóshāng|VERB (of fire, acid, etc.) burn
达标|dábiāo|To meet a standard; to reach a benchmark; to pass a qualification.Nuance达标 is a verb that specifically means to reach a pre-defined, objective standard or benchmark. It implies a measurable or quantif
精光|jīngguāng|completely gone; stripped bare; not a trace leftNuances:This vivid colloquial term emphasizes total depletion or removal, often with a tone of surprise, dismay, or comic exaggeration. It can describe 
目击|mùjī|VERB LITERARY see with one's own eyes; witness &#30446;&#20987;&#20854;&#20107; M&#249;j&#299; q&#237; sh&#236; witness the event
弱不禁风|ruòbùjīnfēng|IDIOM too weak to withstand a gust of wind; extremely delicate; fragile
花苞|huābāo|NOUN (flower) bud
甘心|gānxīn|To be willing; to be reconciled to; to accept willinglyNuance:甘心 describes a state of being willing or content to accept something, often after consideration or despite initial reluctance. It is most 
孤高|gūgāo|FORMAL haughty and aloof
救命恩人|jiùmìng'ēnrén|saviour; benefactor
物归原主|wùguīyuánzhǔ|IDIOM return sth. to its rightful owner
狂吠|kuángfèi|VERB bark furiously; howl
不可思议|bùkě-sīyì|IDIOM inconceivable; unimaginable; unthinkable &#19981;&#20037;&#20197;&#21069;, &#30331;&#26376;&#36824;&#26159;&#19981;&#21487;&#24605;&#35758;&#30340;&#20107;&#24773;&#12290; B&#249;ji&#468; y&#464
寄放|jìfàng|VERB leave with; leave in the care of &#25226;&#31665;&#23376;&#23492;&#25918;&#22312;&#26379;&#21451;&#23478;&#37324; b&#462; xi&#257;ngzi j&#236;f&#224;ng z&#224;i p&#233;ngyou ji&#257;l&#464; leave
逃脱|táotuō|to escape; to get away; to evadeNuances:This term describes successfully getting free from confinement, danger, or an undesirable situation through effort or cunning. It implies overcoming constraints
实打实|shídǎshí|genuine, solid, no-nonsense; literally "real hit real" (emphasizing tangible, concrete reality)Nuances:This phrase emphasizes absolute authenticity, tangible results, or zero exaggeration. It’s often 
尽职|jìn//zhí|VERB fulfill one's duty &#23613;&#32844;&#23613;&#36131; j&#236;nzh&#237;j&#236;nz&#233; dedicated &#20182;&#24037;&#20316;&#19968;&#21521;&#24456;&#23613;&#32844;&#12290; T&#257; g&#333;ngzu&#242; y&
谈话|tánhuà|VERB (-//-) talk; chat; discuss &#20182;&#20204;&#27491;&#22312;&#23627;&#37324;&#35848;&#35805;&#12290; T&#257;men zh&#232;ng z&#224;i w&#363; l&#464; t&#225;nhu&#224;. They&#8217;re having a discuss
失态|shī//tài|VERB lose control of oneself; misbehave; forget oneself &#37202;&#21518;&#22833;&#24577; ji&#468;h&#242;u sh&#299;t&#224;i forget oneself in one&#8217;s cups
麻药|máyào|NOUN anaesthetic &#19978;&#40635;&#33647; Sh&#224;ng m&#225;y&#224;o apply an anaesthetic; administer an anaesthetic
犀利|xīlì|ADJECTIVE sharp; incisive; trenchant &#29312;&#21033;&#30340;&#30446;&#20809; X&#299;l&#236; de m&#249;gu&#257;ng sharp eyes &#35848;&#38155;&#29312;&#21033; t&#225;nf&#275;ng x&#299;l&#236; incisive 
龟壳|guīké|tortoise shell
参差不齐|cēncī-bùqí|IDIOM uneven; not uniform &#23398;&#29983;&#20204;&#30340;&#27721;&#35821;&#27700;&#24179;&#21442;&#24046;&#19981;&#40784;&#12290; Xu&#233;sheng men de H&#224;ny&#468; shu&#464;p&#237;ng c&#275;nc&#29
壮实|zhuàngshi|sturdy; robust; strong and healthyNuances:This term describes a physically powerful and well-built physique, often implying a combination of strength, health, and durability. It is commonly used for p
升迁|shēngqiān|Promotion / Advancement (in position)Nuance升迁 is a formal noun or verb referring to upward movement in one's career—being promoted to a higher position, rank, or level within an organization. It impli
堪称|kānchēng|can be rated as; deserving to be calledNuances:Formal praise, often used to affirm that something/someone fully meets a high standard or title.Example Sentences:这幅画技艺精湛，堪称杰作。(This painting, with its e
打盹|dǎdǔn|to doze off
忌讳|jìhui|NOUN 1&#9;taboo &#29359;&#24524;&#35763; f&#224;n j&#236;hui violate (or break) a taboo; offend a person&#8217;s sensitivity; touch a person&#8217;s sore spot 2&#9;DIALECT vinegar VERB 1&#9;avoid as t
稳中求进|wěnzhōngqiújìn|to make progress while ensuring stability
起诉|qǐsù|VERB bring a suit (or an action) against sb.; sue; prosecute (opp. &#25764;&#35785;) &#36215;&#35785;&#26435; q&#464;s&#249;qu&#225;n right of action &#36215;&#35785;&#20154; q&#464;s&#249;r&#233;n su
契合|qìhé|VERB agree with; tally with; correspond to &#19982;&#36827;&#21270;&#35770;&#30456;&#22865;&#21512; y&#468; j&#236;nhu&#224;l&#249;n xi&#257;ng q&#236;h&#233; agree with the theory of evolution
沼泽|zhǎozé|NOUN marsh; swamp; bog
奖赏|jiǎngshǎng|Reward; prize; to reward; to give recognition.Nuance: 奖赏 refers to giving recognition or a tangible reward to someone for their achievements, contributions, or good behavior. It emphasizes acknowledgm
老兄|lǎoxiōng|NOUN [familiar form of address between male friends] brother; man; old chap; buddy; mate
立案|lì//àn|1. to file a case (legal) 2. to register a projectNuances:This formal term refers to the official initiation of legal proceedings or administrative processes, implying documentation and procedural com
恐旷症|kǒngkuàngzhèng|agoraphobia
怪罪|guàizuì|To blame; to hold someone responsible (for a fault or mistake).Nuance怪罪 is a verb that means to assign blame or fault to someone, often with a connotation of finding fault after something has gone wro
过河拆桥|guòhé-chāiqiáo|IDIOM pull down the bridge after crossing the river&#8212;ignore one's benefactor once his help is no longer needed; kick down the ladder; burn one's bridges or boats
行长|hángzhǎng|NOUN president (of a bank)
瞅见|chǒu//jiàn|To catch sight of; to see; to glimpseNuance“瞅见” is a colloquial verb meaning to notice or catch sight of something, often suddenly or casually. It implies an act of seeing that is quick, unplanned, or
百发百中|bǎifā-bǎizhòng|IDIOM a hundred shots, a hundred bull's-eyes; every shot hits the target; shoot with unfailing accuracy; be a crack shot &#20182;&#26159;&#25105;&#20204;&#29677;&#37324;&#30340;&#31070;&#26538;&#25163
老夫|lǎofū|Old Man / I (self-reference by an elderly man)Nuance老夫 is a humble and somewhat archaic first-person pronoun used by elderly men to refer to themselves. It carries a tone of seniority, self-deprecatio
好坏|hǎo-huài|NOUN 1&#9;good and bad; what's good and what's bad &#22909;&#27513;&#19981;&#20998; h&#462;od&#462;i b&#249; f&#275;n cannot tell good from bad
大幅|dàfú|Dramatically; substantially; by a wide marginNuance:大幅 is an adverb used to describe a change, increase, or decrease of significant magnitude. It literally means "large in scope or degree." The term i
垫脚|diànjiao|NOUN COLLOQUIAL bedding (sth. soft, e.g. earth, straw, etc., for animals to sleep on)
蹼|pǔ|NOUN 1&#9;web (that connects the toes of ducks, frogs, etc.) 2&#9;flippers
特制|tèzhì|VERB specially made (for a specific purpose or by a special process)
中奖|zhòng//jiǎng|VERB draw a prize-winning ticket (or win a prize) in a lottery; get the winning number in a bond &#20013;&#20102;&#22823;&#22870; zh&#242;ng le d&#224; ji&#462;ng win a huge prize
清新|qīngxīn|fresh; refreshing; crisp and cleanNuances:This term describes a quality of purity, lightness, and revitalizing appeal—whether in physical environments (like air), artistic styles, or emotional impress
土产|tǔchǎn|local product; native goodsNuances:This term refers to food, crafts, or other items produced and characteristic of a specific region, often emphasizing traditional methods or unique local flavors. It 
碍事|ài//shì|VERB COLLOQUIAL 1&#9;be in the way; be a hindrance &#36825;&#26700;&#23376;&#25918;&#22312;&#38376;&#21475;&#22826;&#30861;&#20107;&#20102;&#12290; Zh&#232; zhu&#333;zi f&#224;ng z&#224;i m&#233;nk&#4
让开|ràng//kāi|VERB get out of the way; step aside; make way &#36710;&#26469;&#20102;, &#24555;&#35753;&#24320;&#12290; Ch&#275; l&#225;i le, ku&#224;i r&#224;ngk&#257;i. The car is coming. Quick, get out of the way
罩子|zhàozi|Cover / Shade / Hood / Lamp ShadeNuance罩子 is a noun that refers to a cover, hood, or shade used to enclose, protect, or shield something. It is a colloquial term, formed by adding the nominal suffix 子
主菜|zhǔcài|main course
食材|shícái|(food) ingredient
泪流满面|lèiliúmǎnmiàn|tears stream down one&#8217;s cheeks
贪吃|tānchī|gluttonous; voracious
冒金星|mào//jīnxīng|VERB see stars &#25105;&#19968;&#22836;&#25758;&#22312;&#38376;&#19978;, &#30524;&#21069;&#30452;&#20882;&#37329;&#26143;&#12290; W&#466; y&#299; t&#243;u zhu&#224;ng z&#224;i m&#233;n sh&#224;ng, y&#
幻影|huànyǐng|NOUN phantom; unreal image
梦寐|mèngmèi|NOUN dream; sleep &#26790;&#23504;&#20043;&#20107; m&#232;ngm&#232;i zh&#299; sh&#236; matters in dream and sleep; stuff of dreams
袈裟|jiāshā|NOUN kasaya, a patchwork outer vestment worn by a Buddhist monk (&#35039; sh&#257;)
珍稀|zhēnxī|Rare and precious.Nuance: 珍稀 combines the ideas of value (珍) and rarity (稀), often describing species, resources, or objects that are both uncommon and highly treasured. It has a formal tone and is fr
病恹恹|bìngyānyān|ADJECTIVE COLLOQUIAL look listless and sick &#20320;&#24590;&#20040;&#20102;, &#19968;&#25972;&#22825;&#37117;&#30149;&#27523;&#27523;&#30340;&#65311; N&#464; z&#283;nme le, y&#299; zh&#283;ngti&#257;
蛮横|mánhèng|rude and unreasonable; tyrannicalNuances:This term describes behavior that is aggressively arrogant and dismissive of others' rights or feelings. It implies a combination of brutality and obstinacy, o
保重|bǎozhòng|VERB [expressing concern about sb.'s health] take care of oneself &#36807;&#20998;&#20445;&#37325;&#33258;&#24049; Gu&#242;f&#232;n b&#462;ozh&#242;ng z&#236;j&#464; coddle oneself &#22810;&#22810;&#2
剑术|jiànshù|NOUN swordsmanship; fencing (skill)
绝招|juézhāo|NOUN 1&#9;unique skill 2&#9;unexpected tricky move (as a last resort)
可塑|kěsù|ADJECTIVE plastic; ductile; flexible
省心|shěngxīn|VERB (-//-) save worry &#23401;&#23376;&#36827;&#20102;&#25176;&#20799;&#25152;, &#30465;&#20102;&#25105;&#24456;&#22810;&#24515;&#12290; H&#225;izi j&#236;n le tu&#333;'&#233;rsu&#466;, sh&#283;ng le
写生|xiěshēng|VERB CHINESE PAINTING sketch from life; do a still life painting; paint or sketch from nature &#20154;&#29289;&#20889;&#29983; R&#233;nw&#249; xi&#283;sh&#275;ng portrait from life
屏障|píngzhàng|Barrier; protective screen; shield.Nuance: 屏障 refers to something that blocks, protects, or separates, whether physically or metaphorically. Literally, it can describe natural formations such as mount
畅游|chàngyóu|to roam freely; to enjoy a leisurely immersion (in an experience)Nuances:This term evokes a sense of uninhibited movement or engagement—whether physical (traveling), digital (browsing), or metaphorica
哑剧|yǎjù|NOUN dumb show; pantomime; mummery
兵家常事|bīngjiā-chángshì|common occurrence for military strategists; an ordinary incident in a risky professionNuances:Originally referring to the unpredictability of war, now used to normalize setbacks in any high-stakes fie
乃|nǎi|is; are; actually; therefore (classical/literary equivalent of "是" or "于是")Nuances:Archaic term still used in formal writing, idioms, or historical contexts. Often conveys affirmation or logical concl
精心|jīngxīn|ADJECTIVE meticulous; painstaking; elaborate &#31934;&#24515;&#25252;&#29702; J&#299;ngx&#299;n h&#249;l&#464; careful nursing &#31934;&#24515;&#28846;&#21046; j&#299;ngx&#299;n p&#225;ozh&#236; elabo
费神|fèi//shén|VERB 1&#9;need or exert great mental effort &#23401;&#23376;&#36827;&#20102;&#24188;&#20799;&#22253;&#20197;&#21518;, &#20320;&#23601;&#19981;&#29992;&#37027;&#20040;&#25805;&#24515;&#36153;&#31070;&#
评定|píngdìng|VERB pass judgement on; evaluate; assess; appraise &#35780;&#23450;&#25216;&#26415;&#32844;&#31216; p&#237;ngd&#236;ng j&#236;sh&#249; zh&#237;ch&#275;ng appraise technical personnel and give them app
与生俱来|yǔshēngjùlái|1&#9;inherent 2&#9;innate
打败|dǎ//bài|VERB 1&#9;defeat; beat; worst &#20197;&#24748;&#27530;&#27604;&#20998;&#25171;&#36133;&#23545;&#25163; y&#464; xu&#225;nsh&#363; b&#464;f&#275;n d&#462;b&#224;i du&#236;sh&#466;u beat the opponent tea
告示|gàoshi|VERB notify; announce &#25105;&#20204;&#25353;&#29031;&#28023;&#25253;&#19978;&#21578;&#31034;&#30340;&#38047;&#28857;, &#20934;&#26102;&#36827;&#20837;&#20250;&#22330;&#12290; W&#466;men &#224;nzh&#2
亮堂|liàngtang|Bright; well-lit; cheerful; clearNuance: 亮堂 describes a space or environment that is full of light, giving a sense of openness, clarity, and comfort. It can be used literally to describe a room or are
深呼吸|shēnhūxī|NOUN deep breathing (opp. &#27973;&#21628;&#21560;) &#20570;&#19968;&#27425;&#28145;&#21628;&#21560; Zu&#242; y&#299;c&#236; sh&#275;nh&#363;x&#299; take a deep breath
