无敌|wúdí|Unequalled / without rival
苦事|kǔshì|Hard job / Arduous task
地道|dìdào|Tunnel / Causeway
书皮|shūpí|Book cover
战胜|zhànshèng|To prevail / To surmount
发扬|fāyáng|To develop / To make full use of
珠宝|zhūbǎo|Precious stones / jewels
代表团|dàibiǎotuán|Delegation
折扣|zhékòu|Discount
减价|jiǎnjià|To cut prices / to mark down
压路机|yālùjī|Road roller
采煤|cǎiméi|Coal mining
化学家|huàxuéjiā|Chemist
路线|lùxiàn|Route / Itinerary
酒馆|jiǔguǎn|Tavern / Pub
整日|zhèngrì|All day
三角形|sānjiǎoxíng|Triangle
追随者|zhuīsuízhě|A follower
追随|zhuīsuí|To follow / To accompany
隔壁|gébì|Next door / Neighbor
海浪|hǎilàng|Sea wave
拍打|pāidǎ|To Pat / To Slap / To Beat (with hand)Nuance拍打 is a verb that describes striking something with the palm of the hand, often repeatedly and with moderate force. It can be gentle (patting a child's back
海岸|hǎi àn|Coast / Seacoast
标签|biāoqiān|Label / Tag
手提箱|shǒutíxiāng|Suitcase
矿产|kuàngchǎn|Minerals
高跟鞋|gāogēnxié|High heeled shoes
分期付款|fēnqīfùkuǎn|Installment
烤面包|kǎomiànbāo|Toast
领事馆|lǐngshìguǎn|Consulate
重伤|zhòngshāng|Seriously hurt / Serious injury
无可|wúkě|Can't
感激|gǎnjī|To be grateful / to appreciate / thankful
密林|mì lín|Jungle
挖苦|wākǔ|To speak sarcastically / to make cutting remarks
援助|yuānzhù|To aid / to help / to support
破口|pòkǒu|Tear or rupture / to have a tear (eg in ones clothes)
免于|miǎnyú|To be saved from / to be spared (something)
探险|tànxiǎn|To explore
视线|shìxiàn|Line of sight
节食|jiéshí|To save food / To go on a diet
定金|dìngjīn|Down payment / advance payment
不光彩|bùguāngcǎi|disgraceful; dishonorableNuances:Describes actions or behavior that bring shame or damage one’s reputation.Example Sentences:他因抄袭被曝光，这件事很不光彩。(He was exposed for plagiarism—a very disgraceful matter.)靠
热带地区|rèdàidìqū|The Tropics
参议院|cānyìyuàn|Senate / Upper chamber of legislative assembly
披肩|pījiān|Cape / Robe
导电|dǎodiàn|To conduct electricity
获准|huòzhǔn|To obtain permission
侵占|qīnzhàn|To invade and occupy (territory)
总有|zǒngyǒu|Inevitably there will be (some day ...)
登上|dēngshàng|To climb over / to ascend onto / to mount
王位|wángwèi|Title of king / kingship
超短裙|chāoduǎnqún|Miniskirt
克制|kèzhì|To restrain / to control / self control
解散|jiěsàn|To disband; to dissolve; to dismiss (a group, meeting, or organization) Nuance “解散” refers to the act of breaking up a collective body so that its members go their separate ways. It can describe the f
资助|zīzhù|Subsidy / To provide financial aid
联合国|liánhéguó|The United Nations
耐力|nàilì|Endurance
宽大|kuāndà|Spacious / Wide
鼻孔|bíkǒng|Nostril
起草|qǐcǎo|Draft (a bill) / Draw up (plans)
紧靠|jǐnkào|Lean closely against / closely rely on
肩膀|jiānbǎng|Shoulder
扫视|sǎoshì|To run ones eyes over / To sweep ones eyes over
雨衣|yǔyī|Raincoat
量度|liángdù|A measurement
主持人|zhǔchírén|TV or radio presenter / anchor / host
传说|chuánshuō|Legend / Folklore / It is said / They say that...
厌烦|yànfán|Bored / Fed up with something / Sick of something
冷藏|lěngcáng|Refrigeration / to keep (food/medicine) in cold environment / cold storage
当初|dāngchū|At that time / Originally
即可|jíkě|That will do
出示|chūshì|To show / To take out and show to others / to display
购置|gòuzhì|To purchase
手写体|shǒuxiětǐ|Handwriting
海港|hǎigǎng|Seaport / Harbor
敲击|qiāojī|To pound / To rap
维持|wéichí|To keep / To maintain / To preserve
鱼雷|yúléi|Torpedo
户内|hùnèi|Indoors / within the home
配给|pèijǐ|To ration / To allocate
去除|qùchú|To remove / To dislodge
杂质|zázhì|Impurity
王室|wángshì|Royal family / Royal household
印章|yìnzhāng|Seal / Stamp / Signet
趁|chèn|To take advantage of (an opportunity) / to avail oneself of
精确|jīngquè|Accurate / Precise
痛心|tòngxīn|Grieved / Pained
固执|gùzhí|Obstinate / Stubborn
标点符号|biāodiǎnfúhào|Punctuation marks
标点|biāodiǎn|Punctuation
猜测|cāicè|To guess / To conjecture
金星|jīnxīng|Venus
惊人|jīngrén|Astonishing
自如|zìrú|Smoothly / With ease / Unobstructed / Freely
阿拉伯语|ālābóyǔ|Arabic (language)
领子|lǐngzi|Shirt collar
钻探|zuāntàn|Drilling (for oil)
沿海|yánhǎi|Coastal
杂货店|záhuòdiàn|Grocery store / miscellaneous goods store
阵营|zhènyíng|Camp; faction; bloc; sideNuance:阵营 refers to a group of people, parties, or nations united by a common ideology, goal, or in opposition to another group. It strongly implies organization, collective i
关照|guānzhào|To take care / To keep an eye on / To look after
职责|zhízé|Duty / responsibility / obligation
地平线|dìpíngxiàn|Horizon
指向|zhǐxiàng|To point towards / Aimed at / Direction indicated
随和|suíhé|Amiable / Easy-going
精密|jīngmì|Accuracy / Exact / Precise / Refined
自居|zìjū|To consider oneself as; to pose as; to claim to be.Nuance自居 is a formal verb that describes the act of assuming or claiming a certain identity, role, or status for oneself. It often carries a subtle c
牺牲|xīshēng|To sacrifice oneself / To lay down ones life / to do something at the expense of
意愿|yìyuàn|Aspiration / wish for / desire
围困|wéikùn|To besiege (attack?)
抢救|qiǎngjiù|Rescue
致富|zhìfù|To become rich
供求|gōngqiú|Supply and demand (economics)
为难|wéinán|To feel embarrassed or awkward / to make things difficult (for someone)
镜头|jìngtóu|Camera lens
击败|jībài|To defeat / To beat
水壶|shuǐhú|Kettle
打听|dǎting|To ask about / To inquire about
切|qiē|To cut / slice
草原|cǎoyuán|Grassland / Prairie
四周|sìzhōu|All around
伸展|shēnzhǎn|Stretching / Extension
一望无际|yīwàngwújì|As far as the eye can see
欠条|qiàntiáo|IOU / Certificate of indebtedness
