守护神|shǒuhùshén|guardian spirit; tutelary spirit; patron saint
交情|jiāoqing|personal rapport; mutual goodwill built over timeNuances:This term describes a bond formed through shared experiences, trust, and emotional investment, deeper than casual acquaintance but not necessar
随处|suíchù|ADVERB everywhere; anywhere &#36825;&#31181;&#26641;&#22312;&#36825;&#19968;&#24102;&#38543;&#22788;&#21487;&#35265;&#12290; Zh&#232; zh&#466;ng sh&#249; z&#224;i zh&#232; y&#299;d&#224;i su&#237;ch&#
封印|fēngyìn|NOUN seal (on mail)
羞耻|xiūchǐ|ADJECTIVE sense of shame; shameful &#32670;&#32827;(&#20043;)&#24515; xi&#363;ch&#464;zh&#299;x&#299;n sense of shame &#19981;&#30693;&#32670;&#32827; b&#249;zh&#299; xi&#363;ch&#464; lose all sense o
至死|zhìsǐ|Until death; to the death; to the very end.Nuance至死 is a formal and emphatic adverb that signifies an action or state continuing right up to the moment of death, or a commitment that will not change u
致死|zhìsǐ|VERB cause death; die &#22240;&#20260;&#33268;&#27515; Y&#299;n sh&#257;ng zh&#236;s&#464; die of a severe wound (or injury)
研磨|yánmó|VERB 1&#9;grind; pestle 2&#9;abrade; polish
掩体|yǎntǐ|shelter; bunker; protective coverNuances:This term refers to a structure or natural formation designed to provide protection from danger, such as enemy fire, explosions, or natural disasters. It impli
环视|huánshì|VERB LITERARY look around &#25105;&#29615;&#35270;&#36710;&#31449;&#22235;&#21608;, &#37027;&#20301;&#26379;&#21451;&#21364;&#27627;&#26080;&#36394;&#24433;&#12290; W&#466; hu&#225;nsh&#236; ch&#275;z
抢匪|qiǎngfěi|NOUN robber
呼应|hūyìng|to echo; to respond; to coordinate withNuances:Often used to describe a mutual or coordinated response between two or more elements (e.g., ideas, actions, or voices).Can imply harmony, agreement, or r
河道|hédào|NOUN river course &#30095;&#27994;&#27827;&#36947; sh&#363; j&#249;n h&#233; d&#224;o dredge waterways
征用|zhēngyòng|to requisition; to commandeer (typically by authority)Nuances:This term refers to the compulsory seizure or temporary use of private property, resources, or labor by governments or institutions for pu
比划|bǐhua|VERB 1&#9;gesture; gesticulate &#36793;&#35828;&#36793;&#27604;&#30011; Bi&#257;n shu&#333; bi&#257;n b&#464;hua speak with gestures; gesticulate as one talks 2&#9;have a contest (esp. in martial arts
匀速|yún//sù|ADJECTIVE PHYSICS uniform speed &#21248;&#36895;&#36816;&#21160; y&#250;ns&#249; y&#249;nd&#242;ng uniform motion &#21248;&#21464;&#36895;&#36816;&#21160; Y&#250;n bi&#224;ns&#249; y&#249;nd&#242;ng u
火攻|huǒgōng|VERB attack with fire &#28779;&#25915;&#30772;&#25932; hu&#466;g&#333;ng p&#242;d&#237; defeat the enemy by fire attack
左支右绌|zuǒzhī-yòuchù|IDIOM find it hard to cover expenses; in straitened circumstances; beset by too many problems
扫射|sǎoshè|VERB 1&#9;(of a gun, etc.) strafe 2&#9;(of lightbeam, glance, etc.) scan; sweep
应声|yìngshēng|To respond to a sound or call; to reply immediately (often in reaction to a voice, noise, or command).Nuance: 应声 emphasizes an immediate, almost reflexive response upon hearing something—such as a cal
没救|méijiù|VERB COLLOQUIAL incurable; incorrigible; beyond remedy (or hope) &#20182;&#25746;&#35854;&#25104;&#24615;, &#27809;&#25937;&#20102;&#12290; T&#257; s&#257;hu&#462;ng ch&#233;ng x&#236;ng, m&#233;i ji&
鼻息|bíxī|Breath from the nose; (figuratively) someone's whims or moodsNuance:鼻息 literally means the breath expelled through the nose. Figuratively, it is used in the phrase 仰人鼻息 (to rely on someone's whims), m
死里逃生|sǐlǐ-táoshēng|IDIOM escape by the skin of one's teeth; have a narrow escape; barely escape with one's life
爆破|bàopò|VERB blow up; demolish; dynamite; blast &#29190;&#30772;&#25932;&#20891;&#30857;&#22561; b&#224;op&#242; d&#237;j&#363;n di&#257;ob&#462;o blow up an enemy&#8217;s pillbox &#23450;&#21521;&#29190;&#30
定向|dìngxiàng|ADJECTIVE directional; oriented &#23450;&#21521;&#22521;&#35757; d&#236;ngxi&#224;ng p&#233;ix&#249;n train for a specific post; job-oriented training &#23450;&#21521;&#22521;&#20859; d&#236;ngxi&#224
咬合|yǎohé|VERB MECHANICS occlude; interlock; engage; mesh &#36825;&#20004;&#20010;&#40831;&#36718;&#30456;&#21676;&#21512;&#12290; Zh&#232; li&#462;ng ge ch&#464;l&#250;n xi&#257;ng y&#462;oh&#233;. The two gea
宝物|bǎowù|NOUN treasure
制式|zhìshì|Standardized; standard-issue; system formatNuance:制式 refers to something that is produced or operated according to an official, uniform standard or specification. It describes things that are systemat
账本|zhàngběn|Account book; ledgerNuance“账本” refers to a book or record used for tracking financial transactions such as income, expenses, debts, or credits. Traditionally it means a physical ledger, but in modern 
行贿|xíng//huì|VERB bribe; resort to bribery &#21521;&#36138;&#23448;&#34892;&#36159; Xi&#224;ng t&#257;ngu&#257;n x&#237;nghu&#236; offer a bribe to a corrupt official
贪官|tānguān|NOUN corrupt official &#38130;&#38500;&#36138;&#23448;&#27745;&#21519;, &#24314;&#31435;&#24265;&#27905;&#25919;&#24220; ch&#462;nch&#250; t&#257;ngu&#257;nw&#363;l&#236;, ji&#224;nl&#236; li&#225;nji
自顾自|zìgùzì|to act selfishly; to mind one’s own business without regard for othersNuances:Implies indifference to others’ needs or situations, often with a negative tone of criticism.Example Sentences:他自顾自地玩游戏，完全
闯祸|chuǎng//huò|To cause trouble; to get into trouble; to bring about a mishap (by one's actions).Nuance闯祸 is a colloquial verb that describes the act of causing an accident, problem, or troublesome situation, typica
少爷|shàoye|NOUN DATED 1&#9;[form of address used by servants of the house] young master 2&#9;COURTEOUS your (or sb. else's) son
执迷|zhímí|1&#9;to be obsessive 2&#9;to persist obstinately
书面|shūmiàn|ADJECTIVE written; in written form; in writing (opp. &#21475;&#22836;)
脏器|zàngqì|NOUN internal organs of the body; viscera
确诊|quèzhěn|VERB make a definite diagnosis; diagnose &#20182;&#30340;&#30149;&#30830;&#35786;&#20102;&#27809;&#26377;&#65311; T&#257; de b&#236;ng qu&#232;zh&#283;n le m&#233;iy&#466;u&#65311; Has his diagnosis b
告发|gàofā|to report (someone) to authorities; to denounceNuances:This term implies formally exposing wrongdoing (e.g., crimes, corruption) to officials or law enforcement, often with legal consequences. It carr
案头工作|àntóugōngzuò|desk work
不了了之|bùliǎo-liǎozhī|To end without a conclusion; to leave unsettled; to let something fizzle out.Nuance: 不了了之 literally means “unable to conclude and thus let it be.” It refers to a situation or matter that gradually get
人事处|rénshìchù|personnel division
垂头丧气|chuítóu-sàngqì|IDIOM be crestfallen; be dejected
垂头|chuí//tóu|VERB hang (or bow) one's head &#22402;&#22836;&#21497;&#24687; chu&#237; t&#243;u t&#224;nx&#299; hang one&#8217;s head and sigh
丧气|sàng//qì|VERB feel disheartened; lose heart; become crestfallen &#20007;&#27668;&#35805; s&#224;ngq&#236;hu&#224; demoralizing words
堆积如山|duījīrúshān|1&#9;to pile up like a mountain (idiom) 2&#9;a mountain of (paperwork etc) 3&#9;a large number of sth
夸夸其谈|kuākuā-qítán|To talk big; to indulge in exaggeration; to boast endlesslyNuance:夸夸其谈 is a negative idiom that describes someone who speaks in a boastful, grandiose, or overly eloquent manner without substance or pr
歪理|wāilǐ|Fallacy; Pseudo-Reasoning; Misguided ArgumentNuanceThe word 歪理 literally means “crooked reasoning” and refers to arguments or theories that sound logical on the surface but are actually flawed, mislea
漏税|lòu//shuì|VERB evade payment of a tax; evade taxation &#28431;&#20102;&#31246;&#24471;&#34917;&#32564;, &#36824;&#24471;&#21463;&#32602;&#12290; l&#242;u le shu&#236; de b&#468; ji&#462;o, h&#225;i d&#283;i sh&
海量|hǎiliàng|NOUN3&#9;loads of; a great deal of 2&#9;great capacity for liquor&#24744;&#26159;&#28023;&#37327;, &#20877;&#26469;&#19968;&#26479;&#12290;N&#237;n sh&#236; h&#462;ili&#224;ng, z&#224;i l&#225;i y&#29
火拼|huǒpīn|To engage in a fierce armed confrontation; to fight with weapons (between rival gangs, factions, etc.).Nuance火拼 is a verb that describes a violent, armed confrontation between opposing groups, such as
栽培|zāipéi|To Cultivate / To Grow (plants) / To Nurture (talent)Nuance栽培 is a verb with both literal and metaphorical meanings. Literally, it refers to the agricultural practice of cultivating plants, including 
埋没|máimò|to bury; to neglect (talents or resources); to go unrecognizedNuances:Often expresses惋惜 (regret) for potential wasted due to lack of opportunity or recognition.Example Sentences:他的才华在琐碎工作中被埋没了。(His ta
推脱|tuītuō|To shirk (responsibility); to make excuses to avoid taking on a task.Nuance: 推脱 refers to the act of deliberately avoiding responsibility, obligation, or blame by making excuses or shifting the burden
智取|zhìqǔ|VERB take (a fort, town, etc.) by strategy &#21482;&#21487;&#26234;&#21462;, &#19981;&#21487;&#24378;&#25915;&#12290; Zh&#464; k&#283; zh&#236;q&#468;, b&#249;k&#283; qi&#225;ngg&#333;ng. The enemy po
合身|hé//shēn|ADJECTIVE fit &#36825;&#20214;&#19978;&#34915;&#24456;&#21512;&#36523;&#12290; Zh&#232; ji&#224;n sh&#224;ngy&#299; h&#283;n h&#233;sh&#275;n. This jacket fits well.
混球|húnqiú|1&#9;bastard 2&#9;wretch 3&#9;scoundrel
扎眼|zhāyǎn|eye-catching (in a jarring way); conspicuously out of placeNuances:Negative or neutral, describing something that attracts unwanted attention due to being flashy, inappropriate, or discordant.Example 
恭候|gōnghòu|VERB COURTEOUS await respectfully &#24685;&#20505;&#20809;&#20020;&#12290; G&#333;ngh&#242;u gu&#257;ngl&#237;n. We request the pleasure of your company.
浅显易懂|qiǎnxiǎnyìdǒng|easy to understand
正巧|zhèngqiǎo|By Chance / Happen To / Just at the Right TimeNuance正巧 is an adverb used to describe a coincidence or a fortunate timing where something happens unexpectedly or aligns perfectly with a situation. It c
肥缺|féiquē|lucrative official position; cushy jobNuances:This term refers to government posts or jobs with high income and low workload, traditionally implying opportunities for corruption or undue benefits.Exam
公仆|gōngpú|NOUN public servant; official &#20154;&#27665;&#30340;&#20844;&#20166; r&#233;nm&#237;n de g&#333;ngp&#250; a servant of the people
命脉|mìngmài|NOUN lifeblood; lifeline &#32463;&#27982;&#21629;&#33033; j&#299;ngj&#236; m&#236;ngm&#224;i economic lifeline &#27700;&#21033;&#26159;&#20892;&#19994;&#30340;&#21629;&#33033;&#12290; Shu&#464;l&#236;
斡旋|wòxuán|VERB mediate &#30001;&#20110;&#20182;&#20174;&#20013;&#26017;&#26059;, &#21452;&#26041;&#30340;&#20105;&#31471;&#24471;&#21040;&#20102;&#35299;&#20915;&#12290; Y&#243;uy&#250; t&#257; c&#243;ng zh&#33
制式化|zhìshìhuà|To standardize; to formalize; to make uniform according to a set system.Nuance制式化 is a formal verb that describes the process of making something conform to a fixed, standardized format, system, or sp
泥石流|níshíliú|NOUN GEOLOGY mud-rock flow; rockslide; mudslide
支绌|zhīchù|Financially strained; short of money; lacking fundsNuance:支绌 is a formal and somewhat literary term used specifically to describe a financial situation where income is insufficient to cover expenses, 
遮遮掩掩|zhēzhēyǎnyǎn|to be secretive; to try to cover up (idiom)
裤头|kùtóu|Underpants; shorts; briefsNuance:裤头 is an informal, colloquial term for underwear or shorts, typically referring to the lower undergarment worn close to the body. It can also refer to casual, short-le
勾当|gòudang|Dealings / Activity / Misdeed (negative connotation)Nuance勾当 is a noun that refers to a person's activities, dealings, or doings. In modern usage, it carries an almost exclusively negative connotation
条条|tiáotiao|Every, each and every (measure word repetition for emphasis)Nuance条条 is the reduplicated form of 条, used for emphasis. It often appears in expressions like 条条大路通罗马 (“All roads lead to Rome”), stressin
满不在乎|mǎnbùzàihu|IDIOM not worry at all; not care in the least; indifferent &#21035;&#20154;&#37117;&#26367;&#20182;&#30528;&#24613;, &#20182;&#21364;&#28385;&#19981;&#22312;&#20046;&#12290; Bi&#233;ren d&#333;u t&#23
火烧眉毛|huǒshāo-méimao|Extremely urgent; a crisis at hand; literally “fire burning one’s eyebrows”Nuance“火烧眉毛” vividly describes a situation of extreme urgency—so close and pressing that the metaphorical flames are already 
拷打|kǎodǎ|VERB flog; beat &#20005;&#21009;&#25335;&#25171; y&#225;nx&#237;ngk&#462;od&#462; brutally torture &#25335;&#25171;&#33268;&#27515; k&#462;od&#462; zh&#236;s&#464; torture sb. to death
狞笑|níngxiào|to grin maliciously; to sneer with ill intentNuances:狞笑 describes a sinister or cruel smile, often associated with villains, bullies, or someone taking pleasure in others' suffering. It conveys a sens
唯独|wéidú|"only," "alone," "nothing but," "the one exception"Nuance: 唯独 is used to highlight one specific person, thing, or situation as the only exception or point of focus, often in contrast with all others. 
倾轧|qīngyà|to engage in internal strife; jostling for positionNuances:This term describes destructive competition within an organization, where members undermine each other through political maneuvering or malic
角斗场|juédòuchǎng|wrestling ring
受益|shòu//yì|VERB profit by; benefit from; benefited &#21463;&#30410;&#38754;&#31215;&#36798;&#20845;&#19975;&#22810;&#20137;&#12290; Sh&#242;uy&#236; mi&#224;nji d&#225; li&#249;w&#224;n du&#333; m&#468;. The are
余生|yúshēng|NOUN 1&#9;remainder of one's life; one's remaining years &#23433;&#24230;&#20313;&#29983; &#257;nd&#249; y&#250;sh&#275;ng live out one&#8217;s days 2&#9;survival (after a disaster) &#21163;&#21518;&#
果断|guǒduàn|ADJECTIVE resolute; decisive; determined; firm &#21150;&#20107;&#26524;&#26029; B&#224;nsh&#236; gu&#466;du&#224;n handle affairs in a decisive manner &#37319;&#21462;&#26524;&#26029;&#25514;&#26045; 
收留|shōuliú|VERB take sb. in; have sb. in one's care; offer shelter &#25910;&#30041;&#23396;&#20799; sh&#333;uli&#250; g&#363;'&#233;r adopt an orphan
照样|zhàoyàng|VERB (-//-) after a pattern; from a model &#29031;&#30528;&#26679;&#20799;&#30011; zh&#224;o zhe y&#224;ngr hu&#224; draw from a model &#29031;&#36825;&#20010;&#26679;&#20799;&#20570; zh&#224;o zh&#23
勾搭|gōuda|"to hook up with," "to collude with," "to fraternize (often with dubious intent)"Nuance: 勾搭 carries a sense of forming a connection or association, often secretly or with ulterior motives. It can be u
改性|gǎixìng|To modify; to alter the properties or characteristics (of materials, substances, or products).Nuance改性 is a technical term used primarily in materials science, chemistry, and industrial contexts. It r
篡改|cuàngǎi|to tamper with; to falsify (records, data, or facts)Nuances:This term describes the deliberate alteration of information with deceptive intent, often for personal gain or to conceal truth. It implies 
打圆场|dǎ//yuánchǎng|To mediate; to smooth things over; to help resolve an awkward situationNuance:打圆场 is a colloquial term that describes the act of intervening in a tense, awkward, or conflicting situation to help resto
石榴|shíliu|NOUN pomegranate (tree and its fruit)
蛋清|dànqīng|Egg WhiteNuance蛋清 is the common term for egg white (the clear, viscous liquid surrounding the yolk). It is used in cooking, baking, and skincare contexts. The term is neutral and straightforward, dist
配方|pèifāng|formula; recipe; prescribed mixtureNuances:This term refers to a precise set of ingredients and instructions for creating something, whether in cooking, chemistry, pharmacy, or manufacturing. It impli
风潮|fēngcháo|Trend; fashion; prevailing tendency.Nuance: 风潮 refers to social, cultural, or political trends that gain widespread attention or influence over a period of time. It emphasizes collective momentum and 
英气|yīngqì|NOUN heroic spirit &#33521;&#27668;&#21187;&#21187; y&#299;ngq&#236;b&#243;b&#243; full of heroic spirit
赤条条|chìtiáotiáo|stark naked; completely bareNuances:This vivid reduplicative term describes a state of total nudity or utter exposure, often with connotations of vulnerability, simplicity, or defenselessness. It can 
调酒|tiáo//jiǔ|VERB mix cocktails and other drinks
奇效|qíxiào|NOUN (esp. of medicine) extraordinary efficacy &#27835;&#30382;&#32932;&#30149;&#26377;&#22855;&#25928; Zh&#236; p&#237;f&#363;b&#236;ng y&#466;u q&#237;xi&#224;o be highly efficacious for a skin dise
病急乱投医|bìngjíluàntóuyī|WELL-KNOWN PHRASE Men at death's door will turn in desperation to any doctor.&#8212;Those in a desperate plight will try anything.
味蕾|wèilěi|Taste bud.Nuance味蕾 is the biological term for taste buds—the sensory organs on the tongue that detect flavors: sweet, sour, salty, bitter, and umami. While it is a scientific term, it is also used in 
大爆炸|dàbàozhà|NOUN ASTRONOMY Big Bang
果不其然|guǒbùqírán|IDIOM just as expected; sure enough &#20182;&#32463;&#24120;&#37202;&#21518;&#24320;&#36710;, &#26089;&#26202;&#24471;&#20986;&#20107;&#12290;&#26524;&#19981;&#20854;&#28982;&#65281; T&#257; j&#299;ng
包厢|bāoxiāng|Private Room (in a restaurant or entertainment venue)Nuance包厢 refers to a private, enclosed room within a larger public establishment, most commonly a restaurant, karaoke (KTV) venue, or theater. Its 
惋惜|wǎnxī|to feel regret/pity (over a loss or missed opportunity)Nuances:A blend of sorrow and disappointment, often used when something valuable is wasted (e.g., talent, potential) or when empathizing with oth
别针|biézhēn|NOUN 1&#9;safety pin; pin &#29992;&#21035;&#38024;&#21035;&#20303;&#24509;&#31456; Y&#242;ng bi&#233;zh&#275;n bi&#233; zh&#249; hu&#299;zh&#257;ng fasten a badge with a pin 2&#9;VARIANT OF &#39280;&#
戳穿|chuō//chuān|VERB 1&#9;puncture &#31508;&#23574;&#25226;&#32440;&#25139;&#31359;&#20102;&#12290; B&#464;ji&#257;n b&#462; zh&#464; chu&#333;chu&#257;n le. The sharp nib scratched through the paper. 2&#9;lay bare; 
老子|lǎozi|1. Laozi (ancient Chinese philosopher); 2. [informal, arrogant] "your father" (used to refer to oneself in a brash manner)Nuances:This term has two distinct meanings: the revered founder of Taoism, an
木屑|mùxiè|NOUN wooden meal; shavings; wood chips; sawdust
瓮中之鳖|wèngzhōngzhībiē|IDIOM like a turtle in a jar&#8212;bottled up; trapped
格局|géjú|structure, pattern, or vision (often referring to one's mindset or the layout of a situation)Nuances:This term describes the "big picture" perspective, whether in physical space (e.g., city planning) 
白白|báibái|in vain; for nothing; without resultNuances:This adverb emphasizes the futility of an action—effort, time, or resources were expended without achieving the intended outcome. It often carries a tone of
送死|sòngsǐ|VERB COLLOQUIAL court death &#30333;&#30333;&#36865;&#27515; b&#225;ib&#225;i s&#242;ngs&#464; get killed in vain
万幸|wànxìng|extremely fortunate; a great relief; thankfullyNuance:万幸&nbsp;literally means “ten thousand fortunes,” and it conveys a strong sense of relief and gratitude when something bad was narrowly avoided or 
大智若愚|dàzhì-ruòyú|IDIOM Man of great wisdom often seems slow-witted.
露头|lòu//tóu|VERB 1&#9;show one's head &#32769;&#40736;&#21018;&#19968;&#38706;&#22836;&#23601;&#32473;&#29483;&#36910;&#20303;&#20102;&#12290; l&#462;osh&#468; g&#257;ngy&#299; l&#242;ut&#243;u ji&#249; g&#283;i 
闻讯|wénxùn|VERB hear the news &#28040;&#38450;&#38431;&#38395;&#35759;&#36214;&#21040;&#12290; Xi&#257;of&#225;ngdu&#236; w&#233;nx&#249;n g&#462;nd&#224;o. On hearing the alarm, the fire brigade rushed to the s
内鬼|nèiguǐ|Inside Accomplice / Mole / Traitor WithinNuance内鬼 is an informal term referring to a person within an organization, group, or team who secretly betrays it by leaking information, sabotaging efforts, o
泄密|xiè//mì|VERB divulge a secret; betray confidential matters (opp. &#20445;&#23494;) &#27844;&#23494;&#20107;&#20214; xi&#232;m&#236;sh&#236;ji&#224;n leakage of a (state) secret
耍嘴皮子|shuǎzuǐpízi|To talk glibly; to make empty talk; to argue just with words.Nuance: 耍嘴皮子 is a colloquial, often derogatory phrase, implying someone is only good at talking without taking real action. It highlights a
授权|shòuquán|To Authorize / To Delegate Authority / AuthorizationNuance授权 is a formal term that refers to the act of granting official power, permission, or the right to act on one's behalf to another person or en
静心|jìng//xīn|To calm the mind; to settle one’s thoughts; mental tranquility.Nuance: 静心 refers to the process of quieting the mind, reducing agitation, and focusing one’s attention, often for the purpose of reflect
据点|jùdiǎn|Stronghold / Base / OutpostNuance据点 is a noun that refers to a strategic location serving as a base of operations or a position of control. It is commonly used in military contexts (a fortified positi
齐聚一堂|qíjùyītáng|To gather together in one place; to assemble as a group.Nuance: 齐聚一堂 emphasizes people coming together in a single location, usually for a shared purpose, celebration, or meeting. It carries a sense o
阵势|zhènshì|NOUN 1&#9;battle array (or formation); disposition of combat forces &#25670;&#24320;&#38453;&#21183; b&#462;ik&#257;i zh&#232;nsh&#236; deploy the ranks in battle array; array &#25932;&#20154;&#30340;
抓获|zhuāhuò|VERB catch (a criminal, etc.); capture; seize
印证|yìnzhèng|to corroborate; to confirm; to verify through evidence or alignmentNuances:This term describes the process of validating a theory, memory, or claim by matching it with concrete proof or consistent fac
真实性|zhēnshíxìng|truthfulness; authenticity
更改|gēnggǎi|VERB change; alter &#19981;&#21487;&#26356;&#25913;&#30340;&#20915;&#23450; b&#249;k&#283; g&#275;ngg&#462;i de ju&#233;d&#236;ng an unalterable decision &#30001;&#20110;&#22825;&#27668;&#24694;&#2115
总指挥|zǒngzhǐhuī|NOUN 1&#9;commander-in-chief 2&#9;general director
绝大部分|juédàbùfen|overwhelming majority
裁定|cáidìng|to rule; to adjudicate (a formal decision by an authority or court)Nuances:A legal or authoritative term for making a binding judgment after examination.Example Sentences:法院裁定被告赔偿原告全部损失。(The court rul
恩怨|ēnyuàn|NOUN 1&#9;feeling of gratitude or resentment &#24681;&#24616;&#20998;&#26126; &#275;nyu&#224;nf&#275;nm&#237;ng know clearly to whom to show gratitude and against whom to feel resentment 2&#9;resentme
利诱|lìyòu|VERB lure by promise of gain &#32463;&#19981;&#36215;&#37329;&#38065;&#30340;&#21033;&#35825; j&#299;ngbuq&#464; j&#299;nqi&#225;n del&#236;y&#242;u stoop to the lure of big money
一雪前耻|yīxuěqiánchǐ|To avenge a previous humiliation; to redeem one’s honor.Nuance: 一雪前耻 literally means “to wipe away past shame” and conveys the idea of taking action to recover dignity or restore reputation after bein
喝彩|hè//cǎi|VERB acclaim; cheer; shout &#8220;bravo!&#8221; &#40784;&#22768;&#21917;&#24425; q&#237;sh&#275;ng h&#232;c&#462;i cheer in chorus; cheer with one accord &#21338;&#24471;&#20840;&#22330;&#21917;&#2442
匆忙|cōngmáng|ADJECTIVE hasty; in a hurry &#21254;&#24537;&#20316;&#20986;&#20915;&#23450; c&#333;ngm&#225;ng zu&#242; ch&#363; ju&#233;d&#236;ng make a hasty decision &#20020;&#34892;&#21254;&#24537;, &#26410;&#33
报仇雪恨|bàochóu-xuěhèn|To take revenge and wipe out past hatred; to avenge one’s grievances completelyNuance“报仇雪恨” is a strong, dramatic idiom describing complete, deeply satisfying vengeance—not only repaying a wrong but a
散场|sàn//chǎng|VERB (of a show, performance, etc.) be over &#30005;&#24433;&#25955;&#22330;&#20102;&#12290; Di&#224;ny&#464;ng s&#224;nch&#462;ng le. The movie is over.
偏执|piānzhí|Paranoid; stubbornly biased; obsessively fixatedNuance“偏执” describes a mental or emotional state in which a person clings rigidly to their own views, often interpreting things through a distorted or o
唐突|tángtū|Rude; blunt (speech/behavior lacking tact); abrupt (actions causing discomfort).Nuances:"唐突" describes socially inappropriate actions that startle or offend, often unintentionally. It carries a classi
本末倒置|běnmò-dàozhì|To put the cart before the horse; to reverse priorities; to confuse the main point with the secondary.Nuance: 本末倒置 literally means “to invert the root and the branches,” and it describes a situation w
宿敌|sùdí|NOUN LITERARY old enemy; arch-rival
经不起|jīngbuqǐ|cannot withstand; unable to endureNuances:This term describes a lack of resilience against pressure, temptation, or scrutiny. It implies vulnerability or fragility in physical, emotional, or moral con
子嗣|zǐsì|NOUN LITERARY son; male offspring
执念|zhíniàn|Obsession / Persistent Fixation / Deep-Seated AttachmentNuance执念 is a noun that refers to a persistent, often irrational, fixation or obsession with a person, idea, goal, or outcome. It implies a ment
男丁|nándīng|NOUN DATED man; adult male
降生|jiàngshēng|to be born; to come into the worldNuances:This literary term describes the arrival of a person (often significant figures) into the world, carrying a formal, sometimes even sacred or majestic connotat
出人头地|chūréntóudì|IDIOM be head and shoulders above the others; stand out among one's fellows
活捉|huózhuō|VERB capture alive
