撩|liāo|VERB 1&#9;raise; lift up (a part of sth. hanging) &#25769;&#35033;&#23376; li&#257;o q&#250;nzi lift (or hold) up the hem of one&#8217;s skirt &#25769;&#36215;&#24088;&#23376; Li&#257;o q&#464; li&#22
证人|zhèngren|NOUN 1&#9;witness &#20851;&#38190;&#35777;&#20154; gu&#257;nji&#224;n zh&#232;ngren crucial witness &#30446;&#20987;&#35777;&#20154; m&#249;j&#299; zh&#232;ngren eyewitness &#19968;&#36215;&#35851;&#2
坦白|tǎnbái|to confess; to admit frankly; to come cleanNuances:Often used in contexts of admitting wrongdoing (legal/personal), with an emphasis on voluntary honesty. Can also describe an open personality ("为人坦白"
案子|ànzi|NOUN 1&#9;COLLOQUIAL law case; case &#26696;&#23376;&#36824;&#22312;&#35843;&#26597;&#20043;&#20013;&#12290; &#224;nzi h&#225;i z&#224;i di&#224;och&#225; zh&#299;zh&#333;ng. The case is under investi
阴险|yīnxiǎn|ADJECTIVE sinister; insidious; treacherous &#38452;&#38505;&#27602;&#36771; y&#299;nxi&#462;nd&#250;l&#224; sinister and ruthless &#38452;&#38505;&#30340;&#25932;&#20154; y&#299;nxi&#462;n de d&#237;r
不肖子|Bùxiàozǐ|unworthy son
废话|fèihuà|NOUN superfluous words; nonsense; rubbish &#24223;&#35805;&#65281; &#20320;&#20197;&#20026;&#25105;&#19981;&#30693;&#36947;&#21527;&#65311; f&#232;ihu&#224;! N&#464; y&#464;w&#233;i w&#466; b&#249;zh&
下辈子|xiàbèizi|NOUN next life (opp. &#19978;&#36744;&#23376;)
代号|dàihào|NOUN code name
密报|mìbào|NOUN secret report; confidential message &#24471;&#21040;&#23494;&#25253; d&#233;d&#224;o m&#236;b&#224;o receive a secret report VERB secretly report; inform against sb.; tip off &#35841;&#23494;&#25
就读|jiùdú|to attend (a school); to be enrolled inNuances:This formal term specifically refers to the act of being registered as a student at an educational institution, emphasizing official enrollment status.Ex
联谊|liányì|VERB keep up a friendship; strengthen the bonds of friendship
远离|yuǎnlí|VERB be far away from &#36828;&#31163;&#23576;&#22179; yu&#462;nl&#237;ch&#233;nxi&#257;o far from the madding crowd
吓破胆|xiapòdǎn|to be scared stiff
奢求|shēqiú|NOUN extravagant hopes; excessive demands; unreasonable demands VERB make excessive demands &#38500;&#20102;&#36807;&#19978;&#20687;&#26679;&#30340;&#29983;&#27963;, &#25105;&#21035;&#26080;&#22882;&#
计谋|jìmóu|stratagem; scheme; tactical planNuances:Implies clever, often intricate planning to outwit opponents, used in military, political, or personal contexts.Example Sentences:诸葛亮善用计谋，以空城计退敌。(Zhuge Liang wa
哭腔|kūqiāng|Crying tone; sobbing intonation; a voice that sounds as if one is crying.Nuance: 哭腔 describes a vocal expression that carries the sound, rhythm, or emotional quality of crying. It is often used in sin
随身|suíshēn|ADJECTIVE (carry) on one's person; (take) with one &#38543;&#36523;&#34915;&#26381; su&#237;sh&#275;n y&#299;fu clothes for change taken along during a trip &#20182;&#38543;&#36523;&#27809;&#26377;&#2
青涩|qīngsè|ADJECTIVE (esp. of fruit) green and astringent; unripe
食指|shízhǐ|NOUN 1&#9;index finger; forefinger 2&#9;DATED mouths to feed (in a family) &#39135;&#25351;&#20247;&#22810;, &#20837;&#19981;&#25975;&#20986; sh&#237;zh&#464; zh&#242;ngdu&#333;, r&#249;b&#249;f&#363;
末端|mòduān|NOUN end; bottom; extremity; tip
刹那|chànà|NOUN instant; a split second &#19968;&#21049;&#37027; y&#299;ch&#224;n&#224; in an instant; in a flash; in a split second; in the twinkling of an eye &#21049;&#37027;&#38388;, &#20182;&#20498;&#22312;
漫天飞舞|màntiānfēiwǔ|(of snow etc) to fill the sky
憧憬|chōngjǐng|to look forward to; to yearn for (an idealized future)Nuances:Describes a hopeful, often dreamy anticipation of something beautiful or meaningful.Example Sentences:她憧憬着大学毕业后的自由生活。(She yearns for the f
停歇|tíngxiē|To pause, to rest, to take a breakNuance停歇 refers to temporarily stopping an activity in order to rest or recover. It emphasizes a pause that provides relief, often after continuous effort or motion. 
模糊|móhu|VERB blur; obscure; confuse; mix up &#27169;&#31946;&#20004;&#32773;&#20043;&#38388;&#30340;&#30028;&#38480; M&#243;hu li&#462;ngzh&#283; zh&#299;ji&#257;n de ji&#232;xi&#224;n blur the distinction be
补课|bǔ//kè|VERB 1&#9;make up a missed lesson &#25945;&#24072;&#32473;&#23398;&#29983;&#34917;&#35838;&#12290; Ji&#224;osh&#299; g&#283;i xu&#233;sheng b&#468;k&#232;. The teacher helped his pupils make up the le
胡思乱想|húsī-luànxiǎng|"to indulge in wild fantasies," "to entertain foolish or unrealistic thoughts" (refers to letting one's imagination run unchecked, often with negative or impractical ideas).Nuance:This term carries a 
无奈|wúnài|VERB cannot help but; have no alternative; have no choice &#20182;&#20986;&#20110;&#26080;&#22856;, &#21482;&#24471;&#34920;&#31034;&#21516;&#24847;&#12290; T&#257; ch&#363;y&#250; w&#250;n&#224;i, zh
缺失|quēshī|deficiency; gap; lack; absence of something essentialNuances:This term describes the state of being incomplete or lacking a critical component, whether tangible (e.g., resources) or intangible (e.g., 
讲授|jiǎngshòu|To lecture; to teach; to instructNuance:讲授 is a formal verb that refers to the act of teaching or lecturing, particularly in an academic or structured educational setting. It emphasizes the systematic
唤作|huànzuò|To be called; to be named; to be known as.Nuance唤作 is a classical and literary verb used to introduce the name or title by which someone or something is called. It carries a formal, slightly archaic, 
结伴|jié//bàn|VERB go with &#32467;&#20276;&#32780;&#34892; ji&#233;b&#224;n &#233;r x&#237;ng go (or travel) in a group; travel together
穷追不舍|qióngzhuībùshě|to pursue relentlessly; to chase without giving upNuances:This term often implies an aggressive or persistent pursuit, whether in a physical chase (e.g., hunting, tracking) or a metaphorical one (e.g.
追上|zhuīshàng|to overtake
抛下|pāoxià|To abandon; to leave behind (someone or something, often abruptly or selfishly).Nuances:"抛下" implies a deliberate or sudden act of forsaking, carrying emotional weight—ranging from betrayal ("abandoni
通勤|tōngqín|VERB commute &#27599;&#22825;&#22312;&#20140;&#27941;&#20004;&#22320;&#20043;&#38388;&#36890;&#21220; M&#283;iti&#257;n z&#224;i j&#299;ng j&#299;n li&#462;ng d&#236; zh&#299;ji&#257;n t&#333;ngq&#237
愈发|yùfā|ADVERB all the more; even more; further &#21464;&#24471;&#24840;&#21152;&#27169;&#31946; Bi&#224;n de y&#249;ji&#257; m&#243;hu become even more indistinct &#36807;&#20102;&#20013;&#31179;, &#22825;&#
社团|shètuán|NOUN 1&#9;mass organizations; society 2&#9;community &#35328;&#35821;&#31038;&#22242; y&#225;ny&#468; sh&#232;tu&#225;n speech community
况且|kuàngqiě|CONJUNCTION moreover; besides; in addition &#36825;&#25151;&#23376;&#22826;&#36149;, &#20917;&#19988;&#22320;&#28857;&#20063;&#19981;&#36866;&#20013;&#12290; Zh&#232; f&#225;ngzi t&#224;i gu&#236;, ku
附和|fùhè|VERB OFTEN PEJORATIVE echo; chime in with &#38468;&#21644;&#21035;&#20154;&#30340;&#24847;&#35265; F&#249; h&#232; bi&#233;ren de y&#236;jian echo other people&#8217;s views
随口|suíkǒu|ADVERB speak thoughtlessly or casually; blurt out whatever comes into one's head &#38543;&#21475;&#31572;&#24212; Su&#237;k&#466;u d&#257;ying say &#8220;yes&#8221; absent-mindedly; agree without thin
随口答应|Suíkǒudāying|say &#8220;yes&#8221; absent-mindedly; agree without thinking
社交|shèjiāo|NOUN social intercourse; social contact; social life &#25797;&#38271;&#31038;&#20132; sh&#224;nch&#225;ng sh&#232;ji&#257;o be a good mixer &#21916;&#27426;&#31038;&#20132; x&#464;huan sh&#232;ji&#257
融入|róngrù|VERB integrate into &#34701;&#20837;&#31038;&#21306;&#29983;&#27963; r&#243;ngr&#249; sh&#232;q&#363; sh&#275;nghu&#243; integrate well into the life of one&#8217;s neighbourhood
无忧无虑|wúyōu-wúlǜ|IDIOM free from care; free from all anxieties; carefree
听任|tīngrèn|To allow; to let happen; to leave to; to tolerate passivelyNuance“听任” conveys a sense of passive permission or resignation—allowing something to happen without intervention, whether willingly or helpl
茫然|mángrán|blank; at a loss; bewilderedNuances:This term describes a state of mental confusion or emptiness, where one feels disoriented, unsure how to proceed, or lacking understanding. It often follows unexpec
半点|bàndiǎn|“Not the slightest bit” or “even a trace.”Nuance半点 literally means “half a point,” but in usage it intensifies the sense of smallness to the extreme. It often appears in negative contexts to stress th
别无他法|biéwútāfǎ|there is no alternative
别无选择|biéwúxuǎnzé|to have no other choice
点击|diǎn//jī|VERB click; point and click (with a computer mouse)
快进|kuàijìn|VERB fast-forward
压根|yàgēn|From the Very Root / At All / Simply (Not)Nuance压根 is a colloquial adverb, almost exclusively used in negative sentences or rhetorical questions to express a strong, absolute negation. It emphasizes t
头衔|tóuxián|NOUN title (a sign of rank, profession, etc.)
话虽如此|huàsuīrúcǐ|Having said that; be that as it may; neverthelessNuance:话虽如此 is a concessive phrase that acknowledges the validity of a preceding point while introducing a contrasting or qualifying perspective. It li
动漫|dòngmàn|Animation and comics; anime and mangaNuance“动漫” is a modern compound term combining “动画” (animation) and “漫画” (comics). It generally refers to the broader world of animated works and illustrated story
许诺|xǔnuò|VERB promise &#35768;&#35834;&#36807;&#22810;, &#31561;&#20110;&#30333;&#35828;&#12290; x&#468;nu&#242; gu&#242;du&#333;, d&#283;ngy&#250; b&#225;ishu&#333;. He that promises too much means zero. &#20
脑壳|nǎoké|NOUN 1&#9;skull 2&#9;DIALECT head
预谋|yùmóu|VERB premeditate; plan beforehand &#39044;&#35851;&#26432;&#20154; y&#249;m&#243;u sh&#257;r&#233;n plan a murder; murder with malice prepense &#39044;&#35851;&#30340;&#29359;&#32618; y&#249;m&#243;u 
区区|qūqū|Mere; trifling; insignificant; only (used modestly or dismissively)Nuance“区区” is a modest or dismissive term used to emphasize how small, limited, or insignificant something is—either to downplay one’
纸杯|zhǐbēi|NOUN paper cup
元气|yuánqì|vitality; life force; fundamental energy (in TCM or general health)Nuances:Originates from traditional Chinese medicine, describing one’s core physical/mental resilience. Often used in "元气大伤" (severel
环顾|huángù|VERB look about (or round) &#29615;&#39038;&#22235;&#21608; hu&#225;ng&#249;s&#236;zh&#333;u look around &#29615;&#39038;&#22269;&#38469;&#23616;&#21183; hu&#225;ng&#249; gu&#243;j&#236; j&#250;sh&#23
嚣张|xiāozhāng|arrogant; aggressive; unbridled (of behavior or attitude)Nuances:This term describes an overtly domineering and provocative manner that flaunts power or contempt for others. It implies a reckless lack
认定|rèndìng|To Firmly Believe / To Maintain (a viewpoint) / To Determine / To Acknowledge (officially)Nuance认定 conveys a strong sense of conviction, meaning to hold a belief, opinion, or judgment firmly and with 
敬意|jìngyì|NOUN respect; tribute &#19981;&#25104;&#25964;&#24847; B&#249;ch&#233;ngj&#236;ngy&#236; just a small token of my regard [said when presenting a gift] &#34920;&#31034;&#34935;&#24515;&#30340;&#25964;&
要素|yàosù|NOUN essential factor; key element
齐全|qíquán|“Complete” or “fully equipped.”Nuance齐全 emphasizes that all necessary items, parts, or aspects are present and nothing is missing. It is often used to describe things like facilities, documents, equip
尺码|chǐmǎ|NOUN 1&#9;size; measures &#20320;&#31359;&#22810;&#22823;&#23610;&#30721;&#30340;&#38795;&#65311; N&#464; chu&#257;n du&#333; d&#224; ch&#464;m&#462; de xi&#233;&#65311; What size shoes do you wear? 2
腻|nì|NOUN dirt; grime &#23576;&#33147; ch&#233;nn&#236; dirt VERB (of food that is too greasy or sweet) make one sick; cloying &#32933;&#32905;&#33147;&#20154;&#12290; F&#233;ir&#242;u n&#236; r&#233;n. Fa
禁果|jìnguǒ|NOUN forbidden fruit &#20599;&#23581;&#31105;&#26524; t&#333;uch&#225;ngj&#236;ngu&#466; eat the forbidden fruit&#8212;have illicit (esp. premarital) sexual relations
涵义|hányì|NOUN meaning; implication &#36825;&#21477;&#35805;&#21547;&#20041;&#28145;&#21051;&#12290; Zh&#232; j&#249; hu&#224; h&#225;ny&#236; sh&#275;nk&#232;. This remark has profound implications. &#36825;&#
青梅竹马|qīngméi-zhúmǎ|Childhood sweethearts; a boy and a girl who grew up playing innocently togetherNuance:青梅竹马 is a poetic idiom that paints a vivid picture of an innocent, intimate friendship between a boy and a girl fr
没心没肺|méixīn-méifèi|Heartless and Feckless / Carefree and UnconcernedNuance没心没肺 is an idiom with two distinct, context-dependent meanings. In a negative sense, it describes a person who is inconsiderate, ungrateful, or l
简史|jiǎnshǐ|NOUN brief history; sketch &#20154;&#31867;&#25991;&#21270;&#21457;&#23637;&#31616;&#21490; r&#233;nl&#232;i w&#233;nhu&#224; f&#257;zh&#462;n ji&#462;nsh&#464; a sketch of the rise of human culture
内核|nèihé|NOUNcrux of a matter; kernel; coreKernel (computing)
补丁|bǔding|NOUN 1&#9;patch &#25171;&#34917;&#19969; d&#462; b&#468;ding put (or sew) on a patch; patch up 2&#9;COMPUTING patch
归档|guī//dàng|To File / To ArchiveNuance归档 is a verb used in administrative, archival, and digital contexts. It refers to the systematic process of sorting documents, records, or data and storing them in an organiz
缔造|dìzào|VERB found; create
基于|jīyú|Based on; on the basis of; in light of.Nuance: 基于 is a formal or semi-formal phrase used to indicate that a conclusion, action, or decision is derived from certain facts, principles, reasoning, or evi
若干|ruògān|a number of; several; someNuances:This term is used to indicate an indefinite but relatively small quantity or variety of items, people, or concepts. It implies a nonspecific amount that is more than 
并行|bìngxíng|VERB 1&#9;walk abreast; run side by side &#25658;&#25163;&#24182;&#34892; xi&#233;sh&#466;u b&#236;ngx&#237;ng walk hand in hand 2&#9;do two things at once; concurrent &#25171;&#38024;&#21507;&#33647;
置信|zhìxìn|VERB [usu. in the negative] believe &#19981;&#21487;&#32622;&#20449; b&#249;k&#283; zh&#236;x&#236;n not to be believed &#38590;&#20197;&#32622;&#20449; n&#225;ny&#464;zh&#236;x&#236;n hardly believab
参见|cānjiàn|To have an audience with; to pay respects to (a superior); cf.; see also.Nuance参见 is a formal verb with two distinct meanings. Its primary, historical meaning is to present oneself before a superior, 
游刃有余|yóurèn-yǒuyú|to handle a task with ease; to be more than capableNuances:From a butcher skillfully maneuvering a blade between bones; implies effortless mastery amid complexity.Example Sentences:他经验丰富，处理这类问题游刃有余。(W
理清|lǐ//qīng|VERB straighten up (or out) &#29702;&#28165;&#24605;&#36335; l&#464;q&#299;ngs&#299;l&#249; put one&#8217;s ideas into shape &#29702;&#28165;&#36134;&#30446; l&#464;q&#299;ng zh&#224;ngm&#249; straigh
存储|cúnchǔ|to store; storage (especially data or goods)Nuances:This term refers to the act of preserving items or information for future use, with a technical leaning towards data, memory, or inventory managemen
困惑|kùnhuò|ADJECTIVE perplexed; puzzled; confused; bewildered &#22256;&#24785;&#19981;&#35299; k&#249;nhu&#242;b&#249;ji&#283; feel puzzled &#22256;&#24785;&#30340;&#31070;&#33394; k&#249;nhu&#242; de sh&#233;ns
快照|kuàizhào|NOUN snapshot
近似|jìnsì|VERB approximate; be similar &#36825;&#20004;&#24133;&#30011;&#26377;&#20123;&#36817;&#20284;&#12290; Zh&#232; li&#462;ng f&#250; hu&#224; y&#466;uxi&#275; j&#236;ns&#236;. These two paintings are som
变更|biàngēng|VERB change; alter; modify &#21464;&#26356;&#25152;&#26377;&#21046; bi&#224;ng&#275;ng su&#466;y&#466;uzh&#236; change the system of ownership &#21464;&#26356;&#20316;&#24687;&#26102;&#38388; bi&#224;
列表|lièbiǎo|List; tabulation; rosterNuance: 列表 refers to an organized arrangement of items, names, data, or information, usually presented in a clear, sequential format. It emphasizes structure and clarity, makin
反之|fǎnzhī|CONJUNCTION LITERARY whereas; on the other hand; conversely &#21453;&#20043;&#20134;&#28982; f&#462;nzh&#299;y&#236;r&#225;n vice versa &#21453;&#20043;&#21017;&#19981;&#28982; f&#462;nzh&#299; z&#233
更新|gēngxīn|VERB 1&#9;replace; update; renew &#26356;&#26032;&#35774;&#22791; g&#275;ng x&#299;n sh&#232; b&#232;i renew equipment 2&#9;(of forest, plants, etc.) renew; rejuvenate; renovate &#26356;&#26032;&#3360
索引|suǒyǐn|NOUN index &#32034;&#24341;&#25991;&#20214; su&#466;y&#464;n w&#233;nji&#224;n index file &#26631;&#39064;&#32034;&#24341; bi&#257;ot&#237; su&#466;y&#464;n subject index &#21345;&#29255;&#32034;&#243
完整性|wánzhěngxìng|1&#9;integrity 2&#9;completeness
超凡|chāofán|VERB transcend the worldly; out of the ordinary; uncommon &#36229;&#20961;&#33073;&#20439; ch&#257;of&#225;n-tu&#333;s&#250; supermundane and refined &#27494;&#33402;&#36229;&#20961; w&#468;y&#236; ch
赐给|cìgěi|To bestow; to grant; to give (from a superior to an inferior, often with a sense of grace or favor).Nuance赐给 is a formal verb that describes the act of giving by someone of higher status—such as an em
获取|huòqǔ|VERB procure; obtain; gain; reap &#33719;&#21462;&#26292;&#21033; Hu&#242;q&#468; b&#224;ol&#236; reap staggering (or colossal) profits
查找|cházhǎo|VERB look for; search for &#26597;&#25214;&#22833;&#20027; Ch&#225;zh&#462;o sh&#299;zh&#468; try to find the owner of the lost property &#26597;&#25214;&#25991;&#20013;&#30340;&#25340;&#20889;&#38169
离线|líxiàn|offline (computing)
上传|shàngchuán|VERB 1&#9;TELECOMMUNICATIONS upload (opp. &#19979;&#36733;) &#19978;&#20256;&#21040;&#26381;&#21153;&#22120; sh&#224;ngchu&#225;n d&#224;o f&#250;w&#249;q&#236; upload onto the server 2&#9;report to t
校验|jiàoyàn|to verify; to check; validationNuances:This technical term refers to the process of examining accuracy, authenticity, or functionality, often through systematic methods or tools. It is commonly used i
十六进制|shíliùjìnzhì|NOUNHexadecimal
添加|tiānjiā|VERB add; increase &#32473;&#28779;&#28155;&#21152;&#26408;&#26612; G&#283;i hu&#466; ti&#257;nji&#257; m&#249;ch&#225;i add wood to the fire
弄糟|nòng//zāo|VERB mess up; bungle; spoil &#20182;&#19968;&#25554;&#25163;, &#23601;&#25226;&#20107;&#24773;&#20840;&#24324;&#31967;&#20102;&#12290; T&#257; y&#299; ch&#257;sh&#466;u, ji&#249; b&#462; sh&#236;qing 
宽泛|kuānfàn|ADJECTIVE (of meanings) wide in range &#36825;&#20010;&#35789;&#30340;&#28085;&#20041;&#24456;&#23485;&#27867;&#12290; Zh&#232;ge c&#237; de h&#225;ny&#236; h&#283;n ku&#257;nf&#224;n. This word has m
克隆|kèlóng|VERB TRANSLITERATION 1&#9;BIOLOGY clone 2&#9;FIGURATIVE copy; imitate &#20811;&#38534;&#19968;&#31181;&#26032;&#20135;&#21697; k&#232;l&#243;ng y&#299; zh&#466;ng x&#299;nch&#462;np&#464;n clone a new
流程|liúchéng|NOUN 1&#9;distance travelled by a stream of water; flow path &#29983;&#21629;&#30340;&#27969;&#31243; sh&#275;ngm&#236;ng deli&#250;ch&#233;ng life span 2&#9;ABBREVIATION = &#24037;&#33402;&#27969;&#3
破碎|pòsuì|ADJECTIVE broken; in tatters &#30772;&#30862;&#30340;&#29627;&#29827; P&#242;su&#236; de b&#333;li broken glass &#19968;&#39063;&#30772;&#30862;&#30340;&#24515; y&#299; k&#275; p&#242;su&#236; de x&#2
命令行|mìnglìngháng|command line (computing)
问答|wèndá|VERB ask and answer; questions and answers; Q and A
实时|shíshí|ADVERB real time
三言两语|sānyán-liǎngyǔ|in a few words; briefly statedNuances:This idiom (lit. "three words, two phrases") describes concise expression, often implying that something can be simply explained or doesn't require lengthy discus
概述|gàishù|NOUN summary; survey; sketch VERB give a brief account of (an event, etc.)
跨平台|kuàpíngtái|cross-platform
界面|jièmiàn|NOUN interface &#30028;&#38754;&#30005;&#33655; ji&#232;mi&#224;n di&#224;nh&#232; interface charge &#30028;&#38754;&#32467;&#26500; ji&#232;mi&#224;n ji&#233;g&#242;u interface structure TELECOMMUNIC
桌面|zhuōmiàn|NOUN 1&#9;top of a table; tabletop 2&#9;COMPUTING desktop
宽松|kuānsong|ADJECTIVE COLLOQUIAL 1&#9;(of clothes) loose and comfortable &#23485;&#26494;&#30340;&#22899;&#26381; ku&#257;nsong de n&#474; f&#250; sack 2&#9;(of space) not crowded; spacious &#36825;&#20010;&#3671
抽成|chōu//chéng|Take a percentage; deduct a commission; earn a cutNuance: 抽成 refers to taking a portion of earnings, revenue, or profits, usually as a fee, commission, or share. It is commonly used in business, sales
备注|bèizhù|NOUN remarks
综述|zōngshù|Summary / Overview / Literature ReviewNuance综述 is a noun referring to a comprehensive summary or overview of a topic, often synthesizing information from multiple sources. It is most commonly used in 
模块|mókuài|NOUN 1&#9;model block 2&#9;COMPUTING module &#31227;&#21160;&#27169;&#22359; y&#237;d&#242;ng m&#243;ku&#224;i mobile module
牟取|móuqǔ|To Seek / To Obtain (often illicitly or by improper means)Nuance牟取 is a verb that carries a distinctly negative connotation, referring to the act of seeking or obtaining something—most commonly profit
造访|zàofǎng|"To pay a visit; to call on someone" (a formal or polite term for visiting, often with prior arrangement).Nuances:造访 (zào fǎng) is more formal than 拜访 (bài fǎng) and implies respectful intent, often u
总之|zǒngzhī|CONJUNCTION 1&#9;in a word; in short; in brief &#25105;&#26159;&#26082;&#27809;&#24037;&#22827;&#21448;&#27809;&#20852;&#36259;, &#24635;&#20043;, &#25105;&#19981;&#24178;&#12290; W&#466; sh&#236; j&#
羞怯|xiūqiè|ADJECTIVE shy; timid; sheepish &#23569;&#22899;&#30340;&#32670;&#24623; Sh&#224;on&#474; dexi&#363;qi&#232; maiden bashfulness &#32670;&#24623;&#24471;&#35828;&#19981;&#20986;&#35805;&#26469; xi&#363;
腾出|téngchū|"to vacate," "to free up," "to make space/time available" (refers to clearing or releasing something previously occupied).Nuance:Often used for physical spaces (e.g., rooms, seats) or abstract resourc
