一带|yīdài|NOUN neighbour area &#27743;&#21335;&#19968;&#24102;&#38632;&#37327;&#20805;&#36275;&#12290; Ji&#257;ngn&#225;n y&#299;d&#224;i y&#468;li&#224;ng ch&#333;ngz&#250;. The area south of the Yangtze River
愧|kuì|ADJECTIVE LITERARY ashamed; abashed; conscience-stricken &#24871;&#26381; ku&#236;f&#250; feel ashamed of one&#8217;s inferiority and admire the others &#24871;&#24724; ku&#236;hu&#464; ashamed and re
省会|shěnghuì|provincial capitalNuances:This term refers to the administrative center of a Chinese province, where the provincial government is located. It implies not just geographic importance but also political,
疲惫|píbèi|ADJECTIVE tired out; exhausted &#30130;&#24811;&#19981;&#22570; p&#237;b&#232;ib&#249;k&#257;n in a state of utter exhaustion; dog-tired; debilitated; whacked VERB tire sb. out &#30446;&#30340;&#26159
郑重|zhèngzhòng|Solemn; serious; earnest; formal.Nuance: 郑重 describes an attitude or manner that is serious, respectful, and carefully considered. It is often used in formal or official contexts, emphasizing sincerit
谈起|tánqǐ|1&#9;to mention 2&#9;to speak of 3&#9;to talk about
打拼|dǎpīn|VERB do one's best; put in great effort &#32463;&#36807;&#22810;&#24180;&#25171;&#25340;&#25165;&#21462;&#24471;&#20170;&#22825;&#30340;&#25104;&#23601;&#12290; J&#299;nggu&#242; du&#333; ni&#225;n d&
住处|zhùchu|NOUN residence; dwelling (place); lodging; quarters &#20020;&#26102;&#20303;&#22788; l&#237;nsh&#237; zh&#249;chu temporary dwelling &#27704;&#20037;&#20303;&#22788; y&#466;ngji&#468; zh&#249;chu perm
独居|dújū|live a solitary existence; live alone
遇害|yù//hài|To be murdered; to be killed (in a violent incident).Nuance遇害 is a formal verb used to describe a person being killed, typically as a result of a violent crime, attack, or act of violence. The term ca
熏|xūn|VERB 1&#9;expose to smoke or fumes; fumigate &#29071;&#34442;&#23376; x&#363;n w&#233;nzi smoke out mosquitoes &#33261;&#27668;&#29071;&#22825; ch&#242;uq&#236;x&#363;nti&#257;n stink to heaven &#2999
双马尾|shuāngmǎwěi|1&#9;(hairstyle) unplaited pigtails 2&#9;twin ponytails 3&#9;bunches
直勾勾|zhígōugōu|ADJECTIVE (stare) fixedly 他直勾勾地望着我。 Tā zhígōugōu de wàngzhe wǒ. He stared fixedly at me.
莫名其妙|mòmíng-qímiào|IDIOM 1&#9;unable to make head or tail of sth.; baffled &#20182;&#20026;&#20160;&#20040;&#35762;&#36825;&#30058;&#35805;, &#30495;&#21483;&#20154;&#33707;&#21517;&#20854;&#22937;&#12290; T&#257; w&#23
冲刺|chōngcì|to sprint; to make a final pushNuances:Describes a burst of effort toward a goal, often in sports, exams, or project deadlines.Example Sentences:运动员在最后一百米全力冲刺。(The athlete sprinted at full speed in th
阻拦|zǔlán|VERB stop; obstruct; bar the way &#20182;&#20915;&#24515;&#35201;&#36208;, &#25105;&#20204;&#20063;&#19981;&#22909;&#38459;&#25318;&#12290; T&#257; ju&#233;x&#299;n y&#224;o z&#466;u, w&#466;men y&#28
哑铃|yǎlíng|NOUN SPORTS dumbbell
所幸|suǒxìng|fortunately (formal writing)
合成|héchéng|to synthesize; to combine into a whole; compositeNuances:This term describes the process of integrating separate elements—whether chemical compounds, digital media, or conceptual parts—into a unified,
断断续续|duànduàn-xùxù|ADJECTIVE intermittent; off and on &#26029;&#26029;&#32493;&#32493;&#22320;&#35828; du&#224;ndu&#224;nx&#249;x&#249; de shu&#333; speak haltingly &#26029;&#26029;&#32493;&#32493;&#35835;&#36807;&#2223
啥|shá|PRONOUN DIALECT what &#21861;&#22320;&#26041;&#65311; sh&#225; d&#236;fang&#65311; Where? &#26377;&#21861;&#35828;&#21861; y&#466;ush&#224;shu&#333;sh&#225; say what one has to say; come out with what
呼噜|hūlū|ONOMATOPOEIA wheezing sound; hoarse whistling sound &#20182;&#21897;&#21657;&#37324;&#21628;&#22108;&#21628;&#22108;&#22320;&#21709;&#12290; T&#257; h&#243;ul&#243;ng l&#464; h&#363;l&#363; h&#363;l&#
终究|zhōngjiū|ADVERB eventually; in the end; after all &#20320;&#32456;&#31350;&#20250;&#26126;&#30333;&#30340;&#12290; N&#464; zh&#333;ngji&#363; hu&#236; m&#237;ngbai de. Eventually you&#8217;ll understand. &#199
强行|qiángxíng|VERB force &#24378;&#34892;&#38383;&#20837; qi&#225;ngx&#237;ngchu&#462;ngr&#249; force one&#8217;s way in &#24378;&#34892;&#30331;&#38470; qi&#225;ngx&#237;ng d&#275;ngl&#249; force a landing &#24378
搭讪|dāshan|VERB 1&#9;strike up a conversation with sb. &#20182;&#24635;&#26159;&#19968;&#36793;&#21334;&#19996;&#35199;&#19968;&#36793;&#21644;&#39038;&#23458;&#25645;&#35754;&#12290; T&#257; z&#466;ngsh&#236; y
珠圆玉润|zhūyuán-yùrùn|Round as pearls and smooth as jade; (figuratively) mellow voice, graceful figure, or polished writingNuance:珠圆玉润 is a classical idiom that originally described something as perfectly round and smooth 
修长|xiūcháng|ADJECTIVE tall and thin; slender &#20462;&#38271;&#30340;&#36523;&#26448; xi&#363;ch&#225;ng de sh&#275;nc&#225;i slender figure
俏丽|qiàolì|pretty and lively; charmingly beautifulNuances:This term describes a vibrant, attractive beauty that combines physical prettiness with spirited energy. It suggests a freshness and vivacity that goes b
电瓶车|diànpíngchē|storage battery car; electromobile; electric car
避讳|bìhui|VERB 1&#9;avoid a taboo subject; put under a taboo; taboo 2&#9;evade; dodge &#36991;&#35763;&#36825;&#20010;&#38382;&#39064; B&#236;hui zh&#232;ge w&#232;nt&#237; evade the issue
光天化日|guāngtiān-huàrì|Broad Daylight / In Broad DaylightNuance光天化日 is an idiom that refers to the time of day when the sun is shining brightly and everything is clearly visible—broad daylight. It is almost always used to e
自作主张|zìzuò-zhǔzhāng|IDIOM act on one's own; decide for oneself &#36825;&#20214;&#20107;&#25105;&#20204;&#24471;&#35831;&#31034;, &#19981;&#33021;&#33258;&#20316;&#20027;&#24352;&#12290; Zh&#232; ji&#224;n sh&#236; w&#466
抽奖|chōu//jiǎng|"To draw lots; to hold a lottery" (a game of chance where participants win prizes).Nuances:抽奖 (chōu jiǎng) refers to organized prize draws, common in promotions, events, or festivals. It implies excit
浑浑噩噩|húnhún'è'è|IDIOM muddle-headed and ignorant
减慢|jiǎnmàn|to slow down
遮住|zhēzhù|1&#9;to cover (up) 2&#9;to block 3&#9;to obstruct 4&#9;to shade
二致|èrzhì|(Used in negative constructions) different; discrepancy.Nuance二致 is a formal term that appears almost exclusively in the negative phrase 毫无二致 or 无二致, meaning "without any difference" or "identical." L
愧疚|kuìjiù|guilt; remorse; self-reproachNuances:This term describes a deep sense of moral guilt for one’s mistakes or failures, often mixed with regret and the desire to make amends. It implies introspection and
天堂|tiāntáng|NOUN 1&#9;Paradise; Heaven 2&#9;perfect place
二次元|èrcìyuán|1&#9;two-dimensional 2&#9;the fictional worlds of anime, comics and games
避嫌|bì//xián|VERB avoid doing anything that may arouse suspicion; avoid arousing suspicion &#26696;&#23376;&#29301;&#28041;&#21040;&#20182;&#30340;&#23478;&#20154;, &#20182;&#24212;&#35813;&#36991;&#23244;&#12290;
捉弄|zhuōnòng|to tease; to play tricks on someone; to make fun of (often with mild mischief)Nuances:Lighthearted teasing among friends, but can edge into mean-spiritedness depending on tone/context. Less severe tha
吐槽|tùcáo|1&#9;(slang) to roast 2&#9;to ridicule 3&#9;also pr. [t&#468;c&#225;o]
豪横|háohèng|Overbearing; tyrannical; domineering (negative connotation) / Generous and bold (positive connotation, rare usage)Nuances:Most commonly used to describe someone who bullies others with arrogance and p
发愣|fālèng|VERB stare blankly; be in a daze (or trance) &#20182;&#35805;&#20063;&#19981;&#35828;, &#22352;&#22312;&#37027;&#37324;&#21457;&#21574;&#12290; T&#257; hu&#224; y&#283; b&#249; shu&#333;, zu&#242; z&#
突飞猛进|tūfēi-měngjìn|IDIOM advance by leaps and bounds; make giant strides &#29983;&#20135;&#21147;&#31361;&#39134;&#29467;&#36827;&#30340;&#21457;&#23637; Sh&#275;ngch&#462;nl&#236; t&#363;f&#275;im&#283;ngj&#236;n de f&
伪善|wěishàn|ADJECTIVE hypocritical &#20266;&#21892;&#30340;&#35328;&#35789; w&#283;ish&#224;n de y&#225;nc&#237; hypocritical words
提防|tífáng|1&#9;to guard against 2&#9;to be vigilant 3&#9;watch you don't (slip) 4&#9;Taiwan pr. [t&#237;f&#225;ng]
恶作剧|èzuòjù|NOUN practical joke; mischievous prank; mischief &#36825;&#23401;&#23376;&#24456;&#28120;&#27668;, &#21916;&#27426;&#24694;&#20316;&#21095;&#12290; Zh&#232; h&#225;izi h&#283;n t&#225;oq&#236;, x&#464
大大咧咧|dàda-liēliē|IDIOM careless; casual &#21035;&#30475;&#20182;&#22823;&#22823;&#21671;&#21671;&#30340;, &#20160;&#20040;&#20107;&#20182;&#37117;&#24456;&#22312;&#24515;&#12290; Bi&#233; k&#224;n t&#257; d&#224;dali&
力不从心|lìbùcóngxīn|One's ability falls short of one's wishes; unable to do what one wants to doNuance:力不从心 is an idiom that describes a situation where one's ambition, desire, or sense of responsibility exceeds one's ac
武功|wǔgōng|NOUN 1&#9;DATED military accomplishments (or achievements) 2&#9;VARIANT OF &#27494;&#24037;1 THEATER (in traditional opera) basic physical training which conditions the body for tumbling and stage fig
传销|chuánxiāo|VERB COMMERCE pyramid selling; multi-level marketing
窝点|wōdiǎn|NOUN den; hideout &#31471;&#25481;&#19968;&#20249;&#27969;&#27667;&#30340;&#31389;&#28857; du&#257;n di&#224;o y&#299;hu&#466; li&#250;m&#225;ng dew&#333;di&#462;n wipe out a den of ruffians
僵|jiāng|ADJECTIVE stiff; numb &#27985;&#36523;&#21457;&#20725; H&#250;nsh&#275;n f&#257; ji&#257;ng feel stiff all over &#20182;&#30340;&#33050;&#20923;&#20725;&#20102;&#12290; T&#257; de ji&#462;o d&#242;ngj
抚摸|fǔmō|VERB LITERARY caress; stroke &#20182;&#36731;&#36731;&#22320;&#25242;&#25705;&#25105;&#30340;&#22836;&#21457;&#12290; T&#257; q&#299;ngq&#299;ng de f&#468;m&#243; w&#466; de t&#243;ufa. He caressed my
毫发|háofà|NOUN LITERARY [usu. in the negative] hair; the least bit; the slightest &#27627;&#21457;&#19981;&#24046; h&#225;of&#224; b&#249; ch&#257; not deviate a hair&#8217;s breadth; be perfectly accurate &#27
翱翔|áoxiáng|VERB hover; soar &#21521;&#39640;&#31354;&#32753;&#32724; Xi&#224;ng g&#257;ok&#333;ng &#225;oxi&#225;ng soar high into the air &#28023;&#40485;&#22312;&#24778;&#28059;&#39559;&#28010;&#19978;&#32753;
天际|tiānjì|Skyline / Horizon / HeavensNuance天际 is a literary and poetic term referring to the horizon or the skyline—the visible line where the earth's surface meets the sky, or the far expanse of the sky itself
粉身碎骨|fěnshēn-suìgǔ|IDIOM have one's body smashed to pieces and one's bones ground to powder&#8212;die the most cruel death
你妈|nǐmā|1&#9;(interjection) fuck you 2&#9;(intensifier) fucking
吃瘪|chī//biě|to be frustrated; to be humiliated; to suffer a setbackNuances:A colloquial term describing the experience of being embarrassed or defeated, often in a social or competitive context.Example Sentences:
居然|jūrán|ADVERB 1&#9;unexpectedly; actually; to one's surprise &#20320;&#24590;&#20040;&#23621;&#28982;&#30456;&#20449;&#36825;&#31181;&#35875;&#35328;&#65311; N&#464; z&#283;nme j&#363;r&#225;n xi&#257;ngx&#2
完结|wánjié|VERB end; be over; finish &#20107;&#24773;&#24182;&#27809;&#26377;&#23436;&#32467;&#12290; Sh&#236;qing b&#236;ng m&#233;iy&#466;u w&#225;nji&#233;. This is not the end of the matter.
炒作|chǎozuò|VERB 1&#9;hype sth. up; sensationalize &#22823;&#32902;&#28818;&#20316; d&#224;s&#236; ch&#462;ozu&#242; excessive, exaggerated publicity 2&#9;speculate in (stocks, e.g.)
毯子|tǎnzi|NOUN blanket
井水不犯河水|jǐngshuǐbùfànhéshuǐ|To Mind One's Own Business / To Keep Separate DomainsNuance井水不犯河水 is an idiom that describes a situation where two parties or domains have no interaction, interference, or conflict with each other, ea
歌姬|gējī|singing girl; female entertainer
说唱|shuōchàng|rap music; rhythmic speaking or chantingNuances:Refers to the musical genre (e.g., hip-hop) or a performance style blending speech and rhythm.Example Sentences:他擅长即兴说唱，总能点燃现场气氛。(He excels at freestyle
回击|huíjī|VERB fight back; return fire; counterattack &#32473;&#20197;&#26377;&#21147;&#30340;&#22238;&#20987; g&#283;iy&#464; y&#466;ul&#236; de hu&#237;j&#299; strike a powerful counterblow; hit back hard
出镜|chū//jìng|To appear on camera; on-screen appearance; to show up in a shot.Nuance: 出镜 refers to someone or something appearing in front of a camera, whether in films, TV shows, news reports, or photography. It e
瞅|chǒu|VERB DIALECT look at &#35753;&#25105;&#30597;&#30597;&#12290; R&#224;ng w&#466; ch&#466;u ch&#466;u. Let me have a look. &#22905;&#30597;&#20102;&#25105;&#19968;&#30524;&#12290; T&#257; ch&#466;u le w
铁粉|tiěfěn|(slang) hardcore fan (abbr. for ti&#283;g&#462;nf&#283;ns&#299; [&#38081;&#26438;&#31881;&#19997;])
冰棍|bīnggùn|1&#9;popsicle 2&#9;ice lolly M: g&#275;n [&#26681;]
不辞而别|bùcí'érbié|IDIOM go away without taking leave; leave without saying goodbye &#25105;&#19981;&#30693;&#36947;&#20182;&#20026;&#20160;&#20040;&#19981;&#36766;&#32780;&#21035;&#12290; w&#466; b&#249;zh&#299;d&#224;
失神|shī//shén|to be distracted; to be in a daze; to lose consciousnessNuances:This term describes a state of mental absence, whether due to distraction, shock, or fainting. It implies a temporary disconnect from on
此时|cǐshí|NOUN this moment; right now &#27492;&#26102;&#27492;&#22320; c&#464;sh&#237;c&#464;d&#236; here and now &#27492;&#26102;&#27492;&#21051; C&#464;sh&#237;c&#464;k&#232; at this very moment &#27492;&#261
笑眯眯|xiàomīmī|ADJECTIVE smiling; with a genial smile on one's face &#20182;&#32769;&#26159;&#31505;&#30511;&#30511;&#30340;&#12290; T&#257; l&#462;oshi xi&#224;om&#299;m&#299; de. He&#8217;s always smiling.
白大褂|báidàguà|NOUN COLLOQUIAL doctor's coat; doctor's overall &#31359;&#30333;&#22823;&#35074;&#30340; chu&#257;n b&#225;id&#224;gu&#224; de doctor or nurse
转学|zhuǎn//xué|VERB (of a student) transfer from one school to another; school transfer
微微|wēiwēi|ADVERB slightly; faintly &#24494;&#24494;&#19968;&#31505; w&#275;iw&#275;i y&#299; xi&#224;o smile faintly NOUN micromicro-; pico-
咽|yàn|VERB swallow &#21693;&#19968;&#21475;&#27700; y&#224;n y&#299; k&#466;u shu&#464; take a swallow of water &#20182;&#35805;&#21040;&#22068;&#36793;&#21448;&#21693;&#20102;&#22238;&#21435;&#12290; T&#25
鸡毛蒜皮|jīmáo-suànpí|Trivial; petty; insignificant (literally "chicken feathers and garlic skins").Nuance鸡毛蒜皮 is a vivid, colloquial idiom used to describe matters of no importance—small, trivial, or petty issues not wort
不经意|bùjīngyì|Unintentionally; carelessly; without paying attention; casually.Nuance不经意 is an adjective and adverb that describes an action or state that occurs without deliberate intention, conscious thought, or f
贴合|tiēhé|Fit closely; match; correspond; be in harmony withNuance: 贴合 describes a close fit, alignment, or harmony between two things. It can be used both literally—such as physical objects fitting closely tog
证实|zhèngshí|VERB confirm; verify; bear out &#35777;&#23454;&#19968;&#20010;&#31185;&#23398;&#19978;&#30340;&#20551;&#35774; zh&#232;ngsh&#237; y&#299; ge k&#275;xu&#233; sh&#224;ng de ji&#462;sh&#232; verify (or 
付诸东流|fùzhū-dōngliú|IDIOM thrown into the eastward flowing stream&#8212;all one's efforts wasted; irrevocably lost
归于|guīyú|To belong to; to be attributed to; to result in; to return to.NuanceThe term 归于 is a classical and formal verb whose meaning shifts significantly based on context. Its core idea is "to go back to" or 
馈赠|kuìzèng|VERB present (a gift); make a present of sth.
睡美人|shuìměirén|NOUN Sleeping Beauty
澄澈|chéngchè|ADJECTIVE LITERARY transparently clear; crystal clear &#27743;&#27700;&#28548;&#28552;&#35265;&#24213;&#12290; ji&#257;ngshu&#464; ch&#233;ngch&#232; ji&#224;n d&#464;. The river is so clear you can s
唤醒|huàn//xǐng|VERB wake up; awaken &#21796;&#37266;&#20154;&#27665; Hu&#224;nx&#464;ng r&#233;nm&#237;n arouse the people &#20182;&#30561;&#24471;&#27491;&#39321;, &#25105;&#19981;&#24895;&#21796;&#37266;&#20182;&#
调戏|tiáoxi|To tease; to make sexual advances; to harassNuance:调戏 is a verb that describes the act of making improper, flirtatious, or sexually suggestive remarks or advances toward someone, often in a way that i
清脆|qīngcuì|ADJECTIVE 1&#9;clear and melodious &#28165;&#33030;&#30340;&#27468;&#22768; Q&#299;ngcu&#236; de g&#275;sh&#275;ng clear and melodious singing 2&#9;(of carrot, cucumber, etc.) crisp and fresh
橱柜|chúguì|NOUN 1&#9;cupboard 2&#9;cupboard that also serves as a table; sideboard
不至于|bùzhìyú|VERB cannot go so far; most unlikely &#20182;&#19981;&#33267;&#20110;&#36830;&#36825;&#19968;&#28857;&#20799;&#36947;&#29702;&#20063;&#19981;&#26126;&#30333;&#12290; T&#257; b&#249;zh&#236;y&#250; li&
寄宿|jìsù|to board; to lodge (temporarily at someone’s home or a designated place)Nuances:Often refers to students living away from home (e.g., "寄宿学校" - boarding school) or temporary lodging.Example Sentences:她
寄宿学校|jìsùxuéxiào|boarding school; residential college
贫血|pínxuè|NOUN MEDICINE anaemia &#20877;&#29983;&#38556;&#30861;&#24615;&#36139;&#34880; z&#224;ish&#275;ng zh&#224;ng'&#224;i x&#236;ng p&#237;nxu&#232; aplastic anaemia
耕耘|gēngyún|to plow and weed; to cultivate (land or metaphorically)Nuances:This term originally describes the physical act of farming—tilling soil and removing weeds—but extends metaphorically to any diligent, su
赶忙|gǎnmáng|ADVERB hurriedly; hastily; make haste &#36214;&#24537;&#36807;&#21435;&#24110;&#20154;&#19968;&#25226; g&#462;nm&#225;ng gu&#242;qu b&#257;ng r&#233;n y&#299; b&#462; hurry over to help sb.
癖好|pǐhào|NOUN hobby; fondness for &#20182;&#26377;&#38598;&#37038;&#30340;&#30294;&#22909;&#12290; T&#257; y&#466;u j&#237;y&#243;u de p&#464;h&#224;o. His hobby is collecting stamps.
顺其自然|shùnqízìrán|to let things take their natural course; to go with the flowNuances:This phrase reflects a Taoist-inspired philosophy of accepting circumstances without forcing change. It can express either a relaxed
洋相|yángxiàng|NOUN silly sight; awkward behaviour; buffoonery &#27915;&#30456;&#30334;&#20986; y&#225;ngxi&#224;ngb&#462;ich&#363; play the buffoon; make a fool of oneself &#20986;&#27915;&#30456; ch&#363;y&#225;ng
稀疏|xīshū|sparse; thinly scatteredNuances:Describes low density in distribution (e.g., hair, trees, population).Example Sentences:爷爷头顶的头发已经稀疏。(The hair on grandpa’s head has grown sparse.)沙漠植物稀疏地分布在沙丘之间。(Desert
寝室|qǐnshì|NOUN 1&#9;DATED bedroom 2&#9;room (in a dormitory)
撩开|liāokai|1&#9;to push aside (clothing, curtain etc) to reveal something 2&#9;to toss aside
顶灯|dǐngdēng|Dome light; ceiling light; overhead lightNuance:顶灯 is a compound noun that literally means "top lamp." It specifically refers to a light fixture installed on the ceiling of a room or the interior roof
翻腾|fānténg|VERB seethe; rise; churn &#27874;&#28010;&#32763;&#33150; b&#333;l&#224;ng f&#257;nt&#233;ng seething (or turbulent) waves &#35768;&#22810;&#38382;&#39064;&#22312;&#20182;&#33041;&#23376;&#37324;&#327
豁然开朗|huòrán-kāilǎng|Suddenly see the light; everything becomes clear.Nuance: 豁然开朗 describes a mental state where confusion or uncertainty is suddenly resolved, and the truth or solution becomes obvious. It often conveys 
耳鸣|ěrmíng|NOUN ringing in ear; tinnitus &#25105;&#32819;&#40483;&#12290; W&#466; &#283;rm&#237;ng. My ears are ringing.
掉以轻心|diàoyǐqīngxīn|To let one's guard down; to treat lightly; to be carelessNuance:掉以轻心 is a negative idiom that describes the act of approaching something with insufficient seriousness, care, or attention, often result
折腾|zhēteng|1. to fiddle with; to tamper with; 2. to cause trouble; to make a fuss; 3. to toss and turn (e.g., in bed)Nuances:This versatile colloquial term can describe physical tinkering (often fruitless), pers
梦游|mèngyóu|VERB sleepwalk; somnambulism
起身|qǐ//shēn|VERB 1&#9;get up; get out of bed &#20182;&#27599;&#22825;&#36215;&#36523;&#21518;&#23601;&#20570;&#25805;&#12290; T&#257; m&#283;iti&#257;n q&#464;sh&#275;n h&#242;u ji&#249; zu&#242;c&#257;o. He exer
焦躁|jiāozào|restless; agitated; irritableNuances:Describes a state of mental unease or physical restlessness, often due to anxiety, impatience, or stress. It implies an uncomfortable, tense feeling that can't be 
混沌|hùndùn|NOUN Chaos (according to folklore, the primeval state of the universe) &#28151;&#27788;&#21021;&#24320; h&#249;nd&#249;nch&#363;k&#257;i when earth was first separated from heaven ADJECTIVE ignorant; 
混沌理论|hùndùnlǐlùn|chaos theory
预期|yùqī|VERB expect; anticipate; envision &#36798;&#21040;&#39044;&#26399;&#25928;&#26524; d&#225;d&#224;o y&#249;q&#299; xi&#224;ogu&#466; achieve the desired (or hoped-for) results &#32467;&#26524;&#21644;&
橡皮|xiàngpí|NOUN 1&#9;(vulcanized) rubber &#27233;&#30382;&#25163;&#22871; xi&#224;ngp&#237; sh&#466;ut&#224;o rubber (operating) gloves 2&#9;eraser; rubber
头像|tóuxiàng|Avatar; profile picture; portrait (of a person's head).Nuance头像 is a noun that refers to a representative image of a person or entity. In its traditional sense, it can mean a portrait focusing on the 
亦|yì|ADVERB LITERARY also; too &#20134;&#24037;&#20134;&#20892; y&#236;g&#333;ngy&#236;n&#243;ng be both worker and peasant &#20134;&#26080;&#19981;&#21487; y&#236; w&#250; b&#249;k&#283; why not &#21453;&
诉诸|sùzhū|VERB LITERARY resort to; appeal to &#35785;&#35832;&#27494;&#21147; s&#249;zh&#363;-w&#468;l&#236; resort to force; appeal to arms
探视|tànshì|VERB 1&#9;visit &#25506;&#35270;&#30149;&#20154; T&#224;nsh&#236; b&#236;ngr&#233;n visit a patient 2&#9;look; watch
