暖意|nuǎnyì|warmth
适量|shìliàng|ADJECTIVE of appropriate amount (or quantity); appropriate &#36816;&#21160;&#35201;&#36866;&#37327;&#12290; Y&#249;nd&#242;ng y&#224;o sh&#236;li&#224;ng. Exercise must be done in moderation. &#21152;
牛角包|niújiǎobāo|croissant
试管|shìguǎn|NOUN test tube
细致|xìzhì|"meticulous; careful; detailed"Nuance:细致 emphasizes doing something with great care, attention to detail, and thoroughness. It often suggests not only precision but also a certain delicacy or refineme
抖音|Dǒuyīn|Douyin, Chinese app for creating and sharing short videos, released in its international version as TikTok
美团点评|MěituánDiǎnpíng|Meituan-Dianping, China's largest service-focused e-commerce platform
页面|yèmiàn|NOUN COMPUTING page layout &#39029;&#38754;&#22823;&#23567; y&#232;mi&#224;n d&#224;xi&#462;o page size
点评|diǎnpíng|To comment on; to critique; to reviewNuance“点评” means to provide evaluative remarks or analysis, usually combining both commentary and assessment. It is often used in contexts like literary or film cr
晋升|jìnshēng|VERB promote; elevate
补强|bǔqiáng|1&#9;(engineering) to reinforce (a structure) 2&#9;to strengthen 3&#9;(fig.) to rectify shortcomings
次品|cìpǐn|NOUN substandard products; defective goods (opp. &#27491;&#21697;)
刻薄|kèbó|mean-spirited; cutting; harsh (usually describing words or attitudes)Nuances:This term describes remarks or behavior that are intentionally hurtful, often delivered with sharp sarcasm or cold precisio
一团糟|yītuánzāo|A complete mess, utter chaosNuance一团糟 is a vivid colloquial expression describing a situation, place, or condition that is extremely messy, disorganized, or chaotic. The phrase paints the picture of e
状况|zhuàngkuàng|NOUN condition; state; state of affairs &#20581;&#24247;&#29366;&#20917; ji&#224;nk&#257;ng zhu&#224;ngku&#224;ng physical condition; state of health; health &#32463;&#27982;&#29366;&#20917; j&#299;ng
大碍|dà'ài|Serious hindrance; major obstacle (often used in the negative to indicate "no big problem").Nuances:"大碍" is typically used in phrases like "无大碍" (no serious issue) to downplay injuries, mistakes, or s
飘落|piāoluò|VERB drift down; descend slowly and lightly; float down &#20254;&#20853;&#24464;&#24464;&#39128;&#33853;&#12290; S&#462;nb&#299;ng x&#250;x&#250; pi&#257;olu&#242;. The paratroopers descended slowly t
凋零|diāolíng|VERB 1&#9;(of flowers and plants) wither 2&#9;decline; be on the wane &#30334;&#19994;&#20939;&#38646;&#12290; B&#462;i y&#232; di&#257;ol&#237;ng. All business languished. 3&#9;EUPHEMISTIC die &#3276
送别|sòng//bié|VERB see sb. off &#36865;&#21035;&#25112;&#21451; s&#242;ngbi&#233; zh&#224;ny&#466;u see off one&#8217;s comrade-in-arms
丰沛|fēngpèi|ADJECTIVE LITERARY (of rainfall) plentiful &#38632;&#27700;&#20016;&#27803; y&#468;shu&#464; f&#275;ngp&#232;i have plenty of rain
追踪|zhuīzōng|VERB follow the trail of; track; trace &#36861;&#36394;&#31363;&#36156; zhu&#299;z&#333;ng qi&#232;z&#233;i pursue a thief &#29992;&#38647;&#36798;&#36861;&#36394;&#19968;&#26550;&#39134;&#26426; Y&#2
起誓|qǐ//shì|VERB take an oath; swear &#20320;&#36215;&#20010;&#35475;&#20915;&#19981;&#20877;&#21917;&#37202;&#65281; N&#464; q&#464; ge sh&#236; ju&#233;b&#249; z&#224;i h&#275; ji&#468;! Swear that you&#8217;ll
誓死|shìsǐ|ADVERB pledge one's life; dare to die &#35475;&#27515;&#20445;&#21355;&#31062;&#22269; sh&#236;s&#464; b&#462;ow&#232;i z&#468;gu&#243; pledge to give one&#8217;s life in defence of one&#8217;s countr
逞强|chěng//qiáng|To show off one’s strength, to act tough, to overexert oneselfNuance逞强 describes the act of forcing oneself to appear strong, capable, or unafraid, often out of pride or stubbornness. It can carry a n
频率|pínlǜ|NOUN 1&#9;PHYSICS frequency &#20302;&#39057;&#29575; d&#299; p&#237;n l&#476; low frequency &#39640;&#39057;&#29575; g&#257;o p&#237;n l&#476; high frequency 2&#9;rate of recurrence; frequency
宛若|wǎnruò|VERB LITERARY just like; as if; as though &#27426;&#33150;&#30340;&#20154;&#32676;&#23451;&#22914;&#22823;&#28023;&#30340;&#27874;&#28059;&#12290; Hu&#257;nt&#233;ng de r&#233;nq&#250;n w&#462;nr&#250
吸食|xīshí|VERB suck; take in (liquid foods, narcotics, etc.) &#21560;&#39135;&#22823;&#40635; x&#299;sh&#237;d&#224;m&#225; take cannabis; use cannabis; be on cannabis
烧烤|shāokǎo|NOUN barbecue VERB barbecue &#28903;&#28900;&#32650;&#32905; sh&#257;ok&#462;o y&#225;ngr&#242;u barbecue mutton
烧烤酱|shāokǎojiàng|barbecue sauce
复读|fùdú|VERB 1&#9;(of students who fail to go up to the next grade) retake the courses 2&#9;repeat reading (esp. in learning a foreign language by using tape recorders)
余留|yúliú|VERB be left; remain &#23478;&#37324;&#19968;&#22330;&#22823;&#28779;, &#20160;&#20040;&#37117;&#27809;&#26377;&#20313;&#30041;&#19979;&#26469;&#12290; ji&#257;l&#464; y&#299; ch&#225;ng d&#224;hu&#46
公约|gōngyuē|Convention; covenant; international agreement; public pledge.Nuance公约 is a formal noun that refers to a formal agreement, treaty, or covenant, typically among nations, organizations, or communities. I
赐福|cìfú|give a blessing; bless
首轮|shǒulún|NOUN first round &#39318;&#36718;&#25918;&#26144; sh&#466;ul&#250;n f&#224;ngy&#236;ng first run; premiere; first showing &#39318;&#36718;&#36187;&#20107; sh&#466;ul&#250;n s&#224;ish&#236; first-roun
降世|jiàngshì|1&#9;lit. to descend to earth (of an immortal) 2&#9;to be born
修复|xiūfù|VERB 1&#9;repair; restore; renovate &#20462;&#22797;&#19982;&#20462;&#25972; xi&#363;f&#249; y&#468; xi&#363;zh&#283;ng restoration and refurbishment &#20462;&#22797;&#26377;&#21382;&#21490;&#24847;&#
登陆|dēng//lù|VERB land; disembark &#30431;&#20891;&#22312;&#35834;&#26364;&#24213;&#28023;&#28393;&#30331;&#38470;&#12290; M&#233;ngj&#363;n z&#224;i nu&#242; m&#224;n d&#464; h&#462;it&#257;n d&#275;ngl&#249;. Th
残留|cánliú|VERB remain; left over &#36825;&#37324;&#36824;&#27531;&#30041;&#30528;&#25112;&#20105;&#30340;&#30165;&#36857;&#12290; Zh&#232;l&#464; h&#225;i c&#225;nli&#250; zhe zh&#224;nzh&#275;ng de h&#233;nj&#
侦测|zhēncè|1&#9;to detect 2&#9;to sense
投靠|tóukào|Rely on; seek support from; take refuge withNuance: 投靠 describes the act of turning to someone or some organization for support, protection, or shelter, often in times of need or difficulty. It can ca
正派|zhèngpài|Upright / Honest / DecentNuance正派 is an adjective that describes a person of strong moral integrity, honesty, and adherence to ethical principles. It implies that the individual conducts themselves wi
没门儿|méi//ménr|no way; not a chance (categorical refusal)Nuances:This blunt, colloquial rejection literally means "no door," implying the path forward is completely blocked. It’s more emphatic than 不行 (won’t work), 
垮台|kuǎ//tái|To collapse; to fall from power; downfall.Nuance: 垮台 is primarily used in political, organizational, or structural contexts to describe the failure or downfall of a regime, government, institution, or
失宠|shī//chǒng|VERB PEJORATIVE fall into disfavour; be out of favour; be in disgrace
对讲机|duìjiǎngjī|intercom
预告|yùgào|NOUN advance notice &#26032;&#20070;&#39044;&#21578; x&#299;nsh&#363; y&#249;g&#224;o notice on forthcoming books; books in preparation &#30005;&#35270;&#33410;&#30446;&#39044;&#21578; di&#224;nsh&#23
征收|zhēngshōu|to levy; to collect (taxes, fees, etc.); to imposeNuances:Typically used in official or legal contexts, referring to the government or authorities collecting taxes, fees, or other mandatory payments.C
殆尽|dàijìn|1&#9;nearly exhausted 2&#9;practically nothing left
出头|chū//tóu|"to get ahead; to stick out; to rise above"Nuance:出头 has several related senses depending on context. Literally, it means “to stick one’s head out,” which gives rise to figurative meanings. It can ref
戴罪立功|dàizuì-lìgōng|IDIOM atone for one's crimes by doing good deeds; redeem oneself through good service
争权夺利|zhēngquán-duólì|IDIOM scramble for power and profit; struggle for power; power struggle
扫码|sǎomǎ|to scan a QR code or barcode
振作|zhènzuò|VERB bestir (or exert) oneself; display vigour; buck up &#25391;&#20316;&#31934;&#31070; zh&#232;nzu&#242; j&#299;ngshen bestir oneself; brace (or cheer) up &#25391;&#20316;&#36215;&#26469;&#65281; Zh
好斗|hàodòu|ADJECTIVE belligerent; bellicose; combative
离奇|líqí|ADJECTIVE strange; odd; fantastic; bizarre &#31163;&#22855;&#30340;&#25925;&#20107; L&#237;q&#237; de g&#249;shi strange story &#31163;&#22855;&#30340;&#35854;&#35328; l&#237;q&#237; de hu&#462;ngy&#2
哇塞|wāsāi|1&#9;(slang) wow! 2&#9;also pr. [w&#257;s&#275;i]
信步|xìnbù|to stroll leisurely; to walk aimlessly but comfortablyNuances:Emphasizes relaxed, unhurried movement, often with a sense of casual enjoyment or contemplation.Example Sentences:傍晚他喜欢在公园里信步而行，放松心情。(At d
闲庭|xiántíng|NOUN LITERARY quiet and peaceful courtyard &#19981;&#31649;&#39118;&#21561;&#28010;&#25171;, &#32988;&#20284;&#38386;&#20449;&#27493;&#12290;(&#27611;&#27901;&#19996;) B&#249;gu&#462;n f&#275;ng chu&#
洗漱|xǐshù|Wash up; freshen up (usually face, hands, brushing teeth, etc.).Nuance洗漱 refers to the daily routine of washing one’s face, rinsing the mouth, and general morning/evening cleansing. It is broader than
装模作样|zhuāngmózuòyàng|IDIOM affected; attitudinize; put on an act; behave in an affected way; affectation
虚掩|xūyǎn|to leave a door/window slightly ajar; to cover superficiallyNuances:This term describes something (usually a door or secret) that appears closed but isn’t fully secured—creating ambiguity between conc
花瓶|huāpíng|NOUN 1&#9;flower vase; vase 2&#9;woman employed not for her ability but for her beauty 3&#9;woman who only knows how to make herself up and can do no useful work 4&#9;things merely for show
佣人|yōngrén|NOUN servant &#22899;&#29992;&#20154; N&#474; y&#242;ngren woman servant; maid
警铃|jǐnglíng|NOUN alarm bell
无误|wúwù|VERB without error; correct &#26680;&#26597;&#26080;&#35823; h&#233;ch&#225; w&#250;w&#249; checked and found correct
乘虚而入|chéngxū'érrù|to exploit a weakness; to seize an opportunity when others are vulnerableNuances:Originally a military term, now describes taking advantage of any lapse in defense or attention.Example Sentences:敌军乘虚而
轻描淡写|qīngmiáo-dànxiě|To mention casually; to understate; to treat lightlyNuance:轻描淡写 is an idiom that describes the act of describing or discussing something as if it were trivial or unimportant, often downplaying its ser
嫁祸|jiàhuò|1&#9;to impute 2&#9;to shift the blame onto someone else
绯闻|fēiwén|Scandal; romantic rumor; affairNuance“绯闻” literally means “crimson-colored news,” symbolizing gossip tinged with romantic or sexual implication. It refers to rumors—often involving celebrities, politi
不寒而栗|bùhán'érlì|IDIOM shiver but not cold&#8212;tremble with fear; shudder &#19968;&#24819;&#36215;&#37027;&#27425;&#20107;&#25925;, &#20182;&#23601;&#19981;&#23506;&#32780;&#26647;&#12290; Y&#299; xi&#462;ngq&#464; 
交班|jiāo//bān|VERB change shift; hand over to the next shift; let a successor take over
顾忌|gùjì|VERB scruple; misgiving &#27627;&#26080;&#39038;&#24524; h&#225;ow&#250; g&#249;j&#236; without scruple; have no scruples &#26377;&#25152;&#39038;&#24524; y&#466;u su&#466; g&#249; j&#236; have certai
粗俗|cūsú|vulgar; coarse; uncouth (in behavior or language)Nuances:This term describes behavior, speech, or aesthetics that lack refinement and violate social standards of decency, often with offensive crudenes
打手|dǎshou|NOUN hired roughneck (or thug); hatchet man
怒视|nùshì|VERB glare; glower; scowl
筹码|chóumǎ|NOUN chip; counter &#40635;&#23558;&#31609;&#30721; m&#225;ji&#224;ng ch&#243;um&#462; mah-jong counters &#35848;&#21028;&#30340;&#31609;&#30721; T&#225;np&#224;n dech&#243;um&#462; bargain chip &#259
逼迫|bīpò|To force; to coerce; to pressureNuance:逼迫 is a strong verb that describes the act of using pressure, threats, or intimidation to make someone do something against their will. It implies a power imbala
姑且|gūqiě|ADVERB tentatively; for the moment &#20320;&#22993;&#19988;&#35797;&#19968;&#35797;&#12290; N&#464; g&#363;qi&#283; sh&#236; y&#299; sh&#236;. Have a try, anyhow. or Suppose you give it a try. &#36153
揪住|jiūzhù|to grab
故作|gùzuò|To pretend; to put on (a false appearance); to act as if.Nuance故作 is a formal verb that describes the deliberate act of assuming a certain attitude, expression, or demeanor that is not genuine. It is 
牵涉|qiānshè|VERB involve; drag in &#20182;&#30340;&#21457;&#35328;&#26082;&#28982;&#29301;&#28041;&#21040;&#25105;, &#25105;&#23601;&#24819;&#35762;&#20960;&#21477;&#12290; T&#257; de f&#257;y&#225;n j&#236;r&#22
办事不力|Bànshìbùlì|Inefficient; incompetent in handling tasksNuance:办事不力 is a phrase used to criticize someone's performance, indicating that they have failed to carry out a task effectively, competently, or with adequa
在下|zàixià|Your humble servant; I/me (a self-deprecatory term used by a man).Nuance在下 is a classical and highly formal first-person pronoun used almost exclusively by men. It literally means "the one below," imp
乱子|luànzi|NOUN COLLOQUIAL disturbance; trouble; disorder &#20986;&#20081;&#23376; ch&#363; lu&#224;nzi create a disturbance; run into (or make) trouble; provoke a dispute &#38393;&#20081;&#23376; n&#224;o lu&#2
许可|xǔkě|VERB permit; allow &#20961;&#26159;&#26465;&#20214;&#35768;&#21487;&#30340;&#22320;&#26041; F&#225;nsh&#236; ti&#225;oji&#224;n x&#468;k&#283; de d&#236;fang wherever conditions permit &#24471;&#21040
过火|guò//huǒ|To go too far; to overdo (actions or behavior beyond reasonable limits).Nuances:"过火" describes excessive or extreme actions that cross social norms or appropriateness, often leading to negative conseq
纠缠|jiūchán|VERB 1&#9;get entangled; be in a tangle &#38450;&#27490;&#22312;&#26525;&#33410;&#38382;&#39064;&#19978;&#32416;&#32544;&#19981;&#20241; f&#225;ngzh&#464; z&#224;i zh&#299;ji&#233; w&#232;nt&#237; sh&
错觉|cuòjué|NOUN illusion; misconception; wrong impression &#20135;&#29983;&#38169;&#35273; ch&#462;nsh&#275;ng cu&#242;ju&#233; give an illusion; form a misconception &#36825;&#26679;&#20250;&#32473;&#20154;&#36
鼓动|gǔdòng|VERB 1&#9;agitate; arouse &#40723;&#21160;&#32676;&#20247; g&#468;d&#242;ng q&#250;nzh&#242;ng arouse the masses 2&#9;instigate; incite &#36825;&#20123;&#22351;&#20107;&#26159;&#35841;&#40723;&#21160;
对不上|duìbùshàng|1&#9;to disagree 2&#9;I can't agree with that.
难熬|nán'áo|ADJECTIVE hard to bear &#39269;&#39295;&#38590;&#29100; J&#299;'&#232; n&#225;n &#225;o unbearable hunger; very hungry
差错|chācuò|NOUN 1&#9;mistake; error; slip &#36825;&#31508;&#36134;&#26377;&#24046;&#38169;&#12290; Zh&#232; b&#464; zh&#224;ng y&#466;u ch&#257;cu&#242;. There&#8217;s an accounting error in this entry. &#22905;
信誉|xìnyù|NOUN prestige; credit; reputation &#26641;&#31435;&#33391;&#22909;&#30340;&#20449;&#35465; sh&#249;l&#236; li&#225;ngh&#462;o dex&#236;ny&#249; build up a fine reputation &#20139;&#26377;&#24456;&#396
土匪|tǔfěi|NOUN bandit; brigand
直捣|zhídǎo|VERB head for &#30452;&#25443;&#21290;&#24034; zh&#237; d&#462;o f&#283;i ch&#225;o press straight on to the bandits&#8217; den
风云|fēngyún|Wind and Cloud / (Figurative) Unsettled Situation / TurmoilNuance风云 is a noun that literally means "wind and cloud," but is overwhelmingly used metaphorically to describe dynamic, turbulent, or changi
名状|míngzhuàng|VERB [usu. in the negative] give the right name for; describe &#38590;&#20197;&#21517;&#29366;&#30340;&#22855;&#33457;&#24322;&#33609; n&#225;ny&#464; m&#237;ng zhu&#224;ng de q&#237;hu&#257;y&#236;c&
入伙|rù//huǒ|VERB 1&#9;join a gang; join in partnership 2&#9;have one's meals at a canteen or mess hall &#22312;&#39135;&#22530;&#20837;&#20249; Z&#224;i sh&#237;t&#225;ng r&#249;hu&#466; eat at one&#8217;s mess
心不在焉|xīnbùzàiyān|IDIOM absent-minded; inattentive; preoccupied (with sth. else) &#24515;&#19981;&#22312;&#28937;&#22320;&#21548;&#30528; X&#299;nb&#249;z&#224;iy&#257;n de t&#299;ngzhe listen absent-mindedly &#22905;&
打混|dǎhùn|to loaf on the job; to goof off; to muddle through workNuances:This colloquial term describes avoiding real effort or responsibility at work, often by pretending to be busy, wasting time, or doing the
若无其事|ruòwúqíshì|IDIOM as if nothing had happened&#8212;remain calm; indifferent &#24613;&#30528;&#31561;&#20320;&#24110;&#24537;, &#20320;&#24590;&#20040;&#36824;&#33509;&#26080;&#20854;&#20107;&#65311; J&#237; zhe d
唯唯诺诺|wěiwěi-nuònuò|obsequiously submissive; overly deferentialNuances:This idiom describes someone who habitually agrees with others without independent thought, often out of fear or desire to please. It implies weaknes
责骂|zémà|VERB scold; rebuke; dress down &#29238;&#27597;&#36131;&#39554;&#20182;&#19981;&#35813;&#32771;&#35797;&#20316;&#24330;&#12290; f&#249;m&#468; z&#233;m&#224; t&#257; b&#249; g&#257;i k&#462;osh&#236; 
原样|yuányàng|NOUN 1&#9;the same old way &#29031;&#21407;&#26679; zh&#224;o yu&#225;ny&#224;ng as usual &#20445;&#25345;&#21407;&#26679; b&#462;och&#237; yu&#225;ny&#224;ng remain the same 2&#9;original state; prev
滩涂|tāntú|NOUN low-lying beachland
奢靡|shēmí|Extravagant; luxurious and wasteful.Nuance: 奢靡 refers to a lifestyle or behavior that is excessively luxurious and often associated with wastefulness and moral decay. It has a strongly negative connot
娱乐场所|yúlèchǎngsuǒ|place of recreation
交火|jiāo//huǒ|VERB exchange fire (or shots); fight &#20004;&#20891;&#20132;&#19978;&#20102;&#28779;&#12290; li&#462;ng j&#363;n ji&#257;osh&#224;ng le hu&#466;. Fighting broke out between the troops.
巡视|xúnshì|To inspect; to tour for supervision; to make a round of inspection.Nuance: 巡视 is a formal term often used in official, military, or organizational contexts to describe an authority figure or designate
无依无靠|wúyī-wúkào|IDIOM without anyone to depend on (or turn to); helpless; totally alone &#26080;&#20381;&#26080;&#38752;&#30340;&#23396;&#20799; w&#250;y&#299;w&#250;k&#224;o de g&#363;'&#233;r helpless orphan
按理说|ànlǐshuō|According to reason; theoretically; under normal circumstances.Nuance按理说 is a common conversational adverb used to introduce a statement that should be true based on logic, common sense, or establishe
一视同仁|yīshì-tóngrén|To Treat Equally / Without DiscriminationNuance一视同仁 is an idiom that expresses the principle of treating everyone equally, fairly, and without favoritism or bias. It implies a consistent standard appl
巡逻|xúnluó|To PatrolNuance巡逻 is a verb that refers to the act of moving through an area at regular intervals to maintain security, observe conditions, or enforce regulations. It is commonly used for police, mili
营生|yíngsheng|Livelihood; means of making a living.Nuance: 营生 refers to the ways in which a person earns money or sustains themselves. It emphasizes practical, everyday work or occupation rather than wealth or stat
致歉|zhìqiàn|1&#9;to apologize 2&#9;to express regret
快感|kuàigǎn|pleasure; thrill; sense of satisfactionNuances:This term describes a positive physical or emotional sensation, ranging from mild enjoyment to intense exhilaration. It can be used for both sensory expe
应和|yìnghè|VERB respond to; echo each other &#19968;&#40479;&#21825;&#21886;, &#30334;&#40479;&#24212;&#21644;&#12290; y&#299; ni&#462;o zh&#333;uji&#363;, b&#462;ini&#462;o y&#236;ngh&#232;. One bird chirped, a
盘踞|pánjù|to entrench; to occupy (often illegitimately)Nuances:This term describes forcibly settling or dominating a territory, often by hostile groups (e.g., bandits, invaders). It implies stubborn, unwelcome 
带路|dài//lù|VERB show (or lead) the way; act as a guide &#19968;&#20010;&#23567;&#30007;&#23401;&#32473;&#25105;&#20204;&#24102;&#36335;&#12290; y&#299; ge xi&#462;o n&#225;nh&#225;i g&#283;i w&#466;mend&#224;il&
素材|sùcái|raw material; source material; content assetsNuances:This term refers to unprocessed or foundational resources used for creation, analysis, or production—whether physical (e.g., art supplies) or abstr
嫌弃|xiánqì|to dislike and avoid; to reject as inferiorNuances:Implies scornful rejection based on perceived flaws (e.g., appearance, status, habits).Example Sentences:她嫌弃丈夫收入低，整天抱怨。(She disdains her husband’s lo
续作|xùzuò|sequel
全盛|quánshèng|ADJECTIVE (of a historical period) flourishing; in full bloom &#21776;&#26397;&#26159;&#24459;&#35799;&#30340;&#20840;&#30427;&#26102;&#26399;&#12290; T&#225;ngch&#225;o sh&#236; l&#476;sh&#299; de qu
伞兵|sǎnbīng|NOUN MILITARY paratrooper; parachuter
儿化|érhuà|VERB LINGUISTICS suffixation of a nonsyllabic &#20799; (r) to nouns and sometimes verbs or adjectives, causing a retroflexion of the preceding vowel, typical of the pronunciation of putonghua, or stan
豪放|háofàng|bold and unconstrained; unrestrained and vigorousNuances:This term describes a personality or style that is generous, straightforward, and free from pettiness or inhibition. It often carries positive 
高雅|gāoyǎ|ADJECTIVE refined; elegant; tasteful (opp. &#20302;&#20439;, &#31895;&#20439;) &#39640;&#21387;&#33402;&#26415; g&#257;oy&#462; y&#236;sh&#249; art of refined taste and style; high art &#20030;&#27490
完事|wán//shì|VERB finish; get through; come to an end &#20320;&#23436;&#20107;&#20102;&#27809;&#26377;&#65311; N&#464; w&#225;nsh&#236; le m&#233;iy&#466;u? Have you finished (the job)? &#20182;&#20204;&#26657;&#2
绕口令|ràokǒulìng|NOUN tongue twister
线人|xiànrén|NOUN planted agent; inner connection; spy; informer; mole &#23433;&#25554;&#32447;&#20154; &#257;nch&#257; xi&#224;nr&#233;n plant a mole (in an organization)
安插|ānchā|VERB 1&#9;USUALLY PEJORATIVE place (sb.) in a certain position; assign (to a job); plant &#23433;&#25554;&#20146;&#20449; &#257;nch&#257; q&#299;nx&#236;n put one&#8217;s trusted followers in key posi
敌对|díduì|ADJECTIVE hostile; antagonistic &#25932;&#23545;&#24773;&#32490; d&#237;du&#236; q&#237;ngx&#249; hostility; enmity; resentment &#25932;&#23545;&#34892;&#21160; d&#237;du&#236; x&#237;ngd&#242;ng host
打入|dǎrù|to infiltrate; to break into; to penetrateNuances:This term describes forceful or strategic entry into a space, group, or market, ranging from physical intrusion (e.g., burglary) to calculated infiltr
诱导|yòudǎo|VERB 1&#9;guide; lead; induce &#36825;&#20123;&#38382;&#39064;&#21487;&#20197;&#35825;&#23548;&#22823;&#23478;&#21435;&#24605;&#32771;&#12290; Zh&#232;xi&#275; w&#232;nt&#237; k&#283;y&#464; y&#242;ud
刀疤|dāobā|scar from a knife wound
外号|wàihào|nickname; aliasNuances:An informal name given based on traits, appearance, or anecdotes, often used among friends.Example Sentences:他因跑得快，外号叫“闪电”。(His nickname is “Lightning” because he runs so fast.)
幸会|xìnghuì|Pleased to meet you; an honor to meet youNuance:幸会 is a polite and formal greeting used when meeting someone for the first time, particularly in more traditional or respectful social contexts. It lite
妖女|yāonǚ|beautiful woman
暗号|ànhào|NOUN secret signal (or sign); countersign; watchword &#23545;&#26263;&#21495; du&#236; &#224;nh&#224;o check the signals &#30830;&#23450;&#26263;&#21495; qu&#232;d&#236;ng &#224;nh&#224;o prearrange a
培根|péigēn|bacon (loanword)
煎鸡蛋|jiānjīdàn|fried eggs
付账|fù//zhàng|VERB pay a bill &#25105;&#20184;&#36807;&#36134;&#20102;&#12290; w&#466; f&#249; gu&#242; zh&#224;ng le. I&#8217;ve already paid the bill.
吃相|chīxiàng|Manner of eating; figuratively, one’s way of acting (often greedy or unseemly)Nuance吃相 literally refers to the way a person eats, whether neat or sloppy. In figurative usage, it often carries a negati
添堵|tiāndǔ|VERB DIALECT bring vexation to; upset
露马脚|lòu//mǎjiǎo|VERB give oneself away; let the cat out of the bag &#35854;&#35328;&#24635;&#35201;&#38706;&#39532;&#33050;&#30340;&#12290; Hu&#462;ngy&#225;n z&#466;ngy&#224;o l&#242;um&#462;ji&#462;o de. Lies are b
引蛇出洞|yǐnshé-chūdòng|IDIOM draw a snake out of its hole&#8212;lure sb. into the open; induce sb. to take an open action
里应外合|lǐyìng-wàihé|IDIOM act from inside in coordination with forces attacking from outside; collaborate from within with forces from without
苦肉计|kǔròujì|NOUN ruse of self-injury (inflicting an injury on oneself to win the confidence of the enemy)
诱饵|yòu'ěr|NOUN bait; decoy &#20805;&#24403;&#35825;&#39285; ch&#333;ngd&#257;ng y&#242;u'&#283;r act as decoy &#25237;&#25918;&#35825;&#39285; t&#243;uf&#224;ng y&#242;u'&#283;r hold out bait &#21534;&#39135;&#
充当|chōngdāng|To serve as; to act as; to play the role ofNuance:充当 carries a nuanced meaning of serving in a role, often temporarily, as a substitute, or in a capacity that is not one's primary or natural function.
缔结|dìjié|VERB conclude; establish &#32532;&#32467;&#37030;&#20132; d&#236;ji&#233; b&#257;ngji&#257;o establish diplomatic relations &#32532;&#32467;&#26465;&#32422; D&#236;ji&#233; ti&#225;oyu&#275; conclude 
缩头乌龟|suōtóuwūguī|Coward / One Who Retreats from ResponsibilityNuance缩头乌龟 is a vivid, colloquial idiom used to mock or criticize someone who retreats from a difficult situation, shirks responsibility, or acts cowardly.
敢当|gǎndāng|VERB 1&#9;dare to accept responsibility for; have the courage to &#25954;&#24403;&#37325;&#20219; g&#462;nd&#257;ng zh&#242;ngr&#232;n dare to take on heavy responsibilities 2&#9;POLITE EXPRESSION SEL
公信力|gōngxìnlì|NOUN public credibility (or confidence); ability to win public trust &#25552;&#21319;&#31649;&#29702;&#23618;&#30340;&#20844;&#20449;&#21147; t&#237;sh&#275;ng gu&#462;nl&#464; c&#233;ng deg&#333;ngx&
善罢甘休|shànbà-gānxiū|to let the matter rest; to accept a situation without further struggleNuances:This idiom describes the decision to stop pursuing a conflict or demand, often reluctantly or under pressure. It implies a
作证|zuò//zhèng|VERB 1&#9;use as evidence 2&#9;testify; give evidence; bear witness &#20316;&#20266;&#35777; zu&#242; w&#283;izh&#232;ng give false evidence (to the court) &#22312;&#27861;&#24237;&#19978;&#20316;&#35
狠毒|hěndú|ADJECTIVE vicious; venomous &#29992;&#24515;&#29408;&#27602; y&#242;ngx&#299;n h&#283;nd&#250; with vicious intent
