WORD	OLD_MEANING	NEW_MEANING
色相	1. (Buddhism) physical form/appearance; 2. sexual allure; seductive appearance.	physical appearance; sensual allure; (Buddhist) form
老生常谈	commonplace remark; cliché	platitude; a commonplace remark
打发时间	to pass the time	to kill time; to pass the time
教廷	Vatican; Holy See	the Holy See; the Vatican
珍视	value; prize; cherish; treasure	to cherish; to value highly
露天	open-air; outdoor	outdoor; open-air
迸发	burst forth; burst out	to burst forth; to erupt
操练	drill; train	to drill; to practice; to train
潮流	1 tide; tidal current2 trend	tide; trend; fashion
船舶	shipping; boats and ships	ships; vessels
雌雄	1 male and female2 victory and defeat	male and female; (fig.) victory or defeat
端五节	Dragon Boat Festival (the 5th day of the 5th lunar month)	Dragon Boat Festival
多元化	pluralise; become pluralistic	diversification; pluralism
二氧化碳	CHEMISTRYcarbon dioxide (CO2)	carbon dioxide
搁	1 put; place; lay	to put aside, to shelve
功效	efficacy; effect	efficacy, effect, function
锦上添花	add flowers to the brocade—make what is good still better; improve on	making good things even better
进而	and then; after that	furthermore, then
瀑布	waterfall; falls; cataract	waterfall
取缔	ban; outlaw; shut down; suppress	to ban, to prohibit
补觉	to make up for lost sleep	to catch up on sleep
生疏	1 not familiar	unfamiliar, rusty
兴致勃勃	full of zest; in high spirits	full of enthusiasm
悬念	suspense (felt as a story, play, etc. builds to a climax)	suspense, cliffhanger
预言	prophecy; prediction	prophecy, prediction
摘要	summary; abstract; précis	summary, abstract
债券	bond; debenture	bond (financial)
治安	public order; public security	public security
资深	veteran; senior; experienced; famed	senior, experienced
自卑	feel inferior; abject	inferiority complex
航站楼	airport terminal	terminal (airport)
派出所	local police station; police substation	local police station
架构师	(computing) architect	architect (systems/software)
负罪	LITERARYbear the blame	guilty (feeling)
默写	write from memory	write from memory, dictation
民警	ABBREVIATIONpolice; policeman	civilian police, police officer
临危不惧	face danger fearlessly; betray no fear in face of danger	fearless in face of danger
私房钱	private savings (of a family member)	private savings, secret stash
硅谷	Silicon Valley	Silicon Valley
算法	1 way of calculation2 MATHEMATICSalgorithm	algorithm
安康	LITERARYin good health	safety and health, well-being
戒毒	rehabilitate from drug abuse; drug rehabilitation	quit drugs, drug rehabilitation
盗号	to steal an online account	steal an account (online)
救命稻草	clutch at a straw	lifeline, last resort (lit. lifesaving straw)
讨价	ask (or name) a price	bargain, haggle
坨	heap; lumpVERBDIALECT(of cooked wheaten food) stick together	lump, pile, clump (measure word)
沏茶	make tea	brew tea, make tea
牧马人	herdsman (of horses)	horse herder, cowboy
龟裂	1 (of parched earth) full of cracks	crack, chap (skin or ground)
叹为观止	acclaim (a work of art, etc.) as the acme of perfection; hail as the best	acclaim as the peak of perfection, gasp in admiration
志愿	aspiration; wish; idealVERBdo sth. of one's own free will; volunteer	aspiration, volunteer (noun/verb)
珍重	1 highly value; treasure; set great store by	treasure, take care (parting words)
杀人偿命	pay with one’s life for a murder; a life for a life	a life for a life, murder must be paid with life
打岔	interrupt; cut in	interrupt, change the subject
合租	rent jointly; joint rental	shared rental
寻短见	LITERARYcommit suicide; take one's own life	commit suicide
蛊惑	poison and bewitch	bewitch, deceive
主谋	LAWringleaderVERBhead a conspiracy; be the lead plotter	chief plotter
面谈	speak face-to-face; take up a matter with sb. personally; speak in person	face-to-face talk
勾三搭四	1 to make hanky-panky2 to seduce women	flirt around
思想包袱	sth. weighing on one’s mind; mental load	mental burden
氨	ammonia (NH3)	ammonia
硝酸盐	nitrate	nitrate
海葵	ZOOLOGYsea anemone	sea anemone
毒舌	1 venomous tongue2 sharp-tongued3 harsh	sharp tongue
往昔	LITERARY(in) the past; (in) former times	past times
回车键	COMPUTINGenter (key)	enter key
喊话	1 shout propaganda (at enemy troops across the lines); call out to sb. at a distance2 communicate by tele-equipment	call out, shout to
盂兰盆会	Ullambana; Buddhist Ghost Festival (on the 15th of the seventh lunar month) to redeem the souls of one's deceased ancestors	Ullambana festival
勾选	1 to select (one or more options from a list)2 to check (a box)	check a box
庆功	celebrate victory	celebrate success
锄头	1 pickaxe (used in southern China)	hoe
博客	INTERNETblog; weblog	blog
气头上	COLLOQUIALin a fit of anger; in a temper	in a fit of anger
不便	1 inconvenient; inappropriate	inconvenient
堂弟	son of one's father's brother, who is younger than oneself; younger male cousin; male cousin on the male side	younger male cousin (paternal side)
墨迹	1 ink marks (or stains)	ink marks; also slang for "stalling" or "procrastinating"
恸哭	wail; cry one's heart out	wail; cry bitterly
一干二净	thoroughly; completely	completely; thoroughly; cleanly
天公	ruler of Heaven; God	Heaven; God of Heaven; nature
清秀	delicate and pretty	delicate; pretty; refined (of appearance)
阳刚	manly; virile (opp	masculine; virile; strong
栗子	chestnut	chestnut
喝断片	to get blackout drunk (slang)	black out from drinking
拼盘	assorted cold dish; ie	assorted platter; mixed dish
阒然	LITERARYquiet; still	quiet; silent; still
剧情	plot; storyline	plot; storyline
备胎	1 spare tire2 (slang) fallback guy (or girl)	spare tire; also slang for "backup romantic partner"
可乐饼	croquette	croquette (Japanese-style)
首当其冲	the first to be affected (by a disaster, etc.); bear the brunt of	be the first to bear the brunt
下头	1 below; under; underneath	below; underneath; also slang for "a turn-off" or "to kill the mood"
扭扭捏捏	1 affecting shyness or embarrassment2 coy3 mincing (walk, manner of speech)4 mannered	shy; hesitant; coy; awkward
逃荒	flee from famine; leave a famine-stricken area	flee from famine
时辰	(dated) one of the 12 two-hour periods of the day; double-hour; also means "time" or "moment" in a general sense	time; hour; period (traditional Chinese time unit)
布巾	a cloth	cloth towel; wiping cloth
灾荒	famine due to crop failures	famine caused by disaster
落叶归根	The falling leaves settle on the roots.—A person residing elsewhere finally returns to his ancestral home	return to one's roots
牛头马面	Ox Head and Horse Face (two demon attendants of the King of Hell)—crafty people; wicked person	Ox-head and Horse-face
丫鬟	DATEDslave (or servant) girl; maid	maidservant; bond servant
丧葬	burial; funeral	funeral and burial
细调	to fine tune	fine-tune; fine adjustment
困倦	tired and sleepy	sleepy; drowsy
愣神儿	DIALECTstare blankly; be in a daze	be stunned; zone out
涝灾	damage (or crop failure, calamity) caused by waterlogging	flood disaster; waterlogging
祖籍	original family home; ancestral home; the land of one's ancestors	ancestral hometown
脚掌	sole (of the foot)	sole of the foot
妙用	magical effect	wonderful use; clever trick
珠帘	screen or curtain decorated with pearls; bead curtain	bead curtain
耳垂	ANATOMYearlobe; ear flap; auricular lobule	earlobe
无非	nothing more than, simply, merely	nothing but; merely
牛油	butter (regional), beef fat	butter; beef tallow
肺活量	lung capacity, vital capacity	lung capacity
相约	agree to meet; arrange	make an appointment; agree to meet
另类	alternative; non-conformist; offbeat	unconventional; alternative
聘请	engage; invite	hire, employ
鬼点子	COLLOQUIAL 1 wicked idea; trick	clever trick, wily idea
团建	1 team building (abbr. for tuánduìjiànshè [	team building
荷官	croupier; dealer	casino dealer
潸然泪下	tears trickling down one’s cheeks	shed tears; be moved to tears
赐教	POLITE EXPRESSION condescend to teach; grant instruction	to give guidance/instruction
解囊	LITERARY open one's purse (to give money)	open purse/contribute money
慷慨解囊	help sb. generously with money; give money generously; give with an open hand (or open hands)	generously donate money
不可磨灭	indelible	indelible; unforgettably enduring
软绵绵	1 soft	soft, fluffy; weak/lacking energy
意犹未尽	1 to wish to continue sth 2 to have not fully expressed oneself	still wanting more; not fully satisfied
回头见	COLLOQUIAL see you later (or again); cheerio	see you later
沉冤	gross injustice; unrighted wrong	long-standing injustice; unredressed wrong
错别字	wrongly written (or mispronounced) characters	typo; wrongly written character
撬动	1 to shift sth with a crowbar etc 2 (fig.) to influence by applying leverage	pry up; leverage
支点	1 PHYSICS fulcrum 2 strongpoint; stronghold; crux	fulcrum; pivot; support point
变化莫测	1 unpredictable 2 changeable	unpredictable; changeable
赞颂	extol; eulogize; sing the praises of	praise; extol
骨骼	ANATOMY skeleton	skeleton; bone structure
清奇	LITERARY 1 (of scenery, style, etc.) quaint and attractive 2 (of a person) good-looking, peculiar and elegant	fresh and distinctive; unusually elegant
陈词滥调	hackneyed and stereotyped expressions; clichés	cliché, hackneyed phrase
情调	sentiment; emotional appeal; mood; emotional tone	sentiment, atmosphere, mood
抛售	undersell; dump; sell (goods, shares, etc.) in big quantities (usu. in anticipation of or in order to bring about a fall in price)	sell off, dump (stocks/goods)
畅所欲言	speak without inhibitions; speak one's mind; speak out	speak freely, express oneself fully
固步自封	be content with the status quo and refuse to make change; complacent and conservative	stand still, be complacent, self-satisfied
坐立不安	feel uneasy whether sitting or standing—fidgety; on tenterhooks; extremely worried	restless, fidgety, uneasy
上市公司	listed company	listed company, publicly traded company
订金	1 deposit (put down for future purchase) 2 COMMON NAME FOR VARIANT OF	deposit, down payment
开场白	1 prologue (of a play) 2 opening (or introductory) remarks; opening speech; lead-in (opp	opening remarks, introduction
口吃	stutter; stammer	stutter, stammer
比心	(Internet slang) to form a hand heart using one's thumb and forefinger (or by using both hands)	make a heart gesture, hand heart
蜕变	1 change qualitatively; transform; transmute 2 PHYSICS decay	transform, metamorphosis, change
从业	obtain employment	be employed in, engage in (a profession)
枕巾	towel used to cover a pillow	pillow towel, pillow cover
刻画	1 depict; portray	portray, depict, characterize
姜	ginger	ginger
礁石	reef; rock	reef, rock
闹僵	(of a relationship or situation) to become strained and tense	fall out, have a falling out, become estranged
拉屎	COMMON NAME FOR have a bowel movement; shit	defecate, poop (vulgar)
扇	1 fan	fan (verb)
掺水	1 water down; dilute	to dilute with water
身孕	pregnancy	pregnancy
解约	terminate an agreement; cancel (or rescind) a contract	to terminate a contract
尾款	small balance; odd; arrears	final payment; balance due
贬值	1 devalue a currency	to depreciate; to devalue
牌局	bet at dominoes, mah-jong, or cards; gambling game	card game; poker game (often gambling)
量身定制	tailor-made	custom-made; tailor-made
排班	arrange (shifts, runs, classes or grades, etc.) in order; schedule	to schedule shifts; to arrange duty roster
洗白	1 to make sth clean and white 2 (fig.) to whitewash 3 to launder money	to whitewash; to launder (money); to redeem (reputation)
轮盘	1 roulette 2 wheel	roulette (wheel)
足彩	ABBREVIATION football lottery ticket	football lottery; soccer betting
铺天盖地	blot out the sky and cover the earth	overwhelming; blanketing (usually describes news, ads, etc.)
收盘价	closing price (of share, commodity etc)	closing price (of stocks)
收盘	1 FINANCE close; closing quotation (on the exchange, etc.) (opp	to close (the market); to end a trading session
不攻自破	collapse of itself	to collapse by itself; to be disproved without refutation
发力	generate power; gain momentum	to exert effort; to put forth power
介入	intervene; interpose; get involved	to intervene; to step in
指手画脚	1 make gestures; gesticulate	to gesticulate; to make wild gestures; to criticize or command
顾家	look after (or attend to) one's family	to be family-oriented; to take care of one's family
犯怵	feel timid	to feel intimidated; to be scared or nervous
不务正业	1 not do honest work; not live by honest labour 2 disregard one's real occupation; not attend to one's proper duties	not doing proper work
带坏	to lead astray	to lead astray
化疗	ABBREVIATION chemotherapy VERB use chemotherapy to treat (esp. cancer)	chemotherapy
事关	1 to concern 2 on (some topic) 3 about 4 concerning 5 to have importance for	to concern
切身	1 of immediate concern to oneself or sb	personal, firsthand
动粗	DIALECT resort to violence; hit sb.; come to blows with; rough stuff	to use violence
人妖	hermaphrodite; two-in-one	transgender person (often derogatory)
疾苦	sufferings; hardships	hardships, sufferings
划痕	a scratch	scratch
扶梯	staircase or ladder	escalator
社死	(neologism c. 2020) (slang) social death; to die of embarrassment	social death
晕厥	VERB LITERARY faint; swoon	syncope, fainting
际遇	NOUN LITERARY favorable turns in life; spells of good or bad fortune	circumstances, fate
同桌	1 desk-mate 2 seat-mate	desk mate
拔萃	VERB LITERARY stand out; outstanding	outstanding
不能免俗	unable to break away from convention	cannot avoid convention
困顿	ADJECTIVE LITERARY 1 tired out 2 in financial straits	in difficulty, impoverished
青楼	NOUN LITERARY brothel; courtesans' quarters	brothel (historical)
雀跃	VERB LITERARY jump for joy	to jump for joy
严苛	1 severe 2 harsh	strict, harsh
英烈	LITERARY NOUN heroic martyr; ADJECTIVE heroic; valiant	heroic martyr; brave fallen
流连	VERB LITERARY be reluctant to leave; linger on	linger; loiter with pleasure
亟需	1 to urgently need 2 urgent need	urgently need; pressing demand
圣典	1 sacred writing 2 canon	sacred scripture; holy canon
慎入	1 keep away! 2 proceed with caution!	enter with caution; viewer discretion advised
有何贵干	1 What brings you here? 2 May I help you?	what business do you have; what brings you here
重口味	1 strong flavor 2 (slang) hardcore; intense	heavy taste; extreme preference
售罄	VERB LITERARY sold out	sold out
超群	VERB LITERARY head and shoulders above; pre-eminent	outstanding; surpassing others
熠熠	ADJECTIVE LITERARY sparkling; glittering	glittering; shining brightly
照拂	VERB LITERARY look after; care for; attend to	care for; look after
猝然	ADVERB LITERARY suddenly; abruptly; unexpectedly	suddenly; abruptly
寰宇	NOUN LITERARY Earth; whole world	the whole world; universe
鲜少	1 very few 2 rarely	rarely; seldom
仪态	NOUN LITERARY bearing; deportment	bearing; deportment; poise
说客	1 (old) itinerant adviser 2 (fig.) lobbyist 3 go-between	persuader; lobbyist; advocate
噎住	1 to choke (on food) 2 to choke off (in speech)	choked; stuck in throat
恢宏	ADJECTIVE LITERARY broad; extensive; magnanimous	grand; magnificent; vast
